date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	7.9	8.288	7.851	8.158	51266357	EUR	
11/11/2010 00:00	8.23	8.272	7.872	7.936	33316079	EUR	
12/11/2010 00:00	7.804	7.917	7.752	7.891	25473798	EUR	
15/11/2010 00:00	7.841	7.994	7.801	7.935	15405372	EUR	
16/11/2010 00:00	7.888	7.89	7.747	7.755	23205639	EUR	
17/11/2010 00:00	7.75	7.88	7.711	7.85	16499920	EUR	
18/11/2010 00:00	7.917	8.045	7.917	8.011	26765488	EUR	
19/11/2010 00:00	8.018	8.042	7.85	7.937	16870065	EUR	
22/11/2010 00:00	8.05	8.072	7.733	7.773	22305207	EUR	
23/11/2010 00:00	7.69	7.698	7.323	7.323	45546000	EUR	
24/11/2010 00:00	7.411	7.474	7.21	7.39	29663756	EUR	
25/11/2010 00:00	7.452	7.503	7.385	7.433	15722768	EUR	
26/11/2010 00:00	7.33	7.381	7.01	7.226	37169595	EUR	
29/11/2010 00:00	7.309	7.472	6.985	7.001	38137810	EUR	
30/11/2010 00:00	7.003	7.04	6.593	6.802	56871166	EUR	
01/12/2010 00:00	6.858	7.239	6.85	7.213	44625607	EUR	
02/12/2010 00:00	7.333	7.508	7.106	7.47	48607237	EUR	
03/12/2010 00:00	7.501	7.505	7.356	7.45	28561002	EUR	
06/12/2010 00:00	7.48	7.5	7.3	7.38	18705773	EUR	
07/12/2010 00:00	7.394	7.57	7.358	7.42	26805544	EUR	
08/12/2010 00:00	7.368	7.587	7.341	7.521	21892841	EUR	
09/12/2010 00:00	7.62	7.817	7.6	7.7	39455703	EUR	
10/12/2010 00:00	7.787	7.789	7.65	7.741	20793209	EUR	
13/12/2010 00:00	7.8	7.827	7.742	7.75	14610457	EUR	
14/12/2010 00:00	7.739	7.768	7.657	7.728	16336790	EUR	
15/12/2010 00:00	7.699	7.706	7.556	7.57	20273288	EUR	
16/12/2010 00:00	7.55	7.565	7.354	7.484	22536570	EUR	
17/12/2010 00:00	7.54	7.555	7.32	7.367	27486356	EUR	
20/12/2010 00:00	7.331	7.432	7.305	7.325	12027560	EUR	
21/12/2010 00:00	7.425	7.46	7.352	7.409	11242677	EUR	
22/12/2010 00:00	7.4	7.456	7.344	7.344	10189884	EUR	
23/12/2010 00:00	7.392	7.415	7.277	7.304	8939617	EUR	
24/12/2010 00:00	7.32	7.32	7.28	7.284	973783	EUR	
27/12/2010 00:00	7.286	7.309	7.181	7.2	7619996	EUR	
28/12/2010 00:00	7.23	7.28	7.171	7.204	5905424	EUR	
29/12/2010 00:00	7.221	7.343	7.215	7.289	6818542	EUR	
30/12/2010 00:00	7.29	7.32	7.222	7.265	7305200	EUR	
31/12/2010 00:00	7.298	7.318	7.25	7.28	3120251	EUR	
03/01/2011 00:00	7.365	7.426	7.301	7.396	11457879	EUR	
04/01/2011 00:00	7.438	7.62	7.425	7.538	20323418	EUR	
05/01/2011 00:00	7.501	7.501	7.316	7.469	21917475	EUR	
06/01/2011 00:00	7.5	7.739	7.485	7.58	30977869	EUR	
07/01/2011 00:00	7.545	7.63	7.43	7.435	22196993	EUR	
10/01/2011 00:00	7.4	7.4	7.21	7.216	25031985	EUR	
11/01/2011 00:00	7.278	7.375	7.242	7.35	19555780	EUR	
12/01/2011 00:00	7.375	7.645	7.362	7.624	26164768	EUR	
