date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	1.46	1.48	1.45	1.48	13868	EUR	
11/11/2010 00:00	1.48	1.49	1.46	1.48	19062	EUR	
12/11/2010 00:00	1.45	1.45	1.4	1.43	22920	EUR	
15/11/2010 00:00	1.4	1.41	1.27	1.32	90619	EUR	
16/11/2010 00:00	1.32	1.32	1.29	1.3	29328	EUR	
17/11/2010 00:00	1.3	1.33	1.3	1.3	17156	EUR	
18/11/2010 00:00	1.3	1.42	1.29	1.39	82577	EUR	
19/11/2010 00:00	1.4	1.44	1.37	1.44	32722	EUR	
22/11/2010 00:00	1.43	1.43	1.4	1.43	15328	EUR	
23/11/2010 00:00	1.44	1.45	1.44	1.45	13761	EUR	
24/11/2010 00:00	1.46	1.46	1.39	1.46	19737	EUR	
25/11/2010 00:00	1.46	1.46	1.37	1.4	62119	EUR	
26/11/2010 00:00	1.4	1.4	1.31	1.36	48582	EUR	
29/11/2010 00:00	1.34	1.38	1.32	1.34	7279	EUR	
30/11/2010 00:00	1.32	1.34	1.29	1.33	37389	EUR	
01/12/2010 00:00	1.33	1.33	1.29	1.33	14770	EUR	
02/12/2010 00:00	1.34	1.37	1.3	1.35	22482	EUR	
03/12/2010 00:00	1.33	1.38	1.29	1.3	28706	EUR	
06/12/2010 00:00	1.31	1.32	1.29	1.32	9757	EUR	
07/12/2010 00:00	1.32	1.32	1.29	1.32	24534	EUR	
08/12/2010 00:00	1.3	1.33	1.29	1.32	15784	EUR	
09/12/2010 00:00	1.31	1.32	1.29	1.29	29715	EUR	
10/12/2010 00:00	1.29	1.3	1.25	1.29	41670	EUR	
13/12/2010 00:00	1.29	1.29	1.25	1.28	40708	EUR	
14/12/2010 00:00	1.27	1.28	1.26	1.28	16745	EUR	
15/12/2010 00:00	1.27	1.27	1.22	1.25	59975	EUR	
16/12/2010 00:00	1.25	1.25	1.2	1.22	48012	EUR	
17/12/2010 00:00	1.22	1.24	1.19	1.21	31211	EUR	
20/12/2010 00:00	1.19	1.24	1.18	1.2	27173	EUR	
21/12/2010 00:00	1.19	1.2	1.18	1.19	20874	EUR	
22/12/2010 00:00	1.19	1.2	1.17	1.18	54712	EUR	
23/12/2010 00:00	1.17	1.19	1.16	1.18	21049	EUR	
24/12/2010 00:00	1.16	1.18	1.16	1.17	16541	EUR	
27/12/2010 00:00	1.18	1.24	1.17	1.2	57599	EUR	
28/12/2010 00:00	1.19	1.19	1.17	1.17	77657	EUR	
29/12/2010 00:00	1.18	1.2	1.16	1.16	56549	EUR	
30/12/2010 00:00	1.16	1.18	1.16	1.18	13190	EUR	
31/12/2010 00:00	1.18	1.18	1.17	1.17	5673	EUR	
03/01/2011 00:00	1.17	1.22	1.17	1.2	35200	EUR	
04/01/2011 00:00	1.2	1.21	1.18	1.19	49205	EUR	
05/01/2011 00:00	1.18	1.27	1.18	1.24	115665	EUR	
06/01/2011 00:00	1.25	1.31	1.25	1.27	75049	EUR	
07/01/2011 00:00	1.29	1.29	1.26	1.29	40986	EUR	
10/01/2011 00:00	1.31	1.32	1.27	1.3	13037	EUR	
11/01/2011 00:00	1.29	1.29	1.24	1.24	22442	EUR	
12/01/2011 00:00	1.24	1.27	1.23	1.26	8617	EUR	
13/01/2011 00:00	1.28	1.34	1.28	1.28	32466	EUR	
14/01/2011 00:00	1.28	1.29	1.25	1.29	24424	EUR	
17/01/2011 00:00	1.25	1.29	1.25	1.29	4860	EUR	
18/01/2011 00:00	1.26	1.29	1.25	1.29	18004	EUR	
19/01/2011 00:00	1.26	1.29	1.26	1.28	7288	EUR	
20/01/2011 00:00	1.28	1.28	1.25	1.28	11673	EUR	
21/01/2011 00:00	1.27	1.37	1.27	1.34	153585	EUR	
24/01/2011 00:00	1.34	1.4	1.34	1.37	24234	EUR	
25/01/2011 00:00	1.35	1.38	1.34	1.38	7455	EUR	
26/01/2011 00:00	1.37	1.38	1.32	1.37	22887	EUR	
27/01/2011 00:00	1.38	1.38	1.34	1.36	5134	EUR	
28/01/2011 00:00	1.37	1.37	1.33	1.36	14599	EUR	
31/01/2011 00:00	1.31	1.34	1.29	1.31	34559	EUR	
01/02/2011 00:00	1.33	1.34	1.31	1.34	8435	EUR	
02/02/2011 00:00	1.34	1.42	1.34	1.4	151053	EUR	
03/02/2011 00:00	1.4	1.41	1.37	1.4	31723	EUR	
04/02/2011 00:00	1.4	1.4	1.36	1.36	33651	EUR	
07/02/2011 00:00	1.37	1.39	1.34	1.37	47093	EUR	
08/02/2011 00:00	1.37	1.39	1.34	1.39	9682	EUR	
09/02/2011 00:00	1.39	1.39	1.35	1.38	7957	EUR	
10/02/2011 00:00	1.35	1.37	1.31	1.36	39136	EUR	
11/02/2011 00:00	1.35	1.36	1.31	1.35	18473	EUR	
14/02/2011 00:00	1.33	1.35	1.31	1.34	12705	EUR	
15/02/2011 00:00	1.31	1.34	1.31	1.31	15439	EUR	
16/02/2011 00:00	1.3	1.35	1.3	1.34	15151	EUR	
17/02/2011 00:00	1.34	1.35	1.33	1.35	13791	EUR	
18/02/2011 00:00	1.35	1.36	1.33	1.36	19334	EUR	
21/02/2011 00:00	1.36	1.36	1.32	1.36	28707	EUR	
22/02/2011 00:00	1.35	1.35	1.3	1.33	18598	EUR	
23/02/2011 00:00	1.33	1.35	1.3	1.34	5681	EUR	
24/02/2011 00:00	1.34	1.34	1.3	1.32	6486	EUR	
25/02/2011 00:00	1.32	1.36	1.31	1.35	9893	EUR	
28/02/2011 00:00	1.36	1.47	1.34	1.39	212242	EUR	
01/03/2011 00:00	1.37	1.43	1.37	1.42	50198	EUR	
02/03/2011 00:00	1.4	1.41	1.36	1.39	31688	EUR	
03/03/2011 00:00	1.4	1.47	1.38	1.47	147742	EUR	
04/03/2011 00:00	1.54	1.56	1.43	1.47	177577	EUR	
07/03/2011 00:00	1.46	1.48	1.42	1.47	41202	EUR	
08/03/2011 00:00	1.47	1.47	1.38	1.41	47951	EUR	
09/03/2011 00:00	1.41	1.42	1.37	1.42	17476	EUR	
10/03/2011 00:00	1.41	1.41	1.37	1.4	25430	EUR	
11/03/2011 00:00	1.37	1.4	1.35	1.38	21046	EUR	
14/03/2011 00:00	1.34	1.36	1.31	1.33	32886	EUR	
15/03/2011 00:00	1.31	1.31	1.22	1.26	83182	EUR	
16/03/2011 00:00	1.26	1.28	1.25	1.24	24119	EUR	
17/03/2011 00:00	1.24	1.28	1.22	1.28	13502	EUR	
18/03/2011 00:00	1.28	1.31	1.28	1.3	15638	EUR	
21/03/2011 00:00	1.29	1.32	1.25	1.32	25494	EUR	
22/03/2011 00:00	1.35	1.35	1.27	1.3	26838	EUR	
23/03/2011 00:00	1.25	1.29	1.24	1.26	85872	EUR	
24/03/2011 00:00	1.27	1.31	1.27	1.31	39450	EUR	
25/03/2011 00:00	1.31	1.31	1.26	1.29	32834	EUR	
28/03/2011 00:00	1.27	1.31	1.26	1.31	18360	EUR	
29/03/2011 00:00	1.32	1.32	1.31	1.31	3710	EUR	
30/03/2011 00:00	1.32	1.32	1.27	1.31	21042	EUR	
31/03/2011 00:00	1.3	1.32	1.29	1.3	14949	EUR	
01/04/2011 00:00	1.32	1.32	1.28	1.32	9879	EUR	
04/04/2011 00:00	1.27	1.3	1.27	1.3	51542	EUR	
05/04/2011 00:00	1.3	1.3	1.28	1.3	6892	EUR	
06/04/2011 00:00	1.3	1.3	1.28	1.3	11179	EUR	
07/04/2011 00:00	1.31	1.31	1.27	1.3	10952	EUR	
08/04/2011 00:00	1.27	1.3	1.26	1.3	17712	EUR	
11/04/2011 00:00	1.28	1.3	1.28	1.3	6300	EUR	
12/04/2011 00:00	1.3	1.3	1.26	1.3	33734	EUR	
13/04/2011 00:00	1.3	1.38	1.29	1.36	142319	EUR	
14/04/2011 00:00	1.35	1.36	1.31	1.34	46959	EUR	
15/04/2011 00:00	1.35	1.35	1.31	1.35	32897	EUR	
18/04/2011 00:00	1.35	1.36	1.31	1.32	47689	EUR	
19/04/2011 00:00	1.32	1.35	1.31	1.35	26659	EUR	
20/04/2011 00:00	1.35	1.35	1.32	1.35	9663	EUR	
21/04/2011 00:00	1.35	1.35	1.31	1.35	53852	EUR	
