date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	24.35	24.45	24.205	24.42	223624	EUR	
11/11/2010 00:00	24.5	25.2	24.405	24.49	313826	EUR	
12/11/2010 00:00	24.375	24.375	24.11	24.25	313059	EUR	
15/11/2010 00:00	24.205	24.355	24.205	24.24	149310	EUR	
16/11/2010 00:00	24.22	24.29	24.01	24.01	187370	EUR	
17/11/2010 00:00	24.05	24.095	23.855	23.95	213007	EUR	
18/11/2010 00:00	23.99	24.2	23.88	24.195	215922	EUR	
19/11/2010 00:00	24.2	24.885	24.2	24.49	276351	EUR	
22/11/2010 00:00	24.685	24.685	24.2	24.265	203745	EUR	
23/11/2010 00:00	24.205	24.365	23.85	23.85	180614	EUR	
24/11/2010 00:00	23.84	23.94	23.47	23.555	365804	EUR	
25/11/2010 00:00	23.565	23.77	23.08	23.37	283475	EUR	
26/11/2010 00:00	23.305	23.725	23.115	23.615	293936	EUR	
29/11/2010 00:00	23.62	24	23.11	23.21	357585	EUR	
30/11/2010 00:00	23.085	23.4	22.91	23.02	1868552	EUR	
01/12/2010 00:00	23.04	23.375	23	23.07	198247	EUR	
02/12/2010 00:00	23.08	23.105	22.715	22.895	392533	EUR	
03/12/2010 00:00	22.9	23.285	22.825	23.21	341558	EUR	
06/12/2010 00:00	23.25	23.35	23.01	23.35	224260	EUR	
07/12/2010 00:00	23.385	23.6	23.3	23.3	350403	EUR	
08/12/2010 00:00	23.305	24	23.27	23.95	249843	EUR	
09/12/2010 00:00	24.1	24.395	24.04	24.35	267245	EUR	
10/12/2010 00:00	24.4	24.55	24.31	24.405	163929	EUR	
13/12/2010 00:00	24.07	24.28	23.83	23.95	238404	EUR	
14/12/2010 00:00	23.89	23.995	23.445	23.58	198013	EUR	
15/12/2010 00:00	22.815	22.815	22.07	22.3	775873	EUR	
16/12/2010 00:00	22.135	22.3	22.1	22.275	312067	EUR	
17/12/2010 00:00	22.35	22.49	22.185	22.285	208091	EUR	
20/12/2010 00:00	22.3	22.39	22.01	22.085	207161	EUR	
21/12/2010 00:00	22.1	22.635	22.1	22.6	250421	EUR	
22/12/2010 00:00	22.655	23.015	22.6	23.015	331742	EUR	
23/12/2010 00:00	23.07	23.22	22.71	22.86	124897	EUR	
24/12/2010 00:00	22.715	22.79	22.65	22.75	29568	EUR	
