date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	13.5	13.5	13.44	13.44	13433	EUR	
11/11/2010 00:00	13.495	13.5	13.28	13.28	11941	EUR	
12/11/2010 00:00	13.24	13.24	13	13	26058	EUR	
15/11/2010 00:00	13.005	13.5	13.005	13.245	10856	EUR	
16/11/2010 00:00	13.29	13.29	13.14	13.15	14890	EUR	
17/11/2010 00:00	13.12	13.25	13.11	13.135	8701	EUR	
18/11/2010 00:00	13.135	13.375	13.135	13.225	7828	EUR	
19/11/2010 00:00	13.225	13.3	13.16	13.18	3759	EUR	
22/11/2010 00:00	13.335	13.335	13.1	13.1	11809	EUR	
23/11/2010 00:00	13.1	13.1	12.85	12.855	15378	EUR	
24/11/2010 00:00	12.87	13.115	12.87	13.05	6540	EUR	
25/11/2010 00:00	13.05	13.095	13	13.05	5952	EUR	
26/11/2010 00:00	13.1	13.175	12.97	13.175	5470	EUR	
29/11/2010 00:00	13.15	13.17	13.01	13.1	12634	EUR	
30/11/2010 00:00	13.05	13.2	12.95	13.2	12760	EUR	
01/12/2010 00:00	13.195	13.69	13.15	13.43	22926	EUR	
02/12/2010 00:00	13.31	13.49	13.31	13.4	18887	EUR	
03/12/2010 00:00	13.43	13.585	12.8	12.965	35329	EUR	
06/12/2010 00:00	12.85	13.2	12.85	13.1	12532	EUR	
07/12/2010 00:00	13.15	13.2	13	13.1	7311	EUR	
08/12/2010 00:00	13.05	13.1	12.96	13.05	5359	EUR	
09/12/2010 00:00	13.045	13.2	12.92	13.2	23643	EUR	
10/12/2010 00:00	13.1	13.2	13.1	13.1	4916	EUR	
13/12/2010 00:00	13.005	13.2	12.95	13	9040	EUR	
14/12/2010 00:00	13	13.05	12.9	12.985	5440	EUR	
15/12/2010 00:00	12.985	13	12.85	13	7262	EUR	
16/12/2010 00:00	12.9	12.9	12.8	12.9	6644	EUR	
17/12/2010 00:00	12.855	12.855	12.62	12.75	12644	EUR	
20/12/2010 00:00	12.7	12.725	12.5	12.525	10247	EUR	
21/12/2010 00:00	12.61	12.85	12.6	12.8	10918	EUR	
22/12/2010 00:00	12.9	13.25	12.82	13.25	15911	EUR	
23/12/2010 00:00	13.15	13.29	13.15	13.25	10468	EUR	
24/12/2010 00:00	13.2	13.25	13	13	2520	EUR	
27/12/2010 00:00	12.95	13.05	12.8	12.995	5404	EUR	
28/12/2010 00:00	13	13	12.855	12.98	3841	EUR	
29/12/2010 00:00	12.955	13.095	12.955	13.05	1738	EUR	
30/12/2010 00:00	13.055	13.1	12.95	13	2805	EUR	
31/12/2010 00:00	13	13	12.9	12.99	991	EUR	
03/01/2011 00:00	12.9	13	12.9	13	3237	EUR	
04/01/2011 00:00	13.015	13.1	13.015	13.1	6457	EUR	
05/01/2011 00:00	13.03	13.1	12.95	13.08	11322	EUR	
06/01/2011 00:00	13.08	13.1	13	13.07	5257	EUR	
07/01/2011 00:00	13.07	13.08	12.9	12.945	4927	EUR	
10/01/2011 00:00	12.945	13	12.7	12.85	3489	EUR	
11/01/2011 00:00	12.8	12.8	12.55	12.66	13396	EUR	
12/01/2011 00:00	12.6	12.69	12.6	12.69	6388	EUR	
13/01/2011 00:00	12.68	12.69	12.51	12.6	15140	EUR	
14/01/2011 00:00	12.6	12.75	12.6	12.74	11300	EUR	
17/01/2011 00:00	12.85	13.35	12.85	13.35	39742	EUR	
18/01/2011 00:00	13.345	13.5	13.345	13.35	23888	EUR	
19/01/2011 00:00	13.6	14.18	13.6	13.9	119141	EUR	
20/01/2011 00:00	13.895	13.9	13.4	13.5	40373	EUR	
21/01/2011 00:00	13.45	13.495	13.2	13.28	14797	EUR	
24/01/2011 00:00	13.28	13.55	13.26	13.4	17026	EUR	
25/01/2011 00:00	13.35	13.5	13.2	13.215	23341	EUR	
26/01/2011 00:00	13.3	13.39	13.26	13.27	14068	EUR	
27/01/2011 00:00	13.27	13.3	13.1	13.1	20929	EUR	
28/01/2011 00:00	13.2	13.3	13.105	13.295	24774	EUR	
31/01/2011 00:00	13.15	13.55	13.15	13.32	35796	EUR	
01/02/2011 00:00	13.4	13.6	13.385	13.55	32335	EUR	
02/02/2011 00:00	13.5	13.65	13.455	13.65	19584	EUR	
03/02/2011 00:00	13.6	13.7	13.5	13.51	9735	EUR	
04/02/2011 00:00	13.595	14.4	13.595	14.22	247149	EUR	
07/02/2011 00:00	14.3	15.11	14.25	14.8	118356	EUR	
08/02/2011 00:00	14.885	15.31	14.85	15	148304	EUR	
09/02/2011 00:00	14.9	15.1	14.865	14.9	13359	EUR	
10/02/2011 00:00	14.9	14.99	14.6	14.62	19009	EUR	
11/02/2011 00:00	14.65	15	14.5	14.9	53996	EUR	
14/02/2011 00:00	15	15.1	14.6	14.735	35632	EUR	
15/02/2011 00:00	14.7	14.75	14.6	14.73	22887	EUR	
16/02/2011 00:00	14.71	15.1	14.71	15.1	44295	EUR	
17/02/2011 00:00	15.2	15.45	15.2	15.4	54288	EUR	
18/02/2011 00:00	15.4	15.4	15.2	15.35	16064	EUR	
21/02/2011 00:00	15.35	15.4	15.22	15.23	16631	EUR	
22/02/2011 00:00	15.25	15.25	15.02	15.14	30168	EUR	
23/02/2011 00:00	15.195	15.35	15.17	15.28	35600	EUR	
24/02/2011 00:00	15.225	15.3	15.2	15.205	33402	EUR	
25/02/2011 00:00	15.165	15.3	14.9	15.15	13185	EUR	
28/02/2011 00:00	15.29	15.325	15.13	15.13	23342	EUR	
01/03/2011 00:00	15.04	15.38	15	15.195	14899	EUR	
02/03/2011 00:00	15.05	15.15	14.915	15	11579	EUR	
03/03/2011 00:00	15	15.3	14.9	15	28073	EUR	
04/03/2011 00:00	15.1	15.42	15.1	15.3	77231	EUR	
07/03/2011 00:00	15.35	15.5	15.215	15.335	52608	EUR	
08/03/2011 00:00	15.205	15.27	15.145	15.2	5181	EUR	
09/03/2011 00:00	15.105	15.245	14.915	14.995	13397	EUR	
10/03/2011 00:00	15	15	14.5	14.69	54262	EUR	
11/03/2011 00:00	14.65	14.78	14.29	14.78	49404	EUR	
14/03/2011 00:00	14.765	14.8	14.65	14.65	23052	EUR	
15/03/2011 00:00	14.6	14.6	13.4	13.74	70050	EUR	
16/03/2011 00:00	13.7	13.8	13.62	13.7	28086	EUR	
17/03/2011 00:00	13.7	13.8	13.55	13.74	19320	EUR	
18/03/2011 00:00	13.75	14.345	13.75	13.925	44576	EUR	
21/03/2011 00:00	14.085	14.3	14.085	14.3	31257	EUR	
22/03/2011 00:00	14.3	14.75	14.3	14.64	32031	EUR	
23/03/2011 00:00	14.705	14.9	14.7	14.9	12307	EUR	
24/03/2011 00:00	14.95	15.05	14.9	15	24377	EUR	
25/03/2011 00:00	15.05	15.33	14.96	14.995	133649	EUR	
28/03/2011 00:00	14.995	15.255	14.955	15.145	24832	EUR	
29/03/2011 00:00	15.2	15.2	14.965	14.995	11915	EUR	
30/03/2011 00:00	15.02	15.28	14.955	15.2	40560	EUR	
31/03/2011 00:00	15.2	15.31	15.02	15.02	22894	EUR	
01/04/2011 00:00	15	15.255	14.98	15.185	16440	EUR	
04/04/2011 00:00	15.105	15.47	15.105	15.41	27910	EUR	
05/04/2011 00:00	15.48	15.62	15.41	15.52	21364	EUR	
06/04/2011 00:00	15.52	15.9	15.52	15.9	21191	EUR	
07/04/2011 00:00	15.9	16.04	15.9	15.92	42451	EUR	
08/04/2011 00:00	15.92	16.1	15.84	16.045	27981	EUR	
11/04/2011 00:00	16.01	16.04	15.9	16	22530	EUR	
12/04/2011 00:00	16	16.1	15.95	16.045	77678	EUR	
13/04/2011 00:00	16.1	16.24	16.01	16.24	18512	EUR	
14/04/2011 00:00	16.26	16.355	16.21	16.32	40410	EUR	
15/04/2011 00:00	16.36	17.595	16.31	17.58	64484	EUR	
18/04/2011 00:00	17.105	17.49	16.25	16.815	52602	EUR	
19/04/2011 00:00	16.815	17.5	16.815	17.475	57157	EUR	
20/04/2011 00:00	17.5	19.25	17.48	18	133122	EUR	
21/04/2011 00:00	18.3	18.3	17.58	17.7	29953	EUR	
26/04/2011 00:00	17.805	17.805	17.625	17.7	23967	EUR	
27/04/2011 00:00	17.7	17.7	16.86	17.47	40434	EUR	
28/04/2011 00:00	17.46	17.575	16.54	17.43	28384	EUR	
29/04/2011 00:00	17.23	17.64	17.23	17.635	25108	EUR	
02/05/2011 00:00	17.635	17.79	16.7	17.79	52761	EUR	
03/05/2011 00:00	17.8	18.885	17.77	18.215	125803	EUR	
04/05/2011 00:00	18.21	18.25	17.5	17.595	36489	EUR	
05/05/2011 00:00	17.6	18.075	17.6	17.75	37451	EUR	
06/05/2011 00:00	17.75	18.7	17.735	18.595	92458	EUR	
09/05/2011 00:00	18.53	18.9	18.515	18.9	16018	EUR	
10/05/2011 00:00	18.95	19.29	18.94	19.125	64918	EUR	
11/05/2011 00:00	19.12	19.3	19.01	19.1	18039	EUR	
12/05/2011 00:00	19	19.15	18.3	18.55	74266	EUR	
13/05/2011 00:00	18.345	18.72	18.3	18.37	34978	EUR	
16/05/2011 00:00	18.3	18.375	17.51	17.735	65378	EUR	
17/05/2011 00:00	18.365	18.45	17.535	17.535	112146	EUR	
18/05/2011 00:00	17.765	17.985	17.7	17.735	10114	EUR	
19/05/2011 00:00	17.705	17.705	17.3	17.445	34222	EUR	
20/05/2011 00:00	17.38	17.84	17.28	17.28	28603	EUR	
23/05/2011 00:00	17.28	17.28	17	17.105	17093	EUR	
24/05/2011 00:00	17.155	17.445	17.055	17.405	15226	EUR	
25/05/2011 00:00	17.445	17.445	17.06	17.11	8370	EUR	
26/05/2011 00:00	17.5	17.55	17.36	17.525	126348	EUR	
27/05/2011 00:00	17.715	17.78	17.35	17.705	25607	EUR	
30/05/2011 00:00	17.8	17.83	17.5	17.675	9409	EUR	
31/05/2011 00:00	17.615	18.235	17.615	18	55787	EUR	
01/06/2011 00:00	18.02	18.02	17.73	17.8	17000	EUR	
02/06/2011 00:00	17.72	18.065	17.55	18	52325	EUR	
03/06/2011 00:00	17.98	18.45	17.865	18	52901	EUR	
06/06/2011 00:00	18.01	18.01	17.12	17.52	32429	EUR	
