date	ouv	haut	bas	clot	vol	devise	
12/06/2018 00:00	22.3	22.3	21.77	22	104296	EUR	
13/06/2018 00:00	22.07	22.09	21.74	21.94	25536	EUR	
14/06/2018 00:00	21.97	21.99	21.7	21.99	11837	EUR	
15/06/2018 00:00	22	22.03	21.93	22.02	2217	EUR	
18/06/2018 00:00	22	22.12	21.9	22.1	6310	EUR	
19/06/2018 00:00	22	22	21.8	22	2076	EUR	
20/06/2018 00:00	22.1	22.12	21.8	22.12	5766	EUR	
21/06/2018 00:00	22	22.1	21.83	21.98	1599	EUR	
22/06/2018 00:00	22.1	22.1	21.8	22	3929	EUR	
25/06/2018 00:00	22.3	22.3	21.95	21.99	3740	EUR	
26/06/2018 00:00	21.97	21.97	21.87	21.97	1752	EUR	
27/06/2018 00:00	21.98	22.125	21.87	21.87	1411	EUR	
28/06/2018 00:00	21.87	22	21.8	21.9	5150	EUR	
29/06/2018 00:00	22	22	21.8	22	1647	EUR	
02/07/2018 00:00	22.11	22.11	21.97	22	532	EUR	
03/07/2018 00:00	21.98	21.98	21.85	21.9	537	EUR	
04/07/2018 00:00	21.91	22.015	21.89	21.89	199	EUR	
05/07/2018 00:00	21.89	21.89	21.8	21.89	2518	EUR	
06/07/2018 00:00	21.89	22.11	21.8	22.1	984	EUR	
09/07/2018 00:00	22.1	22.1	22.03	22.05	1073	EUR	
10/07/2018 00:00	22.05	22.05	21.71	21.72	1337	EUR	
11/07/2018 00:00	21.72	22.1	21.72	21.8	741	EUR	
12/07/2018 00:00	21.8	21.8	21.77	21.77	705	EUR	
13/07/2018 00:00	21.77	22.09	21.76	21.995	1240	EUR	
16/07/2018 00:00	21.995	22	21.975	21.975	1616	EUR	
17/07/2018 00:00	21.98	21.98	21.965	21.965	594	EUR	
18/07/2018 00:00	21.965	21.98	21.95	21.98	1113	EUR	
19/07/2018 00:00	21.98	22	21.97	22	725	EUR	
20/07/2018 00:00	22.005	22.02	21.99	21.99	446	EUR	
23/07/2018 00:00	22	22.05	21.99	21.99	1342	EUR	
24/07/2018 00:00	22	22	21.99	21.99	671	EUR	
25/07/2018 00:00	21.99	21.99	21.72	21.72	1690	EUR	
26/07/2018 00:00	21.72	21.73	21.72	21.72	619	EUR	
27/07/2018 00:00	21.72	21.73	21.7	21.73	572	EUR	
30/07/2018 00:00	21.74	21.75	21.7	21.75	617	EUR	
31/07/2018 00:00	21.755	21.755	21.65	21.75	1667	EUR	
01/08/2018 00:00	21.61	21.61	21.05	21.19	3156	EUR	
02/08/2018 00:00	21.17	21.17	19.2	19.88	5317	EUR	
03/08/2018 00:00	19.88	19.88	18.92	19.05	3262	EUR	
06/08/2018 00:00	18.95	18.95	18.428	18.43	3071	EUR	
07/08/2018 00:00	18.2	18.24	17.6	18.05	5540	EUR	
08/08/2018 00:00	18.092	18.15	17.55	17.7	1526	EUR	
09/08/2018 00:00	17.6	18.15	17.552	18.148	1354	EUR	
10/08/2018 00:00	18.218	18.6	18.218	18.6	1315	EUR	
13/08/2018 00:00	18.6	19.1	18.6	19	1049	EUR	
14/08/2018 00:00	19	19.43	19	19.43	808	EUR	
15/08/2018 00:00	19.43	19.7	19.352	19.588	867	EUR	
16/08/2018 00:00	19.588	19.98	19.52	19.52	947	EUR	
17/08/2018 00:00	19.6	19.67	19.14	19.16	693	EUR	
20/08/2018 00:00	19.16	19.6	19.16	19.55	1961	EUR	
21/08/2018 00:00	19.55	20.98	19.55	20.96	7011	EUR	
22/08/2018 00:00	20.96	21.6	20.93	21.4	4059	EUR	
23/08/2018 00:00	21.4	21.4	21.205	21.21	542	EUR	
24/08/2018 00:00	21.21	21.3	21.2	21.29	64	EUR	
27/08/2018 00:00	21.5	21.8	21.5	21.6	884	EUR	
28/08/2018 00:00	21.8	21.8	21.4	21.4	733	EUR	
29/08/2018 00:00	21.45	21.49	21.28	21.28	1241	EUR	
30/08/2018 00:00	21.28	21.28	20.735	21.095	1760	EUR	
31/08/2018 00:00	21	21.1	20.8	21.1	271	EUR	
03/09/2018 00:00	21.12	21.12	21	21	214	EUR	
04/09/2018 00:00	21	21	20.15	20.15	1007	EUR	
05/09/2018 00:00	20.15	20.15	19.7	19.7	592	EUR	
06/09/2018 00:00	19.65	19.85	19.61	19.8	666	EUR	
07/09/2018 00:00	19.8	19.89	19.7	19.82	454	EUR	
10/09/2018 00:00	20	20.08	20	20.08	493	EUR	
11/09/2018 00:00	20.08	20.085	20	20	194	EUR	
12/09/2018 00:00	20	20.05	19.882	19.882	414	EUR	
13/09/2018 00:00	19.882	19.9	19.882	19.9	357	EUR	
14/09/2018 00:00	19.9	19.92	19.88	19.92	441	EUR	
17/09/2018 00:00	19.92	19.92	19.85	19.85	846	EUR	
18/09/2018 00:00	19.852	19.91	19.852	19.91	145	EUR	
19/09/2018 00:00	19.912	19.912	19.85	19.87	201	EUR	
20/09/2018 00:00	19.872	19.88	19.642	19.642	1152	EUR	
21/09/2018 00:00	19.642	19.642	19.47	19.47	346	EUR	
24/09/2018 00:00	19.472	19.472	19.398	19.398	233	EUR	
25/09/2018 00:00	19.398	19.45	19.302	19.45	601	EUR	
26/09/2018 00:00	19.45	19.45	19.398	19.398	181	EUR	
27/09/2018 00:00	19.398	19.398	19.252	19.3	862	EUR	
28/09/2018 00:00	19.3	19.3	18.71	19.1	2995	EUR	
01/10/2018 00:00	18.902	18.902	18.24	18.498	1412	EUR	
02/10/2018 00:00	18.498	18.518	17.64	17.64	4163	EUR	
03/10/2018 00:00	17.64	18.084	17.64	18	494	EUR	
04/10/2018 00:00	18.186	18.186	17.602	17.748	1464	EUR	
05/10/2018 00:00	17.748	17.748	15.21	15.74	5408	EUR	
08/10/2018 00:00	15.74	16.102	14.28	15.5	6990	EUR	
09/10/2018 00:00	15.398	15.58	14.5	15.5	3360	EUR	
10/10/2018 00:00	15.5	15.748	15.5	15.6	4393	EUR	
11/10/2018 00:00	15.6	15.64	14.8	14.8	3626	EUR	
12/10/2018 00:00	14.8	15	14.8	15	803	EUR	
15/10/2018 00:00	15	15.288	15	15.19	1568	EUR	
16/10/2018 00:00	15.19	15.19	14.9	14.95	2676	EUR	
17/10/2018 00:00	14.99	15.058	14.99	15.058	1052	EUR	
18/10/2018 00:00	15.05	15.1	14.95	15.05	1998	EUR	
19/10/2018 00:00	15.05	15.05	14.94	15	1946	EUR	
22/10/2018 00:00	15	15.01	14.95	14.95	573	EUR	
23/10/2018 00:00	14.95	15	14.878	14.88	1156	EUR	
24/10/2018 00:00	14.88	14.88	14.76	14.76	597	EUR	
25/10/2018 00:00	14.47	14.47	13.5	13.5	3492	EUR	
26/10/2018 00:00	13.5	13.5	10.6	11.888	10460	EUR	
29/10/2018 00:00	11.87	12.64	11.87	12.64	1153	EUR	
30/10/2018 00:00	12.884	13.25	12.884	13.25	1245	EUR	
31/10/2018 00:00	13.3	14.07	13.3	13.8	3521	EUR	
01/11/2018 00:00	13.85	13.95	13.68	13.68	1092	EUR	
02/11/2018 00:00	13.69	13.7	13.59	13.7	676	EUR	
05/11/2018 00:00	13.7	13.998	13.7	13.998	767	EUR	
06/11/2018 00:00	13.998	14.4	13.99	14.4	1506	EUR	
07/11/2018 00:00	14.4	14.88	14.4	14.56	1848	EUR	
08/11/2018 00:00	14.56	14.95	14.5	14.85	4839	EUR	
09/11/2018 00:00	14.85	14.85	14.53	14.53	1695	EUR	
12/11/2018 00:00	14.64	14.68	14.05	14.25	3390	EUR	
13/11/2018 00:00	14.25	14.25	13.65	13.866	3052	EUR	
14/11/2018 00:00	13.866	13.866	13.45	13.45	1159	EUR	
15/11/2018 00:00	13.45	13.518	13.42	13.42	206	EUR	
16/11/2018 00:00	13.42	13.42	12.4	12.4	3567	EUR	
19/11/2018 00:00	12.4	12.436	11.89	11.998	1489	EUR	
20/11/2018 00:00	12	12	11.41	11.41	981	EUR	
21/11/2018 00:00	11.41	11.55	11.41	11.5	340	EUR	
22/11/2018 00:00	11.5	11.7	11.5	11.698	666	EUR	
23/11/2018 00:00	11.698	11.698	11.666	11.67	1365	EUR	
26/11/2018 00:00	11.68	11.8	11.64	11.8	2116	EUR	
27/11/2018 00:00	11.8	11.96	11.8	11.96	671	EUR	
28/11/2018 00:00	11.96	12.25	11.96	12.1	1112	EUR	
29/11/2018 00:00	12.1	12.17	12.02	12.02	4217	EUR	
30/11/2018 00:00	12.02	12.05	12.02	12.05	396	EUR	
03/12/2018 00:00	12.05	12.05	12.04	12.04	740	EUR	
04/12/2018 00:00	12.04	12.07	12.02	12.07	835	EUR	
05/12/2018 00:00	12.04	12.08	11.98	11.98	815	EUR	
06/12/2018 00:00	11.98	11.98	11.61	11.708	3252	EUR	
07/12/2018 00:00	11.708	11.708	11.402	11.402	1475	EUR	
10/12/2018 00:00	11.402	11.402	10.86	11.07	1116	EUR	
11/12/2018 00:00	11	11	10.51	10.53	3211	EUR	
12/12/2018 00:00	10.53	10.53	9.55	10.448	3626	EUR	
13/12/2018 00:00	10.448	10.49	9.9	10.4	4725	EUR	
14/12/2018 00:00	10.4	10.55	10.4	10.55	1152	EUR	
17/12/2018 00:00	10.682	10.8	10.372	10.8	3161	EUR	
18/12/2018 00:00	10.8	11.194	10.8	11	3158	EUR	
19/12/2018 00:00	11.002	11.002	10.85	10.96	2392	EUR	
20/12/2018 00:00	10.96	11.22	10.78	11.22	6370	EUR	
21/12/2018 00:00	11.25	11.35	11.12	11.3	1877	EUR	
24/12/2018 00:00	11.15	11.2	10.9	10.9	1615	EUR	
27/12/2018 00:00	11.116	11.7	11.116	11.552	3075	EUR	
28/12/2018 00:00	11.7	11.74	11.45	11.45	1489	EUR	
31/12/2018 00:00	11.5	11.5	11.45	11.45	246	EUR	
02/01/2019 00:00	11.55	11.55	11.55	11.55	61	EUR	
03/01/2019 00:00	11.55	11.55	11.5	11.5	40	EUR	
04/01/2019 00:00	11.5	11.96	11.45	11.56	2718	EUR	
07/01/2019 00:00	11.6	11.68	11.56	11.56	261	EUR	
08/01/2019 00:00	11.56	11.864	11.56	11.72	1440	EUR	
09/01/2019 00:00	12.04	13.2	12.038	12.898	14294	EUR	
10/01/2019 00:00	13.2	13.986	13.198	13.984	3447	EUR	
11/01/2019 00:00	13.986	14.2	13.96	14.11	1320	EUR	
14/01/2019 00:00	14.3	14.35	13.96	13.96	1598	EUR	
15/01/2019 00:00	13.96	13.96	13.86	13.86	418	EUR	
16/01/2019 00:00	14.132	15.5	13.8	15.1	11651	EUR	
17/01/2019 00:00	15.7	15.8	15.5	15.6	3079	EUR	
18/01/2019 00:00	15.9	17	15.8	16.4	6676	EUR	
21/01/2019 00:00	17.2	17.5	17	17.38	6669	EUR	
22/01/2019 00:00	17.44	18.498	17.44	18	11488	EUR	
23/01/2019 00:00	17.8	17.8	16.5	16.85	11147	EUR	
24/01/2019 00:00	17.1	17.5	16.998	17.07	3408	EUR	
25/01/2019 00:00	17.08	17.31	17.08	17.2	1979	EUR	
28/01/2019 00:00	17.496	17.648	17.302	17.5	3165	EUR	
29/01/2019 00:00	17.5	17.5	17.2	17.378	2895	EUR	
30/01/2019 00:00	17.378	17.4	17	17.198	4213	EUR	
31/01/2019 00:00	17.198	17.43	17	17	1976	EUR	
01/02/2019 00:00	17	17.258	17	17.05	2284	EUR	
04/02/2019 00:00	17.05	17.36	17.05	17.36	1940	EUR	
05/02/2019 00:00	17.2	17.698	17.2	17.5	1742	EUR	
06/02/2019 00:00	17.7	17.9	17.17	17.17	3212	EUR	
07/02/2019 00:00	17.1	17.75	17.1	17.17	2050	EUR	
08/02/2019 00:00	17.17	17.258	16.85	16.85	1281	EUR	
11/02/2019 00:00	16.86	17.124	16.86	16.9	1284	EUR	
12/02/2019 00:00	16.9	17	16.872	16.9	1190	EUR	
13/02/2019 00:00	16.86	16.88	15.9	16	2390	EUR	
14/02/2019 00:00	16.306	16.4	16.02	16.09	944	EUR	
15/02/2019 00:00	16.09	16.1	15.9	15.9	1262	EUR	
18/02/2019 00:00	15.95	16.294	15.95	16.1	1104	EUR	
19/02/2019 00:00	16.1	16.1	16.1	16.1	61	EUR	
20/02/2019 00:00	16.102	16.402	16.1	16.248	1088	EUR	
21/02/2019 00:00	16.3	16.578	16.3	16.578	1899	EUR	
22/02/2019 00:00	16.578	16.7	16.362	16.55	782	EUR	
25/02/2019 00:00	16.78	17.1	16.77	17.1	925	EUR	
26/02/2019 00:00	17.43	17.43	16.65	17.1	1628	EUR	
27/02/2019 00:00	17.24	18.2	17.24	17.62	3884	EUR	
28/02/2019 00:00	17.7	18.08	17.7	17.98	1742	EUR	
01/03/2019 00:00	18.06	18.06	17.9	17.9	568	EUR	
04/03/2019 00:00	17.9	18.04	17.87	17.87	560	EUR	
05/03/2019 00:00	17.87	17.87	17.4	17.678	1334	EUR	
06/03/2019 00:00	17.678	17.678	17.33	17.598	856	EUR	
07/03/2019 00:00	17.6	17.6	17.05	17.05	887	EUR	
08/03/2019 00:00	17.378	17.378	16.7	16.7	970	EUR	
11/03/2019 00:00	16.7	16.702	16.62	16.62	600	EUR	
12/03/2019 00:00	16.62	16.62	15.62	15.994	1519	EUR	
13/03/2019 00:00	15.994	15.994	15.8	15.85	881	EUR	
14/03/2019 00:00	17.284	17.58	16.9	17.048	4350	EUR	
15/03/2019 00:00	17.1	17.1	16.7	16.7	1683	EUR	
18/03/2019 00:00	16.7	17.02	16.6	16.6	1164	EUR	
19/03/2019 00:00	16.6	16.6	16.43	16.43	243	EUR	
20/03/2019 00:00	16.43	16.43	16.3	16.3	547	EUR	
21/03/2019 00:00	16.3	16.3	16.1	16.2	514	EUR	
22/03/2019 00:00	16.2	16.35	16.2	16.202	602	EUR	
25/03/2019 00:00	16.202	16.202	16	16.144	944	EUR	
26/03/2019 00:00	16.35	16.35	16.08	16.08	363	EUR	
27/03/2019 00:00	16.08	16.08	15.8	15.9	1928	EUR	
28/03/2019 00:00	15.9	15.98	15.9	15.9	315	EUR	
29/03/2019 00:00	15.9	15.9	15.72	15.72	2470	EUR	
01/04/2019 00:00	15.7	15.85	15.7	15.75	675	EUR	
02/04/2019 00:00	15.75	15.85	15.7	15.7	529	EUR	
03/04/2019 00:00	15.75	15.75	15.25	15.3	1264	EUR	
04/04/2019 00:00	15.3	15.4	15.25	15.4	229	EUR	
