date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	27.3	27.37	26.615	26.73	398376	EUR	
11/11/2010 00:00	26.68	26.84	26.07	26.09	325146	EUR	
12/11/2010 00:00	26	26.25	25.8	26.155	254600	EUR	
15/11/2010 00:00	26.005	26.595	25.95	26.56	365841	EUR	
16/11/2010 00:00	26.35	26.495	25.975	25.975	219159	EUR	
17/11/2010 00:00	25.9	26.18	25.66	25.855	294508	EUR	
18/11/2010 00:00	26.1	26.2	25.7	26.045	303207	EUR	
19/11/2010 00:00	26.105	26.265	25.615	25.89	334178	EUR	
22/11/2010 00:00	26	26.155	25.4	25.465	305255	EUR	
23/11/2010 00:00	25.325	25.55	24.705	24.705	336161	EUR	
24/11/2010 00:00	24.72	25.03	24.44	24.865	414708	EUR	
25/11/2010 00:00	24.9	25.45	24.805	25.45	323959	EUR	
26/11/2010 00:00	25.2	25.42	25	25.03	237537	EUR	
29/11/2010 00:00	25.21	25.415	24.79	24.79	395798	EUR	
30/11/2010 00:00	24.83	24.96	24.2	24.3	377504	EUR	
01/12/2010 00:00	24.6	25.295	24.305	25.28	425258	EUR	
02/12/2010 00:00	25.5	26.395	25.355	26.395	716948	EUR	
03/12/2010 00:00	26.395	26.455	26.075	26.19	354142	EUR	
06/12/2010 00:00	26.1	26.295	25.865	26.295	188818	EUR	
07/12/2010 00:00	26.295	26.735	26.2	26.735	249203	EUR	
08/12/2010 00:00	26.685	26.95	26.495	26.81	203360	EUR	
09/12/2010 00:00	26.975	26.98	26.46	26.645	262395	EUR	
10/12/2010 00:00	26.645	26.795	26.56	26.625	187543	EUR	
13/12/2010 00:00	26.745	26.78	26.62	26.65	206759	EUR	
14/12/2010 00:00	26.53	27.07	26.53	27.07	224809	EUR	
15/12/2010 00:00	26.96	27.2	26.9	27.125	207968	EUR	
16/12/2010 00:00	27.17	27.305	26.935	27.105	298404	EUR	
17/12/2010 00:00	27.24	27.385	26.795	26.87	488434	EUR	
20/12/2010 00:00	26.745	27.215	26.715	27.18	212324	EUR	
21/12/2010 00:00	27.3	27.38	26.98	27.2	186869	EUR	
22/12/2010 00:00	27.36	27.36	26.885	27.05	189324	EUR	
23/12/2010 00:00	27	27.145	26.99	27.07	116387	EUR	
24/12/2010 00:00	27.02	27.035	26.865	27.01	21281	EUR	
27/12/2010 00:00	26.905	26.99	26.5	26.89	80732	EUR	
28/12/2010 00:00	26.9	27.135	26.88	27.1	69110	EUR	
29/12/2010 00:00	27.15	27.475	27.135	27.475	143019	EUR	
30/12/2010 00:00	27.385	27.47	26.985	27	184857	EUR	
31/12/2010 00:00	27.105	27.15	26.825	26.995	37120	EUR	
03/01/2011 00:00	27.225	27.64	26.99	27.64	179454	EUR	
04/01/2011 00:00	27.76	27.85	27.415	27.715	327911	EUR	
05/01/2011 00:00	27.71	27.8	27.585	27.76	340121	EUR	
06/01/2011 00:00	27.78	27.84	27.22	27.26	249205	EUR	
07/01/2011 00:00	27.27	27.51	26.93	27.095	263381	EUR	
10/01/2011 00:00	27.1	27.2	26.3	26.325	289313	EUR	
11/01/2011 00:00	26.505	26.65	26.125	26.5	229169	EUR	
12/01/2011 00:00	26.39	26.85	26.3	26.85	460244	EUR	
13/01/2011 00:00	26.95	27	26.7	26.94	282303	EUR	
14/01/2011 00:00	26.99	27.45	26.8	27.44	344547	EUR	
17/01/2011 00:00	27.49	27.62	27.05	27.19	220147	EUR	
18/01/2011 00:00	27.3	27.72	27.19	27.22	287080	EUR	
19/01/2011 00:00	27.215	27.35	26.805	26.805	229605	EUR	
20/01/2011 00:00	26.755	27	26.51	26.585	239969	EUR	
21/01/2011 00:00	26.7	26.8	26.285	26.285	367462	EUR	
24/01/2011 00:00	26.555	26.8	26.285	26.31	315870	EUR	
25/01/2011 00:00	26.495	26.55	26.18	26.2	295786	EUR	
26/01/2011 00:00	26.45	26.835	26.33	26.565	356171	EUR	
27/01/2011 00:00	26.505	26.99	26.455	26.9	194930	EUR	
28/01/2011 00:00	26.925	27.345	26.82	26.9	202435	EUR	
31/01/2011 00:00	26.935	26.965	26.53	26.56	288515	EUR	
01/02/2011 00:00	26.8	27.39	26.675	27.345	289492	EUR	
02/02/2011 00:00	27.35	27.465	27.14	27.22	255349	EUR	
03/02/2011 00:00	27.245	27.425	27.19	27.38	209871	EUR	
04/02/2011 00:00	27.4	27.615	27.345	27.555	262951	EUR	
07/02/2011 00:00	27.5	27.655	27.175	27.195	294061	EUR	
08/02/2011 00:00	27.445	27.455	27.19	27.45	236702	EUR	
09/02/2011 00:00	27.475	28	27.45	27.81	405256	EUR	
10/02/2011 00:00	27.715	28.22	27.35	27.405	543820	EUR	
11/02/2011 00:00	27.54	27.745	27.2	27.68	262557	EUR	
14/02/2011 00:00	27.885	28.1	27.555	27.995	278692	EUR	
15/02/2011 00:00	27.89	28.25	27.885	28.215	319720	EUR	
16/02/2011 00:00	28.25	28.39	28.13	28.26	573659	EUR	
17/02/2011 00:00	28.25	28.49	28.225	28.445	255451	EUR	
18/02/2011 00:00	28.455	28.66	28.445	28.505	395335	EUR	
21/02/2011 00:00	28.36	28.655	28.22	28.27	263014	EUR	
22/02/2011 00:00	28.1	28.315	27.65	28.025	488828	EUR	
23/02/2011 00:00	27.915	28.26	27.71	27.71	273246	EUR	
24/02/2011 00:00	27.6	27.81	27.4	27.59	263804	EUR	
25/02/2011 00:00	27.4	27.87	27.275	27.755	325506	EUR	
28/02/2011 00:00	27.78	28.375	27.7	28.265	444213	EUR	
01/03/2011 00:00	28.455	28.5	27.87	28.19	429284	EUR	
02/03/2011 00:00	28.02	28.175	27.705	27.8	372345	EUR	
03/03/2011 00:00	28.045	28.15	27.6	28.15	325215	EUR	
04/03/2011 00:00	28.2	28.5	28.03	28.295	379695	EUR	
07/03/2011 00:00	28.215	28.5	28.04	28.21	330681	EUR	
08/03/2011 00:00	28.335	28.44	28.065	28.425	298837	EUR	
09/03/2011 00:00	28.445	28.58	28.35	28.55	379856	EUR	
10/03/2011 00:00	28.4	28.64	28.205	28.33	306495	EUR	
11/03/2011 00:00	28.21	28.25	27.905	27.985	239997	EUR	
14/03/2011 00:00	27.765	27.975	27.56	27.65	268985	EUR	
15/03/2011 00:00	27.14	27.5	26.515	26.795	495995	EUR	
16/03/2011 00:00	26.865	26.88	26.1	26.12	403470	EUR	
17/03/2011 00:00	26.315	27.05	26.155	27.045	345640	EUR	
18/03/2011 00:00	27.245	27.475	26.945	27.07	420030	EUR	
21/03/2011 00:00	27.4	27.965	27.21	27.955	298270	EUR	
22/03/2011 00:00	27.98	28.21	27.3	27.705	298258	EUR	
23/03/2011 00:00	27.6	28.09	27.54	28.06	437588	EUR	
24/03/2011 00:00	27.9	28.65	27.9	28.65	358761	EUR	
25/03/2011 00:00	28.66	28.78	28.38	28.555	263272	EUR	
28/03/2011 00:00	28.545	28.9	28.445	28.75	467343	EUR	
29/03/2011 00:00	28.75	28.85	28.595	28.74	435196	EUR	
30/03/2011 00:00	28.85	29.11	28.615	28.63	535119	EUR	
31/03/2011 00:00	28.6	28.92	28.6	28.64	506251	EUR	
01/04/2011 00:00	28.64	28.945	28.225	28.895	585800	EUR	
04/04/2011 00:00	28.89	29	28.72	28.725	337837	EUR	
05/04/2011 00:00	28.72	28.905	28.665	28.735	422469	EUR	
06/04/2011 00:00	28.85	28.85	28.39	28.5	424555	EUR	
07/04/2011 00:00	28.59	28.595	27.77	27.77	473565	EUR	
