date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	18.25	18.25	18.25	18.25	10	EUR	
11/11/2010 00:00	18.25	18.25	18.25	18.25	13	EUR	
12/11/2010 00:00	17.5	18	17.5	18	1077	EUR	
15/11/2010 00:00	18.01	18.01	18	18	21	EUR	
16/11/2010 00:00	18	18	17.8	17.8	110	EUR	
17/11/2010 00:00	17.8	17.8	17.2	17.2	479	EUR	
18/11/2010 00:00	17	17.8	16.95	17.4	1322	EUR	
19/11/2010 00:00	17.4	17.6	17.4	17.6	95	EUR	
22/11/2010 00:00	17.6	17.6	17.6	17.6	1	EUR	
23/11/2010 00:00	17.6	17.6	17.45	17.45	347	EUR	
24/11/2010 00:00	17.45	17.45	17.23	17.23	151	EUR	
25/11/2010 00:00	17.23	17.23	17.23	17.23	1	EUR	
26/11/2010 00:00	17.23	17.24	17.23	17.24	46	EUR	
29/11/2010 00:00	17.15	17.15	17.15	17.15	45	EUR	
30/11/2010 00:00	17.1	17.1	16.8	16.8	615	EUR	
01/12/2010 00:00	16.8	16.8	16.65	16.65	4710	EUR	
02/12/2010 00:00	16.65	16.65	16.36	16.65	203	EUR	
03/12/2010 00:00	16.65	16.65	16.5	16.5	61	EUR	
06/12/2010 00:00	16.5	16.5	16.5	16.5	180	EUR	
07/12/2010 00:00	16.49	16.5	16.35	16.5	607	EUR	
08/12/2010 00:00	16.5	16.65	16.5	16.6	2926	EUR	
09/12/2010 00:00	16.51	16.51	16.51	16.51	90	EUR	
10/12/2010 00:00	16.5	17.1	16.5	17.1	1829	EUR	
13/12/2010 00:00	17.25	17.66	17.25	17.66	301	EUR	
14/12/2010 00:00	17.66	17.9	17.06	17.9	2333	EUR	
15/12/2010 00:00	17.96	18	17.65	18	845	EUR	
16/12/2010 00:00	18.01	18.01	18.01	18.01	72	EUR	
17/12/2010 00:00	18.01	18.01	17.47	18	1166	EUR	
20/12/2010 00:00	17.63	18.04	17.59	18.01	1162	EUR	
21/12/2010 00:00	17.56	17.98	17.56	17.97	653	EUR	
22/12/2010 00:00	18	18	16.52	16.65	3907	EUR	
23/12/2010 00:00	16.44	16.76	16.4	16.75	10825	EUR	
24/12/2010 00:00	16.75	16.9	16.55	16.9	1181	EUR	
27/12/2010 00:00	16.9	16.9	16.6	16.6	37	EUR	
28/12/2010 00:00	16.6	16.9	16.6	16.66	1075	EUR	
29/12/2010 00:00	16.66	17.45	16.66	17.45	1654	EUR	
30/12/2010 00:00	17.45	17.88	17.31	17.8	14996	EUR	
31/12/2010 00:00	17.8	18.48	17.8	18.48	1451	EUR	
03/01/2011 00:00	18.3	18.5	18.13	18.25	1007	EUR	
04/01/2011 00:00	18.27	19.78	18.27	19.36	13208	EUR	
05/01/2011 00:00	19.68	19.7	19.41	19.64	1839	EUR	
06/01/2011 00:00	19.75	19.75	19.7	19.7	738	EUR	
07/01/2011 00:00	19.7	19.85	19.7	19.85	820	EUR	
10/01/2011 00:00	20	21	19.95	21	7820	EUR	
11/01/2011 00:00	20.86	20.86	19.95	20.29	3831	EUR	
12/01/2011 00:00	20.29	20.55	19.96	19.96	4715	EUR	
13/01/2011 00:00	19.96	20.3	19.96	20.3	305	EUR	
14/01/2011 00:00	20.34	20.34	19.97	19.97	930	EUR	
17/01/2011 00:00	20.01	20.25	20	20.2	1748	EUR	
18/01/2011 00:00	20.2	20.3	19.85	19.85	2125	EUR	
19/01/2011 00:00	19.76	20.1	19.76	20.02	350	EUR	
20/01/2011 00:00	20.02	20.07	19.2	19.65	1139	EUR	
21/01/2011 00:00	19.2	19.21	18.55	19.19	3920	EUR	
24/01/2011 00:00	18.8	19.35	18.8	19.35	520	EUR	
25/01/2011 00:00	19.35	19.5	19.35	19.5	114	EUR	
26/01/2011 00:00	19.5	19.5	19.21	19.25	731	EUR	
27/01/2011 00:00	19.24	19.24	19.1	19.1	125	EUR	
28/01/2011 00:00	19.1	19.22	18.7	19.22	1296	EUR	
31/01/2011 00:00	19.22	19.24	19.22	19.24	238	EUR	
01/02/2011 00:00	19.24	19.24	18.86	19.22	1085	EUR	
02/02/2011 00:00	19.23	19.85	18.85	19.85	3609	EUR	
03/02/2011 00:00	20	20.3	20	20.3	4021	EUR	
04/02/2011 00:00	20.3	20.45	20.2	20.45	2280	EUR	
07/02/2011 00:00	20.65	20.8	20.25	20.25	1155	EUR	
08/02/2011 00:00	20.29	20.29	20.18	20.18	821	EUR	
09/02/2011 00:00	20.18	20.18	19.96	19.96	1038	EUR	
10/02/2011 00:00	20.3	20.3	19.92	19.92	585	EUR	
11/02/2011 00:00	20.28	20.28	19.91	19.91	244	EUR	
14/02/2011 00:00	20.27	20.28	19.85	20.28	2724	EUR	
15/02/2011 00:00	20.27	20.3	20.27	20.3	1445	EUR	
16/02/2011 00:00	20.77	20.8	20.35	20.8	2606	EUR	
17/02/2011 00:00	20.8	20.9	20.6	20.6	848	EUR	
18/02/2011 00:00	20.6	20.6	20.35	20.35	451	EUR	
21/02/2011 00:00	20.74	20.74	20.65	20.65	157	EUR	
22/02/2011 00:00	20.74	20.74	20.3	20.3	542	EUR	
23/02/2011 00:00	20.1	20.1	19.91	20	656	EUR	
24/02/2011 00:00	20.03	20.03	20.03	20.03	1	EUR	
25/02/2011 00:00	20.03	20.03	19.91	19.99	4273	EUR	
28/02/2011 00:00	19.99	20.9	19.99	20.55	1247	EUR	
01/03/2011 00:00	20.51	20.9	20.51	20.9	499	EUR	
02/03/2011 00:00	20.3	20.35	19.92	20.3	2298	EUR	
03/03/2011 00:00	20.2	20.2	19.92	19.92	577	EUR	
04/03/2011 00:00	19.9	19.9	19.02	19.15	2398	EUR	
07/03/2011 00:00	19	19	18.33	18.95	1386	EUR	
08/03/2011 00:00	18.95	18.95	18.95	18.95	1	EUR	
09/03/2011 00:00	18.95	19.19	18.8	18.83	878	EUR	
