date	ouv	haut	bas	clot	vol	devise	
10/07/2015 00:00	66.38	69.33	66.38	69.33	4717	EUR	
13/07/2015 00:00	67.52	67.7	67.09	67.31	110861	EUR	
14/07/2015 00:00	66.67	67.77	66.3	67.77	438489	EUR	
15/07/2015 00:00	68	69.12	67.59	68.29	808340	EUR	
16/07/2015 00:00	69.01	70.27	68.65	68.79	642702	EUR	
17/07/2015 00:00	68.75	68.94	67.9	68.19	387919	EUR	
20/07/2015 00:00	68.18	68.39	67.04	67.25	363175	EUR	
21/07/2015 00:00	67.55	67.72	66.59	66.59	354392	EUR	
22/07/2015 00:00	66.36	66.74	65.09	65.43	555783	EUR	
23/07/2015 00:00	65.71	65.78	64.89	65.11	452806	EUR	
24/07/2015 00:00	64.76	65.42	64.16	64.16	443070	EUR	
27/07/2015 00:00	63.33	63.87	61.5	61.5	628893	EUR	
28/07/2015 00:00	61.58	62.16	61.05	61.97	577490	EUR	
29/07/2015 00:00	60.43	62.33	58	61.65	797426	EUR	
30/07/2015 00:00	60.94	60.94	59.76	60.39	416072	EUR	
31/07/2015 00:00	60.57	60.95	60.06	60.06	311315	EUR	
03/08/2015 00:00	60.31	61.81	59.93	60.24	560867	EUR	
04/08/2015 00:00	59.98	61.16	59.98	60.57	424277	EUR	
05/08/2015 00:00	60.89	61.85	60.89	61.41	292801	EUR	
06/08/2015 00:00	61.15	61.53	60.63	60.71	252397	EUR	
07/08/2015 00:00	60.57	61.2	60.4	60.63	241550	EUR	
10/08/2015 00:00	60.52	61.52	60.22	61.52	302592	EUR	
11/08/2015 00:00	61.56	61.56	60.68	60.9	261214	EUR	
12/08/2015 00:00	60.34	60.56	58.42	58.6	449490	EUR	
13/08/2015 00:00	59.84	59.84	58.17	58.44	305766	EUR	
14/08/2015 00:00	58.19	58.2	57.28	57.28	342095	EUR	
17/08/2015 00:00	57.45	58.51	57.45	58.26	317933	EUR	
18/08/2015 00:00	58.17	58.99	57.8	58.46	157228	EUR	
19/08/2015 00:00	58.2	58.38	57.22	57.22	177009	EUR	
20/08/2015 00:00	57.2	57.22	55.71	55.84	350820	EUR	
21/08/2015 00:00	55.09	55.26	53.25	53.25	503275	EUR	
24/08/2015 00:00	51.82	53.01	49.97	51.42	608456	EUR	
25/08/2015 00:00	51.96	53.92	51.62	53.22	601764	EUR	
26/08/2015 00:00	52.07	52.79	51.52	52.38	486223	EUR	
27/08/2015 00:00	53.81	54.89	53.29	54.12	592261	EUR	
28/08/2015 00:00	53.9	54.44	53.12	54.44	315010	EUR	
31/08/2015 00:00	54.35	54.35	53.35	53.94	300367	EUR	
