date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	88.49	88.5	85	85	2402	EUR	
11/11/2010 00:00	84	84.9	82.36	83.05	6227	EUR	
12/11/2010 00:00	83	83	79	81	7487	EUR	
15/11/2010 00:00	81	81.1	80.25	80.5	3622	EUR	
16/11/2010 00:00	81	81	80.5	80.61	928	EUR	
17/11/2010 00:00	81.75	82.5	81	81.03	4461	EUR	
18/11/2010 00:00	81	81	80	80	1348	EUR	
19/11/2010 00:00	81	81	80	80	1094	EUR	
22/11/2010 00:00	80	80.45	77.25	78	3428	EUR	
23/11/2010 00:00	78	78.7	78	78.7	2247	EUR	
24/11/2010 00:00	78.39	78.5	76.35	77.5	3508	EUR	
25/11/2010 00:00	77	77.39	76.02	76.65	1991	EUR	
26/11/2010 00:00	75.5	77.25	75	77	2686	EUR	
29/11/2010 00:00	77	77.5	77	77	376	EUR	
30/11/2010 00:00	77.01	79.95	76.64	79.95	2396	EUR	
01/12/2010 00:00	80.41	81	76	78.9	4933	EUR	
02/12/2010 00:00	78.5	78.72	76	77.7	5525	EUR	
03/12/2010 00:00	76.02	77.99	75.06	77.5	7472	EUR	
06/12/2010 00:00	77.5	82	77.5	81.37	5658	EUR	
07/12/2010 00:00	81	84.36	81	83.5	3768	EUR	
08/12/2010 00:00	84.99	85	83.5	83.7	2106	EUR	
09/12/2010 00:00	83.75	84	79.5	82.45	2543	EUR	
10/12/2010 00:00	82.45	83	81.05	82	3486	EUR	
13/12/2010 00:00	82	82.23	80.05	81.37	4447	EUR	
14/12/2010 00:00	81.37	81.6	80.5	80.5	2989	EUR	
15/12/2010 00:00	81	81.95	80.88	81.95	1561	EUR	
16/12/2010 00:00	81.94	81.94	81.01	81.76	1629	EUR	
17/12/2010 00:00	81.8	82.2	81	82.2	2196	EUR	
20/12/2010 00:00	82.23	82.47	81.5	82	816	EUR	
21/12/2010 00:00	83.43	83.49	82.01	83.35	1306	EUR	
22/12/2010 00:00	83.5	84	82.01	84	4279	EUR	
23/12/2010 00:00	83.5	84	83	84	6241	EUR	
24/12/2010 00:00	83.55	84	79.8	81.64	4203	EUR	
27/12/2010 00:00	80.41	81	78	81	6721	EUR	
28/12/2010 00:00	81.5	81.5	78.5	78.5	1800	EUR	
