date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	28.935	29.25	28.74	29.17	576172	EUR	
11/11/2010 00:00	29.29	29.29	28.715	29.05	377855	EUR	
12/11/2010 00:00	28.7	28.9	28.395	28.58	630159	EUR	
15/11/2010 00:00	28.41	28.995	28.395	28.97	221195	EUR	
16/11/2010 00:00	28.9	28.915	28.525	28.565	355409	EUR	
17/11/2010 00:00	28.44	28.875	28.44	28.805	325912	EUR	
18/11/2010 00:00	28.84	29.345	28.84	29.255	508285	EUR	
19/11/2010 00:00	29.25	29.295	28.98	29.22	439909	EUR	
22/11/2010 00:00	29.31	29.52	28.96	29.32	562263	EUR	
23/11/2010 00:00	29.15	29.265	28.75	28.94	458473	EUR	
24/11/2010 00:00	29.095	29.96	28.885	29.78	920388	EUR	
25/11/2010 00:00	29.825	29.93	29.295	29.38	460097	EUR	
26/11/2010 00:00	29.255	29.575	29.055	29.36	368925	EUR	
29/11/2010 00:00	29.42	29.555	28.825	28.88	423680	EUR	
30/11/2010 00:00	28.82	29.405	28.555	29.405	2149972	EUR	
01/12/2010 00:00	29.845	29.985	29.205	29.985	390842	EUR	
02/12/2010 00:00	29.815	31.13	29.775	31.08	657206	EUR	
03/12/2010 00:00	31.135	31.3	30.505	30.835	429093	EUR	
06/12/2010 00:00	30.93	31.51	30.81	31.51	494981	EUR	
07/12/2010 00:00	31.51	32	31.395	31.98	449947	EUR	
08/12/2010 00:00	31.875	32.085	31.435	31.765	406957	EUR	
09/12/2010 00:00	31.995	32.055	31.13	31.21	451947	EUR	
10/12/2010 00:00	31.315	31.575	31.115	31.265	459939	EUR	
13/12/2010 00:00	31.135	31.695	31	31.59	445849	EUR	
14/12/2010 00:00	31.5	31.76	31.395	31.695	525780	EUR	
15/12/2010 00:00	31.725	31.86	31.385	31.465	353100	EUR	
16/12/2010 00:00	31.31	31.46	31.05	31.16	443138	EUR	
17/12/2010 00:00	31.515	31.95	31.34	31.495	760859	EUR	
20/12/2010 00:00	31.305	31.74	31.305	31.445	257057	EUR	
21/12/2010 00:00	31.44	31.84	31.43	31.645	315969	EUR	
22/12/2010 00:00	31.64	31.64	31.315	31.44	351680	EUR	
23/12/2010 00:00	31.44	31.44	31.005	31.365	152092	EUR	
24/12/2010 00:00	31.02	31.365	31.02	31.15	28850	EUR	
27/12/2010 00:00	31	31.01	30.77	30.89	115929	EUR	
28/12/2010 00:00	30.76	30.895	30.62	30.83	130734	EUR	
29/12/2010 00:00	30.75	31.06	30.75	31.005	128411	EUR	
30/12/2010 00:00	31	31.03	30.64	30.855	70425	EUR	
