date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.95	2.95	2.95	2.95	0	EUR	
12/11/2010 00:00	3.72	3.72	3	3	1344	EUR	
15/11/2010 00:00	3.03	3.03	3.03	3.03	30	EUR	
16/11/2010 00:00	3.03	3.03	3.03	3.03	36	EUR	
17/11/2010 00:00	3.9	3.9	3.9	3.9	0	EUR	
26/11/2010 00:00	3.36	3.36	3.36	3.36	550	EUR	
29/11/2010 00:00	3.3	3.3	3.3	3.3	0	EUR	
01/12/2010 00:00	4.14	4.58	4.14	4.58	2945	EUR	
02/12/2010 00:00	5.03	7.45	5.03	5.5	22020	EUR	
03/12/2010 00:00	5.52	6.04	5.02	5.15	24499	EUR	
06/12/2010 00:00	5.15	5.15	3.92	4.16	14031	EUR	
07/12/2010 00:00	4.2	5.68	4.2	5.05	23840	EUR	
08/12/2010 00:00	5.05	5.4	4.7	5.18	5540	EUR	
09/12/2010 00:00	5.18	6	4.61	5.13	23379	EUR	
10/12/2010 00:00	5.19	5.84	5.14	5.46	9999	EUR	
13/12/2010 00:00	5.43	5.52	5.04	5.22	7985	EUR	
14/12/2010 00:00	5.04	5.2	4.94	5.14	986	EUR	
15/12/2010 00:00	5.18	5.18	4.76	4.77	2425	EUR	
16/12/2010 00:00	4.82	4.82	4.77	4.78	503	EUR	
17/12/2010 00:00	4.81	4.81	4.45	4.45	4044	EUR	
20/12/2010 00:00	4.77	5.12	4.35	4.35	14931	EUR	
21/12/2010 00:00	4.35	4.7	4.02	4.22	8923	EUR	
22/12/2010 00:00	4.22	4.52	4.05	4.5	5709	EUR	
23/12/2010 00:00	4.48	4.49	4.15	4.44	1713	EUR	
24/12/2010 00:00	4.44	4.46	4.12	4.41	2509	EUR	
27/12/2010 00:00	4.44	4.44	4.39	4.41	1001	EUR	
28/12/2010 00:00	4.15	4.35	4	4.14	2492	EUR	
29/12/2010 00:00	4.3	4.3	4.04	4.2	1477	EUR	
30/12/2010 00:00	4.2	4.36	4.02	4.22	1103	EUR	
31/12/2010 00:00	4.4	4.4	4.22	4.22	261	EUR	
03/01/2011 00:00	4.22	4.22	4.22	4.22	89	EUR	
04/01/2011 00:00	4.15	4.15	3.93	4.09	4348	EUR	
05/01/2011 00:00	4.13	4.13	3.83	3.83	7417	EUR	
06/01/2011 00:00	3.83	3.97	3.6	3.8	8184	EUR	
07/01/2011 00:00	3.82	3.95	3.72	3.9	2901	EUR	
10/01/2011 00:00	3.79	3.9	3.61	3.79	8700	EUR	
11/01/2011 00:00	3.6	3.79	3.52	3.79	4366	EUR	
12/01/2011 00:00	3.51	3.55	3.51	3.53	599	EUR	
13/01/2011 00:00	3.78	3.84	3.55	3.56	2884	EUR	
14/01/2011 00:00	3.56	3.56	3.5	3.5	845	EUR	
17/01/2011 00:00	3.5	3.73	3.5	3.5	1250	EUR	
18/01/2011 00:00	3.5	3.5	3.05	3.22	7080	EUR	
19/01/2011 00:00	3.53	3.71	3.42	3.44	8339	EUR	
20/01/2011 00:00	3.44	3.44	3.44	3.44	400	EUR	
21/01/2011 00:00	3.44	3.77	3.44	3.44	2676	EUR	
26/01/2011 00:00	2	2	1.18	1.6	758252	EUR	
27/01/2011 00:00	1.62	1.78	1.5	1.68	186152	EUR	
28/01/2011 00:00	1.35	1.6	1.35	1.47	126865	EUR	
31/01/2011 00:00	1.5	1.52	1.44	1.51	26546	EUR	
01/02/2011 00:00	1.51	1.51	1.42	1.5	38623	EUR	
02/02/2011 00:00	1.48	1.51	1.42	1.46	21451	EUR	
03/02/2011 00:00	1.47	1.47	1.35	1.43	31685	EUR	
04/02/2011 00:00	1.36	1.49	1.35	1.45	12847	EUR	
07/02/2011 00:00	1.46	1.46	1.4	1.4	8687	EUR	
08/02/2011 00:00	1.4	1.47	1.35	1.46	21513	EUR	
09/02/2011 00:00	1.47	1.51	1.45	1.45	8173	EUR	
10/02/2011 00:00	1.45	1.45	1.4	1.44	7373	EUR	
11/02/2011 00:00	1.47	1.59	1.43	1.55	15164	EUR	
14/02/2011 00:00	1.55	2.95	1.55	2.76	565152	EUR	
15/02/2011 00:00	2.55	2.55	2.07	2.15	185216	EUR	
16/02/2011 00:00	2.23	2.67	2.07	2.26	304077	EUR	
17/02/2011 00:00	2.39	2.48	2.16	2.25	112543	EUR	
18/02/2011 00:00	2.24	2.4	2.12	2.34	120688	EUR	
21/02/2011 00:00	2.27	2.38	2.18	2.26	32072	EUR	
22/02/2011 00:00	2.26	2.26	1.96	2.06	72401	EUR	
23/02/2011 00:00	2.06	2.06	1.86	1.94	53264	EUR	
24/02/2011 00:00	1.89	1.92	1.65	1.72	95308	EUR	
25/02/2011 00:00	1.68	1.83	1.64	1.65	443121	EUR	
28/02/2011 00:00	1.65	2.38	1.58	2.08	1338366	EUR	
01/03/2011 00:00	2.25	2.32	2.12	2.16	556935	EUR	
02/03/2011 00:00	2.2	2.32	2.08	2.24	239903	EUR	
03/03/2011 00:00	2.3	2.3	2.13	2.19	158313	EUR	
04/03/2011 00:00	2.21	2.21	2.1	2.1	62776	EUR	
07/03/2011 00:00	2.1	2.19	2.08	2.12	83721	EUR	
08/03/2011 00:00	2.1	2.13	2.08	2.09	18920	EUR	
09/03/2011 00:00	2.06	2.12	1.98	2.05	40766	EUR	
10/03/2011 00:00	2.05	2.05	1.92	1.93	26735	EUR	
11/03/2011 00:00	1.92	1.92	1.8	1.82	81663	EUR	
14/03/2011 00:00	1.82	1.86	1.72	1.76	48582	EUR	
15/03/2011 00:00	1.73	1.73	1.6	1.69	66001	EUR	
16/03/2011 00:00	1.72	1.91	1.71	1.73	102627	EUR	
17/03/2011 00:00	1.81	1.87	1.75	1.8	46153	EUR	
18/03/2011 00:00	1.82	1.83	1.75	1.81	29687	EUR	
21/03/2011 00:00	1.8	1.87	1.78	1.82	15117	EUR	
22/03/2011 00:00	1.82	1.82	1.78	1.78	762	EUR	
23/03/2011 00:00	1.8	1.83	1.78	1.8	6855	EUR	
24/03/2011 00:00	1.8	1.8	1.69	1.73	72828	EUR	
25/03/2011 00:00	1.81	1.82	1.76	1.79	6667	EUR	
28/03/2011 00:00	1.8	1.8	1.76	1.76	14627	EUR	
29/03/2011 00:00	1.76	1.8	1.74	1.77	11584	EUR	
30/03/2011 00:00	1.78	2.15	1.78	2.05	242030	EUR	
31/03/2011 00:00	2.07	2.07	1.88	1.93	76803	EUR	
01/04/2011 00:00	1.91	1.96	1.88	1.91	37851	EUR	
04/04/2011 00:00	1.92	1.96	1.88	1.96	18593	EUR	
05/04/2011 00:00	2.02	2.22	2.02	2.07	150243	EUR	
06/04/2011 00:00	2.08	2.08	2.01	2.03	34078	EUR	
