date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	14.83	14.84	14.82	14.82	2196	EUR	
11/11/2010 00:00	14.35	14.76	14.3	14.76	4795	EUR	
12/11/2010 00:00	14.6	14.87	14.31	14.6	704	EUR	
15/11/2010 00:00	14.6	14.6	14.39	14.39	484	EUR	
16/11/2010 00:00	14.53	14.53	14.15	14.4	1431	EUR	
17/11/2010 00:00	14.29	14.29	14.14	14.18	653	EUR	
18/11/2010 00:00	14.2	14.25	14.2	14.2	1078	EUR	
19/11/2010 00:00	14.2	14.34	14.14	14.17	907	EUR	
22/11/2010 00:00	14.17	14.19	14.14	14.14	2028	EUR	
23/11/2010 00:00	14.15	14.4	14.15	14.4	1798	EUR	
24/11/2010 00:00	14.38	14.39	14.3	14.35	3757	EUR	
25/11/2010 00:00	14.3	14.35	14.29	14.35	367	EUR	
26/11/2010 00:00	14.34	14.35	14.21	14.35	1202	EUR	
29/11/2010 00:00	14.35	14.35	14.25	14.33	223	EUR	
30/11/2010 00:00	14.17	14.17	13.7	14.14	3173	EUR	
01/12/2010 00:00	14.14	14.25	14.05	14.15	21870	EUR	
02/12/2010 00:00	13.91	14.07	13.91	14.05	658	EUR	
03/12/2010 00:00	14.09	14.09	13.94	13.95	3237	EUR	
06/12/2010 00:00	14.01	14.06	13.8	13.95	654	EUR	
07/12/2010 00:00	13.95	13.99	13.81	13.84	2434	EUR	
08/12/2010 00:00	13.83	13.99	13.82	13.88	10973	EUR	
09/12/2010 00:00	13.88	13.98	13.8	13.98	850	EUR	
10/12/2010 00:00	13.81	14.19	13.81	14.14	2173	EUR	
13/12/2010 00:00	14.25	14.6	14.14	14.14	6755	EUR	
14/12/2010 00:00	14.14	14.2	14.1	14.15	1297	EUR	
15/12/2010 00:00	14.02	14.14	14.02	14.03	1706	EUR	
16/12/2010 00:00	14.2	14.5	14.04	14.05	5400	EUR	
17/12/2010 00:00	14.08	14.2	14.08	14.2	574	EUR	
20/12/2010 00:00	14.19	14.19	14.05	14.1	1275	EUR	
21/12/2010 00:00	14.05	14.06	14.04	14.06	2641	EUR	
22/12/2010 00:00	14.06	14.07	14.05	14.06	1087	EUR	
23/12/2010 00:00	14.06	14.15	14.03	14.05	1386	EUR	
24/12/2010 00:00	14.06	14.06	14.04	14.04	974	EUR	
27/12/2010 00:00	14.02	14.08	14.01	14.06	1067	EUR	
28/12/2010 00:00	14.06	14.1	14.01	14.07	876	EUR	
29/12/2010 00:00	14.07	14.15	14.03	14.15	588	EUR	
30/12/2010 00:00	14.15	14.19	14.15	14.17	266	EUR	
31/12/2010 00:00	14.17	14.17	14.07	14.09	326	EUR	
03/01/2011 00:00	14.1	14.1	14.01	14.1	1500	EUR	
04/01/2011 00:00	14.1	14.1	14.05	14.1	2326	EUR	
05/01/2011 00:00	14.08	14.1	14.01	14.05	1206	EUR	
06/01/2011 00:00	14.05	14.15	14.02	14.15	851	EUR	
07/01/2011 00:00	14.15	14.15	14.02	14.13	926	EUR	
10/01/2011 00:00	14.13	14.13	14.05	14.05	743	EUR	
11/01/2011 00:00	14.06	14.06	13.98	14	1453	EUR	
12/01/2011 00:00	13.98	14.19	13.96	13.97	2968	EUR	
13/01/2011 00:00	13.98	14.05	13.98	14.05	1392	EUR	
14/01/2011 00:00	14.04	14.16	14	14.05	1207	EUR	
17/01/2011 00:00	14.12	14.2	14.11	14.2	2306	EUR	
