date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.42	2.42	2.41	2.42	1178	EUR	
11/11/2010 00:00	2.42	2.42	2.41	2.41	1540	EUR	
15/11/2010 00:00	2.4	2.4	2.4	2.4	200	EUR	
16/11/2010 00:00	2.28	2.28	2.2	2.2	3275	EUR	
17/11/2010 00:00	2.21	2.21	2.21	2.21	200	EUR	
18/11/2010 00:00	2.21	2.21	2.21	2.21	1000	EUR	
19/11/2010 00:00	2.21	2.21	2.21	2.21	200	EUR	
22/11/2010 00:00	2.22	2.22	2.21	2.21	700	EUR	
23/11/2010 00:00	2.21	2.23	2.2	2.23	1381	EUR	
24/11/2010 00:00	2.22	2.39	2.22	2.39	3280	EUR	
25/11/2010 00:00	2.24	2.24	2.24	2.24	44	EUR	
26/11/2010 00:00	2.31	2.31	2.24	2.24	289	EUR	
01/12/2010 00:00	2.31	2.31	2.25	2.25	200	EUR	
02/12/2010 00:00	2.25	2.25	2.25	2.25	1000	EUR	
06/12/2010 00:00	2.25	2.25	2.24	2.24	488	EUR	
07/12/2010 00:00	2.29	2.43	2.29	2.39	8678	EUR	
08/12/2010 00:00	2.31	2.31	2.25	2.25	1720	EUR	
09/12/2010 00:00	2.31	2.32	2.28	2.28	2778	EUR	
13/12/2010 00:00	2.3	2.32	2.3	2.32	650	EUR	
14/12/2010 00:00	2.28	2.28	2.27	2.27	1616	EUR	
15/12/2010 00:00	2.29	2.3	2.27	2.27	1052	EUR	
16/12/2010 00:00	2.27	2.27	2.27	2.27	1078	EUR	
17/12/2010 00:00	2.27	2.31	2.27	2.31	587	EUR	
21/12/2010 00:00	2.3	2.31	2.3	2.31	773	EUR	
22/12/2010 00:00	2.31	2.31	2.3	2.3	738	EUR	
24/12/2010 00:00	2.3	2.3	2.3	2.3	89	EUR	
27/12/2010 00:00	2.31	2.31	2.3	2.3	2304	EUR	
29/12/2010 00:00	2.3	2.33	2.3	2.33	251	EUR	
30/12/2010 00:00	2.29	2.29	2.27	2.27	1290	EUR	
31/12/2010 00:00	2.26	2.26	2.26	2.26	10	EUR	
03/01/2011 00:00	2.27	2.33	2.27	2.33	1196	EUR	
04/01/2011 00:00	2.33	2.34	2.28	2.34	127	EUR	
07/01/2011 00:00	2.34	2.34	2.28	2.28	1000	EUR	
10/01/2011 00:00	2.28	2.28	2.28	2.28	200	EUR	
11/01/2011 00:00	2.32	2.32	2.32	2.32	150	EUR	
12/01/2011 00:00	2.32	2.32	2.32	2.32	100	EUR	
13/01/2011 00:00	2.33	2.33	2.29	2.29	140	EUR	
14/01/2011 00:00	2.28	2.28	2.28	2.28	10	EUR	
17/01/2011 00:00	2.28	2.28	2.28	2.28	140	EUR	
18/01/2011 00:00	2.28	2.28	2.28	2.28	58	EUR	
19/01/2011 00:00	2.33	2.55	2.33	2.55	6819	EUR	
20/01/2011 00:00	2.51	2.51	2.51	2.51	1000	EUR	
21/01/2011 00:00	2.5	2.5	2.5	2.5	450	EUR	
24/01/2011 00:00	2.49	2.49	2.42	2.42	2143	EUR	
26/01/2011 00:00	2.39	2.39	2.32	2.32	5360	EUR	
27/01/2011 00:00	2.29	2.29	2.29	2.29	500	EUR	
28/01/2011 00:00	2.29	2.29	2.29	2.29	250	EUR	
31/01/2011 00:00	2.3	2.34	2.3	2.34	600	EUR	
01/02/2011 00:00	2.35	2.4	2.32	2.32	6179	EUR	
02/02/2011 00:00	2.32	2.32	2.32	2.32	87	EUR	
03/02/2011 00:00	2.32	2.32	2.32	2.32	550	EUR	
04/02/2011 00:00	2.39	2.4	2.39	2.4	700	EUR	
08/02/2011 00:00	2.4	2.46	2.4	2.46	3301	EUR	
10/02/2011 00:00	2.46	2.5	2.46	2.5	2085	EUR	
11/02/2011 00:00	2.46	2.51	2.44	2.51	1605	EUR	
14/02/2011 00:00	2.5	2.5	2.42	2.42	2450	EUR	
16/02/2011 00:00	2.44	2.69	2.37	2.55	16679	EUR	
17/02/2011 00:00	2.59	2.6	2.47	2.47	7101	EUR	
18/02/2011 00:00	2.47	2.6	2.47	2.47	3902	EUR	
21/02/2011 00:00	2.48	2.52	2.46	2.46	4370	EUR	
22/02/2011 00:00	2.44	2.44	2.44	2.44	650	EUR	
23/02/2011 00:00	2.45	2.45	2.4	2.4	5800	EUR	
24/02/2011 00:00	2.38	2.38	2.3	2.3	5430	EUR	
25/02/2011 00:00	2.33	2.33	2.27	2.3	5130	EUR	
28/02/2011 00:00	2.29	2.3	2.24	2.24	7850	EUR	
01/03/2011 00:00	2.24	2.29	2.03	2.14	28406	EUR	
02/03/2011 00:00	2.14	2.14	2.1	2.12	1950	EUR	
03/03/2011 00:00	2.08	2.1	2.08	2.1	1350	EUR	
04/03/2011 00:00	2.09	2.15	2.09	2.15	7002	EUR	
07/03/2011 00:00	2.1	2.15	2.08	2.15	4090	EUR	
08/03/2011 00:00	2.1	2.1	2.1	2.1	80	EUR	
09/03/2011 00:00	2.14	2.14	2.14	2.14	600	EUR	
10/03/2011 00:00	2.11	2.11	2.08	2.08	693	EUR	
11/03/2011 00:00	2.08	2.08	2.08	2.08	53	EUR	
14/03/2011 00:00	2.08	2.08	2.08	2.08	45	EUR	
15/03/2011 00:00	2.08	2.09	2.08	2.08	730	EUR	
16/03/2011 00:00	2.08	2.08	2.07	2.07	89	EUR	
