date	ouv	haut	bas	clot	vol	devise	
08/02/2017 00:00	6.85	7.49	6.8	6.81	23818	EUR	
09/02/2017 00:00	6.86	6.86	6.8	6.82	17625	EUR	
10/02/2017 00:00	6.82	6.82	6.8	6.81	31497	EUR	
13/02/2017 00:00	6.81	6.81	6.76	6.78	6217	EUR	
14/02/2017 00:00	6.78	6.78	6.53	6.57	6049	EUR	
15/02/2017 00:00	6.57	6.57	6.21	6.27	8887	EUR	
16/02/2017 00:00	6.27	6.27	5.65	5.9	10876	EUR	
17/02/2017 00:00	5.83	5.83	5.68	5.68	13529	EUR	
20/02/2017 00:00	5.68	5.68	5.65	5.66	3754	EUR	
21/02/2017 00:00	5.66	5.79	5.66	5.79	7062	EUR	
22/02/2017 00:00	5.87	6.18	5.87	6	6323	EUR	
23/02/2017 00:00	6	6	5.94	5.99	1500	EUR	
24/02/2017 00:00	5.99	5.99	5.99	5.99	280	EUR	
27/02/2017 00:00	6	6	5.98	5.98	637	EUR	
28/02/2017 00:00	5.99	5.99	5.99	5.99	42	EUR	
01/03/2017 00:00	5.99	5.99	5.95	5.97	2641	EUR	
02/03/2017 00:00	5.97	5.97	5.59	5.59	8034	EUR	
03/03/2017 00:00	5.59	5.6	5.55	5.6	2541	EUR	
06/03/2017 00:00	5.6	5.61	5.59	5.59	1178	EUR	
07/03/2017 00:00	5.6	5.61	5.6	5.61	692	EUR	
08/03/2017 00:00	5.61	5.62	5.61	5.62	151	EUR	
09/03/2017 00:00	5.62	5.63	5.62	5.63	8	EUR	
10/03/2017 00:00	5.63	5.73	5.6	5.73	5180	EUR	
13/03/2017 00:00	5.73	5.74	5.73	5.73	1631	EUR	
14/03/2017 00:00	5.73	5.73	5.7	5.7	1388	EUR	
15/03/2017 00:00	5.7	5.7	5.58	5.58	1220	EUR	
16/03/2017 00:00	5.59	5.6	5.59	5.6	1497	EUR	
17/03/2017 00:00	5.6	5.6	5.6	5.6	861	EUR	
20/03/2017 00:00	5.6	5.61	5.59	5.6	1654	EUR	
21/03/2017 00:00	5.59	5.59	5.57	5.57	635	EUR	
22/03/2017 00:00	5.57	5.58	5.57	5.58	109	EUR	
23/03/2017 00:00	5.58	5.58	5.58	5.58	351	EUR	
24/03/2017 00:00	5.58	5.59	5.58	5.58	337	EUR	
27/03/2017 00:00	5.59	5.6	5.58	5.58	5713	EUR	
28/03/2017 00:00	5.58	5.58	5.58	5.58	96	EUR	
29/03/2017 00:00	5.59	5.6	5.59	5.6	1041	EUR	
30/03/2017 00:00	5.6	5.6	5.57	5.57	2147	EUR	
31/03/2017 00:00	5.57	5.6	5.54	5.6	4342	EUR	
03/04/2017 00:00	5.61	5.61	5.6	5.6	915	EUR	
04/04/2017 00:00	5.6	5.6	5.56	5.59	1132	EUR	
05/04/2017 00:00	5.59	5.59	5.58	5.58	301	EUR	
06/04/2017 00:00	5.58	5.58	5.58	5.58	1	EUR	
07/04/2017 00:00	5.58	5.58	5.58	5.58	115	EUR	
10/04/2017 00:00	5.58	5.58	5.58	5.58	377	EUR	
11/04/2017 00:00	5.58	5.59	5.58	5.59	319	EUR	
12/04/2017 00:00	5.59	5.59	5.58	5.58	142	EUR	
13/04/2017 00:00	5.58	5.58	5.58	5.58	440	EUR	
18/04/2017 00:00	5.58	5.58	5.41	5.41	4184	EUR	
19/04/2017 00:00	5.41	5.41	5.4	5.41	515	EUR	
20/04/2017 00:00	5.41	5.43	5.41	5.43	1454	EUR	
21/04/2017 00:00	5.44	5.55	5.4	5.4	1991	EUR	
24/04/2017 00:00	5.42	5.42	5.41	5.42	681	EUR	
25/04/2017 00:00	5.42	5.43	5.42	5.43	1231	EUR	
26/04/2017 00:00	5.42	5.44	5.42	5.43	178	EUR	
27/04/2017 00:00	5.44	5.45	5.43	5.45	384	EUR	
28/04/2017 00:00	5.46	5.46	5.4	5.44	4080	EUR	
02/05/2017 00:00	5.39	5.39	5.29	5.29	1814	EUR	
03/05/2017 00:00	5.33	5.4	5.29	5.37	3513	EUR	
04/05/2017 00:00	5.37	5.37	5.36	5.37	2172	EUR	
