date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	18.41	18.435	18.085	18.205	327942	EUR	
11/11/2010 00:00	18.29	18.295	17.515	17.535	502551	EUR	
12/11/2010 00:00	17.415	17.65	17.155	17.435	560587	EUR	
15/11/2010 00:00	17.465	17.8	17.31	17.7	582478	EUR	
16/11/2010 00:00	17.67	17.69	17.45	17.52	479626	EUR	
17/11/2010 00:00	17.5	17.55	17.46	17.515	274212	EUR	
18/11/2010 00:00	17.6	17.665	17.48	17.51	291528	EUR	
19/11/2010 00:00	17.515	17.58	17.385	17.42	220646	EUR	
22/11/2010 00:00	17.53	17.55	17.185	17.27	429135	EUR	
23/11/2010 00:00	17.245	17.25	17	17	250823	EUR	
24/11/2010 00:00	17.03	17.37	16.985	17.345	305209	EUR	
25/11/2010 00:00	17.335	17.4	17.24	17.295	214820	EUR	
26/11/2010 00:00	17.165	17.345	17.115	17.33	138838	EUR	
29/11/2010 00:00	17.35	17.5	16.915	16.985	296287	EUR	
30/11/2010 00:00	17.005	17.025	16.705	16.72	275009	EUR	
01/12/2010 00:00	16.845	17.12	16.755	17.12	225178	EUR	
02/12/2010 00:00	17.255	17.91	17.195	17.895	579263	EUR	
03/12/2010 00:00	17.9	17.955	17.605	17.72	197900	EUR	
06/12/2010 00:00	17.72	17.78	17.52	17.63	315410	EUR	
07/12/2010 00:00	17.82	18.575	17.74	18.57	474086	EUR	
08/12/2010 00:00	18.495	18.65	18.4	18.43	180149	EUR	
09/12/2010 00:00	18.6	18.68	18.26	18.345	245739	EUR	
10/12/2010 00:00	18.355	18.5	18.355	18.405	107429	EUR	
13/12/2010 00:00	18.41	18.55	18.105	18.125	242875	EUR	
14/12/2010 00:00	18.195	18.31	18.02	18.165	153538	EUR	
15/12/2010 00:00	18.195	18.355	18.125	18.125	198809	EUR	
16/12/2010 00:00	18.19	18.355	18.05	18.235	161153	EUR	
17/12/2010 00:00	18.24	18.44	18.24	18.345	215499	EUR	
20/12/2010 00:00	18.305	18.485	18.225	18.225	125386	EUR	
21/12/2010 00:00	18.315	18.4	18.22	18.25	145469	EUR	
22/12/2010 00:00	18.22	18.25	18.07	18.215	167860	EUR	
23/12/2010 00:00	18.2	18.34	18.175	18.18	124729	EUR	
24/12/2010 00:00	18.12	18.2	18.02	18.05	19528	EUR	
27/12/2010 00:00	18	18	17.8	17.915	64241	EUR	
28/12/2010 00:00	17.885	18.03	17.885	17.95	39260	EUR	
29/12/2010 00:00	18.015	18.04	17.93	17.995	91988	EUR	
30/12/2010 00:00	18.025	18.035	17.93	17.945	77332	EUR	
31/12/2010 00:00	18.1	18.1	17.95	18.1	48170	EUR	
03/01/2011 00:00	18.105	18.51	18.105	18.15	129713	EUR	
