date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	1.009	1.009	1.009	1.009	0	EUR	
15/11/2010 00:00	1.059	1.059	1.059	1.059	6905	EUR	
16/11/2010 00:00	1.149	1.149	1.149	1.149	0	EUR	
18/11/2010 00:00	1.179	1.179	1.179	1.179	500	EUR	
19/11/2010 00:00	1.179	1.179	1.179	1.179	100	EUR	
22/11/2010 00:00	1.159	1.159	1.159	1.159	0	EUR	
24/11/2010 00:00	0.949	0.949	0.949	0.949	0	EUR	
26/11/2010 00:00	1.149	1.149	1.149	1.149	215	EUR	
29/11/2010 00:00	0.989	0.989	0.989	0.989	4924	EUR	
30/11/2010 00:00	0.979	0.979	0.979	0.979	241	EUR	
01/12/2010 00:00	0.999	0.999	0.999	0.999	500	EUR	
02/12/2010 00:00	0.999	0.999	0.999	0.999	250	EUR	
03/12/2010 00:00	0.999	0.999	0.999	0.999	50	EUR	
06/12/2010 00:00	1.019	1.019	1.019	1.019	0	EUR	
08/12/2010 00:00	1.089	1.089	1.089	1.089	0	EUR	
10/12/2010 00:00	1.109	1.109	1.109	1.109	100	EUR	
17/12/2010 00:00	0.969	0.969	0.969	0.969	881	EUR	
21/12/2010 00:00	0.979	0.979	0.979	0.979	50	EUR	
22/12/2010 00:00	0.979	0.979	0.979	0.979	80	EUR	
23/12/2010 00:00	0.969	0.969	0.969	0.969	1051	EUR	
24/12/2010 00:00	0.969	0.969	0.969	0.969	198	EUR	
30/12/2010 00:00	1.149	1.149	1.149	1.149	0	EUR	
11/01/2011 00:00	1.369	1.369	1.369	1.369	0	EUR	
14/01/2011 00:00	1.109	1.109	1.109	1.109	2538	EUR	
25/01/2011 00:00	1.089	1.089	1.089	1.089	0	EUR	
28/01/2011 00:00	1.049	1.049	1.049	1.049	250	EUR	
01/02/2011 00:00	0.969	0.969	0.969	0.969	250	EUR	
02/02/2011 00:00	0.999	0.999	0.999	0.999	0	EUR	
07/02/2011 00:00	1.049	1.049	1.049	1.049	300	EUR	
08/02/2011 00:00	0.979	0.979	0.979	0.979	0	EUR	
10/02/2011 00:00	1.099	1.099	1.099	1.099	1401	EUR	
11/02/2011 00:00	1.029	1.029	1.029	1.029	76	EUR	
16/02/2011 00:00	1.079	1.079	1.079	1.079	0	EUR	
21/02/2011 00:00	1.079	1.079	1.079	1.079	11	EUR	
22/02/2011 00:00	1.099	1.099	1.099	1.099	0	EUR	
24/02/2011 00:00	1.569	1.569	1.569	1.569	0	EUR	
02/03/2011 00:00	1.199	1.199	1.199	1.199	0	EUR	
07/03/2011 00:00	1.539	1.539	1.539	1.539	0	EUR	
09/03/2011 00:00	1.569	1.569	1.569	1.569	5405	EUR	
10/03/2011 00:00	1.559	1.559	1.559	1.559	3002	EUR	
11/03/2011 00:00	1.559	1.559	1.559	1.559	2552	EUR	
14/03/2011 00:00	1.399	1.399	1.399	1.399	25	EUR	
15/03/2011 00:00	1.389	1.389	1.389	1.389	0	EUR	
21/03/2011 00:00	1.389	1.389	1.389	1.389	0	EUR	
23/03/2011 00:00	1.559	1.559	1.559	1.559	0	EUR	
05/04/2011 00:00	1.259	1.259	1.259	1.259	150	EUR	
06/04/2011 00:00	1.299	1.299	1.299	1.299	1270	EUR	
07/04/2011 00:00	1.549	1.549	1.549	1.549	0	EUR	
11/04/2011 00:00	1.409	1.409	1.409	1.409	0	EUR	
13/04/2011 00:00	1.399	1.399	1.399	1.399	0	EUR	
15/04/2011 00:00	1.559	1.559	1.559	1.559	699	EUR	
18/04/2011 00:00	1.559	1.559	1.559	1.559	390	EUR	
19/04/2011 00:00	1.599	1.599	1.599	1.599	1520	EUR	
20/04/2011 00:00	1.409	1.409	1.409	1.409	1584	EUR	
21/04/2011 00:00	1.689	1.689	1.689	1.689	2072	EUR	
27/04/2011 00:00	1.799	1.799	1.799	1.799	7005	EUR	
28/04/2011 00:00	1.819	1.819	1.819	1.819	1001	EUR	
29/04/2011 00:00	1.889	1.889	1.889	1.889	852	EUR	
02/05/2011 00:00	1.979	1.979	1.979	1.979	849	EUR	
03/05/2011 00:00	1.999	1.999	1.999	1.999	3880	EUR	
04/05/2011 00:00	1.899	1.899	1.899	1.899	500	EUR	
05/05/2011 00:00	1.969	1.969	1.969	1.969	1001	EUR	
06/05/2011 00:00	1.989	1.989	1.989	1.989	1351	EUR	
11/05/2011 00:00	2.068	2.068	2.068	2.068	0	EUR	
17/05/2011 00:00	2.048	2.048	2.048	2.048	0	EUR	
19/05/2011 00:00	1.999	1.999	1.999	1.999	200	EUR	
20/05/2011 00:00	1.999	1.999	1.999	1.999	250	EUR	
23/05/2011 00:00	2.038	2.038	2.038	2.038	0	EUR	
27/05/2011 00:00	2.038	2.038	2.038	2.038	141	EUR	
06/06/2011 00:00	2.038	2.038	2.038	2.038	0	EUR	
09/06/2011 00:00	2.038	2.038	2.038	2.038	3302	EUR	
10/06/2011 00:00	1.999	1.999	1.999	1.999	2002	EUR	
13/06/2011 00:00	1.819	1.819	1.819	1.819	28	EUR	
14/06/2011 00:00	1.899	1.899	1.899	1.899	0	EUR	
16/06/2011 00:00	1.819	1.819	1.819	1.819	560	EUR	
17/06/2011 00:00	2.038	2.038	2.038	2.038	1001	EUR	
23/06/2011 00:00	2.028	2.028	2.028	2.028	0	EUR	
28/06/2011 00:00	2.038	2.038	2.038	2.038	0	EUR	
30/06/2011 00:00	2.098	2.098	2.098	2.098	2202	EUR	
01/07/2011 00:00	2.098	2.098	2.098	2.098	10008	EUR	
04/07/2011 00:00	2.098	2.098	2.098	2.098	0	EUR	
11/07/2011 00:00	2.188	2.288	2.148	2.278	6504	EUR	
12/07/2011 00:00	2.278	2.288	2.168	2.288	2952	EUR	
13/07/2011 00:00	2.288	2.298	2.288	2.298	2502	EUR	
14/07/2011 00:00	2.288	2.298	2.288	2.298	2902	EUR	
15/07/2011 00:00	2.298	2.488	2.298	2.488	2138	EUR	
18/07/2011 00:00	2.478	2.478	2.238	2.388	2620	EUR	
19/07/2011 00:00	2.388	2.468	2.388	2.468	301	EUR	
20/07/2011 00:00	2.458	2.488	2.458	2.488	4190	EUR	
21/07/2011 00:00	2.478	2.488	2.368	2.488	262223	EUR	
22/07/2011 00:00	2.478	2.488	2.298	2.488	2082	EUR	
25/07/2011 00:00	2.478	2.478	2.298	2.478	872	EUR	
26/07/2011 00:00	2.458	2.468	2.308	2.468	2852	EUR	
27/07/2011 00:00	2.468	2.468	2.348	2.468	510	EUR	
28/07/2011 00:00	2.468	2.468	2.298	2.408	2561	EUR	
29/07/2011 00:00	2.388	2.398	2.208	2.398	1054	EUR	
01/08/2011 00:00	2.378	2.378	2.218	2.298	3726	EUR	
02/08/2011 00:00	2.278	2.278	2.278	2.278	1	EUR	
03/08/2011 00:00	2.298	2.298	2.208	2.208	1238	EUR	
