date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	10.555	10.565	10.31	10.35	343776	EUR	
11/11/2010 00:00	10.375	10.39	10.24	10.33	211034	EUR	
12/11/2010 00:00	10.25	10.375	10.06	10.26	373595	EUR	
15/11/2010 00:00	10.22	10.645	10.205	10.525	277023	EUR	
16/11/2010 00:00	10.525	10.545	10.23	10.23	280094	EUR	
17/11/2010 00:00	10.2	10.42	10.175	10.25	201635	EUR	
18/11/2010 00:00	10.295	10.49	10.25	10.47	188759	EUR	
19/11/2010 00:00	10.46	10.5	10.405	10.47	154839	EUR	
22/11/2010 00:00	10.5	10.54	10.265	10.28	233892	EUR	
23/11/2010 00:00	10.25	10.25	9.986	10.025	281466	EUR	
24/11/2010 00:00	10.03	10.295	9.95	10.245	277592	EUR	
25/11/2010 00:00	10.27	10.295	10.165	10.24	129488	EUR	
26/11/2010 00:00	10.205	10.225	10.055	10.095	162995	EUR	
29/11/2010 00:00	10.09	10.145	9.87	9.893	306548	EUR	
30/11/2010 00:00	9.858	9.89	9.732	9.784	386914	EUR	
01/12/2010 00:00	9.82	9.991	9.728	9.971	253646	EUR	
02/12/2010 00:00	9.99	10.3	9.975	10.3	343276	EUR	
03/12/2010 00:00	10.3	10.31	10.2	10.26	272021	EUR	
06/12/2010 00:00	10.18	10.32	10.105	10.285	309043	EUR	
07/12/2010 00:00	10.295	10.71	10.29	10.71	418329	EUR	
08/12/2010 00:00	10.66	10.75	10.475	10.72	299531	EUR	
09/12/2010 00:00	10.75	10.875	10.75	10.85	249409	EUR	
10/12/2010 00:00	10.825	10.9	10.79	10.895	201559	EUR	
13/12/2010 00:00	10.9	11.05	10.855	10.89	438766	EUR	
14/12/2010 00:00	10.86	10.905	10.78	10.895	182407	EUR	
15/12/2010 00:00	10.855	10.88	10.555	10.605	448146	EUR	
16/12/2010 00:00	10.59	10.655	10.505	10.605	244122	EUR	
17/12/2010 00:00	10.595	10.625	10.545	10.575	311420	EUR	
20/12/2010 00:00	10.525	10.675	10.525	10.62	284729	EUR	
21/12/2010 00:00	10.625	10.68	10.605	10.635	182524	EUR	
22/12/2010 00:00	10.595	10.65	10.59	10.63	313393	EUR	
23/12/2010 00:00	10.63	10.64	10.54	10.55	162571	EUR	
24/12/2010 00:00	10.57	10.57	10.41	10.46	78059	EUR	
27/12/2010 00:00	10.39	10.445	10.275	10.44	174553	EUR	
28/12/2010 00:00	10.405	10.435	10.35	10.415	95124	EUR	
29/12/2010 00:00	10.43	10.55	10.405	10.5	149394	EUR	
30/12/2010 00:00	10.505	10.6	10.505	10.58	122453	EUR	
31/12/2010 00:00	10.585	10.6	10.53	10.55	54423	EUR	
03/01/2011 00:00	10.57	10.695	10.54	10.67	111093	EUR	
04/01/2011 00:00	10.695	10.985	10.675	10.91	337033	EUR	
05/01/2011 00:00	10.92	11.74	10.92	11.67	1575547	EUR	
