date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
11/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
12/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
15/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
16/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
17/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
18/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
19/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
22/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
23/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
24/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
25/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
26/11/2010 00:00	14.5	14.5	14.5	14.5	1	EUR	
29/11/2010 00:00	15.2	15.2	15.2	15.2	100	EUR	
30/11/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
01/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
02/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
03/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
06/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
07/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
08/12/2010 00:00	15.2	15.2	15.2	15.2	0	EUR	
10/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
13/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
14/12/2010 00:00	15.2	15.2	15.2	15.2	1	EUR	
15/12/2010 00:00	15.2	15.2	15.2	15.2	0	EUR	
17/12/2010 00:00	15.6	15.6	15.6	15.6	101	EUR	
20/12/2010 00:00	15.6	15.6	15.6	15.6	1	EUR	
21/12/2010 00:00	15.6	15.6	15.6	15.6	1	EUR	
22/12/2010 00:00	15.6	15.6	15.6	15.6	1	EUR	
23/12/2010 00:00	15.6	15.6	15.6	15.6	1	EUR	
24/12/2010 00:00	15.6	15.6	15.6	15.6	1	EUR	
27/12/2010 00:00	15.6	15.6	15.6	15.6	0	EUR	
29/12/2010 00:00	17.7	17.7	17.7	17.7	200	EUR	
30/12/2010 00:00	18.2	18.2	18.2	18.2	100	EUR	
31/12/2010 00:00	18.2	18.2	18.2	18.2	1	EUR	
03/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
04/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
05/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
06/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
07/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
11/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
12/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
13/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
14/01/2011 00:00	18.2	18.2	18.2	18.2	1	EUR	
17/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
18/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
19/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
20/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
21/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
24/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
25/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
26/01/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
27/01/2011 00:00	18.19	18.19	18.19	18.19	0	EUR	
01/02/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
02/02/2011 00:00	18.19	18.19	18.19	18.19	0	EUR	
01/03/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
02/03/2011 00:00	18.19	18.19	18.19	18.19	0	EUR	
01/04/2011 00:00	18.19	18.19	18.19	18.19	1	EUR	
21/04/2011 00:00	18.25	18.25	18.25	18.25	90	EUR	
26/04/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
29/04/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
03/05/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
06/05/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
13/05/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
17/05/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
20/05/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
24/05/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
27/05/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
31/05/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
03/06/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
09/06/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
10/06/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
14/06/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
17/06/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
22/06/2011 00:00	18.26	18.26	18.26	18.26	0	EUR	
24/06/2011 00:00	18.26	18.26	18.26	18.26	1	EUR	
27/06/2011 00:00	18	18	18	18	40	EUR	
28/06/2011 00:00	17.99	17.99	17.99	17.99	0	EUR	
01/07/2011 00:00	17.99	17.99	17.99	17.99	1	EUR	
05/07/2011 00:00	17.99	17.99	17.99	17.99	0	EUR	
12/07/2011 00:00	17.99	17.99	17.99	17.99	0	EUR	
15/07/2011 00:00	17.99	17.99	17.99	17.99	1	EUR	
19/07/2011 00:00	17.99	17.99	17.99	17.99	1	EUR	
20/07/2011 00:00	17.99	17.99	17.99	17.99	0	EUR	
26/07/2011 00:00	17.89	17.89	17.89	17.89	0	EUR	
29/07/2011 00:00	17.89	17.89	17.89	17.89	1	EUR	
02/08/2011 00:00	17.89	17.89	17.89	17.89	0	EUR	
05/08/2011 00:00	17.1	17.1	17.1	17.1	45	EUR	
16/08/2011 00:00	17.1	17.1	17.1	17.1	0	EUR	
19/08/2011 00:00	17.11	17.11	17.11	17.11	1	EUR	
23/08/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
26/08/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
02/09/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
06/09/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
09/09/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
13/09/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
16/09/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
20/09/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
23/09/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
27/09/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
30/09/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
04/10/2011 00:00	17.71	17.71	17.71	17.71	0	EUR	
07/10/2011 00:00	17.71	17.71	17.71	17.71	1	EUR	
10/10/2011 00:00	17.5	17.5	17.5	17.5	10	EUR	
11/10/2011 00:00	17.49	17.49	17.49	17.49	0	EUR	
18/10/2011 00:00	17.49	17.49	17.49	17.49	0	EUR	
21/10/2011 00:00	17.49	17.49	17.49	17.49	1	EUR	
25/10/2011 00:00	17.49	17.49	17.49	17.49	0	EUR	
28/10/2011 00:00	17.49	17.49	17.49	17.49	1	EUR	
01/11/2011 00:00	17.49	17.49	17.49	17.49	0	EUR	
04/11/2011 00:00	17.44	17.44	17.44	17.44	1	EUR	
09/11/2011 00:00	17.44	17.44	17.44	17.44	0	EUR	
15/11/2011 00:00	17.44	17.44	17.44	17.44	0	EUR	
