date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	6.78	6.78	6.57	6.57	2909	EUR	
11/11/2010 00:00	6.57	6.7	6.57	6.7	838	EUR	
12/11/2010 00:00	6.7	6.7	6.58	6.7	425	EUR	
15/11/2010 00:00	6.7	6.7	6.58	6.69	2015	EUR	
16/11/2010 00:00	6.68	6.69	6.68	6.69	827	EUR	
17/11/2010 00:00	6.69	6.77	6.66	6.77	1944	EUR	
18/11/2010 00:00	6.76	6.85	6.76	6.85	3625	EUR	
19/11/2010 00:00	6.85	6.85	6.8	6.85	723	EUR	
22/11/2010 00:00	6.85	6.85	6.8	6.84	1991	EUR	
23/11/2010 00:00	6.83	6.83	6.69	6.69	1026	EUR	
24/11/2010 00:00	6.73	6.79	6.72	6.79	1671	EUR	
25/11/2010 00:00	6.8	6.85	6.8	6.81	6526	EUR	
26/11/2010 00:00	6.81	6.81	6.75	6.75	76056	EUR	
29/11/2010 00:00	6.76	6.78	6.57	6.7	3757	EUR	
30/11/2010 00:00	6.7	6.75	6.57	6.57	3587	EUR	
01/12/2010 00:00	6.57	6.57	6.57	6.57	1	EUR	
02/12/2010 00:00	6.71	6.74	6.71	6.72	321	EUR	
03/12/2010 00:00	6.72	6.74	6.7	6.7	313	EUR	
06/12/2010 00:00	6.7	6.7	6.61	6.61	261	EUR	
07/12/2010 00:00	6.6	6.72	6.6	6.72	708	EUR	
08/12/2010 00:00	6.72	6.73	6.65	6.7	5263	EUR	
09/12/2010 00:00	6.7	6.7	6.7	6.7	301	EUR	
10/12/2010 00:00	6.71	6.75	6.7	6.75	925	EUR	
13/12/2010 00:00	6.75	6.75	6.75	6.75	201	EUR	
14/12/2010 00:00	6.74	6.74	6.66	6.66	1031	EUR	
15/12/2010 00:00	6.66	6.66	6.6	6.6	1251	EUR	
16/12/2010 00:00	6.67	6.67	6.61	6.61	154	EUR	
17/12/2010 00:00	6.61	6.65	6.6	6.65	751	EUR	
20/12/2010 00:00	6.62	6.7	6.62	6.66	1569	EUR	
21/12/2010 00:00	6.66	6.67	6.65	6.67	2862	EUR	
22/12/2010 00:00	6.71	6.75	6.7	6.75	481	EUR	
