date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	27.99	27.99	27.375	27.41	45835	EUR	
11/11/2010 00:00	27.41	27.55	26.81	26.815	66414	EUR	
12/11/2010 00:00	26.79	27.365	26.71	26.98	85528	EUR	
15/11/2010 00:00	26.9	27.2	26.75	27.2	198125	EUR	
16/11/2010 00:00	27.15	27.29	26.85	26.85	53934	EUR	
17/11/2010 00:00	26.85	27.415	26.82	27.16	76677	EUR	
18/11/2010 00:00	27.495	27.78	27.215	27.415	53395	EUR	
19/11/2010 00:00	27.45	27.49	27.115	27.21	28312	EUR	
22/11/2010 00:00	27.265	27.385	26.745	26.81	88324	EUR	
23/11/2010 00:00	26.76	27.2	26.72	27	113403	EUR	
24/11/2010 00:00	27.1	27.11	26.85	27	57719	EUR	
25/11/2010 00:00	27.13	27.73	27.125	27.6	84823	EUR	
26/11/2010 00:00	27.47	27.595	27.265	27.42	29281	EUR	
29/11/2010 00:00	27.425	27.5	27.25	27.5	41969	EUR	
30/11/2010 00:00	27.5	27.84	27.31	27.48	113394	EUR	
01/12/2010 00:00	27.75	27.75	27.095	27.405	112443	EUR	
02/12/2010 00:00	27.4	28.035	27.31	28.035	118644	EUR	
03/12/2010 00:00	28	28.035	27.715	28.035	30679	EUR	
06/12/2010 00:00	28.035	28.33	27.8	28.33	40901	EUR	
07/12/2010 00:00	28.33	28.5	28.27	28.5	38487	EUR	
08/12/2010 00:00	28.48	28.48	28.11	28.33	39202	EUR	
09/12/2010 00:00	28.335	28.365	27.9	28.365	35222	EUR	
10/12/2010 00:00	28.4	28.4	28.05	28.34	23643	EUR	
13/12/2010 00:00	28.25	28.295	27.9	28.2	62187	EUR	
14/12/2010 00:00	28.15	28.3	27.93	28.19	42048	EUR	
15/12/2010 00:00	28.185	28.325	27.835	28	55616	EUR	
16/12/2010 00:00	27.995	28.08	27.75	28	37445	EUR	
17/12/2010 00:00	27.965	28.03	27.62	27.62	182395	EUR	
20/12/2010 00:00	27.6	27.8	27.5	27.61	102960	EUR	
21/12/2010 00:00	27.7	27.7	27.255	27.285	86362	EUR	
22/12/2010 00:00	27.215	27.475	27.11	27.4	46944	EUR	
23/12/2010 00:00	27.245	27.58	27.2	27.49	38479	EUR	
24/12/2010 00:00	27.42	27.58	27.35	27.35	3050	EUR	
27/12/2010 00:00	27.395	27.395	27.25	27.39	12883	EUR	
28/12/2010 00:00	27.41	27.57	27.35	27.37	13712	EUR	
29/12/2010 00:00	27.51	27.64	27.43	27.61	33651	EUR	
30/12/2010 00:00	27.57	27.875	27.5	27.875	46984	EUR	
31/12/2010 00:00	27.86	28.1	27.86	28.1	12884	EUR	
03/01/2011 00:00	28.36	28.375	28.005	28.2	57437	EUR	
04/01/2011 00:00	28.35	28.41	27.98	28.195	58815	EUR	
05/01/2011 00:00	28.2	28.815	28.11	28.7	71159	EUR	
06/01/2011 00:00	28.8	28.81	28.15	28.46	73164	EUR	
07/01/2011 00:00	28.4	28.54	27.545	27.7	51898	EUR	
10/01/2011 00:00	27.78	27.79	27.1	27.1	74043	EUR	
11/01/2011 00:00	27.2	27.57	27.12	27.31	30654	EUR	
12/01/2011 00:00	27.32	28.14	27.32	28	70204	EUR	
13/01/2011 00:00	28.085	28.36	27.6	28.21	91628	EUR	
14/01/2011 00:00	28.25	28.435	28	28.33	47624	EUR	
17/01/2011 00:00	28.43	28.75	28.05	28.22	40948	EUR	
18/01/2011 00:00	28.32	28.83	28.32	28.615	55081	EUR	
19/01/2011 00:00	28.615	28.725	28.15	28.24	39200	EUR	
20/01/2011 00:00	28.29	28.785	28.15	28.165	62208	EUR	
21/01/2011 00:00	28.3	29.1	28.165	29	117038	EUR	
24/01/2011 00:00	29	29.02	28.19	28.31	49854	EUR	
25/01/2011 00:00	28.465	28.5	28.15	28.2	40494	EUR	
26/01/2011 00:00	28.25	28.545	28.2	28.5	69194	EUR	
27/01/2011 00:00	28.545	28.59	28.115	28.26	39112	EUR	
28/01/2011 00:00	28.25	28.35	28.035	28.15	30886	EUR	
31/01/2011 00:00	28.05	28.21	27.94	27.94	57714	EUR	
01/02/2011 00:00	28	28.08	27.91	28	48586	EUR	
02/02/2011 00:00	28.1	28.24	28	28.1	38399	EUR	
03/02/2011 00:00	28.1	28.1	27.9	28	47130	EUR	
04/02/2011 00:00	28.1	28.105	27.91	28.05	38323	EUR	
07/02/2011 00:00	28.14	28.27	27.935	28.24	103082	EUR	
08/02/2011 00:00	28.2	28.49	28.12	28.32	55675	EUR	
09/02/2011 00:00	28.44	28.47	28.155	28.235	51299	EUR	
10/02/2011 00:00	28.42	28.42	27.46	27.66	136889	EUR	
11/02/2011 00:00	27.665	27.77	27.46	27.64	88454	EUR	
14/02/2011 00:00	27.75	27.75	27.58	27.73	115092	EUR	
15/02/2011 00:00	27.8	27.895	27.75	27.85	48842	EUR	
16/02/2011 00:00	27.9	28	27.765	27.85	39480	EUR	
17/02/2011 00:00	27.85	27.895	27.8	27.87	77060	EUR	
18/02/2011 00:00	27.89	27.99	27.8	27.85	68633	EUR	
21/02/2011 00:00	27.825	27.855	27.5	27.555	49432	EUR	
22/02/2011 00:00	27.5	27.5	27.05	27.315	102598	EUR	
23/02/2011 00:00	27.32	27.55	27.24	27.3	58550	EUR	
24/02/2011 00:00	27.32	27.35	27.065	27.2	75057	EUR	
25/02/2011 00:00	27.3	27.465	27.14	27.39	34313	EUR	
28/02/2011 00:00	27.5	27.7	27.4	27.555	102436	EUR	
