date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	31.3	31.62	31.3	31.35	8582	EUR	
11/11/2010 00:00	31.25	31.7	31.25	31.425	4791	EUR	
12/11/2010 00:00	31.2	31.5	31.2	31.255	15266	EUR	
15/11/2010 00:00	31.3	31.5	31.3	31.5	11990	EUR	
16/11/2010 00:00	31.49	31.8	31.21	31.21	24202	EUR	
17/11/2010 00:00	31.205	31.4	31.1	31.1	6993	EUR	
18/11/2010 00:00	31.3	32.69	31.05	32.69	28784	EUR	
19/11/2010 00:00	32.69	34.5	32.6	34.5	50827	EUR	
22/11/2010 00:00	34.4	34.5	32	32.555	30122	EUR	
23/11/2010 00:00	32.69	33.25	32.185	32.3	27125	EUR	
24/11/2010 00:00	32.35	32.49	31.9	32.095	22038	EUR	
25/11/2010 00:00	32.145	32.145	31.7	31.8	10962	EUR	
26/11/2010 00:00	31.7	31.875	31.35	31.7	7094	EUR	
29/11/2010 00:00	31.7	32	31.035	31.035	6716	EUR	
30/11/2010 00:00	31.03	31.485	31.02	31.065	12629	EUR	
01/12/2010 00:00	31.2	32.8	31.125	32.55	23785	EUR	
02/12/2010 00:00	33.35	33.995	33.35	33.8	27123	EUR	
03/12/2010 00:00	33.9	33.9	33.6	33.65	17781	EUR	
06/12/2010 00:00	33.65	33.79	33.4	33.415	15950	EUR	
07/12/2010 00:00	33.56	33.75	33.435	33.5	14114	EUR	
08/12/2010 00:00	33.435	33.8	33.4	33.6	25405	EUR	
09/12/2010 00:00	33.75	34.39	33.515	34.1	38849	EUR	
10/12/2010 00:00	33.9	33.97	33.62	33.8	15708	EUR	
13/12/2010 00:00	34	34	33.605	33.7	17218	EUR	
14/12/2010 00:00	33.62	33.95	32.8	33	24858	EUR	
15/12/2010 00:00	34	34	33.275	33.7	56144	EUR	
16/12/2010 00:00	33.75	34.1	33.705	34.1	17846	EUR	
17/12/2010 00:00	34.2	34.49	34	34.49	21548	EUR	
20/12/2010 00:00	34.04	34.5	34.04	34.5	16019	EUR	
21/12/2010 00:00	34.25	34.5	34.2	34.3	13932	EUR	
22/12/2010 00:00	34.01	35.38	33.7	35.38	29294	EUR	
23/12/2010 00:00	34.97	35.32	34.59	35.065	10571	EUR	
24/12/2010 00:00	35.15	35.3	34.51	34.62	6521	EUR	
27/12/2010 00:00	34.6	34.785	34.585	34.69	7633	EUR	
28/12/2010 00:00	35	35	34.2	34.23	16353	EUR	
29/12/2010 00:00	34.4	34.6	34.25	34.59	6571	EUR	
30/12/2010 00:00	34.65	34.65	34.105	34.35	6378	EUR	
31/12/2010 00:00	34.4	34.4	34.2	34.3	5649	EUR	
03/01/2011 00:00	34.2	34.985	34.155	34.83	8106	EUR	
04/01/2011 00:00	35	35.295	34.5	34.5	13215	EUR	
05/01/2011 00:00	34.255	34.34	34.025	34.23	20723	EUR	
06/01/2011 00:00	34.25	34.6	34.05	34.2	11933	EUR	
07/01/2011 00:00	34.25	34.325	33.475	33.6	15841	EUR	
10/01/2011 00:00	33.3	33.315	32.85	32.85	11574	EUR	
11/01/2011 00:00	32.84	33.305	32.645	33.3	12490	EUR	
