date	ouv	haut	bas	clot	vol	devise	
27/01/2017 00:00	6.84	7.19	6.36	6.56	248183	EUR	
31/01/2018 00:00	5.56	6.13	5.56	5.925	0	EUR	
21/01/2020 00:00	4.7	4.7	4.35	4.56	36903	EUR	
22/01/2020 00:00	4.545	5.25	4.545	5.17	156168	EUR	
23/01/2020 00:00	5.3	5.57	5.2	5.5	133432	EUR	
24/01/2020 00:00	5.48	5.54	5.38	5.45	56173	EUR	
27/01/2020 00:00	5.42	5.42	5.07	5.2	69311	EUR	
28/01/2020 00:00	5.2	5.49	5.2	5.4	48183	EUR	
29/01/2020 00:00	5.48	5.48	5.25	5.34	35161	EUR	
30/01/2020 00:00	5.28	5.28	4.91	5.15	81305	EUR	
31/01/2020 00:00	5.05	5.14	4.555	4.7	187658	EUR	
03/02/2020 00:00	4.52	4.65	4.34	4.59	85467	EUR	
04/02/2020 00:00	4.7	4.875	4.605	4.7	26862	EUR	
05/02/2020 00:00	4.68	4.68	4.5	4.58	22230	EUR	
06/02/2020 00:00	4.5	4.67	4.34	4.615	73942	EUR	
07/02/2020 00:00	4.655	4.655	4.405	4.405	14070	EUR	
10/02/2020 00:00	4.455	4.64	4.15	4.23	79438	EUR	
11/02/2020 00:00	4.16	4.4	4.16	4.315	29461	EUR	
12/02/2020 00:00	4.32	4.53	4.23	4.39	24123	EUR	
13/02/2020 00:00	4.47	4.71	4.375	4.58	42883	EUR	
14/02/2020 00:00	4.54	4.81	4.54	4.65	45660	EUR	
17/02/2020 00:00	4.55	4.77	4.53	4.59	16833	EUR	
18/02/2020 00:00	4.495	4.68	4.465	4.65	42002	EUR	
19/02/2020 00:00	4.655	4.66	4.485	4.57	18959	EUR	
20/02/2020 00:00	4.64	4.68	4.47	4.55	21023	EUR	
21/02/2020 00:00	4.59	4.76	4.37	4.76	61741	EUR	
24/02/2020 00:00	4.61	4.65	4.325	4.44	48143	EUR	
25/02/2020 00:00	4.335	4.63	4.33	4.515	26474	EUR	
26/02/2020 00:00	4.56	4.6	4.365	4.55	21158	EUR	
27/02/2020 00:00	4.47	4.62	4.39	4.5	33350	EUR	
28/02/2020 00:00	4.3	4.355	4.15	4.275	67211	EUR	
02/03/2020 00:00	4.25	4.43	4.16	4.245	26801	EUR	
03/03/2020 00:00	4.25	4.435	4.25	4.31	22752	EUR	
04/03/2020 00:00	4.31	4.39	4.3	4.38	9752	EUR	
05/03/2020 00:00	4.31	4.44	4.24	4.34	30127	EUR	
06/03/2020 00:00	4.22	4.3	3.8	3.96	70536	EUR	
09/03/2020 00:00	3.56	3.8	3.41	3.58	94987	EUR	
10/03/2020 00:00	3.7	3.795	3.505	3.65	67175	EUR	
11/03/2020 00:00	3.715	3.8	3.51	3.595	28915	EUR	
12/03/2020 00:00	3.43	3.43	3.01	3.01	74010	EUR	
13/03/2020 00:00	3.05	3.285	3.005	3.1	78724	EUR	
16/03/2020 00:00	2.9	2.9	2.5	2.89	67434	EUR	
17/03/2020 00:00	2.8	3.1	2.65	3.1	55449	EUR	
18/03/2020 00:00	3.2	3.2	2.95	2.95	27634	EUR	
19/03/2020 00:00	2.96	3.275	2.865	2.98	31926	EUR	
20/03/2020 00:00	3.1	3.33	3.1	3.205	40587	EUR	
23/03/2020 00:00	3.1	3.2	2.94	2.99	57564	EUR	
24/03/2020 00:00	3.16	3.2	3.01	3.04	40465	EUR	
25/03/2020 00:00	3.18	3.18	3	3.09	61267	EUR	
26/03/2020 00:00	3.09	4.38	2.955	4.17	374746	EUR	
27/03/2020 00:00	4.2	4.6	3.72	3.75	418386	EUR	
