date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	4.36	4.36	3.907	3.931	29338166	EUR	
11/11/2010 00:00	3.994	3.995	3.875	3.966	8440579	EUR	
12/11/2010 00:00	3.905	4.087	3.861	4.005	7637198	EUR	
15/11/2010 00:00	4.079	4.079	3.988	4.071	4261977	EUR	
16/11/2010 00:00	4.049	4.049	3.851	3.882	7148346	EUR	
17/11/2010 00:00	3.879	3.929	3.835	3.85	5816736	EUR	
18/11/2010 00:00	3.895	3.91	3.831	3.845	5185933	EUR	
19/11/2010 00:00	3.85	3.857	3.727	3.795	6835623	EUR	
22/11/2010 00:00	3.85	3.878	3.692	3.725	5635952	EUR	
23/11/2010 00:00	3.69	3.7	3.601	3.623	5286976	EUR	
24/11/2010 00:00	3.63	3.658	3.535	3.58	9819819	EUR	
25/11/2010 00:00	3.601	3.727	3.579	3.712	6790071	EUR	
26/11/2010 00:00	3.697	3.697	3.58	3.646	5809785	EUR	
29/11/2010 00:00	3.66	3.719	3.503	3.518	7010073	EUR	
30/11/2010 00:00	3.501	3.515	3.351	3.393	9405137	EUR	
01/12/2010 00:00	3.449	3.6	3.414	3.6	7274397	EUR	
02/12/2010 00:00	3.628	3.717	3.532	3.699	8280863	EUR	
03/12/2010 00:00	3.718	3.719	3.636	3.708	5447239	EUR	
06/12/2010 00:00	3.71	3.714	3.66	3.693	2244926	EUR	
07/12/2010 00:00	3.704	3.722	3.651	3.676	3464230	EUR	
08/12/2010 00:00	3.664	3.72	3.64	3.705	3652358	EUR	
09/12/2010 00:00	3.718	3.789	3.707	3.763	4467241	EUR	
10/12/2010 00:00	3.779	3.779	3.702	3.767	3283570	EUR	
13/12/2010 00:00	3.79	3.814	3.766	3.775	3363701	EUR	
14/12/2010 00:00	3.771	3.779	3.708	3.73	3482175	EUR	
15/12/2010 00:00	3.721	3.725	3.631	3.663	3574203	EUR	
16/12/2010 00:00	3.656	3.667	3.602	3.602	3780055	EUR	
17/12/2010 00:00	3.621	3.64	3.545	3.551	3834169	EUR	
20/12/2010 00:00	3.551	3.628	3.531	3.589	2218223	EUR	
21/12/2010 00:00	3.61	3.648	3.602	3.632	1962733	EUR	
22/12/2010 00:00	3.63	3.674	3.626	3.649	2048009	EUR	
23/12/2010 00:00	3.65	3.657	3.617	3.623	1103421	EUR	
24/12/2010 00:00	3.621	3.63	3.589	3.589	635000	EUR	
27/12/2010 00:00	3.59	3.609	3.521	3.544	2079772	EUR	
28/12/2010 00:00	3.548	3.57	3.52	3.521	1710016	EUR	
29/12/2010 00:00	3.529	3.56	3.517	3.517	1300195	EUR	
30/12/2010 00:00	3.517	3.55	3.501	3.501	1798385	EUR	
31/12/2010 00:00	3.518	3.538	3.5	3.5	1017118	EUR	
03/01/2011 00:00	3.562	3.624	3.544	3.615	2485011	EUR	
04/01/2011 00:00	3.633	3.696	3.6	3.689	3530480	EUR	
05/01/2011 00:00	3.698	3.717	3.611	3.711	3364909	EUR	
06/01/2011 00:00	3.725	3.756	3.666	3.671	3923600	EUR	
07/01/2011 00:00	3.683	3.689	3.607	3.616	2869368	EUR	
10/01/2011 00:00	3.607	3.611	3.514	3.554	4185906	EUR	
11/01/2011 00:00	3.569	3.625	3.551	3.607	3080621	EUR	
12/01/2011 00:00	3.609	3.766	3.606	3.766	6093577	EUR	
13/01/2011 00:00	3.769	3.884	3.751	3.884	8062452	EUR	
14/01/2011 00:00	3.875	3.94	3.803	3.899	5708026	EUR	
17/01/2011 00:00	3.89	3.917	3.851	3.887	1961548	EUR	
18/01/2011 00:00	3.89	3.963	3.885	3.949	3673048	EUR	
19/01/2011 00:00	3.96	4	3.918	3.918	4506520	EUR	
20/01/2011 00:00	3.902	3.981	3.852	3.874	4684530	EUR	
21/01/2011 00:00	3.9	3.998	3.873	3.917	6137553	EUR	
24/01/2011 00:00	3.953	3.972	3.871	3.954	3647348	EUR	
25/01/2011 00:00	3.951	3.965	3.87	3.898	3837997	EUR	
26/01/2011 00:00	3.896	3.934	3.81	3.815	5636588	EUR	
27/01/2011 00:00	3.82	3.947	3.802	3.911	5573805	EUR	
28/01/2011 00:00	3.911	3.98	3.875	3.898	4057861	EUR	
31/01/2011 00:00	3.85	3.918	3.802	3.877	4662014	EUR	
01/02/2011 00:00	3.899	3.96	3.861	3.945	4622969	EUR	
02/02/2011 00:00	3.959	3.996	3.945	3.958	5314171	EUR	
03/02/2011 00:00	3.953	3.975	3.904	3.935	3137452	EUR	
04/02/2011 00:00	3.942	3.97	3.922	3.948	3556992	EUR	
07/02/2011 00:00	3.951	4.044	3.946	4.027	6100051	EUR	
08/02/2011 00:00	4.03	4.105	4.005	4.105	7909753	EUR	
09/02/2011 00:00	4.107	4.13	4.071	4.075	4399434	EUR	
10/02/2011 00:00	4.071	4.086	3.901	3.952	8334868	EUR	
11/02/2011 00:00	3.95	3.971	3.895	3.94	5799339	EUR	
14/02/2011 00:00	3.989	3.998	3.921	3.928	5107328	EUR	
15/02/2011 00:00	3.926	4.018	3.922	4.018	4761379	EUR	
16/02/2011 00:00	4.019	4.17	4.01	4.161	9730054	EUR	
17/02/2011 00:00	4.177	4.22	4.115	4.137	6472149	EUR	
18/02/2011 00:00	4.137	4.165	4.074	4.134	3944061	EUR	
21/02/2011 00:00	4.155	4.193	4.086	4.096	6458557	EUR	
22/02/2011 00:00	4.09	4.146	3.96	4.127	8444630	EUR	
23/02/2011 00:00	4.341	4.389	4.235	4.304	19530870	EUR	
24/02/2011 00:00	4.299	4.355	4.234	4.26	9274920	EUR	
25/02/2011 00:00	4.276	4.343	4.241	4.278	5796814	EUR	
28/02/2011 00:00	4.27	4.328	4.224	4.319	7479449	EUR	
01/03/2011 00:00	4.33	4.36	4.241	4.258	7997573	EUR	
02/03/2011 00:00	4.2	4.25	4.154	4.247	7350340	EUR	
03/03/2011 00:00	4.268	4.319	4.186	4.241	6769132	EUR	
04/03/2011 00:00	4.249	4.307	4.17	4.18	6143843	EUR	
07/03/2011 00:00	4.17	4.251	4.14	4.164	7174188	EUR	
08/03/2011 00:00	4.189	4.219	4.15	4.219	5401456	EUR	
09/03/2011 00:00	4.225	4.235	4.144	4.15	6085989	EUR	
10/03/2011 00:00	4.128	4.144	4.1	4.129	5170258	EUR	
11/03/2011 00:00	4.069	4.135	4.061	4.099	5302508	EUR	
14/03/2011 00:00	4.05	4.219	4.031	4.163	9251373	EUR	
15/03/2011 00:00	4.066	4.12	3.891	3.99	14854350	EUR	
16/03/2011 00:00	3.99	4.028	3.85	3.874	10553146	EUR	
17/03/2011 00:00	3.862	3.945	3.853	3.913	8542320	EUR	
18/03/2011 00:00	3.97	4.053	3.937	4.011	10542341	EUR	
21/03/2011 00:00	4.065	4.123	4.06	4.106	5060283	EUR	
22/03/2011 00:00	4.112	4.159	4.048	4.085	6698128	EUR	
23/03/2011 00:00	4.07	4.125	4.04	4.108	5520091	EUR	
24/03/2011 00:00	4.081	4.165	4.057	4.143	6219373	EUR	
25/03/2011 00:00	4.159	4.159	4.096	4.108	5023678	EUR	
28/03/2011 00:00	4.102	4.159	4.088	4.153	4069473	EUR	
29/03/2011 00:00	4.166	4.166	4.062	4.08	4769805	EUR	
30/03/2011 00:00	4.1	4.121	4.052	4.068	4671096	EUR	
31/03/2011 00:00	4.07	4.083	3.991	3.991	6115350	EUR	
01/04/2011 00:00	4.03	4.098	4.005	4.087	5386085	EUR	
04/04/2011 00:00	4.081	4.099	4.039	4.049	3796450	EUR	
05/04/2011 00:00	4.065	4.066	4.002	4.05	3181138	EUR	
06/04/2011 00:00	4.06	4.15	3.997	4.149	5966349	EUR	
07/04/2011 00:00	4.138	4.2	4.11	4.165	8736210	EUR	
08/04/2011 00:00	4.186	4.218	4.132	4.157	3822183	EUR	
11/04/2011 00:00	4.141	4.183	4.111	4.131	3208601	EUR	
12/04/2011 00:00	4.105	4.111	4.052	4.084	5500438	EUR	
13/04/2011 00:00	4.123	4.166	4.075	4.141	5605362	EUR	
14/04/2011 00:00	4.129	4.129	4.001	4.029	5729561	EUR	
15/04/2011 00:00	4.01	4.019	3.92	3.962	6743860	EUR	
18/04/2011 00:00	3.98	3.99	3.798	3.81	10108525	EUR	
19/04/2011 00:00	3.828	3.837	3.705	3.8	9038114	EUR	
20/04/2011 00:00	3.83	3.851	3.783	3.794	6462013	EUR	
21/04/2011 00:00	3.829	3.87	3.787	3.8	5067204	EUR	
26/04/2011 00:00	3.828	3.847	3.789	3.815	4867214	EUR	
27/04/2011 00:00	3.82	3.889	3.783	3.868	5410068	EUR	
28/04/2011 00:00	3.889	3.919	3.868	3.89	5556160	EUR	
29/04/2011 00:00	3.891	3.918	3.873	3.882	3885408	EUR	
02/05/2011 00:00	3.919	3.94	3.891	3.922	3000784	EUR	
03/05/2011 00:00	3.948	3.948	3.892	3.924	5324943	EUR	
04/05/2011 00:00	3.915	3.958	3.891	3.899	5895542	EUR	
05/05/2011 00:00	3.901	3.915	3.801	3.81	7817902	EUR	
06/05/2011 00:00	3.812	3.942	3.772	3.905	8995171	EUR	
09/05/2011 00:00	3.891	3.896	3.801	3.815	8620765	EUR	
10/05/2011 00:00	3.829	3.899	3.801	3.865	6139419	EUR	
11/05/2011 00:00	3.871	3.928	3.86	3.904	5413695	EUR	
12/05/2011 00:00	3.904	3.989	3.901	3.911	10483168	EUR	
13/05/2011 00:00	3.939	3.944	3.826	3.833	8298823	EUR	
16/05/2011 00:00	3.777	3.809	3.731	3.802	7057135	EUR	
17/05/2011 00:00	3.781	3.845	3.762	3.766	5196956	EUR	
18/05/2011 00:00	3.84	3.849	3.771	3.801	6259162	EUR	
19/05/2011 00:00	3.808	3.903	3.782	3.842	7569697	EUR	
20/05/2011 00:00	3.842	3.9	3.842	3.85	9344873	EUR	
23/05/2011 00:00	3.8	3.818	3.747	3.758	6162146	EUR	
24/05/2011 00:00	3.76	3.768	3.693	3.7	8730669	EUR	
25/05/2011 00:00	3.68	3.807	3.672	3.79	7604870	EUR	
26/05/2011 00:00	3.81	3.884	3.786	3.825	6516590	EUR	
27/05/2011 00:00	3.864	3.919	3.839	3.865	6593742	EUR	
30/05/2011 00:00	3.865	3.882	3.828	3.84	2159981	EUR	
31/05/2011 00:00	3.88	3.915	3.878	3.908	6983197	EUR	
01/06/2011 00:00	3.928	3.936	3.857	3.87	6873215	EUR	
02/06/2011 00:00	3.616	3.664	3.582	3.605	7099013	EUR	
03/06/2011 00:00	3.621	3.637	3.541	3.623	6735433	EUR	
06/06/2011 00:00	3.623	3.623	3.56	3.585	6102602	EUR	
07/06/2011 00:00	3.588	3.632	3.574	3.579	4845107	EUR	
08/06/2011 00:00	3.579	3.593	3.508	3.505	5995343	EUR	
