date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.974	2.974	2.938	2.947	44101	EUR	
11/11/2010 00:00	2.965	2.965	2.901	2.938	68546	EUR	
12/11/2010 00:00	2.901	2.919	2.856	2.901	43599	EUR	
15/11/2010 00:00	2.883	2.91	2.865	2.901	49674	EUR	
16/11/2010 00:00	2.901	2.901	2.748	2.811	90664	EUR	
17/11/2010 00:00	2.838	2.883	2.793	2.865	89567	EUR	
18/11/2010 00:00	2.901	2.91	2.874	2.883	24551	EUR	
19/11/2010 00:00	2.847	2.91	2.838	2.856	48004	EUR	
22/11/2010 00:00	2.892	2.892	2.856	2.856	56007	EUR	
23/11/2010 00:00	2.856	2.883	2.811	2.82	70035	EUR	
24/11/2010 00:00	2.82	2.829	2.766	2.829	46488	EUR	
25/11/2010 00:00	2.811	2.838	2.784	2.829	38524	EUR	
26/11/2010 00:00	2.802	2.811	2.757	2.811	83113	EUR	
29/11/2010 00:00	2.829	2.829	2.712	2.793	108173	EUR	
30/11/2010 00:00	2.757	2.784	2.73	2.775	78791	EUR	
01/12/2010 00:00	2.775	2.802	2.567	2.766	56914	EUR	
02/12/2010 00:00	2.766	2.82	2.766	2.802	52114	EUR	
03/12/2010 00:00	2.802	2.892	2.802	2.892	56137	EUR	
06/12/2010 00:00	2.892	2.956	2.874	2.938	87267	EUR	
07/12/2010 00:00	2.928	2.956	2.901	2.91	68355	EUR	
08/12/2010 00:00	2.91	2.919	2.883	2.919	35642	EUR	
09/12/2010 00:00	2.91	2.928	2.883	2.91	35655	EUR	
10/12/2010 00:00	2.91	2.974	2.901	2.974	71007	EUR	
13/12/2010 00:00	2.983	2.983	2.938	2.974	22504	EUR	
14/12/2010 00:00	2.974	2.992	2.947	2.983	64603	EUR	
15/12/2010 00:00	2.965	2.974	2.901	2.965	47737	EUR	
16/12/2010 00:00	2.974	2.974	2.938	2.965	31109	EUR	
17/12/2010 00:00	2.974	2.974	2.892	2.965	39257	EUR	
20/12/2010 00:00	2.974	2.974	2.947	2.974	18479	EUR	
21/12/2010 00:00	2.965	2.983	2.928	2.965	27727	EUR	
22/12/2010 00:00	2.938	2.965	2.91	2.919	21862	EUR	
23/12/2010 00:00	2.91	2.938	2.883	2.91	32514	EUR	
24/12/2010 00:00	2.901	2.901	2.856	2.892	18836	EUR	
27/12/2010 00:00	2.865	2.883	2.784	2.847	62004	EUR	
28/12/2010 00:00	2.82	2.91	2.82	2.892	141426	EUR	
29/12/2010 00:00	2.883	2.919	2.865	2.919	27229	EUR	
30/12/2010 00:00	2.892	2.928	2.883	2.901	21307	EUR	
31/12/2010 00:00	2.919	2.919	2.856	2.892	12982	EUR	
03/01/2011 00:00	2.901	2.919	2.865	2.901	22462	EUR	
04/01/2011 00:00	2.928	2.947	2.91	2.928	22045	EUR	
05/01/2011 00:00	2.91	2.956	2.91	2.947	46764	EUR	
06/01/2011 00:00	2.983	3.046	2.965	3.037	92898	EUR	
07/01/2011 00:00	3.028	3.028	2.983	3.01	33787	EUR	
10/01/2011 00:00	2.992	3.001	2.947	2.947	28818	EUR	
11/01/2011 00:00	2.956	2.992	2.947	2.974	16589	EUR	
12/01/2011 00:00	2.974	3.037	2.956	2.983	56810	EUR	
13/01/2011 00:00	2.928	3.1	2.856	3.073	498345	EUR	
14/01/2011 00:00	3.082	3.57	3.037	3.516	1504680	EUR	
17/01/2011 00:00	3.516	3.661	3.29	3.489	779552	EUR	
18/01/2011 00:00	3.525	3.525	3.344	3.435	299616	EUR	
19/01/2011 00:00	3.462	3.498	3.38	3.408	445427	EUR	
20/01/2011 00:00	3.426	3.525	3.353	3.525	402315	EUR	
