date	ouv	haut	bas	clot	vol	devise	
14/03/2018 00:00	15.07	15.07	15.07	15.07	13885	EUR	
15/03/2018 00:00	16.5	16.5	15.07	15.07	3523	EUR	
16/03/2018 00:00	15.07	15.07	15.07	15.07	2030	EUR	
19/03/2018 00:00	14.92	14.92	14.92	14.92	488	EUR	
20/03/2018 00:00	15.07	16	15.07	16	1894	EUR	
21/03/2018 00:00	16.5	17.5	16.5	17.5	4742	EUR	
22/03/2018 00:00	18.5	18.7	18.5	18.7	5081	EUR	
23/03/2018 00:00	18.6	18.7	18.6	18.7	1447	EUR	
26/03/2018 00:00	20	20	20	20	24501	EUR	
27/03/2018 00:00	21	21.5	21	21.5	8563	EUR	
28/03/2018 00:00	21.5	22	21.5	22	5704	EUR	
29/03/2018 00:00	22	22	21	21	3883	EUR	
03/04/2018 00:00	19.95	19.95	19.95	19.95	0	EUR	
05/04/2018 00:00	15.07	15.07	15.07	15.07	3702	EUR	
06/04/2018 00:00	15	16.446	15	16.446	1726	EUR	
09/04/2018 00:00	16.5	16.5	16.002	16.002	1688	EUR	
10/04/2018 00:00	16	16	15.7	15.7	1370	EUR	
11/04/2018 00:00	15	15	14.95	14.95	1998	EUR	
12/04/2018 00:00	14.8	14.8	14.7	14.7	1168	EUR	
13/04/2018 00:00	14.4	14.4	14	14	1061	EUR	
16/04/2018 00:00	13.5	13.5	12.55	12.55	1914	EUR	
17/04/2018 00:00	12.5	12.51	12.5	12.51	2237	EUR	
18/04/2018 00:00	12.522	12.54	12.522	12.54	1130	EUR	
19/04/2018 00:00	13.22	13.42	13.22	13.42	671	EUR	
20/04/2018 00:00	14.6	14.6	14.498	14.498	999	EUR	
23/04/2018 00:00	14.758	14.758	14.758	14.758	372	EUR	
24/04/2018 00:00	14.76	14.76	14.75	14.75	789	EUR	
25/04/2018 00:00	14.7	14.948	14.7	14.948	960	EUR	
26/04/2018 00:00	14.9	14.9	14.7	14.7	299	EUR	
27/04/2018 00:00	14.65	14.65	14.65	14.65	570	EUR	
30/04/2018 00:00	15.018	15.5	15.018	15.5	1106	EUR	
02/05/2018 00:00	14.962	15.02	14.962	15.02	884	EUR	
03/05/2018 00:00	15.01	15.01	14.6	14.6	1628	EUR	
04/05/2018 00:00	14.12	14.122	14.12	14.122	590	EUR	
07/05/2018 00:00	14.49	14.5	14.49	14.5	248	EUR	
08/05/2018 00:00	15	15.048	15	15.048	115	EUR	
09/05/2018 00:00	15	15	15	15	70	EUR	
10/05/2018 00:00	15.038	15.04	15.038	15.04	844	EUR	
11/05/2018 00:00	14.9	14.9	14.5	14.5	188	EUR	
14/05/2018 00:00	14.49	14.49	13.6	13.6	740	EUR	
15/05/2018 00:00	13	13	13	13	6572	EUR	
16/05/2018 00:00	13	13	12.7	12.7	797	EUR	
17/05/2018 00:00	12.152	12.3	12.152	12.3	1457	EUR	
18/05/2018 00:00	12.4	13	12.4	13	540	EUR	
21/05/2018 00:00	13	13	13	13	0	EUR	
23/05/2018 00:00	12.8	12.8	12.7	12.7	830	EUR	
24/05/2018 00:00	12.8	12.8	12.8	12.8	223	EUR	
25/05/2018 00:00	12.8	12.8	12.522	12.522	422	EUR	
28/05/2018 00:00	12.85	12.85	12.25	12.25	1353	EUR	
29/05/2018 00:00	12	12.1	12	12.1	605	EUR	
30/05/2018 00:00	12	12.888	12	12.888	435	EUR	
31/05/2018 00:00	11.602	11.96	11.602	11.96	1072	EUR	
01/06/2018 00:00	11.96	12.998	11.96	12.998	216	EUR	
04/06/2018 00:00	12.896	12.896	12.8	12.8	220	EUR	
05/06/2018 00:00	12.8	12.8	12.8	12.8	18	EUR	
06/06/2018 00:00	12.8	12.8	12.8	12.8	105	EUR	
07/06/2018 00:00	12.99	12.99	12.99	12.99	453	EUR	
08/06/2018 00:00	12.972	12.972	12.972	12.972	148	EUR	
11/06/2018 00:00	12.998	12.998	12.998	12.998	26	EUR	
12/06/2018 00:00	12.002	12.002	12	12	1286	EUR	
13/06/2018 00:00	11.42	11.42	10.8	10.8	750	EUR	
14/06/2018 00:00	10.6	10.6	10.6	10.6	11256	EUR	
15/06/2018 00:00	10.5	10.6	10.5	10.6	601	EUR	
18/06/2018 00:00	12.7	12.7	12.7	12.7	34	EUR	
19/06/2018 00:00	12.99	12.99	12.99	12.99	10	EUR	
20/06/2018 00:00	10.72	11.688	10.72	11.688	1012	EUR	
21/06/2018 00:00	11.7	11.7	11.7	11.7	173	EUR	
22/06/2018 00:00	10	10	9.99	9.99	2462	EUR	
25/06/2018 00:00	10.15	10.15	10.15	10.15	147	EUR	
26/06/2018 00:00	10.15	10.15	9.75	9.75	351	EUR	
27/06/2018 00:00	10.15	10.15	10.15	10.15	20	EUR	
28/06/2018 00:00	10	10	10	10	336	EUR	
29/06/2018 00:00	10.15	10.15	10.15	10.15	75	EUR	
02/07/2018 00:00	10.148	10.148	10.148	10.148	300	EUR	
03/07/2018 00:00	10.5	10.5	10.49	10.49	63	EUR	
04/07/2018 00:00	10.9	10.9	10.9	10.9	0	EUR	
06/07/2018 00:00	9.52	9.52	9.52	9.52	810	EUR	
09/07/2018 00:00	9.5	9.5	9	9	1304	EUR	
10/07/2018 00:00	9.9	9.9	9.9	9.9	15	EUR	
11/07/2018 00:00	9.1	9.998	9.1	9.998	837	EUR	
12/07/2018 00:00	10.8	10.8	10.8	10.8	18	EUR	
13/07/2018 00:00	10.8	10.8	10.8	10.8	10	EUR	
16/07/2018 00:00	10.8	10.8	10.8	10.8	0	EUR	
18/07/2018 00:00	10.69	10.69	10.69	10.69	100	EUR	
19/07/2018 00:00	9.8	9.8	9.8	9.8	200	EUR	
20/07/2018 00:00	10.75	10.75	10.75	10.75	18	EUR	
23/07/2018 00:00	10.75	10.75	10.75	10.75	11	EUR	
24/07/2018 00:00	10.78	10.78	10.78	10.78	226	EUR	
25/07/2018 00:00	9.8	9.8	9.8	9.8	525	EUR	
26/07/2018 00:00	10.78	10.78	10.78	10.78	0	EUR	
30/07/2018 00:00	9.26	9.26	9.26	9.26	0	EUR	
01/08/2018 00:00	9	9	8.999	8.999	1166	EUR	
02/08/2018 00:00	8.9	9.79	8.9	9.79	257	EUR	
