date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	6.05	6.05	6	6.04	14979	EUR	
11/11/2010 00:00	6.05	6.05	5.96	6.02	10138	EUR	
12/11/2010 00:00	6.03	6.03	5.91	5.98	13278	EUR	
15/11/2010 00:00	5.99	6	5.93	6	11756	EUR	
16/11/2010 00:00	5.92	5.95	5.91	5.92	10559	EUR	
17/11/2010 00:00	5.9	5.92	5.8	5.9	21450	EUR	
18/11/2010 00:00	5.9	5.95	5.89	5.95	7811	EUR	
19/11/2010 00:00	6	6.06	5.96	5.96	12184	EUR	
22/11/2010 00:00	5.95	5.95	5.81	5.91	17437	EUR	
23/11/2010 00:00	5.82	5.94	5.3	5.74	43648	EUR	
24/11/2010 00:00	5.71	5.76	5.6	5.7	18060	EUR	
25/11/2010 00:00	5.8	5.8	5.7	5.76	7886	EUR	
26/11/2010 00:00	5.75	5.76	5.66	5.76	8916	EUR	
29/11/2010 00:00	5.72	5.74	5.59	5.6	17554	EUR	
30/11/2010 00:00	5.55	5.6	5.4	5.45	26813	EUR	
01/12/2010 00:00	5.5	5.5	5.37	5.45	18358	EUR	
02/12/2010 00:00	5.6	5.6	5.46	5.6	16621	EUR	
03/12/2010 00:00	5.6	5.66	5.55	5.6	11630	EUR	
06/12/2010 00:00	5.55	5.55	5.46	5.54	15118	EUR	
07/12/2010 00:00	5.54	5.54	5.39	5.42	31638	EUR	
08/12/2010 00:00	5.48	5.48	5.4	5.45	9615	EUR	
09/12/2010 00:00	5.44	5.49	5.4	5.41	14585	EUR	
10/12/2010 00:00	5.47	5.54	5.4	5.53	16142	EUR	
13/12/2010 00:00	5.55	5.57	5.45	5.57	24825	EUR	
14/12/2010 00:00	5.51	5.75	5.51	5.73	54262	EUR	
15/12/2010 00:00	5.65	5.73	5.63	5.63	15785	EUR	
16/12/2010 00:00	5.65	5.75	5.65	5.7	40862	EUR	
17/12/2010 00:00	5.72	5.75	5.67	5.71	24958	EUR	
20/12/2010 00:00	5.73	5.73	5.65	5.66	23520	EUR	
21/12/2010 00:00	5.57	5.65	5.54	5.63	34998	EUR	
22/12/2010 00:00	5.55	5.62	5.55	5.57	16891	EUR	
23/12/2010 00:00	5.54	5.6	5.51	5.6	27609	EUR	
24/12/2010 00:00	5.6	5.62	5.53	5.59	21451	EUR	
27/12/2010 00:00	5.57	5.58	5.5	5.5	10396	EUR	
28/12/2010 00:00	5.53	5.59	5.51	5.55	27634	EUR	
29/12/2010 00:00	5.55	5.57	5.48	5.56	17138	EUR	
30/12/2010 00:00	5.58	5.58	5.5	5.55	13977	EUR	
31/12/2010 00:00	5.57	5.58	5.5	5.5	7830	EUR	
03/01/2011 00:00	5.6	5.65	5.55	5.65	13159	EUR	
04/01/2011 00:00	5.65	5.85	5.6	5.8	34805	EUR	
05/01/2011 00:00	5.82	5.92	5.75	5.88	44452	EUR	
06/01/2011 00:00	5.9	5.95	5.82	5.93	30160	EUR	
07/01/2011 00:00	5.95	5.97	5.85	5.95	26811	EUR	
10/01/2011 00:00	5.98	6.03	5.93	6.03	34120	EUR	
11/01/2011 00:00	6	6.14	5.9	5.99	61523	EUR	
