date	ouv	haut	bas	clot	vol	devise	
02/07/2014 00:00	243.6	271.6	243.6	257.25	986	EUR	
03/07/2014 00:00	253.75	266	248.5	255.15	248	EUR	
04/07/2014 00:00	255.5	263.9	255.5	256.2	88	EUR	
07/07/2014 00:00	262.5	264.6	257.6	257.6	145	EUR	
08/07/2014 00:00	265.3	266	254.8	254.8	292	EUR	
09/07/2014 00:00	254.8	255.5	250.95	254.8	137	EUR	
10/07/2014 00:00	251.65	255.15	241.5	244.3	328	EUR	
11/07/2014 00:00	245	245	238	242.9	240	EUR	
14/07/2014 00:00	245	245	234.5	243.25	105	EUR	
15/07/2014 00:00	243.25	243.6	227.85	243.6	195	EUR	
16/07/2014 00:00	244.65	245	239.75	245	98	EUR	
17/07/2014 00:00	245	246.75	245	246.75	19	EUR	
18/07/2014 00:00	246.75	248.5	246.75	246.75	16	EUR	
21/07/2014 00:00	248.5	249.2	243.25	243.25	53	EUR	
22/07/2014 00:00	243.25	248.5	243.25	245	59	EUR	
23/07/2014 00:00	245	246.75	245	246.75	24	EUR	
24/07/2014 00:00	245	250.25	245	249.9	16	EUR	
25/07/2014 00:00	251.3	253.75	245	252	73	EUR	
28/07/2014 00:00	254.8	254.8	248.15	253.75	61	EUR	
29/07/2014 00:00	252	253.75	247.1	253.75	95	EUR	
30/07/2014 00:00	254.45	254.45	248.5	253.75	22	EUR	
31/07/2014 00:00	253.75	253.75	252	253.75	58	EUR	
01/08/2014 00:00	252	254.1	248.85	253.05	29	EUR	
04/08/2014 00:00	252	253.4	252	252	17	EUR	
05/08/2014 00:00	252	252	246.75	252	32	EUR	
06/08/2014 00:00	251.3	251.3	239.75	243.25	131	EUR	
07/08/2014 00:00	243.25	245	243.25	244.65	12	EUR	
08/08/2014 00:00	244.65	244.65	232.4	242.9	66	EUR	
11/08/2014 00:00	241.85	242.9	238	241.5	22	EUR	
12/08/2014 00:00	242.55	242.55	242.55	242.55	69	EUR	
13/08/2014 00:00	242.55	242.55	238	238	7	EUR	
14/08/2014 00:00	238	238	232.4	238	16	EUR	
15/08/2014 00:00	238	238.35	238	238.35	479	EUR	
18/08/2014 00:00	238.35	243.25	238.35	241.5	43	EUR	
19/08/2014 00:00	243.25	247.8	243.25	247.8	25	EUR	
20/08/2014 00:00	247.8	250.95	247.8	250.95	25	EUR	
21/08/2014 00:00	253.05	253.75	252	253.75	65	EUR	
22/08/2014 00:00	253.75	253.75	252	252	11	EUR	
25/08/2014 00:00	252	253.75	252	253.75	17	EUR	
26/08/2014 00:00	253.75	254.45	250.25	254.45	26	EUR	
27/08/2014 00:00	254.1	254.1	254.1	254.1	4	EUR	
28/08/2014 00:00	253.75	253.75	253.75	253.75	24	EUR	
29/08/2014 00:00	253.75	253.75	252	253.75	23	EUR	
01/09/2014 00:00	247.1	253.05	247.1	253.05	19	EUR	
02/09/2014 00:00	253.05	253.4	248.5	253.4	20	EUR	
03/09/2014 00:00	253.75	253.75	248.5	253.4	34	EUR	
04/09/2014 00:00	252	252	248.5	250.25	35	EUR	
05/09/2014 00:00	250.25	250.25	247.8	250.25	36	EUR	
08/09/2014 00:00	248.5	248.5	247.1	248.5	32	EUR	
09/09/2014 00:00	248.5	248.5	245.7	246.75	30	EUR	
10/09/2014 00:00	246.75	246.75	245.35	246.75	11	EUR	
11/09/2014 00:00	246.4	246.75	245	245	58	EUR	
12/09/2014 00:00	245	245	239.75	241.5	151	EUR	
15/09/2014 00:00	241.15	241.5	239.75	239.75	20	EUR	
16/09/2014 00:00	240.8	241.5	240.8	241.5	22	EUR	
17/09/2014 00:00	241.15	241.5	239.75	241.5	9	EUR	
18/09/2014 00:00	241.5	241.5	237.3	238	77	EUR	
19/09/2014 00:00	236.25	239.75	236.25	236.95	20	EUR	
22/09/2014 00:00	241.15	241.5	238	241.5	52	EUR	
23/09/2014 00:00	241.5	241.5	237.3	238.7	111	EUR	
24/09/2014 00:00	238.35	238.35	232.75	232.75	94	EUR	
25/09/2014 00:00	232.75	232.75	226.45	229.25	116	EUR	
26/09/2014 00:00	224	225.75	202.65	210	342	EUR	
29/09/2014 00:00	210	213.5	210	210	123	EUR	
30/09/2014 00:00	210	210.35	208.6	210	86	EUR	
01/10/2014 00:00	208.6	212.45	206.5	206.5	71	EUR	
02/10/2014 00:00	206.5	206.5	206.15	206.15	13	EUR	
03/10/2014 00:00	210	210	206.5	206.5	14	EUR	
06/10/2014 00:00	206.85	209.65	203	207.2	61	EUR	
07/10/2014 00:00	201.95	201.95	194.6	195.3	165	EUR	
08/10/2014 00:00	195.3	195.3	189.35	190.05	111	EUR	
09/10/2014 00:00	194.25	194.25	164.85	164.85	281	EUR	
10/10/2014 00:00	166.25	174.65	159.6	173.95	606	EUR	
13/10/2014 00:00	173.95	180.25	171.5	180.25	239	EUR	
14/10/2014 00:00	182	182	175	178.85	3045	EUR	
15/10/2014 00:00	178.5	180.25	178.5	180.25	100	EUR	
16/10/2014 00:00	179.2	179.55	166.95	166.95	1017	EUR	
17/10/2014 00:00	164.85	175	164.85	176.75	111	EUR	
20/10/2014 00:00	182	183.75	175	182	92	EUR	
21/10/2014 00:00	182	183.75	180.25	183.75	18	EUR	
22/10/2014 00:00	183.75	195.65	178.5	192.5	86	EUR	
23/10/2014 00:00	189	191.1	187.25	187.25	11	EUR	
24/10/2014 00:00	187.25	190.75	187.25	190.75	3	EUR	
27/10/2014 00:00	192.5	192.5	189	189	16	EUR	
28/10/2014 00:00	190.75	192.5	189	189	43	EUR	
29/10/2014 00:00	189	192.5	189	192.5	90	EUR	
30/10/2014 00:00	192.5	192.5	192.5	192.5	15	EUR	
