date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	12.453	12.453	12.453	12.453	321	EUR	
11/11/2010 00:00	12.594	12.594	12.594	12.594	144	EUR	
12/11/2010 00:00	12.594	12.594	12.594	12.594	3499	EUR	
17/11/2010 00:00	12.453	12.453	12.453	12.453	3611	EUR	
22/11/2010 00:00	11.321	11.321	11.321	11.321	49	EUR	
23/11/2010 00:00	9.906	9.906	9.906	9.906	9	EUR	
26/11/2010 00:00	9.906	9.906	9.906	9.906	19	EUR	
30/11/2010 00:00	12.453	12.453	12.453	12.453	3300	EUR	
01/12/2010 00:00	10.189	10.189	10.189	10.189	3415	EUR	
06/12/2010 00:00	9.764	9.764	9.764	9.764	49	EUR	
09/12/2010 00:00	9.764	9.764	9.764	9.764	9	EUR	
14/12/2010 00:00	9.764	9.764	9.764	9.764	3	EUR	
16/12/2010 00:00	11.745	11.745	11.745	11.745	1	EUR	
17/12/2010 00:00	11.745	11.745	11.745	11.745	117	EUR	
20/12/2010 00:00	11.745	11.745	11.745	11.745	22	EUR	
23/12/2010 00:00	11.321	11.321	11.321	11.321	22	EUR	
28/12/2010 00:00	11.745	11.745	11.745	11.745	294	EUR	
30/12/2010 00:00	10.613	10.613	10.613	10.613	156	EUR	
11/01/2011 00:00	10.33	10.33	10.33	10.33	13	EUR	
12/01/2011 00:00	10.613	10.613	10.613	10.613	1	EUR	
14/01/2011 00:00	12.17	12.17	12.17	12.17	73	EUR	
17/01/2011 00:00	11.038	11.038	11.038	11.038	50	EUR	
19/01/2011 00:00	11.179	11.179	11.179	11.179	61	EUR	
27/01/2011 00:00	11.321	11.321	11.321	11.321	15	EUR	
28/01/2011 00:00	11.321	11.321	11.321	11.321	28	EUR	
31/01/2011 00:00	12.453	12.453	12.453	12.453	282	EUR	
01/02/2011 00:00	13.585	13.585	13.585	13.585	35	EUR	
04/02/2011 00:00	13.726	13.726	13.726	13.726	71	EUR	
09/02/2011 00:00	15	15	15	15	600	EUR	
11/02/2011 00:00	14.858	14.858	14.858	14.858	7	EUR	
14/02/2011 00:00	13.868	13.868	13.868	13.868	106	EUR	
16/02/2011 00:00	14.717	14.717	14.717	14.717	106	EUR	
17/02/2011 00:00	13.868	13.868	13.868	13.868	35	EUR	
21/02/2011 00:00	13.019	13.019	13.019	13.019	7	EUR	
22/02/2011 00:00	13.019	13.019	13.019	13.019	33	EUR	
28/02/2011 00:00	13.019	13.019	13.019	13.019	22	EUR	
07/03/2011 00:00	13.019	13.019	13.019	13.019	28	EUR	
16/03/2011 00:00	13.019	13.019	13.019	13.019	142	EUR	
22/03/2011 00:00	14.292	14.292	14.292	14.292	8	EUR	
23/03/2011 00:00	14.575	14.575	14.575	14.575	28	EUR	
24/03/2011 00:00	17.547	17.547	17.547	17.547	282	EUR	
25/03/2011 00:00	14.575	14.575	14.575	14.575	7	EUR	
28/03/2011 00:00	17.547	17.547	17.547	17.547	438	EUR	
