date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	9.76	9.76	9.6	9.62	4420	EUR	
11/11/2010 00:00	9.62	9.72	9.62	9.68	1880	EUR	
12/11/2010 00:00	9.69	9.69	9.62	9.64	1100	EUR	
15/11/2010 00:00	9.65	9.67	9.62	9.65	7445	EUR	
16/11/2010 00:00	9.65	9.68	9.64	9.68	1890	EUR	
17/11/2010 00:00	9.65	9.65	9.56	9.57	6215	EUR	
18/11/2010 00:00	9.57	9.61	9.56	9.59	2730	EUR	
19/11/2010 00:00	9.59	9.62	9.59	9.62	310	EUR	
22/11/2010 00:00	9.6	9.6	9.55	9.6	4705	EUR	
23/11/2010 00:00	9.55	9.55	9.5	9.5	3505	EUR	
24/11/2010 00:00	9.5	9.5	9.42	9.45	4360	EUR	
25/11/2010 00:00	9.45	9.52	9.45	9.45	1565	EUR	
26/11/2010 00:00	9.45	9.45	9.42	9.42	1225	EUR	
29/11/2010 00:00	9.42	9.42	9.42	9.42	1035	EUR	
30/11/2010 00:00	9.42	9.48	9.41	9.48	1885	EUR	
01/12/2010 00:00	9.48	9.48	9.44	9.48	2180	EUR	
02/12/2010 00:00	9.41	9.5	9.41	9.5	2545	EUR	
03/12/2010 00:00	9.5	9.56	9.41	9.41	1555	EUR	
06/12/2010 00:00	9.56	9.56	9.42	9.42	1090	EUR	
07/12/2010 00:00	9.42	9.48	9.2	9.3	6450	EUR	
08/12/2010 00:00	9.32	9.53	9.32	9.53	4230	EUR	
09/12/2010 00:00	9.52	9.6	9.51	9.6	3235	EUR	
10/12/2010 00:00	9.59	9.6	9.49	9.49	1045	EUR	
13/12/2010 00:00	9.42	9.42	9.19	9.27	10425	EUR	
14/12/2010 00:00	9.28	9.35	9.2	9.21	4410	EUR	
15/12/2010 00:00	9.21	9.21	9	9.03	10525	EUR	
16/12/2010 00:00	9.03	9.06	9.03	9.03	13305	EUR	
17/12/2010 00:00	9.04	9.33	9.04	9.18	15425	EUR	
20/12/2010 00:00	9.18	9.3	9.14	9.2	1215	EUR	
21/12/2010 00:00	9.2	9.26	9.2	9.2	665	EUR	
22/12/2010 00:00	9.2	9.27	9.18	9.18	1800	EUR	
23/12/2010 00:00	9.22	9.27	9.22	9.27	1655	EUR	
24/12/2010 00:00	9.27	9.33	9.26	9.33	1155	EUR	
27/12/2010 00:00	9.45	9.58	9.45	9.45	6130	EUR	
28/12/2010 00:00	9.48	9.54	9.48	9.52	9550	EUR	
29/12/2010 00:00	9.54	9.6	9.49	9.54	18375	EUR	
30/12/2010 00:00	9.54	9.54	9.47	9.54	5175	EUR	
31/12/2010 00:00	9.53	9.56	9.49	9.54	2800	EUR	
03/01/2011 00:00	9.55	9.55	9.51	9.52	4170	EUR	
04/01/2011 00:00	9.54	9.54	9.49	9.49	3350	EUR	
05/01/2011 00:00	9.53	9.53	9.4	9.48	1365	EUR	
06/01/2011 00:00	9.49	9.5	9.49	9.5	430	EUR	
07/01/2011 00:00	9.5	9.53	9.5	9.53	2665	EUR	
10/01/2011 00:00	9.53	9.53	9.42	9.42	3245	EUR	
11/01/2011 00:00	9.42	9.53	9.42	9.51	14225	EUR	
12/01/2011 00:00	9.56	9.56	9.53	9.54	14495	EUR	
13/01/2011 00:00	9.55	9.6	9.55	9.6	5515	EUR	
14/01/2011 00:00	9.6	9.62	9.58	9.6	1350	EUR	
17/01/2011 00:00	9.6	9.6	9.4	9.4	6165	EUR	
18/01/2011 00:00	9.44	9.5	9.4	9.42	7105	EUR	
19/01/2011 00:00	9.44	9.5	9.4	9.5	3580	EUR	
20/01/2011 00:00	9.49	9.54	9.49	9.54	2545	EUR	
21/01/2011 00:00	9.54	9.6	9.54	9.54	3755	EUR	
24/01/2011 00:00	9.56	9.56	9.47	9.47	3680	EUR	
25/01/2011 00:00	9.6	9.6	9.48	9.58	2815	EUR	
26/01/2011 00:00	9.58	9.6	9.47	9.57	1835	EUR	
