date	ouv	haut	bas	clot	vol	devise	
18/06/2014 00:00	6.621	6.804	6.554	6.696	81693	EUR	
19/06/2014 00:00	6.696	6.704	6.571	6.571	16993	EUR	
20/06/2014 00:00	6.671	6.696	6.604	6.696	19712	EUR	
23/06/2014 00:00	6.704	6.762	6.538	6.671	44141	EUR	
24/06/2014 00:00	6.721	6.746	6.663	6.704	12617	EUR	
25/06/2014 00:00	6.663	6.663	6.546	6.596	6658	EUR	
26/06/2014 00:00	6.596	6.646	6.546	6.629	4095	EUR	
27/06/2014 00:00	6.663	6.854	6.554	6.829	21920	EUR	
30/06/2014 00:00	6.912	6.912	6.737	6.854	8987	EUR	
01/07/2014 00:00	6.879	6.879	6.737	6.837	4441	EUR	
02/07/2014 00:00	6.862	6.862	6.787	6.821	7708	EUR	
03/07/2014 00:00	6.746	6.829	6.704	6.821	6235	EUR	
04/07/2014 00:00	6.671	6.821	6.671	6.812	3956	EUR	
07/07/2014 00:00	6.862	6.862	6.671	6.796	2128	EUR	
08/07/2014 00:00	6.796	6.812	6.629	6.629	8242	EUR	
09/07/2014 00:00	6.671	6.829	6.604	6.721	7505	EUR	
10/07/2014 00:00	6.721	6.721	6.563	6.629	1925	EUR	
11/07/2014 00:00	6.704	6.704	6.413	6.679	8677	EUR	
14/07/2014 00:00	6.663	6.663	6.479	6.638	480	EUR	
15/07/2014 00:00	6.638	6.704	6.579	6.579	1965	EUR	
16/07/2014 00:00	6.579	6.579	6.363	6.579	5511	EUR	
17/07/2014 00:00	6.571	6.721	6.413	6.438	3008	EUR	
18/07/2014 00:00	6.646	6.654	6.538	6.629	3720	EUR	
21/07/2014 00:00	6.579	6.663	6.563	6.563	3430	EUR	
22/07/2014 00:00	6.629	6.629	6.538	6.538	1156	EUR	
23/07/2014 00:00	6.546	6.596	6.538	6.546	3026	EUR	
24/07/2014 00:00	6.538	6.579	6.396	6.413	5405	EUR	
25/07/2014 00:00	6.496	6.496	6.388	6.438	2557	EUR	
28/07/2014 00:00	6.438	6.438	6.263	6.263	3087	EUR	
29/07/2014 00:00	6.271	6.363	6.263	6.288	1693	EUR	
30/07/2014 00:00	6.288	6.413	6.288	6.413	2123	EUR	
31/07/2014 00:00	6.404	6.454	6.404	6.429	1982	EUR	
01/08/2014 00:00	6.421	6.421	5.938	6.413	7451	EUR	
04/08/2014 00:00	6.413	6.413	6.204	6.204	907	EUR	
05/08/2014 00:00	6.204	6.204	6.021	6.021	3455	EUR	
06/08/2014 00:00	6.021	6.021	5.313	5.738	16519	EUR	
07/08/2014 00:00	5.705	5.705	5.413	5.696	7901	EUR	
08/08/2014 00:00	5.688	5.688	5.413	5.53	4084	EUR	
11/08/2014 00:00	5.455	5.463	5.43	5.43	3049	EUR	
12/08/2014 00:00	5.43	5.447	5.43	5.447	805	EUR	
13/08/2014 00:00	5.447	5.505	5.43	5.447	3075	EUR	
14/08/2014 00:00	5.463	5.53	5.463	5.463	2114	EUR	
15/08/2014 00:00	5.463	5.597	5.463	5.597	3254	EUR	
18/08/2014 00:00	5.688	5.688	5.63	5.63	1574	EUR	
19/08/2014 00:00	5.63	5.63	5.622	5.63	1526	EUR	
20/08/2014 00:00	5.63	5.63	5.613	5.613	1724	EUR	
21/08/2014 00:00	5.63	5.638	5.58	5.638	1974	EUR	
22/08/2014 00:00	5.638	5.646	5.572	5.597	1922	EUR	
25/08/2014 00:00	5.597	5.646	5.563	5.646	2025	EUR	
26/08/2014 00:00	5.646	5.83	5.646	5.83	4155	EUR	
27/08/2014 00:00	5.83	5.838	5.821	5.838	889	EUR	
28/08/2014 00:00	5.838	5.863	5.838	5.863	1258	EUR	
29/08/2014 00:00	5.863	5.871	5.83	5.871	2144	EUR	
01/09/2014 00:00	5.871	5.896	5.871	5.896	1777	EUR	
02/09/2014 00:00	5.896	6.163	5.896	6.163	3955	EUR	
03/09/2014 00:00	6.229	6.288	6.213	6.288	3441	EUR	
04/09/2014 00:00	6.288	6.288	6.229	6.288	484	EUR	
05/09/2014 00:00	6.296	6.329	6.288	6.329	953	EUR	
08/09/2014 00:00	6.329	6.346	6.304	6.304	549	EUR	
09/09/2014 00:00	6.304	6.304	6.188	6.196	2164	EUR	
10/09/2014 00:00	6.204	6.371	6.163	6.246	6939	EUR	
11/09/2014 00:00	6.254	6.404	6.196	6.246	4117	EUR	
12/09/2014 00:00	6.396	6.413	6.338	6.413	6491	EUR	
15/09/2014 00:00	6.496	6.571	6.413	6.538	4420	EUR	
16/09/2014 00:00	6.538	6.538	6.396	6.396	2996	EUR	
17/09/2014 00:00	6.396	6.396	6.254	6.346	5452	EUR	
18/09/2014 00:00	6.329	6.329	6.246	6.288	8486	EUR	
19/09/2014 00:00	6.288	6.288	6.146	6.163	3963	EUR	
22/09/2014 00:00	6.163	6.204	6.155	6.204	1164	EUR	
23/09/2014 00:00	6.204	6.204	6.13	6.13	2489	EUR	
24/09/2014 00:00	6.121	6.138	6.08	6.08	2762	EUR	
25/09/2014 00:00	6.08	6.08	6.038	6.08	1544	EUR	
26/09/2014 00:00	6.08	6.096	6.021	6.021	3176	EUR	
