date	ouv	haut	bas	clot	vol	devise	
15/11/2012 00:00	1.661	1.721	1.661	1.599	2816	EUR	
16/11/2012 00:00	1.674	1.721	1.661	1.631	6552	EUR	
19/11/2012 00:00	1.721	1.721	1.66	1.631	4336	EUR	
20/11/2012 00:00	1.721	1.721	1.656	1.631	7184	EUR	
21/11/2012 00:00	1.686	1.686	1.686	1.598	8	EUR	
22/11/2012 00:00	1.68	1.68	1.68	1.592	8	EUR	
23/11/2012 00:00	1.68	1.68	1.68	1.592	8	EUR	
26/11/2012 00:00	1.663	1.68	1.648	1.592	6576	EUR	
27/11/2012 00:00	1.68	1.68	1.638	1.586	7920	EUR	
28/11/2012 00:00	1.638	1.661	1.624	1.575	16712	EUR	
29/11/2012 00:00	1.661	1.661	1.661	1.575	8	EUR	
30/11/2012 00:00	1.661	1.663	1.606	1.576	17208	EUR	
03/12/2012 00:00	1.663	1.663	1.631	1.546	2008	EUR	
04/12/2012 00:00	1.631	1.675	1.619	1.588	13928	EUR	
05/12/2012 00:00	1.674	1.674	1.613	1.585	5368	EUR	
06/12/2012 00:00	1.638	1.674	1.625	1.54	10448	EUR	
07/12/2012 00:00	1.613	1.646	1.589	1.56	7512	EUR	
10/12/2012 00:00	1.646	1.646	1.634	1.551	1448	EUR	
11/12/2012 00:00	1.635	1.635	1.603	1.539	11536	EUR	
12/12/2012 00:00	1.6	1.625	1.531	1.54	9160	EUR	
13/12/2012 00:00	1.624	1.624	1.623	1.538	1944	EUR	
14/12/2012 00:00	1.623	1.625	1.623	1.539	2464	EUR	
17/12/2012 00:00	1.563	1.624	1.563	1.538	7512	EUR	
18/12/2012 00:00	1.621	1.621	1.563	1.527	37016	EUR	
19/12/2012 00:00	1.611	1.611	1.561	1.526	6888	EUR	
20/12/2012 00:00	1.598	1.598	1.569	1.509	3760	EUR	
21/12/2012 00:00	1.574	1.575	1.563	1.481	15536	EUR	
27/12/2012 00:00	1.563	1.574	1.539	1.492	56400	EUR	
28/12/2012 00:00	1.574	1.574	1.533	1.492	4832	EUR	
02/01/2013 00:00	1.531	1.618	1.531	1.517	16872	EUR	
03/01/2013 00:00	1.615	1.638	1.573	1.54	11912	EUR	
04/01/2013 00:00	1.625	1.625	1.574	1.492	2528	EUR	
07/01/2013 00:00	1.634	1.634	1.585	1.512	23696	EUR	
08/01/2013 00:00	1.595	1.625	1.584	1.539	23768	EUR	
09/01/2013 00:00	1.624	1.624	1.623	1.538	1968	EUR	
10/01/2013 00:00	1.621	1.621	1.571	1.5	11112	EUR	
11/01/2013 00:00	1.57	1.585	1.57	1.502	7224	EUR	
14/01/2013 00:00	1.6	1.601	1.58	1.517	11504	EUR	
15/01/2013 00:00	1.6	1.6	1.59	1.507	6160	EUR	
16/01/2013 00:00	1.59	1.59	1.59	1.507	8	EUR	
17/01/2013 00:00	1.623	1.623	1.621	1.537	1632	EUR	
