date	ouv	haut	bas	clot	vol	devise	
02/12/2015 00:00	5.43	5.43	5.11	5.18	30799	EUR	
03/12/2015 00:00	5.15	5.3	5.11	5.27	14440	EUR	
04/12/2015 00:00	5.29	5.3	4.99	5.1	18733	EUR	
07/12/2015 00:00	5.25	5.3	5.2	5.29	10826	EUR	
08/12/2015 00:00	5.29	5.29	5	5.24	8558	EUR	
09/12/2015 00:00	5.1	5.2	5.1	5.1	1190	EUR	
10/12/2015 00:00	5.11	5.15	5.1	5.14	1201	EUR	
11/12/2015 00:00	5.1	5.23	5.06	5.11	2426	EUR	
14/12/2015 00:00	5.22	5.22	5.05	5.15	907	EUR	
15/12/2015 00:00	5.01	5.19	5.01	5.13	2803	EUR	
16/12/2015 00:00	5.05	5.07	5.01	5.01	2438	EUR	
17/12/2015 00:00	5.1	5.13	5.01	5.12	5663	EUR	
18/12/2015 00:00	5	5.1	5	5.08	825	EUR	
21/12/2015 00:00	5	5.05	5	5	3925	EUR	
22/12/2015 00:00	5	5	4.76	4.9	4077	EUR	
23/12/2015 00:00	4.82	4.95	4.8	4.92	3466	EUR	
24/12/2015 00:00	4.75	4.9	4.75	4.9	591	EUR	
28/12/2015 00:00	4.9	4.9	4.8	4.9	1957	EUR	
29/12/2015 00:00	4.88	4.9	4.86	4.9	7152	EUR	
30/12/2015 00:00	4.9	4.9	4.8	4.85	3605	EUR	
31/12/2015 00:00	4.89	4.89	4.8	4.8	1355	EUR	
04/01/2016 00:00	4.8	4.9	4.77	4.78	3805	EUR	
05/01/2016 00:00	4.76	4.89	4.76	4.8	460	EUR	
06/01/2016 00:00	4.76	4.8	4.75	4.8	1051	EUR	
07/01/2016 00:00	4.8	4.8	4.4	4.65	5250	EUR	
08/01/2016 00:00	4.5	4.6	4.43	4.52	2833	EUR	
11/01/2016 00:00	4.42	4.57	4.2	4.4	3129	EUR	
12/01/2016 00:00	4.4	4.49	4.2	4.4	4181	EUR	
13/01/2016 00:00	4.48	4.49	4.48	4.48	1530	EUR	
14/01/2016 00:00	4.5	4.55	4.5	4.5	1441	EUR	
15/01/2016 00:00	4.45	4.55	4.4	4.5	1921	EUR	
18/01/2016 00:00	4.5	4.5	4.3	4.32	2187	EUR	
19/01/2016 00:00	4.32	4.47	4.32	4.47	2444	EUR	
20/01/2016 00:00	4.46	4.48	4.35	4.45	1868	EUR	
21/01/2016 00:00	4.32	4.48	4.32	4.48	339	EUR	
22/01/2016 00:00	4.48	4.6	4.48	4.6	1130	EUR	
25/01/2016 00:00	4.6	4.8	4.6	4.7	1114	EUR	
26/01/2016 00:00	4.84	4.84	4.56	4.72	901	EUR	
27/01/2016 00:00	4.8	4.8	4.66	4.8	427	EUR	
28/01/2016 00:00	4.71	4.84	4.55	4.83	1274	EUR	
29/01/2016 00:00	4.82	4.96	4.7	4.84	1211	EUR	
01/02/2016 00:00	4.96	5.25	4.96	4.98	4427	EUR	
02/02/2016 00:00	5	5.15	4.94	4.94	3813	EUR	
03/02/2016 00:00	4.95	5.12	4.95	5.12	2292	EUR	
04/02/2016 00:00	5.12	5.12	4.88	5.02	362	EUR	
05/02/2016 00:00	5.02	5.04	4.9	5.04	102	EUR	
08/02/2016 00:00	5.15	5.22	5.04	5.14	12467	EUR	
09/02/2016 00:00	5.15	5.39	5.01	5.08	14693	EUR	
10/02/2016 00:00	5.1	5.12	4.82	5.12	3856	EUR	
11/02/2016 00:00	5.12	5.12	4.64	4.99	4411	EUR	
12/02/2016 00:00	4.73	4.9	4.71	4.75	3829	EUR	
15/02/2016 00:00	4.76	4.99	4.76	4.99	3151	EUR	
16/02/2016 00:00	4.98	4.98	4.81	4.97	671	EUR	
17/02/2016 00:00	4.97	5	4.9	5	1108	EUR	
18/02/2016 00:00	5	5.04	4.82	4.99	1180	EUR	
19/02/2016 00:00	4.98	5	4.82	5	1848	EUR	
22/02/2016 00:00	4.85	5.03	4.85	5.03	491	EUR	
23/02/2016 00:00	5	5.09	4.86	5.09	3280	EUR	
24/02/2016 00:00	5.09	5.25	5.09	5.15	7936	EUR	
25/02/2016 00:00	5.18	5.2	5.15	5.15	1685	EUR	
26/02/2016 00:00	5.19	5.2	5.1	5.14	2667	EUR	
29/02/2016 00:00	5.1	5.15	5.1	5.15	1430	EUR	
01/03/2016 00:00	5.14	5.15	5.05	5.15	1121	EUR	
02/03/2016 00:00	5.15	5.17	5.02	5.16	3387	EUR	
03/03/2016 00:00	5.14	5.14	5	5	918	EUR	
04/03/2016 00:00	4.94	5.13	4.94	5.13	1976	EUR	
07/03/2016 00:00	5	5.12	5	5.12	315	EUR	
08/03/2016 00:00	5.14	5.14	5.01	5.14	1103	EUR	
09/03/2016 00:00	5.12	5.12	5.09	5.09	108	EUR	
10/03/2016 00:00	5.09	5.16	5.05	5.1	617	EUR	
11/03/2016 00:00	5.14	5.15	4.99	4.99	1751	EUR	
14/03/2016 00:00	5.15	5.15	5.01	5.14	420	EUR	
15/03/2016 00:00	5.13	5.15	5.1	5.1	381	EUR	
16/03/2016 00:00	5.16	5.16	5.1	5.1	794	EUR	
17/03/2016 00:00	5.1	5.1	4.95	5.09	1450	EUR	
18/03/2016 00:00	5.05	5.06	5.05	5.06	313	EUR	
21/03/2016 00:00	5.06	5.09	4.96	5.09	182	EUR	
22/03/2016 00:00	5.09	5.09	5.09	5.09	1	EUR	
23/03/2016 00:00	5.09	5.1	5	5.09	643	EUR	
24/03/2016 00:00	5.09	5.25	5	5.14	7325	EUR	
29/03/2016 00:00	5.2	5.2	5.06	5.16	1471	EUR	
30/03/2016 00:00	5.15	5.19	5.08	5.18	406	EUR	
31/03/2016 00:00	5.24	5.24	5.11	5.18	2227	EUR	
01/04/2016 00:00	5.2	5.25	5.2	5.2	1087	EUR	
04/04/2016 00:00	5.2	5.2	5.12	5.12	689	EUR	
05/04/2016 00:00	5.13	5.19	5.12	5.19	299	EUR	
06/04/2016 00:00	5.19	5.23	5.16	5.16	1196	EUR	
07/04/2016 00:00	5.16	5.16	5.16	5.16	1	EUR	
08/04/2016 00:00	5.16	5.16	5	5	2023	EUR	
11/04/2016 00:00	5.12	5.12	5.1	5.1	430	EUR	
12/04/2016 00:00	5.1	5.1	5.01	5.1	550	EUR	
13/04/2016 00:00	5.1	5.12	5.1	5.12	1545	EUR	
14/04/2016 00:00	5.12	5.12	5.05	5.05	71	EUR	
15/04/2016 00:00	5.18	5.25	5.18	5.25	5410	EUR	
18/04/2016 00:00	5.24	5.24	4.94	5.14	4096	EUR	
19/04/2016 00:00	5.2	5.2	5.07	5.07	916	EUR	
20/04/2016 00:00	5.18	5.18	5.07	5.15	1642	EUR	
21/04/2016 00:00	5.1	5.14	5.08	5.14	171	EUR	
22/04/2016 00:00	5.15	5.15	5.14	5.15	577	EUR	
25/04/2016 00:00	5.14	5.15	5.14	5.15	506	EUR	
26/04/2016 00:00	5.14	5.15	5.11	5.15	132	EUR	
27/04/2016 00:00	5.14	5.14	5.02	5.14	2191	EUR	
28/04/2016 00:00	5.13	5.13	5.05	5.05	1490	EUR	
29/04/2016 00:00	5.01	5.13	5.01	5.13	975	EUR	
02/05/2016 00:00	5.14	5.14	5.14	5.14	8	EUR	
03/05/2016 00:00	5.13	5.14	5.02	5.03	166	EUR	
04/05/2016 00:00	5.15	5.15	5.03	5.03	1632	EUR	
05/05/2016 00:00	5.03	5.03	4.9	4.95	6928	EUR	
06/05/2016 00:00	4.95	5.09	4.95	5.09	2249	EUR	
09/05/2016 00:00	5.09	5.09	5.02	5.05	501	EUR	
10/05/2016 00:00	5.05	5.17	5.05	5.06	808	EUR	
11/05/2016 00:00	5.17	5.18	5	5.07	3251	EUR	
12/05/2016 00:00	5.01	5.01	5.01	5.01	220	EUR	
13/05/2016 00:00	5.12	5.12	5.07	5.07	750	EUR	
16/05/2016 00:00	5.15	5.16	5.05	5.16	1333	EUR	
17/05/2016 00:00	5.15	5.15	5.15	5.15	12	EUR	
18/05/2016 00:00	5.15	5.15	5.02	5.04	779	EUR	
19/05/2016 00:00	5.05	5.05	5.04	5.04	51	EUR	
20/05/2016 00:00	5.04	5.12	5.02	5.02	180	EUR	
23/05/2016 00:00	5	5.14	4.98	4.98	1952	EUR	
24/05/2016 00:00	5.09	5.09	5	5.01	969	EUR	
25/05/2016 00:00	4.95	5.04	4.95	5.04	1345	EUR	
26/05/2016 00:00	5.04	5.04	4.99	4.99	1890	EUR	
27/05/2016 00:00	5.04	5.08	5.04	5.07	2510	EUR	
30/05/2016 00:00	5.07	5.08	5	5.08	817	EUR	
31/05/2016 00:00	5.1	5.1	4.99	4.99	1946	EUR	
01/06/2016 00:00	5.01	5.06	5.01	5.06	356	EUR	
02/06/2016 00:00	5.09	5.09	5.09	5.09	2	EUR	
03/06/2016 00:00	5	5.08	5	5	3320	EUR	
06/06/2016 00:00	5	5	5	5	120	EUR	
07/06/2016 00:00	5.09	5.09	5.09	5.09	50	EUR	
08/06/2016 00:00	5.09	5.09	5.02	5.02	254	EUR	
09/06/2016 00:00	5.1	5.1	5.05	5.05	1506	EUR	
10/06/2016 00:00	5.05	5.05	5.01	5.01	549	EUR	
13/06/2016 00:00	5.1	5.1	5.09	5.1	1510	EUR	
14/06/2016 00:00	5.09	5.09	5	5	569	EUR	
15/06/2016 00:00	4.98	5.07	4.98	5.07	320	EUR	
16/06/2016 00:00	5.03	5.03	4.94	4.94	4232	EUR	
17/06/2016 00:00	5.03	5.03	5.03	5.03	100	EUR	
20/06/2016 00:00	5.03	5.03	4.94	5.02	500	EUR	
21/06/2016 00:00	5.02	5.02	4.98	5.02	476	EUR	
22/06/2016 00:00	5.01	5.01	5.01	5.01	21	EUR	
23/06/2016 00:00	5.01	5.01	4.94	5	515	EUR	
24/06/2016 00:00	4.9	4.91	4.64	4.89	3677	EUR	
27/06/2016 00:00	4.97	4.97	4.72	4.96	1460	EUR	
28/06/2016 00:00	4.88	5.02	4.88	5.02	1100	EUR	
29/06/2016 00:00	5.03	5.1	5	5.08	2593	EUR	
30/06/2016 00:00	5.09	5.09	4.95	4.95	401	EUR	
01/07/2016 00:00	4.95	5.14	4.93	4.93	737	EUR	
04/07/2016 00:00	4.92	5.08	4.92	4.93	1224	EUR	
05/07/2016 00:00	5.02	5.05	4.95	5.05	768	EUR	
06/07/2016 00:00	5.02	5.02	5.02	5.02	1	EUR	
07/07/2016 00:00	5.02	5.04	4.92	4.92	2458	EUR	
08/07/2016 00:00	5.04	5.04	5	5	511	EUR	
11/07/2016 00:00	5.01	5.2	4.95	5.2	5605	EUR	
12/07/2016 00:00	5.19	5.26	5.17	5.26	3605	EUR	
13/07/2016 00:00	5.2	5.22	5.15	5.2	1109	EUR	
14/07/2016 00:00	5.2	5.22	5.2	5.2	3944	EUR	
15/07/2016 00:00	5.2	5.25	5.2	5.25	990	EUR	
18/07/2016 00:00	5.14	5.15	5.09	5.09	3884	EUR	
19/07/2016 00:00	5.12	5.22	5.09	5.1	1355	EUR	
20/07/2016 00:00	5.15	5.25	5.1	5.1	4502	EUR	
21/07/2016 00:00	5.12	5.12	5.12	5.12	1	EUR	
22/07/2016 00:00	5.12	5.12	5.1	5.1	1699	EUR	
25/07/2016 00:00	5.11	5.11	5.09	5.09	1458	EUR	
26/07/2016 00:00	5.1	5.1	5.09	5.09	300	EUR	
27/07/2016 00:00	5.15	5.15	5.09	5.09	656	EUR	
28/07/2016 00:00	5.11	5.2	5.09	5.09	3497	EUR	
29/07/2016 00:00	5.21	5.26	5.11	5.21	6835	EUR	
01/08/2016 00:00	5.3	5.41	5.24	5.27	12815	EUR	
02/08/2016 00:00	5.3	5.37	5.27	5.27	4756	EUR	
03/08/2016 00:00	5.28	5.49	5.22	5.22	10547	EUR	
04/08/2016 00:00	5.3	5.42	5.21	5.28	4385	EUR	
05/08/2016 00:00	5.3	5.3	5.27	5.27	2175	EUR	
08/08/2016 00:00	5.39	5.39	5.16	5.25	3480	EUR	
09/08/2016 00:00	5.25	5.28	5.02	5.27	2233	EUR	
10/08/2016 00:00	5.26	5.27	5.12	5.13	1882	EUR	
11/08/2016 00:00	5.14	5.3	5.14	5.22	9764	EUR	
12/08/2016 00:00	5.28	5.3	5.25	5.3	12507	EUR	
15/08/2016 00:00	5.3	5.3	5.21	5.21	8	EUR	
16/08/2016 00:00	5.25	5.35	5.25	5.35	98	EUR	
17/08/2016 00:00	5.3	5.38	5.25	5.31	2326	EUR	
18/08/2016 00:00	5.31	5.31	5.19	5.29	933	EUR	
19/08/2016 00:00	5.31	5.31	5.18	5.18	626	EUR	
22/08/2016 00:00	5.2	5.33	5.18	5.33	5342	EUR	
23/08/2016 00:00	5.23	5.34	5.23	5.25	1150	EUR	
24/08/2016 00:00	5.3	5.45	5.3	5.38	17720	EUR	
25/08/2016 00:00	5.38	5.42	5.32	5.42	2589	EUR	
26/08/2016 00:00	5.32	5.4	5.31	5.4	1270	EUR	
29/08/2016 00:00	5.4	5.5	5.33	5.5	15888	EUR	
30/08/2016 00:00	5.48	5.7	5.48	5.56	29340	EUR	
31/08/2016 00:00	5.69	5.69	5.6	5.69	4227	EUR	
01/09/2016 00:00	5.69	5.75	5.68	5.68	3143	EUR	
02/09/2016 00:00	5.69	5.75	5.68	5.75	2309	EUR	
05/09/2016 00:00	5.65	5.75	5.65	5.67	3479	EUR	
06/09/2016 00:00	5.68	5.76	5.68	5.7	1815	EUR	
07/09/2016 00:00	5.7	5.87	5.69	5.77	2985	EUR	
08/09/2016 00:00	5.9	6.28	5.9	6.12	14746	EUR	
09/09/2016 00:00	6.29	6.29	6.08	6.16	13953	EUR	
12/09/2016 00:00	6.24	6.24	6.08	6.08	6435	EUR	
13/09/2016 00:00	6.21	6.21	6.1	6.2	7859	EUR	
14/09/2016 00:00	6.2	6.22	6.14	6.22	4416	EUR	
15/09/2016 00:00	6.24	6.25	6.16	6.22	4665	EUR	
16/09/2016 00:00	6.27	6.48	6.27	6.37	12656	EUR	
19/09/2016 00:00	6.47	6.48	6.38	6.45	7982	EUR	
20/09/2016 00:00	6.45	7.18	6.4	6.9	27168	EUR	
21/09/2016 00:00	7	7	6.6	6.75	8703	EUR	
22/09/2016 00:00	6.7	6.7	6.46	6.55	6967	EUR	
23/09/2016 00:00	6.52	6.65	6.51	6.55	6799	EUR	
26/09/2016 00:00	6.5	6.5	6.43	6.43	5715	EUR	
27/09/2016 00:00	6.45	6.46	6.42	6.43	2198	EUR	
28/09/2016 00:00	6.49	6.54	6.43	6.45	3319	EUR	
29/09/2016 00:00	6.5	6.65	6.45	6.65	5255	EUR	
30/09/2016 00:00	6.65	6.65	6.54	6.59	4052	EUR	
03/10/2016 00:00	6.54	6.55	6.42	6.54	2073	EUR	
04/10/2016 00:00	6.54	6.54	6.46	6.46	120	EUR	
05/10/2016 00:00	6.45	6.48	6.41	6.48	3409	EUR	
06/10/2016 00:00	6.48	6.48	6.42	6.47	2606	EUR	
07/10/2016 00:00	6.38	6.48	6.38	6.48	3814	EUR	
10/10/2016 00:00	6.46	6.48	6.41	6.48	652	EUR	
11/10/2016 00:00	6.48	6.48	6.38	6.38	1250	EUR	
12/10/2016 00:00	6.38	6.38	6.15	6.3	8138	EUR	
13/10/2016 00:00	6.3	6.3	6.04	6.04	6030	EUR	
14/10/2016 00:00	6.05	6.47	6.05	6.35	9161	EUR	
17/10/2016 00:00	6.3	6.59	6.16	6.52	6681	EUR	
18/10/2016 00:00	6.54	6.65	6.5	6.5	2212	EUR	
19/10/2016 00:00	6.5	6.58	6.43	6.43	3444	EUR	
20/10/2016 00:00	6.44	6.56	6.42	6.55	3456	EUR	
21/10/2016 00:00	6.56	6.95	6.56	6.85	4304	EUR	
24/10/2016 00:00	6.88	6.92	6.71	6.75	4692	EUR	
25/10/2016 00:00	6.72	6.9	6.72	6.85	1825	EUR	
26/10/2016 00:00	6.85	6.88	6.73	6.74	3163	EUR	
27/10/2016 00:00	6.92	6.93	6.74	6.74	2471	EUR	
28/10/2016 00:00	6.75	6.83	6.75	6.78	1026	EUR	
31/10/2016 00:00	6.77	6.91	6.77	6.91	1793	EUR	
01/11/2016 00:00	6.91	6.93	6.89	6.91	1643	EUR	
02/11/2016 00:00	6.91	6.91	6.72	6.86	2995	EUR	
03/11/2016 00:00	6.71	6.87	6.5	6.66	9817	EUR	
04/11/2016 00:00	6.51	6.64	6.51	6.55	909	EUR	
07/11/2016 00:00	6.51	6.55	6.4	6.47	3197	EUR	
08/11/2016 00:00	6.44	6.54	6	6.34	4068	EUR	
09/11/2016 00:00	5.8	6.25	5.72	6.1	13278	EUR	
10/11/2016 00:00	6.13	6.41	6.13	6.35	5743	EUR	
