date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	50	50.1	50	50.1	643	EUR	
11/11/2010 00:00	50.1	50.1	50	50	46	EUR	
12/11/2010 00:00	50	50	50	50	1	EUR	
15/11/2010 00:00	49.75	50.5	49.75	50.5	124	EUR	
16/11/2010 00:00	50.5	50.5	50.1	50.1	6	EUR	
17/11/2010 00:00	50	50	50	50	440	EUR	
18/11/2010 00:00	50	50	50	50	101	EUR	
19/11/2010 00:00	50	50	50	50	14	EUR	
22/11/2010 00:00	49.99	49.99	49.99	49.99	1	EUR	
23/11/2010 00:00	49.75	49.75	49.75	49.75	65	EUR	
24/11/2010 00:00	49.25	49.25	49.25	49.25	61	EUR	
25/11/2010 00:00	49.26	49.26	49.25	49.25	101	EUR	
26/11/2010 00:00	49.25	49.25	49.25	49.25	1	EUR	
29/11/2010 00:00	49	49	49	49	11	EUR	
30/11/2010 00:00	49	49	49	49	1	EUR	
01/12/2010 00:00	49	49	49	49	1	EUR	
02/12/2010 00:00	48	48	48	48	23	EUR	
03/12/2010 00:00	48.02	48.02	48	48	179	EUR	
06/12/2010 00:00	47.99	47.99	47.99	47.99	1	EUR	
07/12/2010 00:00	47.99	47.99	47.99	47.99	1	EUR	
08/12/2010 00:00	47.99	47.99	47.65	47.65	120	EUR	
09/12/2010 00:00	47.65	47.9	47.65	47.9	21	EUR	
10/12/2010 00:00	47.49	47.49	47.49	47.49	1	EUR	
13/12/2010 00:00	47.47	47.47	47.47	47.47	1	EUR	
14/12/2010 00:00	47.47	48.3	47.47	48.3	131	EUR	
15/12/2010 00:00	48.3	48.3	48.3	48.3	1	EUR	
16/12/2010 00:00	48.3	48.5	48.3	48.5	48	EUR	
17/12/2010 00:00	46.03	46.03	45.51	45.51	1375	EUR	
20/12/2010 00:00	45.55	45.55	45.55	45.55	31	EUR	
21/12/2010 00:00	45.55	45.75	45.55	45.75	511	EUR	
22/12/2010 00:00	46.98	46.98	46.98	46.98	111	EUR	
23/12/2010 00:00	47	48	47	48	543	EUR	
24/12/2010 00:00	47.9	47.9	47.9	47.9	201	EUR	
27/12/2010 00:00	47.89	47.89	47.89	47.89	1	EUR	
28/12/2010 00:00	47.89	47.89	47.89	47.89	1	EUR	
29/12/2010 00:00	47.9	48	47.9	48	696	EUR	
30/12/2010 00:00	48.7	48.7	48.7	48.7	1	EUR	
31/12/2010 00:00	48.69	48.69	48.69	48.69	1	EUR	
03/01/2011 00:00	48.71	48.71	48.71	48.71	1	EUR	
04/01/2011 00:00	48.72	48.72	48.72	48.72	1	EUR	
05/01/2011 00:00	47.7	47.7	47.7	47.7	494	EUR	
06/01/2011 00:00	47.71	47.71	47.71	47.71	51	EUR	
07/01/2011 00:00	47.72	47.72	47.72	47.72	1	EUR	
10/01/2011 00:00	47.72	47.72	47.72	47.72	1	EUR	
11/01/2011 00:00	47.72	47.72	47.72	47.72	1	EUR	
12/01/2011 00:00	49	50	49	50	171	EUR	
13/01/2011 00:00	49.99	49.99	49.99	49.99	1	EUR	
14/01/2011 00:00	50	50	50	50	233	EUR	
17/01/2011 00:00	50	50	50	50	75	EUR	
18/01/2011 00:00	50.21	50.5	50.21	50.5	35	EUR	
19/01/2011 00:00	50.99	51	50.99	51	308	EUR	
20/01/2011 00:00	51	51	51	51	289	EUR	
21/01/2011 00:00	51	51	51	51	766	EUR	
24/01/2011 00:00	51	51	51	51	176	EUR	
25/01/2011 00:00	51	52	51	52	195	EUR	
26/01/2011 00:00	53.5	53.97	53.5	53.97	760	EUR	
27/01/2011 00:00	54.7	54.7	54	54	455	EUR	
28/01/2011 00:00	54	54	54	54	29	EUR	
31/01/2011 00:00	53.69	53.7	53.69	53.7	289	EUR	
01/02/2011 00:00	53.7	53.7	53.5	53.5	91	EUR	
02/02/2011 00:00	53.51	53.51	53.51	53.51	1	EUR	
03/02/2011 00:00	53.51	53.8	53.51	53.8	151	EUR	
04/02/2011 00:00	53.8	53.8	53.8	53.8	1	EUR	
07/02/2011 00:00	53.8	53.8	53.5	53.5	150	EUR	
08/02/2011 00:00	53.51	54	53.51	54	247	EUR	
09/02/2011 00:00	54.11	54.11	54	54	301	EUR	
10/02/2011 00:00	53.89	53.9	53.89	53.9	151	EUR	
11/02/2011 00:00	53.91	53.91	53.91	53.91	1	EUR	
14/02/2011 00:00	55	55	55	55	381	EUR	
15/02/2011 00:00	55	55	55	55	310	EUR	
16/02/2011 00:00	54.99	55	54.99	55	26	EUR	
17/02/2011 00:00	55	55	54.9	54.9	76	EUR	
18/02/2011 00:00	54	54	54	54	58	EUR	
21/02/2011 00:00	53.94	53.94	53.94	53.94	1	EUR	
22/02/2011 00:00	53.5	53.5	53.45	53.45	211	EUR	
23/02/2011 00:00	53.45	53.45	53.45	53.45	51	EUR	
24/02/2011 00:00	53.45	53.45	53.45	53.45	551	EUR	
25/02/2011 00:00	53.45	53.45	52.5	52.5	969	EUR	
28/02/2011 00:00	52.95	52.95	52.6	52.6	436	EUR	
01/03/2011 00:00	52.5	52.5	52	52	376	EUR	
02/03/2011 00:00	51.99	51.99	51.7	51.7	151	EUR	
03/03/2011 00:00	51.7	51.7	51.7	51.7	20	EUR	
04/03/2011 00:00	51	51	51	51	295	EUR	
07/03/2011 00:00	50.5	50.5	50.5	50.5	142	EUR	
08/03/2011 00:00	50.5	50.5	50.5	50.5	116	EUR	
09/03/2011 00:00	50.51	50.51	50.2	50.2	67	EUR	
10/03/2011 00:00	50.2	50.25	50.2	50.25	250	EUR	
