date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	7.09	7.1	7.03	7.03	7058	EUR	
11/11/2010 00:00	7.16	7.16	6.78	6.95	20607	EUR	
12/11/2010 00:00	6.76	6.85	6.6	7.02	15304	EUR	
15/11/2010 00:00	6.8	7	6.75	6.93	7971	EUR	
16/11/2010 00:00	6.8	6.93	6.6	6.6	10778	EUR	
17/11/2010 00:00	6.64	6.8	6.64	6.7	4539	EUR	
18/11/2010 00:00	6.7	6.94	6.7	6.88	5075	EUR	
19/11/2010 00:00	6.87	6.88	6.7	6.85	3391	EUR	
22/11/2010 00:00	6.85	6.85	6.8	6.83	4840	EUR	
23/11/2010 00:00	6.8	6.84	6.7	6.7	7666	EUR	
24/11/2010 00:00	6.71	6.82	6.65	6.8	1659	EUR	
25/11/2010 00:00	6.63	6.81	6.55	6.7	10506	EUR	
26/11/2010 00:00	6.7	6.94	6.7	6.8	26796	EUR	
29/11/2010 00:00	6.8	6.81	6.71	6.81	5465	EUR	
30/11/2010 00:00	6.75	6.84	6.63	6.64	12459	EUR	
01/12/2010 00:00	6.6	6.72	6.52	6.54	9187	EUR	
02/12/2010 00:00	6.52	6.81	6.52	6.76	8261	EUR	
03/12/2010 00:00	6.8	6.81	6.71	6.78	6598	EUR	
06/12/2010 00:00	6.82	6.87	6.8	6.82	3907	EUR	
07/12/2010 00:00	6.74	6.99	6.74	6.98	5802	EUR	
08/12/2010 00:00	6.92	6.97	6.82	6.97	4890	EUR	
09/12/2010 00:00	6.97	7.02	6.9	7.02	29709	EUR	
10/12/2010 00:00	7.1	7.2	7.06	7.15	11727	EUR	
13/12/2010 00:00	7.2	7.4	7.2	7.25	7181	EUR	
14/12/2010 00:00	7.2	7.38	7.18	7.3	6221	EUR	
15/12/2010 00:00	7.31	7.37	7.1	7.12	9972	EUR	
16/12/2010 00:00	7.15	7.25	7.15	7.25	2034	EUR	
17/12/2010 00:00	7.24	7.29	7.18	7.21	8922	EUR	
20/12/2010 00:00	7.21	7.35	7.21	7.3	14298	EUR	
21/12/2010 00:00	7.2	7.2	7.16	7.2	27369	EUR	
22/12/2010 00:00	7.19	7.2	7.12	7.12	12449	EUR	
23/12/2010 00:00	7.1	7.29	7.1	7.29	13772	EUR	
24/12/2010 00:00	7.29	7.35	7.27	7.35	4025	EUR	
27/12/2010 00:00	7.2	7.33	7.1	7.24	9489	EUR	
28/12/2010 00:00	7.2	7.2	7	7	10228	EUR	
29/12/2010 00:00	7.04	7.11	7	7	2657	EUR	
30/12/2010 00:00	7.19	7.19	7	7.08	5212	EUR	
31/12/2010 00:00	7.08	7.19	7.02	7.1	860	EUR	
03/01/2011 00:00	7.19	7.25	7.1	7.24	2830	EUR	
04/01/2011 00:00	7.27	7.3	7.17	7.17	2011	EUR	
05/01/2011 00:00	7.29	7.29	7.16	7.25	4982	EUR	
06/01/2011 00:00	7.26	7.26	7.13	7.14	2978	EUR	
07/01/2011 00:00	7.15	7.18	7.05	7.05	2774	EUR	
10/01/2011 00:00	7.04	7.11	6.6	6.95	9447	EUR	
11/01/2011 00:00	6.81	6.98	6.81	6.86	4244	EUR	
12/01/2011 00:00	6.86	6.98	6.83	6.98	5994	EUR	
13/01/2011 00:00	7	7.3	7	7.14	21290	EUR	
14/01/2011 00:00	7.14	7.38	7.14	7.27	10473	EUR	
17/01/2011 00:00	7.2	7.36	7.2	7.31	4914	EUR	
18/01/2011 00:00	7.31	7.35	7.2	7.35	9579	EUR	
19/01/2011 00:00	7.35	7.36	7.22	7.32	2254	EUR	
20/01/2011 00:00	7.35	7.35	7.22	7.27	2082	EUR	
21/01/2011 00:00	7.21	7.28	7.2	7.21	4417	EUR	
24/01/2011 00:00	7.2	7.25	7.2	7.2	3755	EUR	
25/01/2011 00:00	7.2	7.2	7.11	7.2	9934	EUR	
26/01/2011 00:00	7.2	7.27	7.15	7.27	8465	EUR	
27/01/2011 00:00	7.25	7.25	7.22	7.25	8463	EUR	
28/01/2011 00:00	7.21	7.21	7.17	7.19	2905	EUR	
31/01/2011 00:00	7.18	7.18	7.13	7.13	3514	EUR	
01/02/2011 00:00	7.29	7.31	7.07	7.3	10625	EUR	
02/02/2011 00:00	7.32	7.35	7.26	7.35	9449	EUR	
03/02/2011 00:00	7.36	7.83	7.36	7.83	47050	EUR	
04/02/2011 00:00	7.82	8.4	7.75	8.11	23372	EUR	
07/02/2011 00:00	8.12	8.21	7.97	7.97	11656	EUR	
08/02/2011 00:00	8.06	8.8	8.06	8.46	72030	EUR	
09/02/2011 00:00	8.6	8.64	8.45	8.5	9623	EUR	
10/02/2011 00:00	8.57	8.6	8.35	8.6	6757	EUR	
11/02/2011 00:00	8.59	8.59	8.36	8.45	4299	EUR	
14/02/2011 00:00	8.5	8.54	8.4	8.47	5810	EUR	
15/02/2011 00:00	8.43	8.43	8.35	8.42	1800	EUR	
16/02/2011 00:00	8.41	8.71	8.32	8.7	19523	EUR	
17/02/2011 00:00	8.65	8.8	8.5	8.58	12072	EUR	
18/02/2011 00:00	8.78	9.09	8.77	9	20541	EUR	
21/02/2011 00:00	8.9	9	8.65	8.8	6863	EUR	
22/02/2011 00:00	8.78	8.78	8.1	8.55	15913	EUR	
23/02/2011 00:00	8.55	8.92	8.5	8.72	15471	EUR	
24/02/2011 00:00	8.7	8.81	8.65	8.81	8854	EUR	
25/02/2011 00:00	8.83	9.02	8.42	9	18635	EUR	
28/02/2011 00:00	9.02	9.39	9	9.34	24212	EUR	
01/03/2011 00:00	9.5	9.83	9.4	9.69	43395	EUR	
02/03/2011 00:00	9.64	10.23	9.5	10.15	35203	EUR	
03/03/2011 00:00	10.3	10.45	9.83	9.9	75083	EUR	
04/03/2011 00:00	9.95	9.95	9.6	9.95	17933	EUR	
07/03/2011 00:00	9.95	9.95	9.15	9.54	24731	EUR	
08/03/2011 00:00	9.49	9.49	9.2	9.44	28737	EUR	
09/03/2011 00:00	9.32	9.8	9.32	9.79	16493	EUR	
10/03/2011 00:00	9.69	9.69	9.45	9.54	10266	EUR	
11/03/2011 00:00	9.54	9.7	9.45	9.7	19627	EUR	
14/03/2011 00:00	9.45	9.9	9.44	9.71	11967	EUR	
15/03/2011 00:00	9.9	9.95	9	9.6	74942	EUR	
16/03/2011 00:00	9.72	9.75	9.18	9.39	17332	EUR	
17/03/2011 00:00	9.2	9.5	9.2	9.49	7275	EUR	
18/03/2011 00:00	9.6	9.65	9.52	9.55	11922	EUR	
21/03/2011 00:00	9.76	9.76	9.6	9.71	8929	EUR	
22/03/2011 00:00	9.6	9.6	9.5	9.52	3712	EUR	
23/03/2011 00:00	9.55	9.65	9.36	9.46	9660	EUR	
24/03/2011 00:00	9.7	9.7	9.5	9.6	16385	EUR	
25/03/2011 00:00	9.68	9.68	9.41	9.48	12590	EUR	
28/03/2011 00:00	9.48	9.63	9.45	9.63	5715	EUR	
29/03/2011 00:00	9.7	9.7	9.44	9.64	11375	EUR	
30/03/2011 00:00	9.65	9.69	9.42	9.54	6309	EUR	
31/03/2011 00:00	9.57	9.6	9.42	9.58	4732	EUR	
01/04/2011 00:00	9.58	9.59	9.35	9.39	3468	EUR	
04/04/2011 00:00	9.5	9.55	9.37	9.5	9103	EUR	
05/04/2011 00:00	9.48	9.5	9.38	9.38	3435	EUR	
06/04/2011 00:00	9.42	9.89	9.42	9.85	18655	EUR	
07/04/2011 00:00	9.85	10.25	9.85	10.05	57102	EUR	
08/04/2011 00:00	10.14	10.22	10.05	10.13	10327	EUR	
11/04/2011 00:00	10.14	10.85	10	10.55	28808	EUR	
12/04/2011 00:00	10.74	10.76	10.27	10.5	36530	EUR	
13/04/2011 00:00	10.5	10.55	10.28	10.35	19617	EUR	
14/04/2011 00:00	10.35	10.35	10.01	10.25	17356	EUR	
15/04/2011 00:00	10.25	10.25	9.85	10	15775	EUR	
18/04/2011 00:00	10.05	10.3	9.94	10.1	14757	EUR	
19/04/2011 00:00	10.1	10.2	9.87	10.1	9229	EUR	
20/04/2011 00:00	10.19	10.37	10	10.37	6090	EUR	
21/04/2011 00:00	10.35	10.35	10.14	10.29	4575	EUR	
26/04/2011 00:00	10.29	10.29	10.12	10.22	4537	EUR	
27/04/2011 00:00	10.12	10.2	10	10.1	3915	EUR	
28/04/2011 00:00	10.09	10.1	9.94	10.09	3404	EUR	
29/04/2011 00:00	10.1	10.1	9.96	10	4183	EUR	
02/05/2011 00:00	9.99	10.16	9.89	10.16	8004	EUR	
03/05/2011 00:00	10.17	10.67	10.17	10.38	40096	EUR	
