date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	25.001	25.402	24.764	24.953	46877	EUR	
11/11/2010 00:00	25.225	25.393	24.488	24.505	32052	EUR	
12/11/2010 00:00	24.402	24.479	23.798	24.195	45799	EUR	
15/11/2010 00:00	24.195	24.971	24.195	24.703	34716	EUR	
16/11/2010 00:00	24.919	25.393	24.518	24.626	38436	EUR	
17/11/2010 00:00	24.406	25.005	24.406	24.902	40033	EUR	
18/11/2010 00:00	25.078	25.393	24.919	25.324	24615	EUR	
19/11/2010 00:00	25.264	25.432	25.061	25.212	36977	EUR	
22/11/2010 00:00	25.238	25.35	24.859	24.936	52913	EUR	
23/11/2010 00:00	24.91	24.91	24.406	24.432	36503	EUR	
24/11/2010 00:00	24.402	24.522	24.143	24.307	60388	EUR	
25/11/2010 00:00	24.376	24.479	24.16	24.389	24916	EUR	
26/11/2010 00:00	24.272	24.734	24.272	24.531	118107	EUR	
29/11/2010 00:00	24.574	24.703	23.996	23.988	70023	EUR	
30/11/2010 00:00	24.208	24.229	23.738	23.863	49082	EUR	
01/12/2010 00:00	24.139	24.139	23.436	23.807	55308	EUR	
02/12/2010 00:00	24.057	24.143	23.505	24.057	75228	EUR	
03/12/2010 00:00	24.143	24.143	23.725	24.113	83636	EUR	
06/12/2010 00:00	23.975	24.186	23.936	24.113	65871	EUR	
07/12/2010 00:00	24.143	24.841	24.104	24.833	130100	EUR	
08/12/2010 00:00	24.583	25.574	24.583	25.505	154189	EUR	
09/12/2010 00:00	25.445	25.66	25.165	25.221	113747	EUR	
10/12/2010 00:00	25.122	25.824	25.122	25.807	89752	EUR	
13/12/2010 00:00	25.824	26.299	25.781	26.199	73777	EUR	
14/12/2010 00:00	25.954	26.419	25.954	26.376	46875	EUR	
15/12/2010 00:00	26.294	26.299	25.936	25.997	40551	EUR	
16/12/2010 00:00	25.954	26.57	25.898	26.419	128929	EUR	
17/12/2010 00:00	26.355	26.687	26.264	26.652	49323	EUR	
20/12/2010 00:00	26.626	26.712	26.342	26.643	80976	EUR	
21/12/2010 00:00	26.497	27.307	26.497	27.29	116437	EUR	
22/12/2010 00:00	27.247	27.773	26.764	27.773	142042	EUR	
23/12/2010 00:00	27.799	27.799	27.609	27.687	50060	EUR	
24/12/2010 00:00	27.764	27.79	27.592	27.704	9495	EUR	
27/12/2010 00:00	27.575	27.674	27.549	27.635	30253	EUR	
28/12/2010 00:00	27.678	27.678	27.583	27.678	23685	EUR	
29/12/2010 00:00	27.635	27.73	27.592	27.678	24656	EUR	
30/12/2010 00:00	27.635	27.756	27.592	27.691	23327	EUR	
31/12/2010 00:00	27.635	27.751	27.601	27.751	14618	EUR	
03/01/2011 00:00	27.751	28.321	27.751	28.187	39645	EUR	
04/01/2011 00:00	28.264	28.467	27.79	28.308	54463	EUR	
05/01/2011 00:00	28.282	28.282	27.592	27.661	79878	EUR	
06/01/2011 00:00	27.773	27.838	27.592	27.609	19345	EUR	
07/01/2011 00:00	27.678	27.773	27.161	27.234	60006	EUR	
10/01/2011 00:00	27.575	27.764	26.816	27.618	103927	EUR	
11/01/2011 00:00	27.618	28.088	27.605	28.07	98882	EUR	
12/01/2011 00:00	28.196	28.368	27.782	28.114	43128	EUR	
13/01/2011 00:00	28.282	28.295	27.476	27.626	84103	EUR	
14/01/2011 00:00	27.695	27.885	27.471	27.868	37169	EUR	
17/01/2011 00:00	27.79	28.092	27.79	28.032	27821	EUR	
18/01/2011 00:00	28.428	29.549	28.372	28.825	113738	EUR	
19/01/2011 00:00	28.825	29.886	28.54	29.17	175464	EUR	
20/01/2011 00:00	28.997	29.187	28.575	28.795	56535	EUR	
21/01/2011 00:00	28.799	28.799	28.29	28.454	65346	EUR	
24/01/2011 00:00	28.454	28.584	28.338	28.519	18349	EUR	
25/01/2011 00:00	28.458	28.584	28.239	28.493	32084	EUR	
26/01/2011 00:00	28.454	29.308	28.239	29.062	95039	EUR	
27/01/2011 00:00	29.118	29.674	28.885	29.01	66418	EUR	
28/01/2011 00:00	28.972	29.187	28.601	28.95	52134	EUR	
31/01/2011 00:00	28.756	29.209	28.454	28.48	44057	EUR	
01/02/2011 00:00	28.48	28.717	28.39	28.48	41074	EUR	
02/02/2011 00:00	28.627	28.648	28.204	28.446	51855	EUR	
03/02/2011 00:00	28.454	28.596	28.252	28.532	39845	EUR	
04/02/2011 00:00	28.54	28.601	28.282	28.532	20829	EUR	
07/02/2011 00:00	28.54	29.86	28.506	29.726	69031	EUR	
08/02/2011 00:00	29.825	29.825	28.98	29.144	56344	EUR	
09/02/2011 00:00	29.144	29.222	28.933	28.972	44246	EUR	
10/02/2011 00:00	28.972	29.144	28.847	28.894	28525	EUR	
11/02/2011 00:00	28.816	29.049	28.588	28.941	23260	EUR	
14/02/2011 00:00	28.972	29.006	28.864	28.877	15354	EUR	
15/02/2011 00:00	28.903	28.972	28.454	28.67	46567	EUR	
16/02/2011 00:00	28.678	28.773	28.497	28.614	13880	EUR	
17/02/2011 00:00	28.834	29.079	28.601	28.717	25416	EUR	
18/02/2011 00:00	28.67	29.002	28.454	28.907	27616	EUR	
21/02/2011 00:00	28.739	28.885	28.454	28.605	21231	EUR	
22/02/2011 00:00	28.454	28.584	28.032	28.157	41178	EUR	
23/02/2011 00:00	28.023	28.101	27.751	27.82	48854	EUR	
24/02/2011 00:00	27.592	27.851	27.247	27.769	33363	EUR	
25/02/2011 00:00	27.851	27.885	27.695	27.825	28042	EUR	
28/02/2011 00:00	27.894	27.894	27.247	27.609	95374	EUR	
01/03/2011 00:00	27.782	27.851	27.695	27.73	60178	EUR	
02/03/2011 00:00	27.73	27.73	27.247	27.329	82495	EUR	
03/03/2011 00:00	27.333	27.545	27.169	27.273	68674	EUR	
04/03/2011 00:00	27.299	27.592	27.247	27.398	40031	EUR	
07/03/2011 00:00	27.402	27.545	27.247	27.385	24969	EUR	
08/03/2011 00:00	27.514	27.803	27.247	27.674	74837	EUR	
09/03/2011 00:00	27.678	28.144	27.67	27.829	130858	EUR	
10/03/2011 00:00	27.816	28.092	27.687	27.687	56057	EUR	
11/03/2011 00:00	27.583	27.583	26.738	26.902	63745	EUR	
14/03/2011 00:00	26.73	26.902	26.255	26.299	108552	EUR	
15/03/2011 00:00	25.867	25.906	24.872	25.225	130336	EUR	
16/03/2011 00:00	25.091	25.635	24.738	24.738	118591	EUR	
17/03/2011 00:00	24.6	26.191	24.583	25.484	150845	EUR	
18/03/2011 00:00	25.773	26.169	25.005	25.005	131962	EUR	
21/03/2011 00:00	25.479	26.73	25.479	26.643	113560	EUR	
22/03/2011 00:00	26.544	26.885	26.475	26.579	69197	EUR	
23/03/2011 00:00	26.385	26.825	26.346	26.76	60679	EUR	
24/03/2011 00:00	26.76	26.915	26.605	26.872	46717	EUR	
25/03/2011 00:00	26.872	26.876	26.751	26.816	46148	EUR	
28/03/2011 00:00	26.859	26.872	26.751	26.79	83708	EUR	
29/03/2011 00:00	26.773	26.82	26.523	26.73	46718	EUR	
30/03/2011 00:00	26.73	26.988	26.648	26.902	87753	EUR	
31/03/2011 00:00	26.945	27.592	26.803	27.527	63355	EUR	
01/04/2011 00:00	27.506	28.045	27.247	28.045	80202	EUR	
04/04/2011 00:00	27.769	28.234	27.764	28.204	39918	EUR	
05/04/2011 00:00	28.191	28.601	28.023	28.601	94340	EUR	
06/04/2011 00:00	28.734	29.437	28.734	29.273	176263	EUR	
07/04/2011 00:00	29.269	29.485	29.144	29.256	68413	EUR	
08/04/2011 00:00	29.187	29.454	28.972	29.144	43921	EUR	
11/04/2011 00:00	29.144	29.316	28.907	29.316	20858	EUR	
12/04/2011 00:00	29.187	29.291	28.782	29.114	48189	EUR	
13/04/2011 00:00	29.26	29.325	28.894	29.286	23965	EUR	
14/04/2011 00:00	28.989	29.308	28.842	29.26	28514	EUR	
15/04/2011 00:00	29.144	29.381	29.144	29.316	24283	EUR	
18/04/2011 00:00	29.403	29.403	28.506	28.631	41398	EUR	
19/04/2011 00:00	28.588	28.941	28.584	28.941	20271	EUR	
20/04/2011 00:00	28.941	29.441	28.584	28.747	218756	EUR	
21/04/2011 00:00	29.079	29.079	28.454	28.515	99661	EUR	
26/04/2011 00:00	28.282	30.515	28.282	30.399	189262	EUR	
27/04/2011 00:00	30.394	30.429	30.092	30.269	104870	EUR	
28/04/2011 00:00	30.334	30.373	29.493	30.084	104436	EUR	
29/04/2011 00:00	30.209	30.804	30.075	30.623	43537	EUR	
02/05/2011 00:00	30.446	30.636	30.394	30.519	19067	EUR	
