date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	14.89	14.89	14.57	14.85	343023	EUR	
11/11/2010 00:00	14.65	14.785	14.25	14.36	203795	EUR	
12/11/2010 00:00	14.27	14.46	14.06	14.415	203104	EUR	
15/11/2010 00:00	14.23	14.57	14.205	14.405	156406	EUR	
16/11/2010 00:00	14.38	14.48	14.1	14.145	173813	EUR	
17/11/2010 00:00	14.14	14.23	14	14.165	149242	EUR	
18/11/2010 00:00	14.445	14.98	14.435	14.87	377995	EUR	
19/11/2010 00:00	14.84	14.97	14.64	14.92	154204	EUR	
22/11/2010 00:00	14.785	14.98	14.745	14.89	229743	EUR	
23/11/2010 00:00	14.7	14.79	14.38	14.39	132311	EUR	
24/11/2010 00:00	14.35	14.62	14.27	14.52	232345	EUR	
25/11/2010 00:00	14.55	14.885	14.51	14.7	237037	EUR	
26/11/2010 00:00	14.6	14.745	14.5	14.56	143250	EUR	
29/11/2010 00:00	14.6	14.68	14.2	14.26	215330	EUR	
30/11/2010 00:00	14.26	14.6	14.18	14.57	429236	EUR	
01/12/2010 00:00	14.57	15.145	14.425	15.135	284787	EUR	
02/12/2010 00:00	15.5	15.99	15.335	15.95	1060529	EUR	
03/12/2010 00:00	15.8	16.2	15.8	16.15	393942	EUR	
06/12/2010 00:00	16.03	16.69	16.03	16.65	426726	EUR	
07/12/2010 00:00	16.61	16.63	16.195	16.4	375169	EUR	
08/12/2010 00:00	16.25	16.5	16.25	16.295	281093	EUR	
09/12/2010 00:00	16.245	16.425	15.815	15.925	302761	EUR	
10/12/2010 00:00	15.945	16.14	15.63	15.995	301065	EUR	
13/12/2010 00:00	15.92	16.2	15.92	16.11	199479	EUR	
14/12/2010 00:00	16.1	16.255	16.025	16.11	190108	EUR	
15/12/2010 00:00	16.05	16.4	15.95	16.27	305749	EUR	
16/12/2010 00:00	16.1	16.35	16.09	16.2	203049	EUR	
17/12/2010 00:00	16.25	16.45	16.18	16.3	510244	EUR	
20/12/2010 00:00	16.09	16.3	16	16.2	248746	EUR	
21/12/2010 00:00	16.2	16.37	16.15	16.3	193043	EUR	
22/12/2010 00:00	16.19	16.35	16.15	16.28	189535	EUR	
23/12/2010 00:00	16.28	16.325	16.055	16.315	121287	EUR	
24/12/2010 00:00	16.295	16.365	16.2	16.28	87044	EUR	
27/12/2010 00:00	16.28	16.3	16.115	16.22	51128	EUR	
28/12/2010 00:00	16.2	16.25	16.015	16.15	97281	EUR	
29/12/2010 00:00	16.15	16.265	16.14	16.185	118321	EUR	
30/12/2010 00:00	16.2	16.255	16.105	16.23	61657	EUR	
31/12/2010 00:00	16.23	16.26	16.07	16.255	122559	EUR	
