date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.3	2.32	2.24	2.28	33710	EUR	
11/11/2010 00:00	2.27	2.28	2.24	2.27	10139	EUR	
12/11/2010 00:00	2.27	2.28	2.21	2.26	14165	EUR	
15/11/2010 00:00	2.23	2.27	2.21	2.26	11287	EUR	
16/11/2010 00:00	2.25	2.25	2.2	2.25	25909	EUR	
17/11/2010 00:00	2.21	2.3	2.2	2.29	50611	EUR	
18/11/2010 00:00	2.29	2.3	2.22	2.3	26980	EUR	
19/11/2010 00:00	2.29	2.3	2.25	2.27	10654	EUR	
22/11/2010 00:00	2.25	2.27	2.21	2.26	30112	EUR	
23/11/2010 00:00	2.26	2.27	2.21	2.23	22106	EUR	
24/11/2010 00:00	2.21	2.25	2.21	2.24	19709	EUR	
25/11/2010 00:00	2.23	2.24	2.21	2.21	7210	EUR	
26/11/2010 00:00	2.21	2.25	2.21	2.25	22624	EUR	
29/11/2010 00:00	2.23	2.24	2.21	2.23	7595	EUR	
30/11/2010 00:00	2.21	2.23	2.21	2.23	3286	EUR	
01/12/2010 00:00	2.23	2.23	2.15	2.21	14680	EUR	
02/12/2010 00:00	2.21	2.21	2.12	2.18	26105	EUR	
03/12/2010 00:00	2.24	2.3	2.22	2.25	87700	EUR	
06/12/2010 00:00	2.25	2.3	2.25	2.29	20409	EUR	
07/12/2010 00:00	2.28	2.28	2.25	2.26	16971	EUR	
08/12/2010 00:00	2.25	2.33	2.23	2.29	37683	EUR	
09/12/2010 00:00	2.33	2.34	2.25	2.25	38314	EUR	
10/12/2010 00:00	2.26	2.28	2.24	2.26	23671	EUR	
13/12/2010 00:00	2.24	2.28	2.23	2.28	19084	EUR	
14/12/2010 00:00	2.28	2.28	2.23	2.23	4870	EUR	
15/12/2010 00:00	2.23	2.27	2.23	2.25	12010	EUR	
16/12/2010 00:00	2.25	2.33	2.23	2.3	112662	EUR	
17/12/2010 00:00	2.35	2.44	2.35	2.44	171629	EUR	
20/12/2010 00:00	2.44	2.52	2.44	2.49	110406	EUR	
21/12/2010 00:00	2.49	2.6	2.47	2.53	131397	EUR	
22/12/2010 00:00	2.5	2.58	2.47	2.55	40526	EUR	
23/12/2010 00:00	2.61	2.75	2.61	2.65	132529	EUR	
24/12/2010 00:00	2.69	2.69	2.44	2.57	74428	EUR	
27/12/2010 00:00	2.7	2.7	2.51	2.58	47700	EUR	
28/12/2010 00:00	2.58	2.58	2.5	2.54	33262	EUR	
29/12/2010 00:00	2.53	2.62	2.51	2.61	27854	EUR	
30/12/2010 00:00	2.61	2.61	2.52	2.59	15403	EUR	
31/12/2010 00:00	2.51	2.57	2.51	2.57	34450	EUR	
03/01/2011 00:00	2.59	2.66	2.58	2.58	17766	EUR	
04/01/2011 00:00	2.56	2.58	2.5	2.55	30706	EUR	
05/01/2011 00:00	2.55	2.55	2.52	2.55	2142	EUR	
06/01/2011 00:00	2.78	3.05	2.7	2.88	404011	EUR	
07/01/2011 00:00	2.88	3.07	2.84	3.07	131984	EUR	
10/01/2011 00:00	3.1	3.18	2.82	3.08	171883	EUR	
11/01/2011 00:00	3.1	3.2	3.07	3.08	82339	EUR	
12/01/2011 00:00	3.05	3.29	3.01	3.28	150515	EUR	
13/01/2011 00:00	3.28	3.35	3.24	3.28	69854	EUR	
14/01/2011 00:00	3.44	3.54	3.23	3.31	213676	EUR	
17/01/2011 00:00	3.2	3.23	3.18	3.17	176249	EUR	
18/01/2011 00:00	3.16	3.17	3.08	3.11	34919	EUR	
19/01/2011 00:00	3.09	3.09	2.98	3	100711	EUR	
20/01/2011 00:00	3	3.09	2.98	3.06	31897	EUR	
21/01/2011 00:00	3.09	3.32	3.06	3.27	120928	EUR	
24/01/2011 00:00	3.27	3.3	3.22	3.29	29020	EUR	
25/01/2011 00:00	3.3	3.31	3.14	3.3	56793	EUR	
26/01/2011 00:00	3.3	3.31	3.21	3.31	31030	EUR	
27/01/2011 00:00	3.32	3.33	3.26	3.33	29658	EUR	
28/01/2011 00:00	3.33	3.33	3.27	3.3	16364	EUR	
31/01/2011 00:00	3.32	3.38	3.28	3.38	44922	EUR	
01/02/2011 00:00	3.4	3.7	3.39	3.65	136801	EUR	
02/02/2011 00:00	3.69	3.7	3.62	3.64	68543	EUR	
03/02/2011 00:00	3.65	3.66	3.61	3.66	14021	EUR	
04/02/2011 00:00	3.66	3.7	3.58	3.65	39131	EUR	
07/02/2011 00:00	3.65	3.69	3.61	3.67	27257	EUR	
08/02/2011 00:00	3.66	3.68	3.65	3.67	19218	EUR	
09/02/2011 00:00	3.68	3.68	3.6	3.64	21019	EUR	
10/02/2011 00:00	3.65	3.65	3.5	3.55	48876	EUR	
11/02/2011 00:00	3.55	3.55	3.42	3.51	75401	EUR	
14/02/2011 00:00	3.5	3.51	3.46	3.51	32444	EUR	
15/02/2011 00:00	3.47	3.55	3.47	3.5	27615	EUR	
16/02/2011 00:00	3.5	3.5	3.47	3.5	19687	EUR	
17/02/2011 00:00	3.5	3.6	3.47	3.59	34306	EUR	
18/02/2011 00:00	3.59	3.61	3.53	3.6	27399	EUR	
21/02/2011 00:00	3.6	3.61	3.55	3.6	7244	EUR	
22/02/2011 00:00	3.6	3.6	3.25	3.46	73239	EUR	
23/02/2011 00:00	3.38	3.5	3.26	3.46	49435	EUR	
24/02/2011 00:00	3.29	3.4	3.26	3.32	50904	EUR	
25/02/2011 00:00	3.31	3.4	3.26	3.34	29404	EUR	
28/02/2011 00:00	3.35	3.38	3.32	3.37	21401	EUR	
01/03/2011 00:00	3.34	3.37	3.3	3.37	17351	EUR	
02/03/2011 00:00	3.3	3.37	3.25	3.37	27151	EUR	
