date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	61.5	61.5	61.44	61.5	189	EUR	
11/11/2010 00:00	61.5	61.5	61.2	61.5	171	EUR	
12/11/2010 00:00	61.49	61.5	61.49	61.5	199	EUR	
15/11/2010 00:00	61.5	61.5	61.5	61.5	1	EUR	
16/11/2010 00:00	61.5	61.51	61	61	375	EUR	
17/11/2010 00:00	61.5	61.5	61.5	61.5	25	EUR	
18/11/2010 00:00	61.5	61.5	61.5	61.5	41	EUR	
19/11/2010 00:00	61.5	61.5	61.25	61.5	41	EUR	
22/11/2010 00:00	61.5	61.5	61.5	61.5	11	EUR	
23/11/2010 00:00	61.5	61.5	61.5	61.5	1	EUR	
24/11/2010 00:00	61.49	61.49	61.49	61.49	45	EUR	
25/11/2010 00:00	61.49	61.51	60.95	61.3	327	EUR	
26/11/2010 00:00	61.3	61.3	60.95	61	72	EUR	
29/11/2010 00:00	61	61	59.96	59.96	742	EUR	
30/11/2010 00:00	59.97	59.97	59.64	59.64	155	EUR	
01/12/2010 00:00	59.64	59.64	56.96	56.96	13	EUR	
02/12/2010 00:00	59.64	59.64	57.5	57.5	72	EUR	
03/12/2010 00:00	57.51	57.93	57.05	57.61	252	EUR	
06/12/2010 00:00	58	58	57.52	57.52	145	EUR	
07/12/2010 00:00	57.52	57.52	57.04	57.05	242	EUR	
08/12/2010 00:00	57.15	57.15	57.07	57.07	57	EUR	
09/12/2010 00:00	57.07	57.42	57.05	57.42	485	EUR	
10/12/2010 00:00	57.99	57.99	57.4	57.42	241	EUR	
13/12/2010 00:00	58	58	57.5	57.5	401	EUR	
14/12/2010 00:00	57.51	57.6	57.5	57.6	317	EUR	
15/12/2010 00:00	57.6	57.65	57.33	57.6	544	EUR	
16/12/2010 00:00	57.6	61.35	57.6	61.35	4024	EUR	
17/12/2010 00:00	60.2	61.97	60.2	61.3	603	EUR	
20/12/2010 00:00	61.31	61.31	61.3	61.3	21	EUR	
21/12/2010 00:00	61.31	61.35	61	61	141	EUR	
22/12/2010 00:00	61.01	61.15	61.01	61.11	470	EUR	
23/12/2010 00:00	61.11	61.12	61.09	61.12	401	EUR	
24/12/2010 00:00	61.13	61.36	61.12	61.36	211	EUR	
27/12/2010 00:00	61.36	61.36	61	61	320	EUR	
28/12/2010 00:00	61	61.36	60.1	60.1	946	EUR	
29/12/2010 00:00	60.16	61	60.16	60.74	46	EUR	
30/12/2010 00:00	60.75	60.75	60.74	60.74	31	EUR	
31/12/2010 00:00	60.75	61.5	60.75	61.5	125	EUR	
03/01/2011 00:00	61.5	61.5	61	61.5	402	EUR	
04/01/2011 00:00	61.5	62.5	61.43	62.5	1570	EUR	
05/01/2011 00:00	62.5	62.89	62.5	62.89	426	EUR	
06/01/2011 00:00	63.94	65	63.9	65	657	EUR	
07/01/2011 00:00	65	66.4	64	66.4	1096	EUR	
10/01/2011 00:00	66.38	66.38	65.9	66	1008	EUR	
11/01/2011 00:00	66.07	66.25	66.07	66.25	226	EUR	
12/01/2011 00:00	66.24	67.5	66.24	67.5	1261	EUR	
13/01/2011 00:00	67.51	68.15	66.26	68.15	1623	EUR	
14/01/2011 00:00	68.15	69.95	68.15	69.01	912	EUR	
17/01/2011 00:00	69	69.5	68.61	68.8	349	EUR	
18/01/2011 00:00	68.8	69.1	68.74	68.98	1581	EUR	
19/01/2011 00:00	68.98	69.16	68.98	69.01	1850	EUR	
20/01/2011 00:00	69.02	69.25	69.01	69.2	152	EUR	
21/01/2011 00:00	69.2	69.9	69.19	69.3	432	EUR	
24/01/2011 00:00	70.44	70.44	70	70	243	EUR	
25/01/2011 00:00	70.34	70.34	69.55	69.75	4713	EUR	
26/01/2011 00:00	69.75	69.88	69.55	69.88	2801	EUR	
27/01/2011 00:00	69.88	70.3	69.75	69.89	310	EUR	
28/01/2011 00:00	69.89	75	69.89	75	1550	EUR	
31/01/2011 00:00	75.6	77.87	74.99	77.84	778	EUR	
01/02/2011 00:00	76.1	77.84	76.1	77.84	843	EUR	
02/02/2011 00:00	77.84	77.84	76.1	77.84	497	EUR	
03/02/2011 00:00	77.5	77.8	77	77.2	157	EUR	
04/02/2011 00:00	77.2	77.2	76.1	76.5	888	EUR	
07/02/2011 00:00	76.5	77	76.5	77	588	EUR	
08/02/2011 00:00	76.99	77.2	76.5	77.2	198	EUR	
09/02/2011 00:00	77.2	77.2	77	77	130	EUR	
10/02/2011 00:00	77	77.84	76.65	77.83	1681	EUR	
11/02/2011 00:00	77.83	77.98	77.2	77.98	446	EUR	
14/02/2011 00:00	78	78	77.99	77.99	81	EUR	
