date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	51.12	51.19	50.07	50.47	3090457	EUR	
11/11/2010 00:00	50.5	50.73	49.89	50	2316498	EUR	
12/11/2010 00:00	49.275	49.68	48.8	49.48	3130352	EUR	
15/11/2010 00:00	49.23	49.74	48.965	49.59	2623941	EUR	
16/11/2010 00:00	49.135	49.345	48.66	48.665	2772185	EUR	
17/11/2010 00:00	48.73	49.55	48.6	49.5	2030975	EUR	
18/11/2010 00:00	49.795	50.47	49.68	50.32	2525424	EUR	
19/11/2010 00:00	50.32	50.61	49.555	50	2485733	EUR	
22/11/2010 00:00	50.47	50.56	49.285	49.34	2133587	EUR	
23/11/2010 00:00	49.01	49.32	48.235	48.235	2880151	EUR	
24/11/2010 00:00	48.535	48.8	48.055	48.495	2180939	EUR	
25/11/2010 00:00	48.755	48.785	48.23	48.53	1578895	EUR	
26/11/2010 00:00	48.05	48.54	47.57	48.42	2581798	EUR	
29/11/2010 00:00	48.495	48.86	46.97	46.97	4336856	EUR	
30/11/2010 00:00	46.8	47.265	46.23	46.58	4486543	EUR	
01/12/2010 00:00	47.05	48.2	47.04	47.8	4718548	EUR	
02/12/2010 00:00	47.95	47.99	46.48	47.96	5443470	EUR	
03/12/2010 00:00	47.745	48.12	47.425	47.92	2858349	EUR	
06/12/2010 00:00	47.945	48.035	47.52	47.835	1910441	EUR	
07/12/2010 00:00	47.76	49.025	47.75	48.55	2989760	EUR	
08/12/2010 00:00	48.445	49.35	48.35	49.145	2429378	EUR	
09/12/2010 00:00	49.3	49.58	49.045	49.34	2429301	EUR	
10/12/2010 00:00	49.6	49.6	49.06	49.31	1612156	EUR	
13/12/2010 00:00	49.425	49.5	48.82	49	3373787	EUR	
14/12/2010 00:00	49.18	49.645	48.98	49.63	2479548	EUR	
15/12/2010 00:00	49.515	49.835	49.36	49.53	2515102	EUR	
16/12/2010 00:00	49.645	49.705	48.78	49.195	3012206	EUR	
17/12/2010 00:00	49.395	49.4	48.61	48.655	4442469	EUR	
20/12/2010 00:00	48.9	49.47	48.81	48.895	2725445	EUR	
21/12/2010 00:00	49.14	49.455	48.98	49.22	2799730	EUR	
22/12/2010 00:00	49.435	49.755	49.23	49.5	2184180	EUR	
23/12/2010 00:00	49.65	49.69	49.11	49.44	1395439	EUR	
24/12/2010 00:00	49.49	49.5	48.9	49.05	293097	EUR	
27/12/2010 00:00	48.9	49.04	48.12	48.76	1286178	EUR	
28/12/2010 00:00	48.77	48.975	48.595	48.7	1033950	EUR	
29/12/2010 00:00	48.85	49.48	48.85	49.15	1301269	EUR	
30/12/2010 00:00	49.21	49.29	48.395	48.65	1530358	EUR	
31/12/2010 00:00	48.36	48.645	47.85	47.85	816656	EUR	
03/01/2011 00:00	48.345	49.39	48.11	49.39	2279536	EUR	
04/01/2011 00:00	49.35	50.14	49.13	49.69	3004649	EUR	
05/01/2011 00:00	49.535	49.89	49.02	49.84	2575237	EUR	
06/01/2011 00:00	49.82	50.93	49.81	50.28	3229713	EUR	
07/01/2011 00:00	50.04	50.28	49.71	49.75	3290574	EUR	
10/01/2011 00:00	49.405	49.545	48.675	48.905	3583213	EUR	
11/01/2011 00:00	48.9	49.44	48.665	49.44	3413899	EUR	
12/01/2011 00:00	49.55	51.5	49.44	51.25	4248395	EUR	
13/01/2011 00:00	51.5	51.8	50.94	51.8	4348339	EUR	
14/01/2011 00:00	51.95	52.23	50.73	51.2	4954369	EUR	
17/01/2011 00:00	51.05	51.35	50.84	51.1	1641661	EUR	
18/01/2011 00:00	51.12	51.25	50.47	50.91	3201049	EUR	
19/01/2011 00:00	50.9	51.29	50.66	50.76	2905148	EUR	
20/01/2011 00:00	50.66	50.85	50.05	50.18	2977109	EUR	
21/01/2011 00:00	50.4	50.97	50.14	50.87	4554699	EUR	
24/01/2011 00:00	50.87	51.07	50.54	50.98	2184116	EUR	
25/01/2011 00:00	50.65	51.03	50.4	50.65	2557527	EUR	
26/01/2011 00:00	50.99	51.59	50.69	51.4	3305424	EUR	
27/01/2011 00:00	51.25	51.59	50.96	51.17	2014118	EUR	
28/01/2011 00:00	49.5	49.76	48.5	49.215	6825069	EUR	
31/01/2011 00:00	49.47	50.18	48.785	49.875	4577318	EUR	
01/02/2011 00:00	50.35	50.88	49.78	50.69	3495892	EUR	
02/02/2011 00:00	51.17	51.2	50.5	50.73	3151410	EUR	
03/02/2011 00:00	50.74	50.75	49.6	50	3976470	EUR	
04/02/2011 00:00	50.2	50.37	50.02	50.3	2428664	EUR	
07/02/2011 00:00	50.75	50.89	50.43	50.79	2802827	EUR	
08/02/2011 00:00	50.7	51.36	50.7	51.14	2877893	EUR	
09/02/2011 00:00	50.48	50.7	50.06	50.34	3677800	EUR	
10/02/2011 00:00	50.44	50.5	49.67	50.39	2676171	EUR	
11/02/2011 00:00	50.31	50.47	49.65	49.65	3778445	EUR	
14/02/2011 00:00	50.19	50.19	49.665	49.93	2209460	EUR	
15/02/2011 00:00	49.88	50.1	49.715	49.8	2351817	EUR	
16/02/2011 00:00	51.1	51.9	50.81	51.55	9101881	EUR	
17/02/2011 00:00	51.5	51.65	50.87	51.36	3309159	EUR	
18/02/2011 00:00	51.61	51.61	50.49	50.87	4469781	EUR	
21/02/2011 00:00	50.81	50.87	50.1	50.31	2306330	EUR	
22/02/2011 00:00	50.2	50.3	48.99	49.205	4391525	EUR	
23/02/2011 00:00	49.4	49.585	49.05	49.115	3403755	EUR	
24/02/2011 00:00	48.895	49.525	48.6	49.31	3035530	EUR	
25/02/2011 00:00	49.5	49.855	49.07	49.715	1974761	EUR	
28/02/2011 00:00	49.485	50.24	49.13	50	2790293	EUR	
01/03/2011 00:00	50.46	50.85	50.2	50.58	4102724	EUR	
02/03/2011 00:00	51.01	51.48	50.86	51.07	5503015	EUR	
03/03/2011 00:00	51.14	51.91	51.07	51.46	4156931	EUR	
04/03/2011 00:00	51.79	52.07	50.96	51.1	3040057	EUR	
07/03/2011 00:00	50.65	50.98	50.37	50.48	2802607	EUR	
08/03/2011 00:00	50.65	50.74	49.9	50.55	2144703	EUR	
09/03/2011 00:00	50.49	50.96	50.21	50.28	2296343	EUR	
10/03/2011 00:00	49.85	50.98	49.85	50.67	2881063	EUR	
11/03/2011 00:00	50.28	50.35	49.39	49.39	3911875	EUR	
14/03/2011 00:00	49.42	49.59	48.21	48.4	5063892	EUR	
15/03/2011 00:00	47.5	47.99	46.07	46.83	8312194	EUR	
16/03/2011 00:00	46.9	47.205	46.04	46.12	5659318	EUR	
17/03/2011 00:00	46.515	47.57	46.27	47.26	5362861	EUR	
18/03/2011 00:00	47.26	47.89	46.885	47.115	6655253	EUR	
21/03/2011 00:00	47.5	48.055	47.41	47.99	2982427	EUR	
22/03/2011 00:00	47.785	48.14	47.38	47.655	2710427	EUR	
23/03/2011 00:00	47.42	48.21	47.375	47.785	2478503	EUR	
24/03/2011 00:00	47.775	48.645	47.425	48.54	2725366	EUR	
25/03/2011 00:00	48.615	49.27	48.445	49.1	3223411	EUR	
28/03/2011 00:00	49.04	49.55	48.925	49.055	2218639	EUR	
29/03/2011 00:00	49.095	49.3	48.635	49.05	2528271	EUR	
30/03/2011 00:00	49.5	49.925	49.495	49.72	2756790	EUR	
31/03/2011 00:00	49.7	49.96	49.475	49.475	2990640	EUR	
01/04/2011 00:00	50.28	50.43	49.64	50.28	3252917	EUR	
04/04/2011 00:00	50.25	50.41	50.1	50.16	2139426	EUR	
05/04/2011 00:00	50.05	50.62	50.02	50.58	2664828	EUR	
06/04/2011 00:00	50.47	50.88	50.32	50.55	2378844	EUR	
07/04/2011 00:00	50.65	50.87	50.28	50.45	2798292	EUR	
08/04/2011 00:00	50.55	50.83	50.43	50.74	2085986	EUR	
11/04/2011 00:00	50.55	51.57	50.55	51.27	3100546	EUR	
12/04/2011 00:00	51.2	51.77	51.1	51.19	4309238	EUR	
13/04/2011 00:00	51.15	51.61	51.09	51.43	2535415	EUR	
14/04/2011 00:00	51.01	51.25	50.72	51.17	2491698	EUR	
15/04/2011 00:00	51.03	52	51	51.86	4291534	EUR	
18/04/2011 00:00	51.94	52.1	50.58	50.78	4240343	EUR	
19/04/2011 00:00	51.17	51.46	50.88	51.19	2778410	EUR	
20/04/2011 00:00	51.52	52.59	51.52	52.5	3652554	EUR	
21/04/2011 00:00	52.5	52.88	52.39	52.73	2704902	EUR	
26/04/2011 00:00	52.52	53.22	52.2	53.17	2983416	EUR	
27/04/2011 00:00	53.2	53.53	52.88	53.26	3004711	EUR	
28/04/2011 00:00	53.57	53.69	52.93	53.3	3450476	EUR	
29/04/2011 00:00	53.17	53.75	53.17	53.4	2144621	EUR	
02/05/2011 00:00	53.55	54.37	53.36	53.88	2485261	EUR	
03/05/2011 00:00	53.72	53.97	53.51	53.9	3462692	EUR	
04/05/2011 00:00	53.8	54.75	53.52	54.32	5075731	EUR	
05/05/2011 00:00	54.55	54.87	53.6	54.05	4364110	EUR	
06/05/2011 00:00	54.19	55.21	54.09	55.21	4890731	EUR	
09/05/2011 00:00	55.27	55.59	54.91	54.96	4761389	EUR	
10/05/2011 00:00	55.25	55.76	54.98	55.01	4299461	EUR	
11/05/2011 00:00	55.18	55.94	55.1	55.84	5146304	EUR	
12/05/2011 00:00	55.35	55.97	54.93	55.97	4689020	EUR	
13/05/2011 00:00	56	56.5	55.88	56.26	5157875	EUR	
16/05/2011 00:00	53.9	54.49	53.59	53.74	5348988	EUR	
17/05/2011 00:00	53.65	53.66	52.68	53.03	4205062	EUR	
18/05/2011 00:00	53.38	53.64	52.77	53.52	2978676	EUR	
19/05/2011 00:00	53.99	54.74	53.86	54.74	4463748	EUR	
20/05/2011 00:00	54.74	54.74	54.03	54.04	3421567	EUR	
23/05/2011 00:00	53.53	53.93	53.31	53.55	3351427	EUR	
24/05/2011 00:00	53.5	54.19	53.33	54.11	2805829	EUR	
25/05/2011 00:00	53.65	54.14	53.39	53.96	2843331	EUR	
26/05/2011 00:00	53.93	54.35	53.85	54.14	2976941	EUR	
27/05/2011 00:00	54.55	54.81	54.03	54.03	3189988	EUR	
30/05/2011 00:00	53.96	54.39	53.88	54.09	1016507	EUR	
31/05/2011 00:00	54.5	55.22	54.24	55.02	7728496	EUR	
01/06/2011 00:00	54.86	54.95	54	54	4165070	EUR	
02/06/2011 00:00	53.99	54	53.2	53.2	2436486	EUR	
03/06/2011 00:00	52.92	53.12	52.01	52.43	4637859	EUR	
06/06/2011 00:00	52.33	52.79	52.2	52.44	3253289	EUR	
07/06/2011 00:00	52.45	52.94	52.22	52.42	2878918	EUR	
08/06/2011 00:00	52.2	52.63	52.1	52.33	3328901	EUR	
09/06/2011 00:00	52.29	52.87	52.03	52.54	3166456	EUR	
10/06/2011 00:00	52.32	52.47	51.37	51.39	2863372	EUR	
13/06/2011 00:00	51.53	52.24	51.39	52.08	1874678	EUR	
14/06/2011 00:00	52.21	53.04	52.12	52.91	3096266	EUR	
15/06/2011 00:00	52.85	52.98	51.88	51.91	3111944	EUR	
16/06/2011 00:00	51.58	51.85	51.27	51.68	4387985	EUR	
17/06/2011 00:00	51.6	52.67	51.1	52.37	5890190	EUR	
20/06/2011 00:00	51.2	52.22	51.2	52	2201027	EUR	
21/06/2011 00:00	52.31	52.68	52.16	52.44	2745106	EUR	
22/06/2011 00:00	52.33	53	52.19	52.82	2513469	EUR	
23/06/2011 00:00	52.65	52.85	52.01	52.29	3455997	EUR	
24/06/2011 00:00	52.54	53.46	52.26	52.41	3568471	EUR	
27/06/2011 00:00	52.15	52.84	52.15	52.78	2331153	EUR	
28/06/2011 00:00	52.66	53.95	52.58	53.83	3598442	EUR	
29/06/2011 00:00	53.95	54.81	53.85	54.45	3418448	EUR	
30/06/2011 00:00	54.45	55.44	54.39	55.44	3582965	EUR	
01/07/2011 00:00	55.34	55.92	55.06	55.5	2630225	EUR	
04/07/2011 00:00	55.5	55.77	55.21	55.57	2376798	EUR	
05/07/2011 00:00	55.6	55.67	55	55.35	2933460	EUR	
06/07/2011 00:00	55.47	55.92	55.34	55.9	2865412	EUR	
07/07/2011 00:00	56.03	56.82	54.76	55.3	5678637	EUR	
08/07/2011 00:00	55.81	56.2	55.32	55.52	3561880	EUR	
11/07/2011 00:00	55.14	55.43	54.35	54.57	3581109	EUR	
12/07/2011 00:00	53.75	54.45	52.83	54.21	5041675	EUR	
13/07/2011 00:00	54.49	55.03	53.82	54.98	3615941	EUR	
14/07/2011 00:00	54.27	54.94	54.22	54.7	2038226	EUR	
15/07/2011 00:00	54.56	55.7	54.47	55.4	3911102	EUR	
18/07/2011 00:00	54.74	54.99	54.1	54.23	3036972	EUR	
19/07/2011 00:00	54.2	54.54	54	54.44	2463229	EUR	
20/07/2011 00:00	54.88	55.15	54.71	55.15	2830013	EUR	
21/07/2011 00:00	55.36	55.63	54.34	54.85	3114968	EUR	
22/07/2011 00:00	55.1	55.42	54.38	55.21	2484361	EUR	
25/07/2011 00:00	54.79	55.96	54.75	55.4	2477321	EUR	
26/07/2011 00:00	55.39	55.65	54.82	54.82	2045062	EUR	
27/07/2011 00:00	54.38	54.95	53.74	53.8	2772922	EUR	
28/07/2011 00:00	53.96	54.66	53.13	54.8	2013705	EUR	
29/07/2011 00:00	54.37	55	53.77	54.29	2862368	EUR	
01/08/2011 00:00	54.4	54.75	52.9	52.9	3166902	EUR	
02/08/2011 00:00	52.59	53.27	52.44	52.44	2795081	EUR	
03/08/2011 00:00	52	52.95	51.78	51.87	3603826	EUR	
04/08/2011 00:00	52.5	52.65	50.59	50.51	5424689	EUR	
05/08/2011 00:00	49.48	51.14	49.03	49.67	7585645	EUR	
08/08/2011 00:00	49.37	50.24	47.75	47.75	6719817	EUR	
09/08/2011 00:00	47.75	48.6	45.1	47.26	8954825	EUR	
10/08/2011 00:00	47.29	47.77	44.315	44.19	9784123	EUR	
11/08/2011 00:00	45.55	45.955	42.85	45.63	11025741	EUR	
12/08/2011 00:00	45.465	48.49	44.75	48.49	5795276	EUR	
15/08/2011 00:00	48.78	49.285	48.38	48.45	3609115	EUR	
16/08/2011 00:00	47.965	48.695	47.54	48.535	3007529	EUR	
17/08/2011 00:00	48.29	50.31	48.2	49.915	3876648	EUR	
18/08/2011 00:00	49.5	50.25	48.07	48.41	6522349	EUR	
19/08/2011 00:00	48.26	48.52	46.625	47.51	6166509	EUR	
22/08/2011 00:00	47.26	49.9	47.15	49.125	4413551	EUR	
23/08/2011 00:00	49.375	50.45	49.355	49.95	3818088	EUR	
24/08/2011 00:00	50.5	51.03	49.615	50.62	3052578	EUR	
25/08/2011 00:00	50.83	51.15	49.6	49.965	2982677	EUR	
26/08/2011 00:00	49.69	50.02	48.4	49.45	3577854	EUR	
29/08/2011 00:00	49.865	50.15	49.515	49.86	1814151	EUR	
30/08/2011 00:00	49.86	50.38	49.11	49.55	2918128	EUR	
31/08/2011 00:00	50.09	50.91	49.66	50.66	3604954	EUR	
01/09/2011 00:00	50.86	51.9	50.07	51.42	4148541	EUR	
02/09/2011 00:00	50.8	50.94	49.5	49.75	3824939	EUR	
05/09/2011 00:00	48.315	49.19	47.7	48.08	3764826	EUR	
06/09/2011 00:00	48.14	49.58	48.125	48.88	6590611	EUR	
07/09/2011 00:00	49.7	50.31	49.54	49.92	4930837	EUR	
08/09/2011 00:00	49.875	50.27	49.05	49.285	3253392	EUR	
09/09/2011 00:00	48.5	49	47.88	48.23	5393383	EUR	
12/09/2011 00:00	46.51	47.06	45.79	46.505	5521675	EUR	
13/09/2011 00:00	47.3	47.57	45.735	46.69	5568318	EUR	
14/09/2011 00:00	46.205	47.585	46.2	47.335	4102878	EUR	
