date	ouv	haut	bas	clot	vol	devise	
04/05/2016 00:00	54.18	54.78	53.17	53.37	47250	EUR	
05/05/2016 00:00	52.758	53.158	52.558	52.567	177336	EUR	
06/05/2016 00:00	53.88	56	53	53.4	37232	EUR	
09/05/2016 00:00	53.58	54.13	52.75	52.85	44695	EUR	
10/05/2016 00:00	53.41	54.41	53.35	54.16	39063	EUR	
11/05/2016 00:00	54.48	55.3	54.16	54.7	25395	EUR	
12/05/2016 00:00	55.12	55.12	53.1	53.1	60999	EUR	
13/05/2016 00:00	53.8	54.43	52.9	52.91	51498	EUR	
16/05/2016 00:00	53.2	53.46	52.75	53.28	35402	EUR	
17/05/2016 00:00	53.71	53.79	53.09	53.36	26036	EUR	
18/05/2016 00:00	53.36	53.5	52.5	53.32	32741	EUR	
19/05/2016 00:00	53.32	54.75	52.81	54.75	67877	EUR	
20/05/2016 00:00	54.76	55.1	53.69	54.77	61486	EUR	
23/05/2016 00:00	54.74	55.86	54.51	55.53	33699	EUR	
24/05/2016 00:00	55.5	56.79	55.03	56.54	51051	EUR	
25/05/2016 00:00	56.55	57.9	56.15	57.36	48235	EUR	
26/05/2016 00:00	57.29	57.78	57.01	57.42	32342	EUR	
27/05/2016 00:00	57.4	57.4	56.42	56.94	25364	EUR	
30/05/2016 00:00	56.94	57.23	56.66	57.04	16754	EUR	
31/05/2016 00:00	57.19	59.04	56.76	59.04	144816	EUR	
01/06/2016 00:00	58.91	59.83	58.43	59.7	53823	EUR	
02/06/2016 00:00	59.65	59.65	58.91	59.15	57305	EUR	
03/06/2016 00:00	59.15	60.88	59.04	60.25	44692	EUR	
06/06/2016 00:00	59.98	60.55	59.74	60.14	28466	EUR	
07/06/2016 00:00	60.33	61.27	59.93	61.1	33949	EUR	
08/06/2016 00:00	60.75	61.32	59.7	60.58	41884	EUR	
09/06/2016 00:00	60.63	61.66	60.25	61.33	42052	EUR	
10/06/2016 00:00	61.34	61.5	59.36	59.47	37636	EUR	
13/06/2016 00:00	59.06	59.06	57.69	57.97	59119	EUR	
14/06/2016 00:00	57.5	57.59	56.65	56.89	39989	EUR	
15/06/2016 00:00	56.8	57.95	56.64	56.8	41387	EUR	
16/06/2016 00:00	56.76	56.76	55.69	56.46	49307	EUR	
17/06/2016 00:00	56.47	57.34	56.13	56.49	134649	EUR	
20/06/2016 00:00	57.26	58.8	57.26	58.31	24176	EUR	
21/06/2016 00:00	58.32	58.59	58.12	58.36	21145	EUR	
22/06/2016 00:00	58.45	58.87	57.51	58.76	28735	EUR	
23/06/2016 00:00	58.77	59.66	58.52	59.28	35110	EUR	
24/06/2016 00:00	54	59	50.1	58.4	100455	EUR	
27/06/2016 00:00	58.26	58.82	56.88	57.22	76699	EUR	
28/06/2016 00:00	57.89	59.42	57.87	58.79	43557	EUR	
29/06/2016 00:00	59.5	61.98	59.5	60.7	48617	EUR	
30/06/2016 00:00	60.95	61.76	60.78	60.98	52028	EUR	
01/07/2016 00:00	61.42	62.73	61.39	62.66	40192	EUR	
04/07/2016 00:00	62.66	63.71	61.45	61.59	37781	EUR	
05/07/2016 00:00	61.62	61.67	60.42	61.23	28630	EUR	
06/07/2016 00:00	61.15	61.29	59.84	59.89	43072	EUR	
07/07/2016 00:00	60.19	61.02	60.19	60.26	32662	EUR	
08/07/2016 00:00	60.54	60.64	59.8	60	60772	EUR	
11/07/2016 00:00	60.37	62.14	60.31	61.85	57780	EUR	
12/07/2016 00:00	61.86	62.49	61.14	61.14	57806	EUR	
13/07/2016 00:00	60.6	62.25	60.6	61.93	36133	EUR	
14/07/2016 00:00	61.94	61.94	61.17	61.35	25447	EUR	
15/07/2016 00:00	61.35	61.35	59.74	60.92	34385	EUR	
18/07/2016 00:00	60.92	61.92	60.92	61.71	22115	EUR	
