date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	57.99	58	56.51	57.49	993	EUR	
11/11/2010 00:00	57.49	58	57.25	57.25	865	EUR	
12/11/2010 00:00	56.5	57	56	57	3737	EUR	
15/11/2010 00:00	57	57	56.53	57	871	EUR	
16/11/2010 00:00	56.5	57.25	56.1	57.25	865	EUR	
17/11/2010 00:00	57.25	57.25	56.25	56.75	2400	EUR	
18/11/2010 00:00	56.75	57.2	56.4	57	12771	EUR	
19/11/2010 00:00	57.75	57.75	57	57	1105	EUR	
22/11/2010 00:00	57	57	56.36	56.68	2727	EUR	
23/11/2010 00:00	56.35	57	56.35	56.68	999	EUR	
24/11/2010 00:00	56.68	56.68	56.1	56.5	9353	EUR	
25/11/2010 00:00	56.51	56.7	56	56.6	5023	EUR	
26/11/2010 00:00	56.35	56.7	56.2	56.6	2032	EUR	
29/11/2010 00:00	56	56.97	56	56.97	532	EUR	
30/11/2010 00:00	56.97	57	56.25	56.8	1503	EUR	
01/12/2010 00:00	57	57	56.32	56.42	768	EUR	
02/12/2010 00:00	56.9	56.9	56.27	56.62	1613	EUR	
03/12/2010 00:00	56.62	56.96	56.5	56.96	706	EUR	
06/12/2010 00:00	56.95	56.95	55.6	56.5	2924	EUR	
07/12/2010 00:00	56.51	57.3	56.3	56.5	11462	EUR	
08/12/2010 00:00	57	57.25	56.05	57.24	2278	EUR	
09/12/2010 00:00	57.3	58.3	57	58.3	3596	EUR	
10/12/2010 00:00	58.28	58.28	57.41	57.5	1882	EUR	
13/12/2010 00:00	57	58.49	57	58	14424	EUR	
14/12/2010 00:00	58.49	58.95	57.76	58.95	1349	EUR	
15/12/2010 00:00	58.5	58.5	57.5	58.29	6398	EUR	
16/12/2010 00:00	58.29	58.29	57.01	57.68	537	EUR	
17/12/2010 00:00	57.68	60	57.5	58.4	4829	EUR	
20/12/2010 00:00	58.01	58.65	57.75	57.75	854	EUR	
21/12/2010 00:00	57.8	59	57.8	59	1254	EUR	
22/12/2010 00:00	58.5	59.25	58.24	59.25	2119	EUR	
23/12/2010 00:00	59.25	60	58.3	60	6901	EUR	
24/12/2010 00:00	60	60.28	60	60.04	525	EUR	
27/12/2010 00:00	59.76	60.5	59.76	60.38	1937	EUR	
28/12/2010 00:00	60.38	60.45	60	60	14628	EUR	
29/12/2010 00:00	60	60.6	60	60.5	945	EUR	
30/12/2010 00:00	60.5	60.6	60.25	60.25	345	EUR	
31/12/2010 00:00	60.5	60.5	60.01	60.25	133	EUR	
03/01/2011 00:00	60.6	63	60.32	62.08	1621	EUR	
04/01/2011 00:00	62.25	66	61.51	64	2794	EUR	
05/01/2011 00:00	64	64.27	63.47	64	1411	EUR	
06/01/2011 00:00	64.27	64.27	63.72	64	346	EUR	
07/01/2011 00:00	64	67	63.51	66.9	3937	EUR	
10/01/2011 00:00	66.75	66.75	65.75	65.8	738	EUR	
11/01/2011 00:00	65.8	66.9	65.5	66.9	500	EUR	
12/01/2011 00:00	66.9	66.95	65.75	66.6	565	EUR	
13/01/2011 00:00	66.6	66.6	65.5	65.88	982	EUR	
