date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	21.52	21.57	21.49	21.57	1396	EUR	
11/11/2010 00:00	21.57	21.57	21.57	21.57	151	EUR	
12/11/2010 00:00	21.57	21.57	21.33	21.35	509	EUR	
15/11/2010 00:00	21.35	21.35	21.35	21.35	1	EUR	
16/11/2010 00:00	21.35	21.35	20.9	21.18	195	EUR	
17/11/2010 00:00	21.18	21.18	21	21	3175	EUR	
18/11/2010 00:00	21	21	21	21	69	EUR	
19/11/2010 00:00	21.17	21.17	21	21	276	EUR	
22/11/2010 00:00	21.35	21.53	21.11	21.53	1528	EUR	
23/11/2010 00:00	21.53	21.53	21.4	21.4	201	EUR	
24/11/2010 00:00	21.41	21.41	21.26	21.31	141	EUR	
25/11/2010 00:00	21.31	21.5	21.26	21.5	26239	EUR	
26/11/2010 00:00	21.99	22	21.9	22	74512	EUR	
29/11/2010 00:00	22.36	22.36	22.03	22.03	406	EUR	
30/11/2010 00:00	22.04	22.36	22.04	22.29	574	EUR	
01/12/2010 00:00	22.29	22.41	22.25	22.41	561	EUR	
02/12/2010 00:00	22.41	23.17	22.41	23.17	810	EUR	
03/12/2010 00:00	23.18	24.35	23.18	23.95	1818	EUR	
06/12/2010 00:00	23.96	24.35	23.96	24.35	1217	EUR	
07/12/2010 00:00	24.35	24.64	24.06	24.06	345	EUR	
08/12/2010 00:00	24.06	24.11	24.06	24.1	320	EUR	
09/12/2010 00:00	24.11	24.75	24.11	24.75	379	EUR	
10/12/2010 00:00	24.74	24.76	24.38	24.7	662	EUR	
13/12/2010 00:00	24.7	24.79	24.7	24.79	199	EUR	
14/12/2010 00:00	24.79	24.82	24.66	24.66	194	EUR	
15/12/2010 00:00	24.67	25.05	24.67	25.05	1307	EUR	
16/12/2010 00:00	25.15	25.15	25.15	25.15	326	EUR	
17/12/2010 00:00	25.18	25.54	25.17	25.54	286	EUR	
20/12/2010 00:00	25.55	26.18	25.5	26.18	326	EUR	
21/12/2010 00:00	26.18	26.19	25.7	26	805	EUR	
22/12/2010 00:00	26	26	25.81	26	203	EUR	
23/12/2010 00:00	26	26	26	26	118	EUR	
24/12/2010 00:00	26	26	26	26	42	EUR	
27/12/2010 00:00	26	26	25.81	25.81	66	EUR	
28/12/2010 00:00	25.82	26	25.82	25.9	131	EUR	
29/12/2010 00:00	25.9	26	25.9	25.9	189	EUR	
30/12/2010 00:00	25.91	26	25.91	25.92	125	EUR	
31/12/2010 00:00	25.92	26.46	25.92	26.46	196	EUR	
03/01/2011 00:00	26.45	26.45	26.45	26.45	1	EUR	
04/01/2011 00:00	26.47	26.47	26.47	26.47	1	EUR	
05/01/2011 00:00	26.13	26.86	26.13	26.86	331	EUR	
06/01/2011 00:00	26.87	26.99	25.5	25.5	2768	EUR	
07/01/2011 00:00	25.55	26	25.49	26	636	EUR	
10/01/2011 00:00	26	26	25.5	26	421	EUR	
11/01/2011 00:00	26	26	25.71	25.71	201	EUR	
12/01/2011 00:00	25.91	28.07	25.91	26.86	1782	EUR	
13/01/2011 00:00	26.86	27.04	26.86	27.04	6	EUR	
14/01/2011 00:00	27.04	27.04	27.04	27.04	1	EUR	
