date	ouv	haut	bas	clot	vol	devise	
20/10/2017 00:00	22	22.1	20.91	21	6542334	EUR	
23/10/2017 00:00	21.12	21.95	21.1	21.65	773082	EUR	
24/10/2017 00:00	21.9	21.9	21.6	21.8	423495	EUR	
25/10/2017 00:00	21.82	21.87	21.35	21.59	290411	EUR	
26/10/2017 00:00	21.6	21.785	21.495	21.7	276345	EUR	
27/10/2017 00:00	21.7	21.92	21.56	21.73	247427	EUR	
30/10/2017 00:00	21.72	21.75	21.5	21.7	151607	EUR	
31/10/2017 00:00	21.58	21.7	21.3	21.64	109341	EUR	
01/11/2017 00:00	21.65	21.71	21.21	21.21	77630	EUR	
02/11/2017 00:00	21.22	21.61	20.5	21.045	189946	EUR	
03/11/2017 00:00	21.02	21.06	20.275	21.06	246442	EUR	
06/11/2017 00:00	21.005	21.245	20.5	21.245	87320	EUR	
07/11/2017 00:00	20.55	21.28	20.55	21	65432	EUR	
08/11/2017 00:00	20.9	21.25	20.55	20.74	145471	EUR	
09/11/2017 00:00	20.75	21.15	18	20.08	274130	EUR	
10/11/2017 00:00	20.26	20.26	19.6	20.16	221692	EUR	
13/11/2017 00:00	20.15	21	20.08	20.5	45951	EUR	
14/11/2017 00:00	20.7	20.915	20.21	20.495	64315	EUR	
15/11/2017 00:00	20.5	20.96	19.94	20.195	121189	EUR	
16/11/2017 00:00	20.515	20.75	20.225	20.505	41615	EUR	
17/11/2017 00:00	20.73	20.74	20.5	20.55	57691	EUR	
20/11/2017 00:00	20.095	20.5	20.095	20.3	17703	EUR	
21/11/2017 00:00	20.345	20.375	20.1	20.21	61389	EUR	
22/11/2017 00:00	20.32	20.5	20.205	20.47	12331	EUR	
23/11/2017 00:00	20.495	20.545	20.43	20.44	9377	EUR	
24/11/2017 00:00	20.85	20.85	20.1	20.25	14954	EUR	
27/11/2017 00:00	20.5	20.8	20.29	20.3	9015	EUR	
28/11/2017 00:00	20.305	20.74	20.11	20.25	27523	EUR	
29/11/2017 00:00	20.25	21.5	20.055	21.2	53810	EUR	
30/11/2017 00:00	21.2	21.2	20.43	20.43	40290	EUR	
01/12/2017 00:00	20.43	20.805	19.66	19.905	31703	EUR	
04/12/2017 00:00	19.93	20.175	19.105	19.105	61698	EUR	
05/12/2017 00:00	19.155	19.215	18.605	18.8	62690	EUR	
06/12/2017 00:00	18.97	19	18.685	18.86	47333	EUR	
07/12/2017 00:00	19.045	19.05	18.825	19	47374	EUR	
08/12/2017 00:00	19.04	19.6	19	19.51	72749	EUR	
11/12/2017 00:00	19.56	19.85	19.5	19.56	23957	EUR	
12/12/2017 00:00	19.485	19.615	19.12	19.5	107939	EUR	
13/12/2017 00:00	19.505	19.995	19.47	19.95	34221	EUR	
14/12/2017 00:00	20.05	20.055	19.87	19.9	13747	EUR	
15/12/2017 00:00	19.87	20.06	19.67	19.67	44992	EUR	
18/12/2017 00:00	19.755	19.91	19.6	19.69	29546	EUR	
19/12/2017 00:00	19.7	20	19.61	19.83	10226	EUR	
20/12/2017 00:00	19.83	19.95	19.83	19.845	4087	EUR	
