date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	23.452	23.633	23.347	23.508	169396	EUR	
11/11/2010 00:00	23.496	23.539	23.189	23.238	210514	EUR	
12/11/2010 00:00	23.189	23.741	23.071	23.462	218329	EUR	
15/11/2010 00:00	23.462	23.679	23.369	23.583	123931	EUR	
16/11/2010 00:00	23.586	23.614	23.151	23.214	158681	EUR	
17/11/2010 00:00	23.275	23.474	23.154	23.375	124367	EUR	
18/11/2010 00:00	23.524	23.586	23.22	23.251	150573	EUR	
19/11/2010 00:00	23.306	23.325	22.999	23.105	166931	EUR	
22/11/2010 00:00	23.217	23.244	22.534	22.667	417696	EUR	
23/11/2010 00:00	22.652	22.655	22.344	22.344	241062	EUR	
24/11/2010 00:00	22.378	22.714	22.317	22.562	169396	EUR	
25/11/2010 00:00	22.618	22.618	22.375	22.475	133053	EUR	
26/11/2010 00:00	22.375	22.487	22.096	22.186	253659	EUR	
29/11/2010 00:00	22.338	22.344	21.779	21.779	253659	EUR	
30/11/2010 00:00	21.789	21.888	21.187	21.187	426814	EUR	
01/12/2010 00:00	21.292	21.618	20.994	21.584	443753	EUR	
02/12/2010 00:00	21.724	21.988	21.414	21.988	216883	EUR	
03/12/2010 00:00	22.028	22.152	21.544	21.569	279716	EUR	
06/12/2010 00:00	21.724	21.817	21.559	21.627	161143	EUR	
07/12/2010 00:00	21.637	21.879	21.444	21.488	301578	EUR	
08/12/2010 00:00	21.538	21.718	21.454	21.718	276386	EUR	
09/12/2010 00:00	21.848	21.95	21.662	21.888	229334	EUR	
10/12/2010 00:00	21.982	21.982	21.55	21.559	448676	EUR	
13/12/2010 00:00	21.758	21.848	21.572	21.631	272046	EUR	
14/12/2010 00:00	21.631	21.649	21.351	21.441	301578	EUR	
15/12/2010 00:00	21.444	21.448	21.103	21.109	308818	EUR	
16/12/2010 00:00	21.122	21.292	21.01	21.122	284062	EUR	
17/12/2010 00:00	21.165	21.258	21.028	21.1	255537	EUR	
20/12/2010 00:00	21.109	21.187	20.951	20.951	230928	EUR	
21/12/2010 00:00	21.013	21.258	20.988	21.181	251196	EUR	
22/12/2010 00:00	21.196	21.721	21.196	21.559	285510	EUR	
23/12/2010 00:00	21.569	21.724	21.463	21.5	125383	EUR	
24/12/2010 00:00	21.678	21.678	21.417	21.429	31996	EUR	
27/12/2010 00:00	21.444	21.478	21.162	21.181	189664	EUR	
28/12/2010 00:00	21.231	21.414	21.168	21.289	97729	EUR	
29/12/2010 00:00	21.308	21.414	21.228	21.237	114233	EUR	
30/12/2010 00:00	21.262	21.376	21.103	21.125	99175	EUR	
31/12/2010 00:00	21.277	21.383	21.103	21.103	73986	EUR	
03/01/2011 00:00	21.383	21.721	21.314	21.721	358622	EUR	
04/01/2011 00:00	21.776	21.941	21.678	21.693	236139	EUR	
05/01/2011 00:00	21.745	21.745	21.475	21.618	285074	EUR	
06/01/2011 00:00	21.631	21.721	21.103	21.103	467497	EUR	
07/01/2011 00:00	21.128	21.32	21.072	21.106	319388	EUR	
10/01/2011 00:00	21.159	21.255	20.793	20.849	348924	EUR	
11/01/2011 00:00	20.948	21.072	20.796	20.889	186770	EUR	
12/01/2011 00:00	20.948	21.103	20.867	21.103	444769	EUR	
13/01/2011 00:00	21.215	21.649	21.134	21.544	391054	EUR	
14/01/2011 00:00	21.566	22.158	21.503	22.155	516436	EUR	
17/01/2011 00:00	22.344	23.332	22.344	23.248	892433	EUR	
18/01/2011 00:00	23.329	23.8	22.971	23.533	542063	EUR	
19/01/2011 00:00	23.586	23.679	23.415	23.573	288404	EUR	
20/01/2011 00:00	23.558	23.586	23.105	23.238	274940	EUR	
21/01/2011 00:00	23.427	23.741	23.201	23.272	372232	EUR	
24/01/2011 00:00	23.71	24.02	23.586	23.88	547851	EUR	
25/01/2011 00:00	23.989	24.017	23.601	23.651	287968	EUR	
26/01/2011 00:00	23.728	23.896	23.496	23.595	232809	EUR	
27/01/2011 00:00	23.71	23.89	23.31	23.71	209497	EUR	
28/01/2011 00:00	23.623	24.067	23.623	23.744	277257	EUR	
31/01/2011 00:00	23.741	23.744	23.272	23.272	387725	EUR	
01/02/2011 00:00	23.409	23.853	23.275	23.728	183870	EUR	
02/02/2011 00:00	23.825	24.064	23.741	24.064	175619	EUR	
03/02/2011 00:00	24.114	24.486	23.896	24.315	305924	EUR	
04/02/2011 00:00	24.306	24.486	24.148	24.175	148546	EUR	
07/02/2011 00:00	24.393	24.449	24.023	24.129	191110	EUR	
08/02/2011 00:00	24.107	24.374	24.02	24.02	280732	EUR	
09/02/2011 00:00	22.655	22.965	21.901	21.969	2186048	EUR	
10/02/2011 00:00	22.065	22.189	21.376	21.41	996531	EUR	
11/02/2011 00:00	21.506	21.708	21.389	21.529	550314	EUR	
14/02/2011 00:00	21.724	21.956	21.693	21.956	318521	EUR	
15/02/2011 00:00	22.013	22.171	21.817	22.093	330539	EUR	
16/02/2011 00:00	22.096	22.186	21.833	22.034	272046	EUR	
17/02/2011 00:00	22.037	22.155	21.979	22	180976	EUR	
18/02/2011 00:00	22.127	22.127	21.972	22.025	171854	EUR	
21/02/2011 00:00	22.056	22.056	21.603	21.603	276386	EUR	
22/02/2011 00:00	21.569	21.693	21.323	21.392	396411	EUR	
23/02/2011 00:00	21.444	21.842	21.414	21.637	233241	EUR	
24/02/2011 00:00	21.597	21.671	21.444	21.491	125813	EUR	
25/02/2011 00:00	21.652	22.031	21.506	22.031	179094	EUR	
28/02/2011 00:00	22.031	22.065	21.823	21.932	200379	EUR	
01/03/2011 00:00	21.882	21.963	21.792	21.876	155786	EUR	
02/03/2011 00:00	21.786	21.82	21.569	21.609	214854	EUR	
03/03/2011 00:00	21.73	21.73	21.323	21.472	285074	EUR	
04/03/2011 00:00	21.569	21.631	21.103	21.137	371221	EUR	
07/03/2011 00:00	21.14	21.33	21.072	21.103	291298	EUR	
08/03/2011 00:00	21.262	21.265	20.92	20.979	233822	EUR	
09/03/2011 00:00	21.177	21.184	20.979	21.103	242944	EUR	
10/03/2011 00:00	21.134	21.177	20.855	20.926	261766	EUR	
11/03/2011 00:00	20.861	20.991	20.858	20.954	183440	EUR	
14/03/2011 00:00	20.954	20.979	20.656	20.818	200809	EUR	
15/03/2011 00:00	20.641	20.641	19.861	20.206	560448	EUR	
16/03/2011 00:00	20.42	20.575	19.675	19.697	477201	EUR	
17/03/2011 00:00	19.861	20.138	19.831	19.955	264660	EUR	
18/03/2011 00:00	20.203	20.575	19.958	20.517	302013	EUR	
21/03/2011 00:00	20.687	21.028	20.622	21.028	285074	EUR	
22/03/2011 00:00	21.094	21.094	20.855	21.079	235704	EUR	
23/03/2011 00:00	21.072	21.103	20.979	21.047	135947	EUR	
24/03/2011 00:00	21.01	21.162	20.917	21.162	240481	EUR	
25/03/2011 00:00	21.162	21.351	21.097	21.202	199363	EUR	
28/03/2011 00:00	21.255	21.963	21.255	21.904	371221	EUR	
29/03/2011 00:00	21.833	22.112	21.776	22.093	276822	EUR	
30/03/2011 00:00	22.093	22.22	22.09	22.22	175619	EUR	
31/03/2011 00:00	22.217	22.217	21.833	21.932	170842	EUR	
01/04/2011 00:00	21.966	22.124	21.947	22.096	150573	EUR	
04/04/2011 00:00	22.127	22.587	22.093	22.546	271030	EUR	
05/04/2011 00:00	22.512	22.531	22.295	22.49	123354	EUR	
06/04/2011 00:00	22.527	22.717	22.438	22.649	240046	EUR	
07/04/2011 00:00	22.621	22.717	22.096	22.189	241927	EUR	
08/04/2011 00:00	22.257	22.338	22.158	22.233	125383	EUR	
11/04/2011 00:00	22.264	22.438	22.189	22.189	116114	EUR	
12/04/2011 00:00	22.341	22.341	21.727	21.783	276386	EUR	
13/04/2011 00:00	21.922	22.034	21.724	21.817	123354	EUR	
14/04/2011 00:00	21.941	22.028	21.205	21.317	316494	EUR	
15/04/2011 00:00	21.538	21.569	21.165	21.308	174171	EUR	
18/04/2011 00:00	21.566	21.566	21.134	21.184	124367	EUR	
19/04/2011 00:00	21.199	21.383	21.103	21.292	156361	EUR	
20/04/2011 00:00	21.475	21.631	21.271	21.311	216302	EUR	
21/04/2011 00:00	21.569	21.606	21.32	21.336	255537	EUR	
26/04/2011 00:00	21.569	21.569	21.274	21.311	203709	EUR	
27/04/2011 00:00	21.333	21.414	21.196	21.354	157232	EUR	
28/04/2011 00:00	21.475	22.195	21.351	21.678	357176	EUR	
29/04/2011 00:00	21.724	21.919	21.572	21.845	235704	EUR	
02/05/2011 00:00	21.972	22.161	21.848	22.019	180540	EUR	
03/05/2011 00:00	22.118	22.149	21.77	21.972	192127	EUR	
04/05/2011 00:00	21.956	22.034	21.817	22.025	210078	EUR	
05/05/2011 00:00	22.034	22.59	22.034	22.5	373103	EUR	
06/05/2011 00:00	22.624	23.648	22.531	23.589	927323	EUR	
09/05/2011 00:00	23.462	23.865	23.021	23.797	369773	EUR	
10/05/2011 00:00	23.741	23.803	23.313	23.772	265671	EUR	
11/05/2011 00:00	23.741	23.927	23.601	23.896	198496	EUR	
12/05/2011 00:00	23.741	23.741	23.306	23.499	183870	EUR	
13/05/2011 00:00	23.555	23.741	23.43	23.636	177646	EUR	
16/05/2011 00:00	23.636	23.704	23.43	23.555	124367	EUR	
17/05/2011 00:00	23.524	23.865	23.021	23.375	350952	EUR	
18/05/2011 00:00	23.452	23.586	23.058	23.139	175184	EUR	
19/05/2011 00:00	23.275	23.43	23.157	23.214	166931	EUR	
20/05/2011 00:00	23.214	23.508	22.633	22.748	356164	EUR	
23/05/2011 00:00	22.894	22.897	22.388	22.581	188793	EUR	
