date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	0.715	0.715	0.701	0.703	14464	EUR	
11/11/2010 00:00	0.703	0.703	0.646	0.646	33472	EUR	
12/11/2010 00:00	0.646	0.73	0.64	0.73	59552	EUR	
15/11/2010 00:00	0.711	0.723	0.706	0.723	21568	EUR	
16/11/2010 00:00	0.708	0.708	0.708	0.72	8480	EUR	
17/11/2010 00:00	0.72	0.723	0.705	0.723	3392	EUR	
18/11/2010 00:00	0.723	0.728	0.705	0.725	15584	EUR	
19/11/2010 00:00	0.725	0.73	0.71	0.73	9472	EUR	
22/11/2010 00:00	0.73	0.73	0.711	0.73	3392	EUR	
23/11/2010 00:00	0.73	0.73	0.706	0.73	8256	EUR	
24/11/2010 00:00	0.73	0.73	0.706	0.725	10400	EUR	
25/11/2010 00:00	0.725	0.725	0.704	0.723	14272	EUR	
26/11/2010 00:00	0.723	0.723	0.704	0.723	7200	EUR	
29/11/2010 00:00	0.713	0.719	0.703	0.719	31840	EUR	
30/11/2010 00:00	0.719	0.719	0.719	0.719	16032	EUR	
01/12/2010 00:00	0.719	0.723	0.719	0.719	9792	EUR	
02/12/2010 00:00	0.706	0.724	0.703	0.724	12800	EUR	
03/12/2010 00:00	0.701	0.719	0.701	0.719	12960	EUR	
06/12/2010 00:00	0.719	0.728	0.719	0.728	16352	EUR	
07/12/2010 00:00	0.728	0.728	0.719	0.728	5056	EUR	
08/12/2010 00:00	0.728	0.728	0.719	0.725	84576	EUR	
09/12/2010 00:00	0.725	0.73	0.719	0.73	6944	EUR	
10/12/2010 00:00	0.73	0.73	0.73	0.73	32	EUR	
13/12/2010 00:00	0.729	0.729	0.718	0.718	15136	EUR	
14/12/2010 00:00	0.718	0.73	0.718	0.73	1472	EUR	
15/12/2010 00:00	0.73	0.73	0.715	0.728	4992	EUR	
16/12/2010 00:00	0.728	0.728	0.728	0.728	32	EUR	
17/12/2010 00:00	0.728	0.728	0.726	0.728	28160	EUR	
20/12/2010 00:00	0.728	0.728	0.715	0.728	2464	EUR	
21/12/2010 00:00	0.71	0.71	0.708	0.708	4160	EUR	
22/12/2010 00:00	0.708	0.708	0.706	0.706	7552	EUR	
23/12/2010 00:00	0.7	0.7	0.7	0.7	4864	EUR	
24/12/2010 00:00	0.7	0.7	0.7	0.7	32	EUR	
27/12/2010 00:00	0.7	0.7	0.685	0.7	4992	EUR	
28/12/2010 00:00	0.7	0.7	0.676	0.7	7072	EUR	
29/12/2010 00:00	0.676	0.73	0.676	0.73	48000	EUR	
30/12/2010 00:00	0.728	0.728	0.728	0.728	32	EUR	
31/12/2010 00:00	0.728	0.728	0.71	0.728	7136	EUR	
03/01/2011 00:00	0.728	0.728	0.728	0.728	32	EUR	
04/01/2011 00:00	0.728	0.728	0.703	0.714	13568	EUR	
05/01/2011 00:00	0.714	0.714	0.698	0.706	7072	EUR	
06/01/2011 00:00	0.703	0.719	0.685	0.719	22112	EUR	
07/01/2011 00:00	0.713	0.713	0.713	0.713	32	EUR	
10/01/2011 00:00	0.7	0.713	0.7	0.713	7520	EUR	
11/01/2011 00:00	0.713	0.713	0.7	0.7	4832	EUR	
12/01/2011 00:00	0.7	0.7	0.694	0.694	8032	EUR	
13/01/2011 00:00	0.685	0.694	0.685	0.694	2112	EUR	
14/01/2011 00:00	0.694	0.694	0.694	0.694	128	EUR	
17/01/2011 00:00	0.694	0.694	0.694	0.694	544	EUR	
18/01/2011 00:00	0.694	0.694	0.674	0.674	1952	EUR	
19/01/2011 00:00	0.674	0.694	0.674	0.694	2048	EUR	
20/01/2011 00:00	0.694	0.694	0.669	0.669	6432	EUR	
21/01/2011 00:00	0.669	0.715	0.669	0.715	8320	EUR	
24/01/2011 00:00	0.713	0.713	0.713	0.713	320	EUR	
25/01/2011 00:00	0.713	0.713	0.713	0.713	32	EUR	
26/01/2011 00:00	0.713	0.713	0.71	0.71	4448	EUR	
27/01/2011 00:00	0.71	0.719	0.71	0.715	29760	EUR	
28/01/2011 00:00	0.7	0.719	0.688	0.719	332256	EUR	
31/01/2011 00:00	0.713	0.713	0.668	0.688	21888	EUR	
01/02/2011 00:00	0.688	0.703	0.688	0.703	4128	EUR	
02/02/2011 00:00	0.703	0.703	0.669	0.703	4608	EUR	
03/02/2011 00:00	0.703	0.703	0.67	0.703	2720	EUR	
04/02/2011 00:00	0.701	0.701	0.685	0.685	736	EUR	
07/02/2011 00:00	0.688	0.688	0.688	0.688	736	EUR	
08/02/2011 00:00	0.688	0.703	0.688	0.703	192	EUR	
09/02/2011 00:00	0.7	0.7	0.668	0.699	12000	EUR	
10/02/2011 00:00	0.668	0.694	0.668	0.694	1312	EUR	
11/02/2011 00:00	0.694	0.694	0.694	0.694	32	EUR	
14/02/2011 00:00	0.69	0.69	0.69	0.69	192	EUR	
15/02/2011 00:00	0.69	0.694	0.689	0.694	3872	EUR	
16/02/2011 00:00	0.694	0.7	0.694	0.7	192	EUR	
17/02/2011 00:00	0.699	0.699	0.699	0.699	32	EUR	
18/02/2011 00:00	0.696	0.696	0.696	0.696	32	EUR	
21/02/2011 00:00	0.688	0.688	0.688	0.688	160	EUR	
22/02/2011 00:00	0.688	0.688	0.655	0.664	15168	EUR	
23/02/2011 00:00	0.664	0.664	0.664	0.664	32	EUR	
24/02/2011 00:00	0.664	0.664	0.664	0.664	32	EUR	
25/02/2011 00:00	0.664	0.664	0.664	0.664	32	EUR	
28/02/2011 00:00	0.664	0.665	0.664	0.665	10272	EUR	
01/03/2011 00:00	0.665	0.673	0.64	0.673	11872	EUR	
02/03/2011 00:00	0.648	0.713	0.648	0.711	104832	EUR	
03/03/2011 00:00	0.725	0.74	0.693	0.729	28672	EUR	
04/03/2011 00:00	0.729	0.739	0.7	0.734	7552	EUR	
07/03/2011 00:00	0.734	0.734	0.698	0.719	13664	EUR	
08/03/2011 00:00	0.718	0.719	0.718	0.719	6656	EUR	
09/03/2011 00:00	0.719	0.719	0.691	0.719	32832	EUR	
10/03/2011 00:00	0.718	0.718	0.69	0.718	1664	EUR	
11/03/2011 00:00	0.718	0.718	0.715	0.718	1312	EUR	
14/03/2011 00:00	0.718	0.719	0.675	0.719	9024	EUR	
15/03/2011 00:00	0.67	0.703	0.656	0.671	32704	EUR	
16/03/2011 00:00	0.661	0.7	0.661	0.699	8064	EUR	
17/03/2011 00:00	0.673	0.688	0.638	0.688	33568	EUR	
18/03/2011 00:00	0.699	0.699	0.685	0.699	7872	EUR	
21/03/2011 00:00	0.698	0.698	0.698	0.698	32	EUR	
22/03/2011 00:00	0.698	0.698	0.698	0.698	32	EUR	
23/03/2011 00:00	0.698	0.698	0.698	0.698	32	EUR	
24/03/2011 00:00	0.699	0.699	0.681	0.699	4672	EUR	
25/03/2011 00:00	0.698	0.698	0.698	0.698	32	EUR	
28/03/2011 00:00	0.698	0.698	0.698	0.698	32	EUR	
29/03/2011 00:00	0.698	0.699	0.685	0.699	832	EUR	
30/03/2011 00:00	0.698	0.7	0.698	0.7	4768	EUR	
31/03/2011 00:00	0.7	0.719	0.7	0.719	2752	EUR	
01/04/2011 00:00	0.719	0.723	0.713	0.723	67808	EUR	
04/04/2011 00:00	0.723	0.74	0.723	0.74	85728	EUR	
05/04/2011 00:00	0.74	0.74	0.719	0.719	113824	EUR	
06/04/2011 00:00	0.719	0.719	0.715	0.715	66656	EUR	
07/04/2011 00:00	0.716	0.718	0.71	0.715	21856	EUR	
08/04/2011 00:00	0.715	0.718	0.713	0.718	11328	EUR	
11/04/2011 00:00	0.718	0.718	0.698	0.715	21760	EUR	
12/04/2011 00:00	0.715	0.715	0.715	0.715	32	EUR	
13/04/2011 00:00	0.716	0.718	0.699	0.718	23456	EUR	
14/04/2011 00:00	0.718	0.718	0.718	0.718	4832	EUR	
15/04/2011 00:00	0.718	0.719	0.715	0.719	29760	EUR	
18/04/2011 00:00	0.719	0.719	0.703	0.719	7552	EUR	
19/04/2011 00:00	0.719	0.719	0.719	0.719	1088	EUR	
20/04/2011 00:00	0.714	0.714	0.714	0.714	1632	EUR	
21/04/2011 00:00	0.714	0.714	0.703	0.714	5920	EUR	
26/04/2011 00:00	0.714	0.72	0.714	0.72	242368	EUR	
27/04/2011 00:00	0.72	0.725	0.72	0.725	29792	EUR	
28/04/2011 00:00	0.725	0.731	0.725	0.731	2272	EUR	
29/04/2011 00:00	0.731	0.731	0.701	0.725	12192	EUR	
02/05/2011 00:00	0.725	0.725	0.72	0.725	239456	EUR	
03/05/2011 00:00	0.725	0.725	0.714	0.725	4192	EUR	
04/05/2011 00:00	0.725	0.725	0.719	0.719	1696	EUR	
05/05/2011 00:00	0.723	0.723	0.706	0.719	1728	EUR	
