date	ouv	haut	bas	clot	vol	devise	
30/10/2015 00:00	9.744	9.774	8.42	8.804	7286858	EUR	
02/11/2015 00:00	8.874	8.894	8.305	8.745	941704	EUR	
03/11/2015 00:00	8.894	9.144	8.894	9.144	264177	EUR	
04/11/2015 00:00	9.169	9.494	9.164	9.494	189887	EUR	
05/11/2015 00:00	9.594	9.729	9.399	9.544	142158	EUR	
06/11/2015 00:00	9.619	9.694	9.619	9.644	71992	EUR	
09/11/2015 00:00	9.739	9.869	9.624	9.744	146875	EUR	
10/11/2015 00:00	9.744	9.834	9.669	9.744	82357	EUR	
11/11/2015 00:00	9.744	9.794	9.394	9.744	35173	EUR	
12/11/2015 00:00	9.744	9.744	9.649	9.669	17681	EUR	
13/11/2015 00:00	9.644	9.644	9.394	9.419	52402	EUR	
16/11/2015 00:00	9.269	9.594	9.269	9.494	48225	EUR	
17/11/2015 00:00	9.544	9.579	9.309	9.579	27106	EUR	
18/11/2015 00:00	9.344	9.619	9.344	9.614	64519	EUR	
19/11/2015 00:00	9.494	9.494	9.274	9.494	46840	EUR	
20/11/2015 00:00	9.494	9.494	9.294	9.419	40755	EUR	
23/11/2015 00:00	9.394	9.444	9.229	9.394	19292	EUR	
24/11/2015 00:00	9.394	9.394	9.069	9.244	80877	EUR	
25/11/2015 00:00	9.119	9.394	9.119	9.394	40431	EUR	
26/11/2015 00:00	9.344	9.394	9.159	9.394	18848	EUR	
27/11/2015 00:00	9.254	9.444	9.234	9.444	30361	EUR	
30/11/2015 00:00	9.319	9.404	8.994	8.994	32049	EUR	
01/12/2015 00:00	8.52	8.999	8.52	8.969	66566	EUR	
02/12/2015 00:00	8.994	9.044	8.944	9.044	32629	EUR	
03/12/2015 00:00	9.044	9.099	8.894	8.994	125858	EUR	
04/12/2015 00:00	8.69	8.994	8.69	8.994	32401	EUR	
07/12/2015 00:00	8.989	8.994	8.819	8.989	31049	EUR	
08/12/2015 00:00	8.989	8.989	8.859	8.944	33163	EUR	
09/12/2015 00:00	9.294	9.444	9.149	9.194	571770	EUR	
10/12/2015 00:00	9.144	9.294	8.939	8.994	34169	EUR	
11/12/2015 00:00	8.994	9.244	8.809	8.994	138987	EUR	
14/12/2015 00:00	9.244	9.264	8.909	9.109	25524	EUR	
15/12/2015 00:00	9.244	9.244	8.994	9.219	131917	EUR	
16/12/2015 00:00	9.239	9.494	9.164	9.359	31344	EUR	
17/12/2015 00:00	9.494	9.494	9.249	9.454	31511	EUR	
18/12/2015 00:00	9.459	9.494	9.299	9.374	53815	EUR	
21/12/2015 00:00	9.479	9.484	9.144	9.344	294129	EUR	
22/12/2015 00:00	9.409	9.414	9.134	9.244	41332	EUR	
23/12/2015 00:00	9.244	9.544	9.244	9.544	22762	EUR	
24/12/2015 00:00	9.544	9.704	9.494	9.679	40101	EUR	
28/12/2015 00:00	9.679	9.744	9.494	9.744	44451	EUR	
29/12/2015 00:00	9.744	9.814	9.719	9.794	138132	EUR	
30/12/2015 00:00	9.844	10.159	9.794	10.009	83209	EUR	
31/12/2015 00:00	10.019	10.049	9.919	9.989	5108	EUR	
04/01/2016 00:00	10.184	10.194	9.694	9.774	180134	EUR	
05/01/2016 00:00	10.179	10.244	10.044	10.179	184213	EUR	
06/01/2016 00:00	10.244	10.493	10.174	10.488	92145	EUR	
07/01/2016 00:00	10.493	10.583	10.084	10.279	209122	EUR	
08/01/2016 00:00	10.219	10.234	9.994	10.169	58477	EUR	
11/01/2016 00:00	10.169	10.174	9.964	9.994	109087	EUR	
12/01/2016 00:00	9.994	10.418	9.989	10.244	166363	EUR	
13/01/2016 00:00	10.294	10.568	10.119	10.119	266308	EUR	
14/01/2016 00:00	10.154	10.269	9.794	10.064	105456	EUR	
15/01/2016 00:00	10.069	10.069	9.614	9.864	113217	EUR	
18/01/2016 00:00	9.989	9.989	9.644	9.754	18467	EUR	
19/01/2016 00:00	9.844	10.044	9.799	9.994	63562	EUR	
20/01/2016 00:00	9.929	10.019	9.729	9.854	111455	EUR	
21/01/2016 00:00	9.994	9.994	9.649	9.764	24948	EUR	
22/01/2016 00:00	9.834	10.144	9.759	10.024	183082	EUR	
25/01/2016 00:00	10.104	10.304	10.104	10.189	290280	EUR	
26/01/2016 00:00	10.244	10.493	10.104	10.339	84107	EUR	
27/01/2016 00:00	10.344	10.643	10.334	10.433	150706	EUR	
28/01/2016 00:00	10.438	10.513	10.383	10.478	53056	EUR	
29/01/2016 00:00	10.488	10.568	10.473	10.493	156115	EUR	
01/02/2016 00:00	10.673	10.918	10.453	10.493	164485	EUR	
02/02/2016 00:00	10.503	10.563	10.433	10.538	68483	EUR	
03/02/2016 00:00	10.538	10.623	10.383	10.493	35719	EUR	
04/02/2016 00:00	10.498	10.563	10.039	10.039	179433	EUR	
05/02/2016 00:00	10.024	10.034	9.754	9.789	63625	EUR	
08/02/2016 00:00	9.794	9.834	9.459	9.634	22579	EUR	
09/02/2016 00:00	9.634	9.729	9.444	9.499	84119	EUR	
10/02/2016 00:00	9.474	9.964	9.474	9.939	66896	EUR	
11/02/2016 00:00	9.964	9.964	9.464	9.564	28334	EUR	
12/02/2016 00:00	9.654	9.654	9.449	9.554	35747	EUR	
15/02/2016 00:00	9.794	9.884	9.684	9.754	17901	EUR	
16/02/2016 00:00	9.804	9.854	9.764	9.819	24406	EUR	
17/02/2016 00:00	9.944	9.944	9.624	9.829	89575	EUR	
18/02/2016 00:00	9.839	9.839	8.879	8.954	148954	EUR	
19/02/2016 00:00	8.994	9.119	8.61	8.7	56919	EUR	
22/02/2016 00:00	8.775	9.109	8.775	8.994	95438	EUR	
23/02/2016 00:00	9.059	9.564	9.049	9.444	66159	EUR	
24/02/2016 00:00	9.544	9.544	9.154	9.174	91157	EUR	
25/02/2016 00:00	9.174	9.359	9.154	9.194	29259	EUR	
26/02/2016 00:00	9.154	9.194	9.069	9.069	28793	EUR	
29/02/2016 00:00	9.094	9.094	8.779	8.989	25404	EUR	
01/03/2016 00:00	8.954	8.994	8.804	8.809	77056	EUR	
02/03/2016 00:00	8.844	8.859	8.55	8.555	35900	EUR	
03/03/2016 00:00	8.555	8.74	8.545	8.565	52219	EUR	
04/03/2016 00:00	8.595	8.66	8.245	8.335	145553	EUR	
07/03/2016 00:00	8.385	8.51	8.305	8.455	51594	EUR	
08/03/2016 00:00	8.47	8.735	8.47	8.545	41452	EUR	
09/03/2016 00:00	8.545	8.57	8.45	8.45	31888	EUR	
10/03/2016 00:00	8.445	8.495	8.07	8.145	109376	EUR	
11/03/2016 00:00	8.155	8.275	8.145	8.16	17355	EUR	
14/03/2016 00:00	8.585	8.645	8.47	8.52	207804	EUR	
15/03/2016 00:00	8.525	8.665	8.52	8.555	39118	EUR	
16/03/2016 00:00	8.57	8.63	8.345	8.46	99988	EUR	
17/03/2016 00:00	8.525	8.635	8.46	8.52	37977	EUR	
18/03/2016 00:00	8.535	8.66	8.535	8.61	36049	EUR	
21/03/2016 00:00	8.59	8.735	8.59	8.69	24693	EUR	
22/03/2016 00:00	8.7	8.799	8.525	8.59	79508	EUR	
23/03/2016 00:00	8.59	8.59	8.36	8.4	20206	EUR	
24/03/2016 00:00	8.445	8.445	8.185	8.35	30866	EUR	
29/03/2016 00:00	8.335	8.385	8.25	8.25	36098	EUR	
30/03/2016 00:00	8.255	8.355	8.25	8.315	17076	EUR	
31/03/2016 00:00	8.335	8.395	8.285	8.345	24141	EUR	
01/04/2016 00:00	8.345	8.53	8.345	8.495	38545	EUR	
04/04/2016 00:00	8.565	8.645	8.52	8.605	23766	EUR	
05/04/2016 00:00	8.61	8.64	8.455	8.495	32929	EUR	
06/04/2016 00:00	8.49	8.555	8.49	8.53	13702	EUR	
07/04/2016 00:00	8.535	8.555	8.5	8.505	9065	EUR	
08/04/2016 00:00	8.51	9.069	8.51	8.765	71138	EUR	
11/04/2016 00:00	8.794	8.934	8.76	8.824	30524	EUR	
12/04/2016 00:00	8.844	9.044	8.804	8.944	69833	EUR	
13/04/2016 00:00	8.944	9.094	8.869	9.094	58903	EUR	
14/04/2016 00:00	9.119	9.269	9.054	9.219	67876	EUR	
15/04/2016 00:00	9.244	9.444	9.194	9.444	104301	EUR	
18/04/2016 00:00	9.344	9.369	8.884	9.119	114392	EUR	
19/04/2016 00:00	9.119	9.139	8.944	9.019	13164	EUR	
20/04/2016 00:00	9.019	9.019	8.864	8.969	10311	EUR	
21/04/2016 00:00	8.969	9.029	8.804	8.904	13142	EUR	
22/04/2016 00:00	8.984	9.169	8.944	9.064	43814	EUR	
25/04/2016 00:00	9.069	9.169	9.069	9.104	10704	EUR	
26/04/2016 00:00	9.089	9.104	8.974	9.024	105519	EUR	
27/04/2016 00:00	9.044	9.044	8.894	8.934	14911	EUR	
28/04/2016 00:00	8.939	9.074	8.934	8.994	70089	EUR	
29/04/2016 00:00	8.999	8.999	8.944	8.979	15854	EUR	
02/05/2016 00:00	8.954	8.974	8.859	8.929	39537	EUR	
03/05/2016 00:00	8.944	8.944	8.595	8.595	104065	EUR	
04/05/2016 00:00	8.834	8.834	8.66	8.745	69709	EUR	
05/05/2016 00:00	8.755	8.829	8.735	8.804	23946	EUR	
06/05/2016 00:00	8.914	8.954	8.894	8.919	37191	EUR	
09/05/2016 00:00	8.934	9.094	8.924	9.089	38992	EUR	
10/05/2016 00:00	9.094	9.369	9.094	9.369	262269	EUR	
11/05/2016 00:00	9.384	9.444	9.199	9.294	82612	EUR	
12/05/2016 00:00	9.294	9.324	9.284	9.299	35607	EUR	
