date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	13.653	13.91	13.604	13.801	1216528	EUR	
11/11/2010 00:00	13.816	13.875	13.742	13.781	759776	EUR	
12/11/2010 00:00	13.698	13.806	13.599	13.762	611901	EUR	
15/11/2010 00:00	13.707	13.796	13.574	13.762	651537	EUR	
16/11/2010 00:00	13.703	13.841	13.574	13.584	803265	EUR	
17/11/2010 00:00	13.56	13.688	13.555	13.609	1167083	EUR	
18/11/2010 00:00	13.673	13.811	13.579	13.811	852592	EUR	
19/11/2010 00:00	13.831	13.88	13.722	13.846	662843	EUR	
22/11/2010 00:00	13.895	13.974	13.772	13.786	555506	EUR	
23/11/2010 00:00	13.732	13.875	13.643	13.796	893447	EUR	
24/11/2010 00:00	13.821	13.979	13.683	13.9	1096300	EUR	
25/11/2010 00:00	13.9	13.929	13.683	13.767	420153	EUR	
26/11/2010 00:00	13.698	13.786	13.609	13.786	836997	EUR	
29/11/2010 00:00	13.727	13.801	13.471	13.51	972072	EUR	
30/11/2010 00:00	13.51	13.56	13.328	13.53	1131410	EUR	
01/12/2010 00:00	13.614	13.614	13.446	13.535	911254	EUR	
02/12/2010 00:00	13.614	13.658	13.505	13.619	1011951	EUR	
03/12/2010 00:00	13.619	13.747	13.614	13.727	614229	EUR	
06/12/2010 00:00	13.737	13.762	13.614	13.707	660205	EUR	
07/12/2010 00:00	13.732	13.88	13.712	13.841	854714	EUR	
08/12/2010 00:00	13.786	14.442	13.742	14.363	1670573	EUR	
09/12/2010 00:00	14.452	14.615	14.393	14.472	1618283	EUR	
10/12/2010 00:00	14.477	14.556	14.393	14.516	702702	EUR	
13/12/2010 00:00	14.516	14.679	14.501	14.669	659930	EUR	
14/12/2010 00:00	14.782	15.187	14.773	15.132	1704807	EUR	
15/12/2010 00:00	14.999	15.261	14.999	15.236	1893329	EUR	
16/12/2010 00:00	15.137	15.251	15.044	15.093	824578	EUR	
17/12/2010 00:00	15.078	15.137	14.94	14.955	1140786	EUR	
20/12/2010 00:00	14.999	15.187	14.901	15.187	889329	EUR	
21/12/2010 00:00	15.256	15.379	15.142	15.34	583498	EUR	
22/12/2010 00:00	15.349	15.67	15.236	15.655	852754	EUR	
23/12/2010 00:00	15.675	15.68	15.483	15.586	373293	EUR	
24/12/2010 00:00	15.581	15.581	15.29	15.453	80698	EUR	
27/12/2010 00:00	15.285	15.473	15.029	15.271	271000	EUR	
28/12/2010 00:00	15.32	15.33	15.093	15.197	332915	EUR	
29/12/2010 00:00	15.202	15.389	15.162	15.389	371562	EUR	
30/12/2010 00:00	15.404	15.409	15.236	15.379	274362	EUR	
31/12/2010 00:00	15.379	15.379	15.113	15.236	225138	EUR	
03/01/2011 00:00	15.325	15.384	15.216	15.315	413114	EUR	
04/01/2011 00:00	15.315	15.349	15.054	15.147	775940	EUR	
05/01/2011 00:00	15.108	15.137	14.92	15.083	703660	EUR	
06/01/2011 00:00	15.285	15.295	15.063	15.098	842507	EUR	
07/01/2011 00:00	15.098	15.187	14.891	14.96	720742	EUR	
10/01/2011 00:00	14.925	14.925	14.595	14.718	731517	EUR	
11/01/2011 00:00	14.743	14.832	14.565	14.639	894073	EUR	
12/01/2011 00:00	14.639	14.871	14.605	14.866	931884	EUR	
13/01/2011 00:00	14.846	15.009	14.743	14.98	958261	EUR	
14/01/2011 00:00	14.994	14.994	14.817	14.911	839576	EUR	
17/01/2011 00:00	14.94	14.994	14.911	14.93	675055	EUR	
18/01/2011 00:00	14.935	15.152	14.901	15.152	1005159	EUR	
19/01/2011 00:00	15.182	15.325	15.078	15.078	1052557	EUR	
20/01/2011 00:00	15.073	15.266	15.049	15.108	1080852	EUR	
21/01/2011 00:00	15.128	15.231	14.965	15.103	1025712	EUR	
24/01/2011 00:00	15.103	15.147	14.866	15.103	845904	EUR	
25/01/2011 00:00	15.118	15.256	14.989	15.034	1212167	EUR	
26/01/2011 00:00	15.088	15.236	14.911	15.024	868741	EUR	
27/01/2011 00:00	15.014	15.137	14.92	15.093	733889	EUR	
28/01/2011 00:00	15.093	15.211	14.891	14.891	1194683	EUR	
31/01/2011 00:00	14.886	14.95	14.699	14.876	1018965	EUR	
01/02/2011 00:00	14.881	15.206	14.851	15.197	909646	EUR	
02/02/2011 00:00	15.226	15.443	15.147	15.226	821174	EUR	
03/02/2011 00:00	15.059	15.177	14.812	14.871	1088654	EUR	
04/02/2011 00:00	14.891	14.901	14.708	14.738	986150	EUR	
07/02/2011 00:00	14.832	14.935	14.743	14.935	1092334	EUR	
08/02/2011 00:00	14.753	14.945	14.753	14.871	1252850	EUR	
09/02/2011 00:00	15.078	15.591	14.989	15.527	2166926	EUR	
10/02/2011 00:00	15.527	15.586	15.285	15.463	1236037	EUR	
11/02/2011 00:00	15.399	15.63	15.384	15.532	1253440	EUR	
14/02/2011 00:00	15.581	15.759	15.532	15.759	1234315	EUR	
15/02/2011 00:00	15.754	15.773	15.64	15.675	1129848	EUR	
16/02/2011 00:00	15.695	15.744	15.601	15.675	1135633	EUR	
17/02/2011 00:00	15.685	15.724	15.507	15.581	1044059	EUR	
18/02/2011 00:00	15.586	15.655	15.463	15.601	972187	EUR	
21/02/2011 00:00	15.591	15.63	15.384	15.384	861011	EUR	
22/02/2011 00:00	15.335	15.409	15.147	15.409	1025863	EUR	
23/02/2011 00:00	15.384	15.443	15.167	15.221	680020	EUR	
24/02/2011 00:00	15.172	15.3	15.103	15.266	532052	EUR	
25/02/2011 00:00	15.285	15.497	15.137	15.433	588794	EUR	
28/02/2011 00:00	15.384	15.557	15.335	15.483	1150404	EUR	
01/03/2011 00:00	15.463	15.581	15.379	15.453	815563	EUR	
02/03/2011 00:00	15.463	15.468	15.202	15.369	960153	EUR	
03/03/2011 00:00	15.369	15.453	15.202	15.256	1068340	EUR	
04/03/2011 00:00	15.251	15.32	14.797	14.822	1329021	EUR	
07/03/2011 00:00	14.837	14.901	14.674	14.674	1032820	EUR	
08/03/2011 00:00	14.733	14.787	14.546	14.674	870129	EUR	
09/03/2011 00:00	14.708	14.768	14.605	14.605	1057593	EUR	
10/03/2011 00:00	14.595	14.644	14.403	14.487	853159	EUR	
11/03/2011 00:00	14.442	14.477	14.299	14.329	849221	EUR	
14/03/2011 00:00	14.294	14.294	14.067	14.067	1091629	EUR	
15/03/2011 00:00	13.855	13.954	13.51	13.707	1814744	EUR	
16/03/2011 00:00	13.954	13.954	13.535	13.555	2084488	EUR	
17/03/2011 00:00	13.653	13.944	13.594	13.944	1680960	EUR	
18/03/2011 00:00	14.048	14.156	14.003	14.053	1824744	EUR	
21/03/2011 00:00	14.171	14.21	14.013	14.136	1058336	EUR	
22/03/2011 00:00	14.132	14.191	14.008	14.141	1503381	EUR	
23/03/2011 00:00	14.063	14.215	13.974	14.215	996488	EUR	
24/03/2011 00:00	14.161	14.378	14.077	14.348	1089077	EUR	
25/03/2011 00:00	14.398	14.427	14.319	14.368	782034	EUR	
28/03/2011 00:00	14.378	14.413	14.201	14.23	1129955	EUR	
29/03/2011 00:00	14.27	14.304	14.122	14.304	752415	EUR	
30/03/2011 00:00	14.413	14.447	14.319	14.393	1284360	EUR	
31/03/2011 00:00	14.408	14.482	14.339	14.398	1196160	EUR	
01/04/2011 00:00	14.491	14.491	14.24	14.299	1598791	EUR	
04/04/2011 00:00	14.324	14.329	14.27	14.275	1290378	EUR	
05/04/2011 00:00	14.294	14.477	14.201	14.26	1236076	EUR	
06/04/2011 00:00	14.289	14.319	14.181	14.255	1206315	EUR	
07/04/2011 00:00	14.309	14.378	14.201	14.22	1192428	EUR	
08/04/2011 00:00	14.595	14.595	14.403	14.477	1523061	EUR	
11/04/2011 00:00	14.418	14.57	14.294	14.408	963028	EUR	
12/04/2011 00:00	14.373	14.413	14.26	14.299	1218646	EUR	
13/04/2011 00:00	14.358	14.388	14.27	14.294	1282925	EUR	
14/04/2011 00:00	14.25	14.309	14.176	14.225	1218273	EUR	
15/04/2011 00:00	14.22	14.437	14.22	14.373	1548621	EUR	
18/04/2011 00:00	14.388	14.447	14.003	14.058	1840339	EUR	
19/04/2011 00:00	14.018	14.201	14.003	14.201	1316860	EUR	
20/04/2011 00:00	14.215	14.467	14.215	14.457	1532324	EUR	
21/04/2011 00:00	14.452	14.565	14.418	14.536	1278201	EUR	
26/04/2011 00:00	14.289	14.595	14.284	14.506	1446145	EUR	
27/04/2011 00:00	14.373	14.718	14.373	14.718	1341446	EUR	
28/04/2011 00:00	15.039	15.517	15.039	15.31	3974460	EUR	
29/04/2011 00:00	15.197	15.399	15.137	15.344	1683842	EUR	
02/05/2011 00:00	15.473	15.473	15.32	15.335	1169189	EUR	
03/05/2011 00:00	15.344	15.374	15.206	15.261	1314503	EUR	
04/05/2011 00:00	15.231	15.31	15.024	15.063	1667846	EUR	
05/05/2011 00:00	15.024	15.197	14.955	15.162	1239885	EUR	
06/05/2011 00:00	15.044	15.211	15.004	15.192	1154525	EUR	
09/05/2011 00:00	15.059	15.162	14.911	15.049	1172060	EUR	
10/05/2011 00:00	15.029	15.187	15.014	15.142	1271777	EUR	
11/05/2011 00:00	15.108	15.187	15.073	15.172	1476793	EUR	
12/05/2011 00:00	15.044	15.187	14.98	15.187	1141828	EUR	
13/05/2011 00:00	15.167	15.261	15.108	15.197	1243538	EUR	
16/05/2011 00:00	15.054	15.167	15.014	15.098	1263364	EUR	
17/05/2011 00:00	15.044	15.157	14.989	14.989	1277774	EUR	
18/05/2011 00:00	14.955	15.078	14.901	15.024	1002971	EUR	
19/05/2011 00:00	15.029	15.211	14.999	15.211	1440713	EUR	
20/05/2011 00:00	15.251	15.354	15.132	15.162	1132670	EUR	
23/05/2011 00:00	14.94	15.034	14.871	14.886	1180154	EUR	
24/05/2011 00:00	14.294	14.299	14.043	14.063	1623746	EUR	
25/05/2011 00:00	14.013	14.117	13.974	14.097	1537616	EUR	
26/05/2011 00:00	14.136	14.225	14.112	14.196	997498	EUR	
27/05/2011 00:00	14.294	14.373	14.186	14.186	1430516	EUR	
30/05/2011 00:00	14.191	14.279	14.156	14.186	578804	EUR	
31/05/2011 00:00	14.26	14.408	14.26	14.373	1566651	EUR	
01/06/2011 00:00	14.358	14.408	14.25	14.27	1606154	EUR	
02/06/2011 00:00	14.21	14.235	14.072	14.072	988276	EUR	
03/06/2011 00:00	14.097	14.117	13.91	14.053	756434	EUR	
06/06/2011 00:00	14.013	14.058	13.875	13.934	982144	EUR	
07/06/2011 00:00	13.929	14.018	13.88	13.915	1223444	EUR	
08/06/2011 00:00	13.9	13.949	13.772	13.796	1185215	EUR	
09/06/2011 00:00	14.033	14.289	14.033	14.087	2089439	EUR	
10/06/2011 00:00	14.102	14.117	13.875	13.875	1260052	EUR	
13/06/2011 00:00	13.905	13.974	13.86	13.9	990331	EUR	
14/06/2011 00:00	13.895	13.929	13.757	13.88	1577904	EUR	
15/06/2011 00:00	13.88	13.934	13.762	13.772	1490018	EUR	
16/06/2011 00:00	13.732	13.742	13.564	13.683	1135841	EUR	
17/06/2011 00:00	13.624	13.712	13.545	13.673	1299020	EUR	
20/06/2011 00:00	13.491	13.579	13.446	13.53	1036007	EUR	
21/06/2011 00:00	13.619	13.653	13.495	13.56	1962523	EUR	
22/06/2011 00:00	13.56	13.569	13.441	13.446	1263438	EUR	
23/06/2011 00:00	13.481	13.481	13.15	13.17	1544793	EUR	
24/06/2011 00:00	13.249	13.348	13.15	13.185	1148824	EUR	
27/06/2011 00:00	13.19	13.274	13.145	13.195	1106636	EUR	
28/06/2011 00:00	13.214	13.352	13.185	13.293	732820	EUR	
29/06/2011 00:00	13.348	13.451	13.303	13.367	1110190	EUR	
30/06/2011 00:00	13.412	13.569	13.333	13.564	1902776	EUR	
01/07/2011 00:00	13.594	13.772	13.589	13.752	1632041	EUR	
04/07/2011 00:00	13.806	13.875	13.752	13.841	1052413	EUR	
05/07/2011 00:00	13.811	13.895	13.762	13.762	1008624	EUR	
06/07/2011 00:00	13.786	13.801	13.678	13.786	866458	EUR	
07/07/2011 00:00	13.875	13.998	13.777	13.816	1769725	EUR	
08/07/2011 00:00	13.87	13.885	13.515	13.564	1637522	EUR	
11/07/2011 00:00	13.515	13.643	13.288	13.323	1368159	EUR	
12/07/2011 00:00	13.195	13.244	12.845	13.007	1911507	EUR	
13/07/2011 00:00	12.968	13.229	12.919	13.15	1551429	EUR	
14/07/2011 00:00	13.086	13.274	13.037	13.145	1405715	EUR	
15/07/2011 00:00	13.066	13.155	13.057	13.096	1308436	EUR	
18/07/2011 00:00	13.066	13.096	12.948	13.032	1510110	EUR	
19/07/2011 00:00	13.057	13.066	12.83	12.869	1579277	EUR	
20/07/2011 00:00	12.968	13.012	12.83	12.997	1315658	EUR	
21/07/2011 00:00	13.032	13.106	12.785	13.071	1894848	EUR	
22/07/2011 00:00	13.165	13.234	13.042	13.18	1291888	EUR	
25/07/2011 00:00	13.101	13.136	13.032	13.091	1189498	EUR	
26/07/2011 00:00	13.126	13.155	12.983	13.111	1109217	EUR	
27/07/2011 00:00	13.111	13.136	12.869	12.904	1093891	EUR	
28/07/2011 00:00	12.869	13.007	12.83	12.924	1553266	EUR	
29/07/2011 00:00	12.83	12.83	12.425	12.751	3101809	EUR	
01/08/2011 00:00	12.963	12.963	12.425	12.46	1395662	EUR	
02/08/2011 00:00	12.43	12.485	12.356	12.411	1447621	EUR	
03/08/2011 00:00	12.425	12.899	12.327	12.514	2711959	EUR	
04/08/2011 00:00	12.652	12.667	11.913	11.932	3017266	EUR	
05/08/2011 00:00	11.671	12.361	11.449	12.1	4021993	EUR	
08/08/2011 00:00	11.923	12.159	11.784	11.784	2956871	EUR	
09/08/2011 00:00	11.784	12.041	11.208	12.016	3867492	EUR	
10/08/2011 00:00	12.204	12.243	11.37	11.37	2842749	EUR	
11/08/2011 00:00	11.735	11.824	11.06	11.558	2404387	EUR	
12/08/2011 00:00	11.528	11.809	11.242	11.809	2428490	EUR	
15/08/2011 00:00	11.863	12.041	11.809	11.992	1003685	EUR	
16/08/2011 00:00	11.992	11.997	11.587	11.715	1090199	EUR	
17/08/2011 00:00	11.725	11.839	11.558	11.809	1320091	EUR	
18/08/2011 00:00	11.72	11.755	11.094	11.217	1330754	EUR	
19/08/2011 00:00	11.222	11.227	10.729	11.04	1414928	EUR	
22/08/2011 00:00	10.991	11.405	10.936	11.237	822680	EUR	
23/08/2011 00:00	11.341	11.494	11.158	11.282	925148	EUR	
24/08/2011 00:00	11.38	11.676	11.326	11.642	1617781	EUR	
25/08/2011 00:00	11.686	11.804	11.267	11.351	1716207	EUR	
26/08/2011 00:00	11.336	11.341	10.897	11.213	1080981	EUR	
29/08/2011 00:00	11.385	11.617	11.375	11.572	768103	EUR	
30/08/2011 00:00	11.671	11.701	11.321	11.449	598701	EUR	
31/08/2011 00:00	11.459	11.538	11.39	11.513	2332912	EUR	
01/09/2011 00:00	11.528	11.538	11.37	11.425	1562229	EUR	
02/09/2011 00:00	11.346	11.356	10.892	10.941	2111660	EUR	
05/09/2011 00:00	10.946	11.025	10.581	10.581	1724203	EUR	
06/09/2011 00:00	10.611	10.734	10.438	10.503	1242428	EUR	
07/09/2011 00:00	10.7	11.084	10.65	11.084	1821081	EUR	
08/09/2011 00:00	11.04	11.257	10.976	11.099	756665	EUR	
09/09/2011 00:00	11.05	11.099	10.759	10.774	1632647	EUR	
12/09/2011 00:00	10.586	10.611	10.276	10.483	1591246	EUR	
13/09/2011 00:00	10.611	10.626	10.231	10.537	1770274	EUR	
14/09/2011 00:00	10.458	10.724	10.458	10.724	1622282	EUR	
15/09/2011 00:00	10.788	10.936	10.749	10.872	1330327	EUR	
16/09/2011 00:00	10.946	11.188	10.946	11.104	2054834	EUR	
19/09/2011 00:00	10.897	11.119	10.71	10.764	816849	EUR	
20/09/2011 00:00	10.69	10.907	10.66	10.848	1055549	EUR	
21/09/2011 00:00	11.065	11.065	10.759	10.843	1607814	EUR	
22/09/2011 00:00	10.749	10.793	10.261	10.36	1511208	EUR	
23/09/2011 00:00	10.468	10.483	9.881	10.231	1706093	EUR	
26/09/2011 00:00	10.078	10.281	9.94	10.093	2329289	EUR	
27/09/2011 00:00	10.281	10.493	10.266	10.463	1620994	EUR	
28/09/2011 00:00	10.404	10.66	10.251	10.355	1508717	EUR	
29/09/2011 00:00	10.305	10.557	10.251	10.438	1917842	EUR	
30/09/2011 00:00	10.374	10.424	10.187	10.305	1001337	EUR	
03/10/2011 00:00	10.143	10.369	10.019	10.369	993005	EUR	
04/10/2011 00:00	10.246	10.266	9.896	10.019	1058382	EUR	
05/10/2011 00:00	10.157	10.241	9.97	10.241	1481083	EUR	
06/10/2011 00:00	10.305	10.685	10.286	10.65	2114105	EUR	
07/10/2011 00:00	10.601	10.818	10.483	10.655	1790288	EUR	
10/10/2011 00:00	10.759	10.774	10.581	10.665	1390970	EUR	
11/10/2011 00:00	10.631	10.675	10.483	10.66	1024862	EUR	
12/10/2011 00:00	10.65	11.4	10.626	11.306	2171048	EUR	
13/10/2011 00:00	11.306	11.459	11.247	11.395	1763966	EUR	
14/10/2011 00:00	11.474	11.568	11.395	11.444	1273653	EUR	
17/10/2011 00:00	11.523	11.582	11.375	11.425	1503207	EUR	
18/10/2011 00:00	11.365	11.375	11.153	11.311	1676463	EUR	
19/10/2011 00:00	11.36	11.513	11.341	11.459	1388796	EUR	
20/10/2011 00:00	11.321	11.385	11.079	11.139	2079564	EUR	
21/10/2011 00:00	11.242	11.671	11.168	11.627	2164382	EUR	
24/10/2011 00:00	11.701	11.745	11.533	11.666	1408338	EUR	
25/10/2011 00:00	11.72	11.745	11.538	11.651	1605888	EUR	
26/10/2011 00:00	11.73	11.765	11.548	11.666	1116652	EUR	
27/10/2011 00:00	11.637	11.661	10.843	11.439	5699773	EUR	
28/10/2011 00:00	11.469	11.533	11.222	11.434	3264619	EUR	
31/10/2011 00:00	11.395	11.415	11.188	11.188	1462124	EUR	
01/11/2011 00:00	11.07	11.104	10.68	10.764	2219616	EUR	
02/11/2011 00:00	10.793	10.848	10.512	10.636	1507374	EUR	
03/11/2011 00:00	10.493	11.025	10.453	11.025	1993804	EUR	
04/11/2011 00:00	11.055	11.065	10.71	10.759	1773243	EUR	
07/11/2011 00:00	10.7	10.936	10.567	10.774	1027007	EUR	
08/11/2011 00:00	10.813	10.867	10.374	10.374	2570121	EUR	
09/11/2011 00:00	10.498	10.522	9.955	9.955	2783228	EUR	
10/11/2011 00:00	9.862	10.172	9.857	9.98	1539473	EUR	
11/11/2011 00:00	10.009	10.34	9.945	10.31	859735	EUR	
14/11/2011 00:00	10.32	10.36	10.034	10.054	972826	EUR	
