date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	12.8	12.8	12.5	12.55	1200641	EUR	
11/11/2010 00:00	12.56	12.69	12.295	12.36	726640	EUR	
12/11/2010 00:00	12.245	12.45	12.075	12.285	700343	EUR	
15/11/2010 00:00	12.275	12.71	12.14	12.635	577429	EUR	
16/11/2010 00:00	12.5	12.59	11.915	11.96	1044192	EUR	
17/11/2010 00:00	11.965	12.12	11.885	11.95	714405	EUR	
18/11/2010 00:00	12	12.075	11.895	11.96	568508	EUR	
19/11/2010 00:00	11.985	12.05	11.93	12.03	581965	EUR	
22/11/2010 00:00	12.115	12.195	11.82	11.82	583951	EUR	
23/11/2010 00:00	11.71	11.775	11.6	11.62	541951	EUR	
24/11/2010 00:00	11.63	11.775	11.475	11.685	360769	EUR	
25/11/2010 00:00	11.65	11.85	11.62	11.705	345255	EUR	
26/11/2010 00:00	11.56	11.79	11.5	11.765	442949	EUR	
29/11/2010 00:00	11.85	11.925	11.43	11.43	725343	EUR	
30/11/2010 00:00	11.455	11.485	11.205	11.205	654773	EUR	
01/12/2010 00:00	11.34	11.955	11.225	11.9	819850	EUR	
02/12/2010 00:00	11.7	12.17	11.7	12.14	738704	EUR	
03/12/2010 00:00	12.07	12.3	12.005	12.195	362859	EUR	
06/12/2010 00:00	12.165	12.245	12.015	12.04	308257	EUR	
07/12/2010 00:00	12.08	12.67	12.045	12.64	777410	EUR	
08/12/2010 00:00	12.56	12.885	12.52	12.835	568826	EUR	
09/12/2010 00:00	12.96	13.065	12.79	13.055	762841	EUR	
10/12/2010 00:00	13.045	13.07	12.795	12.84	559663	EUR	
13/12/2010 00:00	12.85	12.985	12.765	12.775	441551	EUR	
14/12/2010 00:00	12.79	13.13	12.58	13.035	824875	EUR	
15/12/2010 00:00	13	13.03	12.82	12.99	435910	EUR	
16/12/2010 00:00	12.725	12.895	12.58	12.79	610053	EUR	
17/12/2010 00:00	12.82	13.22	12.77	13.09	942210	EUR	
20/12/2010 00:00	13.06	13.18	12.915	12.915	354434	EUR	
21/12/2010 00:00	12.945	13.23	12.945	13.21	400437	EUR	
22/12/2010 00:00	13.12	13.545	13.12	13.515	1067376	EUR	
23/12/2010 00:00	13.52	13.54	13.35	13.435	522552	EUR	
24/12/2010 00:00	13.295	13.46	13.2	13.46	72350	EUR	
27/12/2010 00:00	13.3	13.305	13.045	13.25	294869	EUR	
28/12/2010 00:00	13.2	13.315	13.175	13.25	320752	EUR	
29/12/2010 00:00	13.25	13.48	13.19	13.435	264915	EUR	
30/12/2010 00:00	13.385	13.5	13.28	13.375	195699	EUR	
31/12/2010 00:00	12.97	13.325	12.81	13	153970	EUR	
03/01/2011 00:00	13.08	13.55	13.04	13.44	432399	EUR	
04/01/2011 00:00	13.4	13.71	13.31	13.6	439195	EUR	
05/01/2011 00:00	13.55	13.64	13.36	13.605	450894	EUR	
06/01/2011 00:00	13.65	13.86	13.615	13.805	390841	EUR	
07/01/2011 00:00	13.84	13.85	13.615	13.655	346277	EUR	
10/01/2011 00:00	13.645	13.675	13.435	13.575	441183	EUR	
11/01/2011 00:00	13.63	13.795	13.51	13.56	300805	EUR	
12/01/2011 00:00	13.585	13.845	13.585	13.825	361154	EUR	
13/01/2011 00:00	13.715	13.98	13.55	13.905	458347	EUR	
14/01/2011 00:00	13.9	14.09	13.775	13.995	459259	EUR	
17/01/2011 00:00	14	14.145	14	14.035	426719	EUR	
18/01/2011 00:00	14.21	14.48	14.19	14.27	700653	EUR	
19/01/2011 00:00	14.255	14.415	14.1	14.35	504730	EUR	
20/01/2011 00:00	14.25	14.475	14.14	14.225	520180	EUR	
21/01/2011 00:00	14.245	14.58	14.225	14.435	696352	EUR	
24/01/2011 00:00	14.47	14.57	14.36	14.55	280856	EUR	
25/01/2011 00:00	14.595	14.67	14.32	14.445	449723	EUR	
26/01/2011 00:00	14.55	14.655	14.505	14.525	272059	EUR	
27/01/2011 00:00	14.555	14.62	14.445	14.535	334776	EUR	
28/01/2011 00:00	14.575	14.69	14.405	14.45	477076	EUR	
31/01/2011 00:00	14.38	14.44	14.105	14.185	601025	EUR	
01/02/2011 00:00	14.3	14.55	14.235	14.55	493799	EUR	
02/02/2011 00:00	14.61	14.975	14.6	14.975	826139	EUR	
03/02/2011 00:00	14.945	15.185	14.85	14.995	494778	EUR	
04/02/2011 00:00	14.99	15.04	14.77	14.88	328302	EUR	
07/02/2011 00:00	14.88	15.07	14.85	14.89	514957	EUR	
08/02/2011 00:00	14.94	14.98	14.725	14.8	905943	EUR	
09/02/2011 00:00	14.88	14.9	14.73	14.76	781855	EUR	
10/02/2011 00:00	14.73	14.8	14.6	14.74	491570	EUR	
11/02/2011 00:00	14.715	14.765	14.535	14.595	347578	EUR	
14/02/2011 00:00	14.68	14.725	14.365	14.5	450152	EUR	
15/02/2011 00:00	14.485	14.53	14.375	14.415	460176	EUR	
16/02/2011 00:00	14.445	14.515	14.39	14.39	537272	EUR	
17/02/2011 00:00	14.8	14.9	14.545	14.605	1290641	EUR	
18/02/2011 00:00	14.7	14.8	14.44	14.52	917296	EUR	
21/02/2011 00:00	14.51	14.6	14.275	14.34	449209	EUR	
22/02/2011 00:00	14.095	14.15	13.775	13.93	867389	EUR	
23/02/2011 00:00	13.85	13.99	13.655	13.69	803784	EUR	
24/02/2011 00:00	13.6	13.685	13.43	13.49	744065	EUR	
25/02/2011 00:00	13.54	14.005	13.535	13.94	829618	EUR	
28/02/2011 00:00	13.9	14.2	13.855	14.08	860217	EUR	
01/03/2011 00:00	14.125	14.24	13.905	13.98	769943	EUR	
02/03/2011 00:00	13.855	14.015	13.785	13.95	630495	EUR	
03/03/2011 00:00	13.98	14.15	13.95	14.1	632313	EUR	
04/03/2011 00:00	14.135	14.3	14.02	14.095	485619	EUR	
07/03/2011 00:00	14.085	14.24	13.96	14.055	455421	EUR	
08/03/2011 00:00	14.09	14.3	14.09	14.19	882578	EUR	
09/03/2011 00:00	14.24	14.465	14.155	14.455	670511	EUR	
10/03/2011 00:00	14.365	14.45	14.06	14.195	718555	EUR	
11/03/2011 00:00	14.08	14.18	13.915	13.955	412478	EUR	
14/03/2011 00:00	13.9	14.005	13.715	13.785	445083	EUR	
15/03/2011 00:00	13.305	13.48	13.06	13.345	1218086	EUR	
16/03/2011 00:00	13.38	13.47	13	13	1112948	EUR	
17/03/2011 00:00	13.04	13.3	13.02	13.2	652398	EUR	
18/03/2011 00:00	13.31	13.38	13.185	13.27	809842	EUR	
21/03/2011 00:00	13.435	13.58	13.395	13.5	483624	EUR	
22/03/2011 00:00	13.5	13.585	13.32	13.39	531172	EUR	
23/03/2011 00:00	13.575	13.59	13.35	13.52	617921	EUR	
24/03/2011 00:00	13.46	13.53	13.35	13.445	608688	EUR	
25/03/2011 00:00	13.3	13.3	12.87	12.97	1728976	EUR	
28/03/2011 00:00	12.995	13.06	12.83	13.01	1034399	EUR	
29/03/2011 00:00	13.03	13.09	12.94	13.06	606927	EUR	
30/03/2011 00:00	13.1	13.22	13.01	13.11	1029709	EUR	
31/03/2011 00:00	13.1	13.165	12.955	12.955	814723	EUR	
01/04/2011 00:00	13.02	13.11	12.84	12.98	734179	EUR	
04/04/2011 00:00	12.99	13.2	12.95	13.14	416119	EUR	
05/04/2011 00:00	13.17	13.245	13.05	13.125	668886	EUR	
06/04/2011 00:00	13.125	13.4	13.04	13.26	910570	EUR	
07/04/2011 00:00	13.3	13.4	12.99	13.05	805505	EUR	
08/04/2011 00:00	13.105	13.41	13.105	13.28	721897	EUR	
11/04/2011 00:00	13.245	13.31	13.075	13.24	381228	EUR	
12/04/2011 00:00	13.19	13.215	12.91	12.965	573308	EUR	
13/04/2011 00:00	13.19	13.19	12.855	12.89	616219	EUR	
14/04/2011 00:00	12.88	12.925	12.16	12.35	2447823	EUR	
15/04/2011 00:00	12.345	12.55	12.34	12.395	1477629	EUR	
18/04/2011 00:00	12.535	12.79	12.16	12.25	1267985	EUR	
19/04/2011 00:00	11.98	12.11	11.86	12.005	1349084	EUR	
20/04/2011 00:00	12.095	12.18	11.95	12.03	1581924	EUR	
21/04/2011 00:00	12.09	12.1	11.905	11.965	583892	EUR	
26/04/2011 00:00	11.955	12.265	11.93	12.22	755110	EUR	
27/04/2011 00:00	12.305	12.35	12.15	12.325	618834	EUR	
28/04/2011 00:00	12.38	12.45	12.23	12.45	848865	EUR	
29/04/2011 00:00	12.41	12.67	12.28	12.67	930164	EUR	
02/05/2011 00:00	12.705	12.77	12.605	12.66	736305	EUR	
03/05/2011 00:00	12.67	12.755	12.565	12.65	843318	EUR	
04/05/2011 00:00	12.6	12.785	12.575	12.665	834006	EUR	
05/05/2011 00:00	12.7	12.74	12.38	12.41	1391701	EUR	
06/05/2011 00:00	12.415	12.7	12.345	12.555	841450	EUR	
09/05/2011 00:00	12.515	12.575	12.425	12.495	492761	EUR	
10/05/2011 00:00	12.5	12.635	12.395	12.53	779835	EUR	
11/05/2011 00:00	12.575	12.725	12.47	12.725	605431	EUR	
12/05/2011 00:00	12.63	12.71	12.45	12.495	961775	EUR	
13/05/2011 00:00	12.75	13.22	12.505	12.72	2555248	EUR	
16/05/2011 00:00	12.62	12.77	12.545	12.605	955879	EUR	
17/05/2011 00:00	12.59	12.725	12.475	12.5	930655	EUR	
18/05/2011 00:00	12.6	12.675	12.42	12.45	633956	EUR	
19/05/2011 00:00	12.5	12.695	12.5	12.615	709105	EUR	
20/05/2011 00:00	12.655	12.805	12.49	12.555	714988	EUR	
23/05/2011 00:00	12.4	12.5	12.275	12.305	747849	EUR	
24/05/2011 00:00	12.31	12.33	12.11	12.165	633455	EUR	
25/05/2011 00:00	12.095	12.41	12.075	12.33	917328	EUR	
26/05/2011 00:00	12.355	12.36	12.24	12.31	619506	EUR	
27/05/2011 00:00	12.375	12.47	12.29	12.35	437309	EUR	
30/05/2011 00:00	12.335	12.48	12.27	12.39	275168	EUR	
31/05/2011 00:00	12.465	12.54	12.34	12.45	570034	EUR	
01/06/2011 00:00	12.515	12.74	12.455	12.54	972517	EUR	
02/06/2011 00:00	12.47	12.485	12.32	12.43	417998	EUR	
03/06/2011 00:00	12.445	12.54	12.35	12.48	854134	EUR	
06/06/2011 00:00	12.485	12.58	12.4	12.505	792409	EUR	
07/06/2011 00:00	12.51	12.615	12.415	12.49	603150	EUR	
08/06/2011 00:00	12.46	12.56	12.28	12.495	855197	EUR	
09/06/2011 00:00	12.485	12.555	12.28	12.38	829723	EUR	
10/06/2011 00:00	12.395	12.405	12.155	12.235	765656	EUR	
13/06/2011 00:00	12.215	12.285	12.165	12.225	431217	EUR	
14/06/2011 00:00	12.305	12.44	12.265	12.405	477618	EUR	
15/06/2011 00:00	12.4	12.49	12.175	12.215	462371	EUR	
16/06/2011 00:00	12.16	12.18	11.87	12.17	1239854	EUR	
17/06/2011 00:00	12.16	12.26	11.98	12.19	510606	EUR	
20/06/2011 00:00	12.085	12.085	11.97	12.04	686243	EUR	
21/06/2011 00:00	12.115	12.19	12.015	12.135	615778	EUR	
22/06/2011 00:00	12.4	12.69	12.25	12.39	964548	EUR	
23/06/2011 00:00	12.36	12.36	12.04	12.12	898993	EUR	
24/06/2011 00:00	12.28	12.36	11.98	11.995	1597326	EUR	
27/06/2011 00:00	12	12.07	11.88	11.95	807358	EUR	
28/06/2011 00:00	11.965	12.105	11.9	11.975	825540	EUR	
29/06/2011 00:00	12.005	12.37	12.005	12.295	857628	EUR	
30/06/2011 00:00	12.35	12.565	12.21	12.54	805850	EUR	
01/07/2011 00:00	12.575	12.825	12.505	12.685	856910	EUR	
04/07/2011 00:00	12.69	12.88	12.685	12.825	412362	EUR	
05/07/2011 00:00	12.77	12.815	12.655	12.685	539916	EUR	
06/07/2011 00:00	12.715	12.73	12.535	12.625	628984	EUR	
07/07/2011 00:00	12.7	12.765	12.575	12.675	422060	EUR	
08/07/2011 00:00	12.67	12.735	12.29	12.43	618539	EUR	
11/07/2011 00:00	12.325	12.37	11.93	12.085	688305	EUR	
12/07/2011 00:00	11.92	12.15	11.68	12.065	825454	EUR	
13/07/2011 00:00	12.005	12.26	11.97	12.185	655116	EUR	
14/07/2011 00:00	12.05	12.16	11.98	12.06	442591	EUR	
15/07/2011 00:00	12	12.2	11.875	12.15	606465	EUR	
18/07/2011 00:00	12.025	12.09	11.62	11.72	1316379	EUR	
19/07/2011 00:00	11.79	12.125	11.775	12.03	661920	EUR	
20/07/2011 00:00	12.245	12.5	12.15	12.33	823382	EUR	
21/07/2011 00:00	12.43	12.795	12.245	12.68	664728	EUR	
22/07/2011 00:00	12.74	12.855	12.64	12.655	713905	EUR	
25/07/2011 00:00	12.475	12.745	12.47	12.725	547066	EUR	
26/07/2011 00:00	13	14.145	13	13.68	3682237	EUR	
27/07/2011 00:00	13.52	13.68	13.385	13.545	1360958	EUR	
28/07/2011 00:00	13.45	13.625	13.35	13.445	720740	EUR	
29/07/2011 00:00	13.375	13.555	13.18	13.315	1092409	EUR	
01/08/2011 00:00	13.455	13.725	13.17	13.135	790332	EUR	
02/08/2011 00:00	13.075	13.16	12.765	12.8	1505024	EUR	
03/08/2011 00:00	12.71	13.01	12.46	12.54	1506836	EUR	
04/08/2011 00:00	12.7	12.7	11.8	11.925	2469556	EUR	
05/08/2011 00:00	11.575	12.185	11.33	11.825	1742088	EUR	
08/08/2011 00:00	11.69	11.96	11.24	11.26	2638503	EUR	
09/08/2011 00:00	11.295	11.42	10.665	11.085	2112190	EUR	
10/08/2011 00:00	11.385	11.385	10.47	10.55	2021469	EUR	
11/08/2011 00:00	10.81	10.85	10.265	10.78	1549230	EUR	
12/08/2011 00:00	10.865	11.285	10.465	11.1	1190685	EUR	
15/08/2011 00:00	11.265	11.275	10.965	11.19	651912	EUR	
16/08/2011 00:00	11.09	11.17	10.84	11.075	707510	EUR	
17/08/2011 00:00	11.05	11.05	10.76	10.905	586458	EUR	
18/08/2011 00:00	10.855	10.855	10.245	10.38	1045713	EUR	
19/08/2011 00:00	10.345	10.52	9.92	10.315	735259	EUR	
22/08/2011 00:00	10.24	10.63	10.22	10.35	493500	EUR	
23/08/2011 00:00	10.5	10.665	10.195	10.345	795486	EUR	
24/08/2011 00:00	10.42	10.635	10.25	10.525	495152	EUR	
25/08/2011 00:00	10.575	10.705	10.36	10.43	491674	EUR	
26/08/2011 00:00	10.42	10.42	10.105	10.33	450847	EUR	
29/08/2011 00:00	10.46	10.61	10.43	10.485	261492	EUR	
30/08/2011 00:00	10.6	10.675	10.45	10.58	387095	EUR	
31/08/2011 00:00	10.675	11.125	10.575	11.045	881992	EUR	
01/09/2011 00:00	11.085	11.085	10.835	10.985	630004	EUR	
02/09/2011 00:00	10.845	10.915	10.58	10.67	499932	EUR	
05/09/2011 00:00	10.49	10.49	10.105	10.175	612218	EUR	
06/09/2011 00:00	10.155	10.265	9.803	9.904	955268	EUR	
07/09/2011 00:00	10.065	10.385	10.05	10.34	779905	EUR	
08/09/2011 00:00	10.37	10.455	10.21	10.285	507203	EUR	
09/09/2011 00:00	9.985	10.12	9.468	9.544	2461812	EUR	
12/09/2011 00:00	9.322	9.322	9.028	9.12	1071338	EUR	
13/09/2011 00:00	9.278	9.29	8.678	8.979	1280522	EUR	
14/09/2011 00:00	8.865	9.326	8.865	9.284	613808	EUR	
15/09/2011 00:00	9.315	9.801	9.237	9.687	846359	EUR	
16/09/2011 00:00	9.75	9.904	9.589	9.778	942823	EUR	
19/09/2011 00:00	9.592	9.612	9.248	9.333	616952	EUR	
20/09/2011 00:00	9.254	9.587	9.224	9.587	449800	EUR	
21/09/2011 00:00	9.501	9.94	9.287	9.385	1197021	EUR	
22/09/2011 00:00	9.1	9.1	8.75	8.76	1412928	EUR	
23/09/2011 00:00	8.502	8.686	8.373	8.581	1093686	EUR	
26/09/2011 00:00	8.448	9.072	8.44	8.925	693007	EUR	
