date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	305	308	301.1	303.57	3094	EUR	
11/11/2010 00:00	301	303	301	303	425	EUR	
12/11/2010 00:00	305.99	305.99	299.4	301.5	990	EUR	
15/11/2010 00:00	298	300.99	297.2	300.5	290	EUR	
16/11/2010 00:00	298.3	299.5	294	294.01	561	EUR	
17/11/2010 00:00	294	296	290.5	295.2	387	EUR	
18/11/2010 00:00	296	300	296	299.95	804	EUR	
19/11/2010 00:00	298	299	296.8	298.99	396	EUR	
22/11/2010 00:00	298.99	298.99	290.55	290.55	587	EUR	
23/11/2010 00:00	291.11	293	285	285	1089	EUR	
24/11/2010 00:00	285	288.39	285	288.39	308	EUR	
25/11/2010 00:00	289.51	289.51	286.01	287.5	357	EUR	
26/11/2010 00:00	286.5	288.2	286.5	288.2	491	EUR	
29/11/2010 00:00	286.1	287.83	280.1	281.01	663	EUR	
30/11/2010 00:00	281.1	285	275.2	284.44	503	EUR	
01/12/2010 00:00	280.1	287.5	280.1	287	857	EUR	
02/12/2010 00:00	287.75	296	285.53	297	3011	EUR	
03/12/2010 00:00	295.1	302.6	290	302.6	1049	EUR	
06/12/2010 00:00	301	301	296.1	299.5	714	EUR	
07/12/2010 00:00	300	304	299	304	1585	EUR	
08/12/2010 00:00	303	311	301.2	311	2246	EUR	
09/12/2010 00:00	305.8	321.1	305.8	314	6640	EUR	
10/12/2010 00:00	312.01	318	312.01	315	990	EUR	
13/12/2010 00:00	312.5	316.9	312.5	316	2608	EUR	
14/12/2010 00:00	316	316	314.05	315.8	1166	EUR	
15/12/2010 00:00	314.4	315.8	305.15	310	1357	EUR	
16/12/2010 00:00	307.5	307.5	300.14	306.96	1862	EUR	
17/12/2010 00:00	306.97	306.97	302.25	306.85	2493	EUR	
20/12/2010 00:00	301.02	311	301.02	305	1265	EUR	
21/12/2010 00:00	307	308	302.5	305	1150	EUR	
22/12/2010 00:00	303	308	302.5	308	881	EUR	
23/12/2010 00:00	304.04	307.09	303	303.5	683	EUR	
24/12/2010 00:00	303	308	303	303.5	408	EUR	
27/12/2010 00:00	303	306.49	303	304.1	785	EUR	
28/12/2010 00:00	304	307	304	305	1190	EUR	
29/12/2010 00:00	305	308	305	307.8	556	EUR	
30/12/2010 00:00	306	308	305.7	306	299	EUR	
31/12/2010 00:00	306	309.05	305.01	309.05	260	EUR	
03/01/2011 00:00	303	307.45	303	307.45	1627	EUR	
04/01/2011 00:00	307.45	314.99	306	313.98	809	EUR	
05/01/2011 00:00	313.95	313.95	310	310	606	EUR	
06/01/2011 00:00	312	321.36	312	321.36	2077	EUR	
07/01/2011 00:00	318.03	330	317.05	330	3452	EUR	
10/01/2011 00:00	330	336	326	335.99	2592	EUR	
11/01/2011 00:00	333.08	350	333.08	349	2305	EUR	
12/01/2011 00:00	349	349	340	348.74	1067	EUR	
13/01/2011 00:00	349	349	341.1	346	1021	EUR	
14/01/2011 00:00	345.96	346.29	342.1	345.9	398	EUR	
17/01/2011 00:00	346	348.74	343.5	347	935	EUR	
18/01/2011 00:00	344.14	361	344.14	354.95	2679	EUR	
19/01/2011 00:00	357	357	351.79	355.74	341	EUR	
20/01/2011 00:00	350	359.9	350	356.92	1003	EUR	
21/01/2011 00:00	358.84	358.9	350.56	358.9	593	EUR	
24/01/2011 00:00	358.9	358.9	354	355.15	490	EUR	
25/01/2011 00:00	353.5	362.5	353.5	361	1452	EUR	
26/01/2011 00:00	362.5	373	358	363	947	EUR	
27/01/2011 00:00	368	368	359	361.9	633	EUR	
28/01/2011 00:00	360	360	355	355	670	EUR	
31/01/2011 00:00	354	354.09	350	352.5	1169	EUR	
01/02/2011 00:00	350	360	350	360	1748	EUR	
02/02/2011 00:00	360	360.5	355	355	710	EUR	
