date	ouv	haut	bas	clot	vol	devise	
19/11/2010 00:00	7.7	7.7	7.7	7.7	120	EUR	
22/11/2010 00:00	7.7	7.7	7.7	7.7	0	EUR	
25/11/2010 00:00	7.82	7.82	7.82	7.82	0	EUR	
30/11/2010 00:00	7.1	7.1	7.1	7.1	0	EUR	
07/12/2010 00:00	7	7	7	7	0	EUR	
10/12/2010 00:00	7	7	7	7	300	EUR	
15/12/2010 00:00	8	8	8	8	0	EUR	
22/12/2010 00:00	8	8	8	8	0	EUR	
24/12/2010 00:00	8.2	8.2	8.2	8.2	120	EUR	
29/12/2010 00:00	8.04	8.04	8.04	8.04	50	EUR	
30/12/2010 00:00	8	8	8	8	0	EUR	
12/01/2011 00:00	10	10	10	10	0	EUR	
18/01/2011 00:00	10	10	10	10	0	EUR	
27/01/2011 00:00	10	10	10	10	0	EUR	
08/02/2011 00:00	9	9	9	9	0	EUR	
17/02/2011 00:00	10.5	10.5	10.5	10.5	0	EUR	
24/02/2011 00:00	11	11	11	11	116	EUR	
25/02/2011 00:00	10.5	10.5	10.5	10.5	274	EUR	
01/03/2011 00:00	11.5	11.5	11.5	11.5	120	EUR	
02/03/2011 00:00	10.5	10.5	10.5	10.5	120	EUR	
03/03/2011 00:00	11.48	11.48	11.48	11.48	0	EUR	
09/03/2011 00:00	10.51	10.51	10.51	10.51	80	EUR	
10/03/2011 00:00	10.5	10.5	10.5	10.5	0	EUR	
23/03/2011 00:00	10.5	10.5	10.5	10.5	0	EUR	
29/03/2011 00:00	10	10	10	10	0	EUR	
01/04/2011 00:00	9.01	9.01	9.01	9.01	171	EUR	
08/04/2011 00:00	9.02	9.02	9.02	9.02	110	EUR	
15/04/2011 00:00	10.91	10.91	10.91	10.91	1	EUR	
20/04/2011 00:00	11	11	11	11	0	EUR	
26/04/2011 00:00	11	11	11	11	0	EUR	
18/05/2011 00:00	10.41	10.41	10.41	10.41	0	EUR	
24/05/2011 00:00	12	12	12	12	0	EUR	
31/05/2011 00:00	12	12	12	12	0	EUR	
02/06/2011 00:00	12	12	12	12	0	EUR	
09/06/2011 00:00	13	13	13	13	0	EUR	
15/06/2011 00:00	19	19	19	19	270	EUR	
16/06/2011 00:00	18.98	18.98	18.98	18.98	0	EUR	
28/06/2011 00:00	13	13	13	13	0	EUR	
07/07/2011 00:00	12.89	12.89	12.89	12.89	0	EUR	
13/07/2011 00:00	12.44	12.44	12.44	12.44	0	EUR	
18/07/2011 00:00	12.04	12.04	12.04	12.04	0	EUR	
29/07/2011 00:00	12.04	12.04	12.04	12.04	40	EUR	
31/08/2011 00:00	8.81	8.81	8.81	8.81	0	EUR	
10/11/2011 00:00	6.32	6.32	6.32	6.32	0	EUR	
24/11/2011 00:00	6.08	6.08	6.08	6.08	0	EUR	
30/11/2011 00:00	7.34	7.34	7.34	7.34	0	EUR	
02/12/2011 00:00	8	8	8	8	100	EUR	
09/12/2011 00:00	6.21	6.21	6.21	6.21	62	EUR	
16/12/2011 00:00	7.9	7.9	7.9	7.9	69	EUR	
11/01/2012 00:00	7.9	7.9	7.9	7.9	0	EUR	
17/01/2012 00:00	7.9	7.9	7.9	7.9	0	EUR	
09/02/2012 00:00	6.11	6.11	6.11	6.11	0	EUR	
16/02/2012 00:00	6.11	6.11	6.11	6.11	0	EUR	
23/02/2012 00:00	7.9	7.9	7.9	7.9	0	EUR	
02/03/2012 00:00	8.5	8.5	8.5	8.5	200	EUR	
07/03/2012 00:00	8.5	8.5	8.5	8.5	21	EUR	
08/03/2012 00:00	8.9	8.9	8.9	8.9	0	EUR	
13/03/2012 00:00	8.9	8.9	8.9	8.9	0	EUR	
16/03/2012 00:00	8.9	8.9	8.9	8.9	65	EUR	
27/03/2012 00:00	8.9	8.9	8.9	8.9	351	EUR	
28/03/2012 00:00	8.9	8.9	8.9	8.9	0	EUR	
20/04/2012 00:00	6.01	6.01	6.01	6.01	268	EUR	
08/05/2012 00:00	5.85	5.85	5.85	5.85	0	EUR	
29/05/2012 00:00	7.5	7.5	7.5	7.5	30	EUR	
30/05/2012 00:00	7.5	7.5	7.5	7.5	0	EUR	
28/06/2012 00:00	7.5	7.5	7.5	7.5	0	EUR	
09/07/2012 00:00	7.5	7.5	7.5	7.5	205	EUR	
10/07/2012 00:00	7.25	7.25	7.25	7.25	0	EUR	
12/07/2012 00:00	7.25	7.25	7.25	7.25	0	EUR	
18/07/2012 00:00	7.25	7.25	7.25	7.25	420	EUR	
19/07/2012 00:00	7.25	7.25	7.25	7.25	0	EUR	
26/07/2012 00:00	7.25	7.25	7.25	7.25	100	EUR	
27/07/2012 00:00	7.25	7.25	7.25	7.25	71	EUR	
12/09/2012 00:00	5.89	5.89	5.89	5.89	0	EUR	
05/10/2012 00:00	8	8	8	8	136	EUR	
08/10/2012 00:00	8	8	8	8	0	EUR	
16/10/2012 00:00	8	8	8	8	0	EUR	
24/10/2012 00:00	6.41	6.41	6.41	6.41	0	EUR	
26/10/2012 00:00	5.78	5.78	5.78	5.78	200	EUR	
12/11/2012 00:00	6.98	6.98	6.98	6.98	0	EUR	
14/11/2012 00:00	6.5	6.5	6.5	6.5	0	EUR	
27/11/2012 00:00	5.3	5.3	5.3	5.3	10	EUR	
28/11/2012 00:00	5.31	5.31	5.31	5.31	0	EUR	
04/12/2012 00:00	5.3	5.3	5.3	5.3	0	EUR	
07/12/2012 00:00	6	6	6	6	200	EUR	
11/12/2012 00:00	6	6	6	6	25	EUR	
12/12/2012 00:00	6	6	6	6	0	EUR	
19/12/2012 00:00	6	6	6	6	20	EUR	
20/12/2012 00:00	6	6	6	6	0	EUR	
09/01/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
11/01/2013 00:00	7.5	7.5	7.5	7.5	53	EUR	
14/01/2013 00:00	7.5	7.5	7.5	7.5	47	EUR	
15/01/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
18/01/2013 00:00	7.5	7.5	7.5	7.5	249	EUR	
24/01/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
29/01/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
04/02/2013 00:00	5.5	5.5	5.5	5.5	0	EUR	
22/02/2013 00:00	5.15	5.15	5.15	5.15	358	EUR	
26/02/2013 00:00	5.1	5.1	5.1	5.1	0	EUR	
18/03/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
25/03/2013 00:00	7	7	7	7	16	EUR	
26/03/2013 00:00	7	7	7	7	0	EUR	
11/04/2013 00:00	7.8	7.8	7.8	7.8	0	EUR	
15/04/2013 00:00	8.1	8.1	8.1	8.1	0	EUR	
17/04/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
19/04/2013 00:00	7.5	7.5	7.5	7.5	142	EUR	
24/04/2013 00:00	7.5	7.5	7.5	7.5	0	EUR	
26/04/2013 00:00	7.5	7.5	7.5	7.5	250	EUR	
24/05/2013 00:00	7.5	7.5	7.5	7.5	120	EUR	
05/06/2013 00:00	8	8	8	8	0	EUR	
07/06/2013 00:00	8	8	8	8	312	EUR	
17/06/2013 00:00	8	8	8	8	0	EUR	
19/06/2013 00:00	7.2	7.2	7.2	7.2	0	EUR	
08/07/2013 00:00	10	10	10	10	400	EUR	
09/07/2013 00:00	10	10	10	10	0	EUR	
12/07/2013 00:00	7.29	7.29	7.29	7.29	16	EUR	
26/07/2013 00:00	9.65	9.65	9.65	9.65	205	EUR	
07/08/2013 00:00	7.75	7.75	7.75	7.75	0	EUR	
