date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	9.802	9.93	9.551	9.802	841346	EUR	
11/11/2010 00:00	9.81	9.874	9.51	9.535	471367	EUR	
12/11/2010 00:00	9.412	9.526	9.332	9.445	444152	EUR	
15/11/2010 00:00	9.38	9.799	9.35	9.645	960700	EUR	
16/11/2010 00:00	8.55	8.694	7.421	7.503	9176632	EUR	
17/11/2010 00:00	7.578	7.77	7.433	7.626	2635301	EUR	
18/11/2010 00:00	7.72	7.798	7.43	7.713	1665331	EUR	
19/11/2010 00:00	7.727	8.05	7.715	7.885	1751399	EUR	
22/11/2010 00:00	8.089	8.09	7.698	7.727	1152726	EUR	
23/11/2010 00:00	7.7	7.7	7.3	7.301	1425293	EUR	
24/11/2010 00:00	7.303	7.588	7.22	7.54	977594	EUR	
25/11/2010 00:00	7.579	7.713	7.42	7.464	613282	EUR	
26/11/2010 00:00	7.342	7.4	7.181	7.332	1221807	EUR	
29/11/2010 00:00	7.405	7.543	7.263	7.276	1038383	EUR	
30/11/2010 00:00	7.276	7.438	7.276	7.37	1048565	EUR	
01/12/2010 00:00	7.45	7.484	7.384	7.42	906635	EUR	
02/12/2010 00:00	7.47	7.7	7.388	7.691	708165	EUR	
03/12/2010 00:00	7.72	7.836	7.655	7.77	615593	EUR	
06/12/2010 00:00	7.819	7.845	7.573	7.582	402198	EUR	
07/12/2010 00:00	7.603	7.794	7.5	7.78	780870	EUR	
08/12/2010 00:00	7.777	7.895	7.75	7.86	977015	EUR	
09/12/2010 00:00	7.93	7.994	7.8	7.994	714737	EUR	
10/12/2010 00:00	7.971	7.987	7.859	7.958	357531	EUR	
13/12/2010 00:00	7.92	7.995	7.92	7.93	438296	EUR	
14/12/2010 00:00	7.921	7.921	7.682	7.682	672972	EUR	
15/12/2010 00:00	7.66	7.667	7.388	7.606	1101546	EUR	
16/12/2010 00:00	7.581	7.596	7.425	7.454	694788	EUR	
17/12/2010 00:00	7.5	7.544	7.419	7.423	585437	EUR	
20/12/2010 00:00	7.47	7.607	7.435	7.603	456392	EUR	
21/12/2010 00:00	7.657	7.68	7.602	7.66	328332	EUR	
22/12/2010 00:00	7.677	7.789	7.583	7.789	604927	EUR	
23/12/2010 00:00	7.833	8.09	7.833	8.058	1035426	EUR	
24/12/2010 00:00	8.1	8.199	8.062	8.15	281703	EUR	
27/12/2010 00:00	8.197	8.197	7.998	8.021	423578	EUR	
28/12/2010 00:00	8.05	8.124	7.85	7.856	410478	EUR	
29/12/2010 00:00	7.97	8.043	7.756	7.989	417897	EUR	
30/12/2010 00:00	8.018	8.053	7.92	8.01	206893	EUR	
31/12/2010 00:00	8.035	8.08	7.97	8	105498	EUR	
03/01/2011 00:00	8.05	8.25	8.05	8.25	411950	EUR	
04/01/2011 00:00	8.265	8.44	8.203	8.43	742958	EUR	
05/01/2011 00:00	8.39	8.39	8.262	8.35	328065	EUR	
06/01/2011 00:00	8.35	8.46	8.286	8.382	343016	EUR	
07/01/2011 00:00	8.42	8.526	8.33	8.331	361216	EUR	
10/01/2011 00:00	8.33	8.33	8.062	8.15	408074	EUR	
11/01/2011 00:00	8.199	8.199	8.12	8.15	598783	EUR	
12/01/2011 00:00	8.175	8.25	8.12	8.167	857118	EUR	
13/01/2011 00:00	8.168	8.175	8.071	8.078	601146	EUR	
14/01/2011 00:00	8.055	8.14	7.893	7.999	723943	EUR	
17/01/2011 00:00	8.048	8.2	8.022	8.131	416326	EUR	
18/01/2011 00:00	8.158	8.44	8.134	8.238	812649	EUR	
19/01/2011 00:00	8.273	8.294	8.121	8.204	432088	EUR	
20/01/2011 00:00	8.154	8.3	8.05	8.188	475293	EUR	
21/01/2011 00:00	8.2	8.269	8.19	8.23	285102	EUR	
24/01/2011 00:00	8.219	8.231	8.135	8.16	263769	EUR	
25/01/2011 00:00	8.2	8.2	7.966	7.968	495247	EUR	
26/01/2011 00:00	8.099	8.435	8.05	8.425	764824	EUR	
27/01/2011 00:00	8.435	8.734	8.35	8.668	788505	EUR	
28/01/2011 00:00	8.66	8.7	8.5	8.596	622081	EUR	
31/01/2011 00:00	8.534	8.595	8.361	8.571	379128	EUR	
01/02/2011 00:00	8.619	8.692	8.46	8.679	430073	EUR	
02/02/2011 00:00	8.77	9.24	8.724	9.2	1126279	EUR	
03/02/2011 00:00	9.15	9.25	8.88	8.927	755107	EUR	
04/02/2011 00:00	8.82	8.98	8.662	8.884	901973	EUR	
07/02/2011 00:00	8.817	9.133	8.802	9.122	891386	EUR	
08/02/2011 00:00	9.131	9.24	8.945	8.95	766592	EUR	
09/02/2011 00:00	8.981	9.089	8.902	8.968	374815	EUR	
10/02/2011 00:00	8.93	8.975	8.708	8.86	380606	EUR	
11/02/2011 00:00	8.892	9.1	8.76	9.069	595538	EUR	
14/02/2011 00:00	9.1	9.219	9.07	9.08	617742	EUR	
15/02/2011 00:00	9.38	9.431	8.432	8.486	3121536	EUR	
16/02/2011 00:00	8.491	8.628	8.41	8.5	907539	EUR	
17/02/2011 00:00	8.548	8.58	8.4	8.555	524326	EUR	
18/02/2011 00:00	8.55	8.579	8.45	8.511	720636	EUR	
21/02/2011 00:00	8.483	8.547	8.295	8.295	496824	EUR	
22/02/2011 00:00	8.25	8.26	7.99	8.093	790608	EUR	
23/02/2011 00:00	8.052	8.278	8.03	8.031	497933	EUR	
24/02/2011 00:00	8.001	8.05	7.78	7.807	743390	EUR	
25/02/2011 00:00	7.852	7.96	7.826	7.93	485036	EUR	
28/02/2011 00:00	7.953	8.085	7.931	8.024	413730	EUR	
01/03/2011 00:00	8.057	8.069	7.8	7.805	522741	EUR	
02/03/2011 00:00	7.77	7.795	7.63	7.734	521378	EUR	
03/03/2011 00:00	7.8	7.82	7.688	7.754	258319	EUR	
04/03/2011 00:00	7.8	7.94	7.681	7.73	434828	EUR	
07/03/2011 00:00	7.721	8.03	7.65	7.949	618946	EUR	
08/03/2011 00:00	7.951	8.007	7.803	7.878	413990	EUR	
09/03/2011 00:00	7.88	7.924	7.76	7.771	321568	EUR	
10/03/2011 00:00	7.69	7.829	7.48	7.51	929013	EUR	
