date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	0.71	0.73	0.7	0.7	42840	EUR	
11/11/2010 00:00	0.682	0.7	0.682	0.7	3500	EUR	
12/11/2010 00:00	0.681	0.723	0.659	0.723	4290	EUR	
15/11/2010 00:00	0.684	0.723	0.684	0.723	10000	EUR	
16/11/2010 00:00	0.721	0.721	0.685	0.719	5390	EUR	
17/11/2010 00:00	0.684	0.722	0.684	0.685	1030	EUR	
18/11/2010 00:00	0.683	0.709	0.665	0.666	8510	EUR	
19/11/2010 00:00	0.668	0.694	0.661	0.661	17380	EUR	
22/11/2010 00:00	0.661	0.689	0.657	0.685	27710	EUR	
23/11/2010 00:00	0.661	0.661	0.661	0.661	110	EUR	
24/11/2010 00:00	0.661	0.661	0.661	0.661	3200	EUR	
25/11/2010 00:00	0.66	0.682	0.655	0.655	14370	EUR	
26/11/2010 00:00	0.655	0.679	0.601	0.679	18000	EUR	
29/11/2010 00:00	0.612	0.65	0.612	0.65	6710	EUR	
30/11/2010 00:00	0.621	0.63	0.61	0.625	27740	EUR	
01/12/2010 00:00	0.638	0.646	0.601	0.646	31470	EUR	
02/12/2010 00:00	0.646	0.69	0.64	0.69	28180	EUR	
03/12/2010 00:00	0.64	0.689	0.64	0.689	300	EUR	
06/12/2010 00:00	0.64	0.679	0.64	0.679	5190	EUR	
07/12/2010 00:00	0.64	0.679	0.612	0.679	6320	EUR	
08/12/2010 00:00	0.66	0.669	0.66	0.669	4380	EUR	
09/12/2010 00:00	0.66	0.685	0.66	0.685	36240	EUR	
10/12/2010 00:00	0.685	0.7	0.685	0.7	27980	EUR	
13/12/2010 00:00	0.67	0.719	0.67	0.718	4680	EUR	
14/12/2010 00:00	0.671	0.715	0.671	0.7	4510	EUR	
15/12/2010 00:00	0.675	0.717	0.675	0.717	9160	EUR	
16/12/2010 00:00	0.68	0.71	0.68	0.71	8170	EUR	
17/12/2010 00:00	0.717	0.718	0.687	0.699	18890	EUR	
20/12/2010 00:00	0.687	0.715	0.687	0.69	11770	EUR	
21/12/2010 00:00	0.687	0.715	0.685	0.711	15370	EUR	
22/12/2010 00:00	0.686	0.7	0.686	0.7	8180	EUR	
23/12/2010 00:00	0.7	0.719	0.7	0.701	21220	EUR	
24/12/2010 00:00	0.7	0.718	0.7	0.706	15030	EUR	
27/12/2010 00:00	0.718	0.718	0.701	0.701	7340	EUR	
28/12/2010 00:00	0.701	0.719	0.701	0.701	3160	EUR	
29/12/2010 00:00	0.7	0.7	0.7	0.7	4790	EUR	
30/12/2010 00:00	0.7	0.715	0.686	0.686	14480	EUR	
31/12/2010 00:00	0.686	0.686	0.686	0.686	3610	EUR	
03/01/2011 00:00	0.7	0.724	0.7	0.72	2900	EUR	
04/01/2011 00:00	0.666	0.718	0.666	0.718	3030	EUR	
05/01/2011 00:00	0.673	0.719	0.673	0.719	3740	EUR	
06/01/2011 00:00	0.68	0.715	0.678	0.715	13260	EUR	
07/01/2011 00:00	0.714	0.717	0.714	0.717	2820	EUR	
10/01/2011 00:00	0.681	0.716	0.681	0.716	6810	EUR	
11/01/2011 00:00	0.713	0.713	0.683	0.683	6840	EUR	
12/01/2011 00:00	0.685	0.712	0.685	0.712	9330	EUR	
13/01/2011 00:00	0.686	0.714	0.685	0.714	7740	EUR	
14/01/2011 00:00	0.684	0.714	0.684	0.714	6000	EUR	
17/01/2011 00:00	0.7	0.714	0.685	0.714	7810	EUR	
18/01/2011 00:00	0.688	0.709	0.688	0.709	6350	EUR	
19/01/2011 00:00	0.687	0.709	0.686	0.708	13330	EUR	
20/01/2011 00:00	0.686	0.708	0.686	0.708	4050	EUR	
21/01/2011 00:00	0.689	0.708	0.686	0.7	3470	EUR	
24/01/2011 00:00	0.686	0.708	0.686	0.708	2310	EUR	
25/01/2011 00:00	0.7	0.708	0.686	0.686	4270	EUR	
26/01/2011 00:00	0.686	0.695	0.686	0.695	2460	EUR	
27/01/2011 00:00	0.69	0.695	0.686	0.686	17010	EUR	
28/01/2011 00:00	0.685	0.708	0.685	0.686	8780	EUR	
31/01/2011 00:00	0.708	0.715	0.701	0.701	23220	EUR	
01/02/2011 00:00	0.685	0.724	0.67	0.722	20260	EUR	
02/02/2011 00:00	0.681	0.747	0.681	0.703	19290	EUR	
03/02/2011 00:00	0.703	0.706	0.703	0.706	5550	EUR	
04/02/2011 00:00	0.74	0.744	0.725	0.74	23140	EUR	
07/02/2011 00:00	0.709	0.737	0.709	0.71	24210	EUR	
08/02/2011 00:00	0.72	0.736	0.706	0.709	14740	EUR	
09/02/2011 00:00	0.711	0.728	0.71	0.728	9740	EUR	
10/02/2011 00:00	0.711	0.745	0.71	0.745	59400	EUR	
11/02/2011 00:00	0.712	0.74	0.712	0.713	1070	EUR	
14/02/2011 00:00	0.706	0.748	0.706	0.721	3430	EUR	
15/02/2011 00:00	0.706	0.74	0.706	0.708	16830	EUR	
16/02/2011 00:00	0.706	0.709	0.706	0.709	17060	EUR	
17/02/2011 00:00	0.706	0.729	0.685	0.729	33480	EUR	
18/02/2011 00:00	0.7	0.7	0.7	0.7	11870	EUR	
21/02/2011 00:00	0.691	0.71	0.691	0.692	4310	EUR	
22/02/2011 00:00	0.691	0.691	0.69	0.69	11190	EUR	
23/02/2011 00:00	0.691	0.691	0.69	0.69	9250	EUR	
24/02/2011 00:00	0.689	0.689	0.685	0.685	36260	EUR	
25/02/2011 00:00	0.69	0.69	0.686	0.686	2400	EUR	
28/02/2011 00:00	0.686	0.686	0.686	0.686	3330	EUR	
01/03/2011 00:00	0.685	0.719	0.685	0.719	8520	EUR	
02/03/2011 00:00	0.7	0.71	0.7	0.71	5770	EUR	
03/03/2011 00:00	0.7	0.7	0.686	0.686	3930	EUR	
04/03/2011 00:00	0.685	0.686	0.685	0.686	420	EUR	
07/03/2011 00:00	0.686	0.686	0.686	0.686	370	EUR	
08/03/2011 00:00	0.686	0.686	0.686	0.686	650	EUR	
09/03/2011 00:00	0.686	0.686	0.686	0.686	440	EUR	
