date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	1.34	1.38	1.29	1.36	72040	EUR	
11/11/2010 00:00	1.38	1.38	1.33	1.35	5121	EUR	
12/11/2010 00:00	1.33	1.38	1.32	1.37	49428	EUR	
15/11/2010 00:00	1.37	1.37	1.31	1.34	46283	EUR	
16/11/2010 00:00	1.32	1.35	1.3	1.33	31300	EUR	
17/11/2010 00:00	1.33	1.33	1.3	1.31	19237	EUR	
18/11/2010 00:00	1.3	1.34	1.3	1.33	12901	EUR	
19/11/2010 00:00	1.34	1.34	1.3	1.33	15898	EUR	
22/11/2010 00:00	1.34	1.34	1.29	1.33	17769	EUR	
23/11/2010 00:00	1.29	1.29	1.29	1.29	9439	EUR	
24/11/2010 00:00	1.32	1.32	1.29	1.31	9526	EUR	
25/11/2010 00:00	1.3	1.33	1.29	1.32	7415	EUR	
26/11/2010 00:00	1.33	1.33	1.29	1.31	6795	EUR	
29/11/2010 00:00	1.3	1.32	1.29	1.29	8918	EUR	
30/11/2010 00:00	1.33	1.33	1.24	1.29	45077	EUR	
01/12/2010 00:00	1.25	1.3	1.25	1.29	7830	EUR	
02/12/2010 00:00	1.29	1.3	1.25	1.3	1948	EUR	
03/12/2010 00:00	1.3	1.3	1.25	1.28	13190	EUR	
06/12/2010 00:00	1.24	1.3	1.24	1.28	16306	EUR	
07/12/2010 00:00	1.24	1.27	1.24	1.27	52587	EUR	
08/12/2010 00:00	1.27	1.27	1.26	1.26	1001	EUR	
09/12/2010 00:00	1.24	1.25	1.22	1.25	34041	EUR	
10/12/2010 00:00	1.25	1.25	1.23	1.23	1751	EUR	
13/12/2010 00:00	1.23	1.27	1.23	1.27	17977	EUR	
14/12/2010 00:00	1.27	1.27	1.25	1.27	2500	EUR	
15/12/2010 00:00	1.27	1.27	1.24	1.25	11827	EUR	
16/12/2010 00:00	1.25	1.25	1.2	1.2	22524	EUR	
17/12/2010 00:00	1.2	1.22	1.15	1.21	76954	EUR	
20/12/2010 00:00	1.19	1.23	1.18	1.22	14569	EUR	
21/12/2010 00:00	1.23	1.23	1.19	1.21	5347	EUR	
