date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	3.962	3.962	3.762	3.81	61374	EUR	
11/11/2010 00:00	3.81	3.81	3.743	3.81	33754	EUR	
12/11/2010 00:00	3.81	3.81	3.752	3.81	14777	EUR	
15/11/2010 00:00	3.81	3.81	3.771	3.81	6787	EUR	
16/11/2010 00:00	3.81	4.19	3.781	4.105	64123	EUR	
17/11/2010 00:00	4.067	4.067	3.886	4	22830	EUR	
18/11/2010 00:00	4.057	4.095	3.924	3.981	11834	EUR	
19/11/2010 00:00	3.981	3.981	3.895	3.933	9010	EUR	
22/11/2010 00:00	3.933	3.933	3.81	3.886	22821	EUR	
23/11/2010 00:00	3.886	3.886	3.81	3.876	5159	EUR	
24/11/2010 00:00	3.876	3.876	3.8	3.848	10581	EUR	
25/11/2010 00:00	3.848	3.848	3.79	3.81	6974	EUR	
26/11/2010 00:00	3.848	3.886	3.8	3.867	10080	EUR	
29/11/2010 00:00	3.867	3.867	3.781	3.829	8067	EUR	
30/11/2010 00:00	3.829	3.838	3.771	3.848	5458	EUR	
01/12/2010 00:00	3.867	3.867	3.8	3.848	4169	EUR	
02/12/2010 00:00	3.819	3.848	3.771	3.781	8577	EUR	
03/12/2010 00:00	3.81	3.81	3.771	3.81	4986	EUR	
06/12/2010 00:00	3.81	3.819	3.771	3.8	9758	EUR	
07/12/2010 00:00	3.771	3.79	3.743	3.743	11066	EUR	
08/12/2010 00:00	3.8	3.8	3.743	3.752	7941	EUR	
09/12/2010 00:00	3.8	3.81	3.733	3.771	17388	EUR	
10/12/2010 00:00	3.771	3.81	3.762	3.8	2605	EUR	
13/12/2010 00:00	3.81	3.81	3.771	3.81	9416	EUR	
14/12/2010 00:00	3.781	3.81	3.771	3.8	6564	EUR	
15/12/2010 00:00	3.8	3.8	3.762	3.8	7096	EUR	
16/12/2010 00:00	3.79	3.8	3.743	3.781	5247	EUR	
17/12/2010 00:00	3.762	3.781	3.743	3.743	4333	EUR	
20/12/2010 00:00	3.743	3.752	3.714	3.752	10529	EUR	
21/12/2010 00:00	3.762	3.762	3.657	3.714	16044	EUR	
22/12/2010 00:00	3.714	3.714	3.667	3.695	4030	EUR	
23/12/2010 00:00	3.705	3.743	3.657	3.695	13306	EUR	
24/12/2010 00:00	3.695	3.695	3.648	3.648	868	EUR	
27/12/2010 00:00	3.667	3.695	3.648	3.648	7301	EUR	
28/12/2010 00:00	3.648	3.714	3.648	3.667	11134	EUR	
29/12/2010 00:00	3.676	3.705	3.667	3.695	9629	EUR	
30/12/2010 00:00	3.695	3.695	3.667	3.676	5564	EUR	
31/12/2010 00:00	3.686	3.695	3.657	3.686	6362	EUR	
03/01/2011 00:00	3.686	3.705	3.648	3.705	4935	EUR	
04/01/2011 00:00	3.714	4	3.714	3.943	34755	EUR	
05/01/2011 00:00	3.943	3.943	3.886	3.943	3789	EUR	
06/01/2011 00:00	3.962	4.019	3.895	4	17956	EUR	
07/01/2011 00:00	4.019	4.019	3.924	3.971	5420	EUR	
10/01/2011 00:00	4.029	4.029	3.924	3.962	34103	EUR	
11/01/2011 00:00	3.981	3.981	3.924	3.924	8206	EUR	
12/01/2011 00:00	3.924	3.924	3.762	3.829	8209	EUR	
13/01/2011 00:00	3.829	3.895	3.829	3.838	2144	EUR	
14/01/2011 00:00	3.838	3.876	3.838	3.857	503	EUR	
17/01/2011 00:00	3.895	3.924	3.867	3.867	7203	EUR	
18/01/2011 00:00	3.867	3.905	3.867	3.905	2092	EUR	
19/01/2011 00:00	3.905	3.924	3.857	3.924	8734	EUR	
20/01/2011 00:00	3.905	3.924	3.857	3.914	9549	EUR	
21/01/2011 00:00	3.924	3.943	3.914	3.933	5960	EUR	
24/01/2011 00:00	3.952	3.962	3.924	3.962	4015	EUR	
25/01/2011 00:00	3.962	4.695	3.943	4.638	154992	EUR	
26/01/2011 00:00	4.638	4.686	4.41	4.552	91790	EUR	
27/01/2011 00:00	4.562	5.01	4.562	4.857	135032	EUR	
28/01/2011 00:00	4.914	4.933	4.667	4.752	85909	EUR	
31/01/2011 00:00	4.705	4.819	4.619	4.676	28398	EUR	
01/02/2011 00:00	4.752	4.8	4.667	4.714	21107	EUR	
02/02/2011 00:00	4.714	4.79	4.667	4.762	11731	EUR	
03/02/2011 00:00	4.8	4.8	4.676	4.724	6962	EUR	
04/02/2011 00:00	4.771	4.781	4.733	4.733	9818	EUR	
07/02/2011 00:00	4.762	4.762	4.676	4.743	16497	EUR	
08/02/2011 00:00	4.733	4.743	4.648	4.648	14733	EUR	
09/02/2011 00:00	4.657	4.743	4.657	4.733	8409	EUR	
10/02/2011 00:00	4.724	4.724	4.619	4.619	16674	EUR	
11/02/2011 00:00	4.629	4.714	4.629	4.714	6012	EUR	
14/02/2011 00:00	4.714	4.733	4.667	4.695	16237	EUR	
15/02/2011 00:00	4.695	4.705	4.6	4.667	7324	EUR	
16/02/2011 00:00	4.705	4.705	4.581	4.638	13966	EUR	
17/02/2011 00:00	4.667	4.667	4.571	4.59	8159	EUR	
18/02/2011 00:00	4.6	4.6	4.562	4.571	7930	EUR	
21/02/2011 00:00	4.638	4.648	4.571	4.619	5686	EUR	
22/02/2011 00:00	4.571	4.571	4.467	4.467	11599	EUR	
23/02/2011 00:00	4.419	4.657	4.4	4.571	10019	EUR	
24/02/2011 00:00	4.59	4.781	4.571	4.771	23255	EUR	
25/02/2011 00:00	4.79	5.143	4.59	4.724	120591	EUR	
28/02/2011 00:00	4.752	4.752	4.4	4.457	40542	EUR	
01/03/2011 00:00	4.505	4.505	4.095	4.286	36898	EUR	
02/03/2011 00:00	4.286	4.562	4.238	4.476	10863	EUR	
03/03/2011 00:00	4.467	4.505	4.41	4.476	4020	EUR	
04/03/2011 00:00	4.476	4.505	4.476	4.486	2249	EUR	
07/03/2011 00:00	4.505	4.505	4.41	4.457	4150	EUR	
08/03/2011 00:00	4.495	4.495	4.457	4.486	2103	EUR	
09/03/2011 00:00	4.457	4.457	4.381	4.381	5005	EUR	
10/03/2011 00:00	4.381	4.41	4.305	4.362	4379	EUR	
11/03/2011 00:00	4.343	4.362	4.286	4.295	4782	EUR	
14/03/2011 00:00	4.286	4.667	4.286	4.448	42019	EUR	
15/03/2011 00:00	4.486	5.048	4.476	4.8	146324	EUR	
16/03/2011 00:00	4.905	4.905	4.752	4.733	42971	EUR	
17/03/2011 00:00	4.771	4.771	4.524	4.724	41056	EUR	
18/03/2011 00:00	4.667	4.743	4.505	4.743	30367	EUR	
21/03/2011 00:00	4.762	4.762	4.686	4.752	17696	EUR	
22/03/2011 00:00	4.752	4.752	4.638	4.705	4109	EUR	
23/03/2011 00:00	4.705	4.752	4.705	4.752	4300	EUR	
24/03/2011 00:00	4.752	4.752	4.667	4.733	6947	EUR	
25/03/2011 00:00	4.733	4.733	4.6	4.638	10060	EUR	
28/03/2011 00:00	4.61	4.762	4.61	4.762	13546	EUR	
29/03/2011 00:00	4.762	4.762	4.743	4.743	14087	EUR	
30/03/2011 00:00	4.762	4.762	4.676	4.762	15973	EUR	
31/03/2011 00:00	4.762	4.762	4.676	4.676	6743	EUR	
01/04/2011 00:00	4.743	4.762	4.667	4.695	5871	EUR	
04/04/2011 00:00	4.762	4.762	4.705	4.724	16696	EUR	
05/04/2011 00:00	4.724	4.762	4.714	4.714	7398	EUR	
06/04/2011 00:00	4.743	4.876	4.714	4.743	53111	EUR	
07/04/2011 00:00	4.752	4.838	4.752	4.81	6065	EUR	
08/04/2011 00:00	4.848	4.857	4.762	4.848	30154	EUR	
11/04/2011 00:00	4.848	4.914	4.762	4.914	29322	EUR	
12/04/2011 00:00	4.914	4.952	4.8	4.867	18949	EUR	
13/04/2011 00:00	4.724	4.724	4.724	4.724	0	EUR	
15/04/2011 00:00	4.438	5.124	4.438	5.057	269378	EUR	
18/04/2011 00:00	5.086	5.086	4.762	4.876	38619	EUR	
19/04/2011 00:00	4.857	4.943	4.752	4.905	25423	EUR	
20/04/2011 00:00	4.933	4.99	4.781	4.895	15034	EUR	
21/04/2011 00:00	4.952	4.952	4.714	4.771	11994	EUR	
26/04/2011 00:00	4.867	4.952	4.857	4.867	19130	EUR	
27/04/2011 00:00	4.905	4.933	4.829	4.857	28997	EUR	
28/04/2011 00:00	4.857	4.857	4.838	4.857	3980	EUR	
29/04/2011 00:00	4.857	4.857	4.771	4.829	7468	EUR	
02/05/2011 00:00	4.829	4.857	4.771	4.848	4229	EUR	
03/05/2011 00:00	4.848	4.895	4.762	4.762	9839	EUR	
04/05/2011 00:00	4.762	4.762	4.724	4.752	5558	EUR	
05/05/2011 00:00	4.752	4.762	4.733	4.762	4965	EUR	
06/05/2011 00:00	4.762	4.762	4.724	4.752	5590	EUR	
09/05/2011 00:00	4.771	4.781	4.676	4.686	11436	EUR	
10/05/2011 00:00	4.686	4.762	4.686	4.733	5859	EUR	
11/05/2011 00:00	4.733	4.762	4.695	4.762	2264	EUR	
12/05/2011 00:00	4.762	4.79	4.714	4.781	4854	EUR	
13/05/2011 00:00	4.8	4.81	4.714	4.752	4472	EUR	
16/05/2011 00:00	4.686	4.714	4.676	4.695	14087	EUR	
