date	ouv	haut	bas	clot	vol	devise	
21/02/2012 00:00	8.445	8.659	8.315	8.37	297404	EUR	
22/02/2012 00:00	8.529	8.566	8.109	8.389	242285	EUR	
23/02/2012 00:00	8.389	8.548	8.342	8.398	244692	EUR	
24/02/2012 00:00	8.436	8.492	8.398	8.482	66786	EUR	
27/02/2012 00:00	8.529	8.631	8.529	8.631	124160	EUR	
28/02/2012 00:00	8.631	9.135	8.622	8.809	261435	EUR	
29/02/2012 00:00	8.948	9.042	8.809	9.042	107337	EUR	
01/03/2012 00:00	9.228	9.247	9.014	9.247	74339	EUR	
02/03/2012 00:00	9.256	9.256	9.125	9.237	161973	EUR	
05/03/2012 00:00	9.135	9.135	8.855	8.855	26935	EUR	
06/03/2012 00:00	8.995	8.995	8.482	8.725	90059	EUR	
07/03/2012 00:00	8.697	8.697	7.998	8.231	118161	EUR	
08/03/2012 00:00	8.389	9.181	8.249	8.576	148698	EUR	
09/03/2012 00:00	8.641	8.743	8.576	8.641	45007	EUR	
12/03/2012 00:00	8.809	8.902	8.725	8.902	34720	EUR	
13/03/2012 00:00	8.902	8.902	8.762	8.855	8437	EUR	
14/03/2012 00:00	8.902	8.902	8.799	8.874	12251	EUR	
15/03/2012 00:00	8.892	8.995	8.892	8.911	17060	EUR	
16/03/2012 00:00	8.911	9.032	8.911	8.92	21132	EUR	
19/03/2012 00:00	9.042	9.247	8.939	9.247	49231	EUR	
20/03/2012 00:00	9.256	9.312	8.902	8.911	43314	EUR	
21/03/2012 00:00	9.042	9.107	8.911	8.948	27744	EUR	
22/03/2012 00:00	8.948	8.948	8.65	8.762	43991	EUR	
23/03/2012 00:00	8.762	8.762	8.52	8.52	27686	EUR	
26/03/2012 00:00	8.51	8.529	8.212	8.212	46999	EUR	
27/03/2012 00:00	8.212	8.482	8.165	8.342	75702	EUR	
28/03/2012 00:00	8.305	8.389	8.296	8.296	37474	EUR	
29/03/2012 00:00	8.296	8.762	8.296	8.445	19676	EUR	
30/03/2012 00:00	8.454	8.454	8.296	8.454	17738	EUR	
02/04/2012 00:00	8.576	8.576	7.839	7.839	207567	EUR	
03/04/2012 00:00	7.811	8.1	7.737	7.783	88985	EUR	
04/04/2012 00:00	7.783	7.783	6.618	6.721	195726	EUR	
05/04/2012 00:00	6.795	6.944	5.788	6.283	210899	EUR	
10/04/2012 00:00	6.478	6.618	6.245	6.245	133571	EUR	
11/04/2012 00:00	6.432	6.571	6.227	6.245	88286	EUR	
12/04/2012 00:00	6.292	6.338	6.096	6.152	19715	EUR	
13/04/2012 00:00	6.059	6.152	5.872	6.012	18916	EUR	
16/04/2012 00:00	5.872	6.059	5.555	5.593	71088	EUR	
17/04/2012 00:00	5.686	5.779	5.621	5.733	93052	EUR	
18/04/2012 00:00	5.733	5.779	5.649	5.779	3715	EUR	
19/04/2012 00:00	5.779	5.779	5.593	5.677	15363	EUR	
20/04/2012 00:00	5.593	5.593	5.22	5.388	32096	EUR	
23/04/2012 00:00	5.434	5.593	5.248	5.36	80176	EUR	
24/04/2012 00:00	5.313	5.313	5.033	5.08	38449	EUR	
25/04/2012 00:00	5.08	5.22	4.94	5.145	41437	EUR	
26/04/2012 00:00	5.127	5.229	5.033	5.033	25160	EUR	
27/04/2012 00:00	5.033	5.08	4.707	4.847	38612	EUR	
30/04/2012 00:00	4.931	5.033	4.8	5.015	8223	EUR	
02/05/2012 00:00	5.127	5.36	5.127	5.285	18238	EUR	
03/05/2012 00:00	5.229	5.313	5.173	5.313	18670	EUR	
04/05/2012 00:00	5.313	5.406	5.313	5.406	5472	EUR	
07/05/2012 00:00	5.593	5.593	5.313	5.49	6662	EUR	
08/05/2012 00:00	5.444	5.444	5.266	5.313	4600	EUR	
09/05/2012 00:00	5.313	5.313	5.136	5.183	23606	EUR	
10/05/2012 00:00	5.173	5.22	5.071	5.183	41395	EUR	
11/05/2012 00:00	5.183	5.183	4.847	4.856	11891	EUR	
14/05/2012 00:00	4.847	4.912	4.67	4.679	8755	EUR	
15/05/2012 00:00	4.679	4.717	3.924	4.083	44207	EUR	
16/05/2012 00:00	4.148	4.567	3.896	4.195	359217	EUR	
17/05/2012 00:00	4.195	4.195	3.822	3.896	40629	EUR	
18/05/2012 00:00	3.896	3.906	3.775	3.896	13840	EUR	
21/05/2012 00:00	3.896	3.896	3.803	3.803	13630	EUR	
22/05/2012 00:00	3.868	4.418	3.859	4.381	33593	EUR	
23/05/2012 00:00	4.381	4.567	4.381	4.567	14413	EUR	
24/05/2012 00:00	4.567	4.567	4.334	4.474	9494	EUR	
25/05/2012 00:00	4.474	4.567	4.437	4.474	8527	EUR	
28/05/2012 00:00	4.381	4.381	2.89	3.169	143670	EUR	
29/05/2012 00:00	3.16	3.179	3.001	3.141	16335	EUR	
30/05/2012 00:00	3.141	3.16	2.908	2.936	19037	EUR	
31/05/2012 00:00	2.918	2.992	2.629	2.936	31469	EUR	
01/06/2012 00:00	2.806	3.057	2.806	2.946	54595	EUR	
04/06/2012 00:00	2.964	3.02	2.824	2.946	12782	EUR	
05/06/2012 00:00	2.973	3.216	2.973	3.057	12312	EUR	
06/06/2012 00:00	3.067	3.281	3.067	3.16	22706	EUR	
07/06/2012 00:00	3.16	3.16	3.076	3.076	8603	EUR	
08/06/2012 00:00	3.076	3.076	2.955	3.057	24465	EUR	
11/06/2012 00:00	3.057	3.113	3.029	3.057	5121	EUR	
12/06/2012 00:00	3.067	3.067	2.843	2.927	14992	EUR	
13/06/2012 00:00	2.89	2.89	2.75	2.75	49694	EUR	
14/06/2012 00:00	2.75	2.75	2.358	2.563	37622	EUR	
15/06/2012 00:00	2.657	2.843	2.657	2.843	30152	EUR	
18/06/2012 00:00	2.89	2.936	2.554	2.554	23946	EUR	
19/06/2012 00:00	2.657	2.657	2.507	2.507	42357	EUR	
20/06/2012 00:00	2.563	2.563	2.461	2.461	19939	EUR	
21/06/2012 00:00	2.619	2.703	2.573	2.573	21216	EUR	
22/06/2012 00:00	2.563	2.582	2.489	2.554	33173	EUR	
25/06/2012 00:00	2.582	2.601	2.498	2.591	20060	EUR	
26/06/2012 00:00	2.591	2.591	2.517	2.526	2344	EUR	
27/06/2012 00:00	2.526	2.554	2.442	2.442	30540	EUR	
28/06/2012 00:00	2.563	2.908	2.479	2.778	378750	EUR	
29/06/2012 00:00	2.778	2.88	2.517	2.768	84644	EUR	
02/07/2012 00:00	3.16	3.16	2.834	2.936	35579	EUR	
03/07/2012 00:00	2.983	2.983	2.908	2.908	8641	EUR	
04/07/2012 00:00	2.908	2.936	2.796	2.89	18842	EUR	
05/07/2012 00:00	2.936	3.02	2.88	2.983	27388	EUR	
06/07/2012 00:00	3.02	3.169	2.936	2.983	44437	EUR	
09/07/2012 00:00	3.029	3.029	2.852	2.936	73834	EUR	
10/07/2012 00:00	2.973	2.973	2.852	2.908	9015	EUR	
11/07/2012 00:00	2.918	2.918	2.75	2.796	25432	EUR	
12/07/2012 00:00	2.796	2.796	2.75	2.75	5127	EUR	
13/07/2012 00:00	2.75	2.796	2.685	2.796	20990	EUR	
16/07/2012 00:00	2.75	2.796	2.703	2.796	7766	EUR	
17/07/2012 00:00	2.796	2.936	2.712	2.936	36732	EUR	
18/07/2012 00:00	2.936	3.02	2.908	2.983	42468	EUR	
19/07/2012 00:00	2.973	3.011	2.936	2.946	59513	EUR	
20/07/2012 00:00	2.983	3.067	2.955	2.964	63466	EUR	
23/07/2012 00:00	2.992	2.992	2.843	2.852	11830	EUR	
24/07/2012 00:00	2.843	2.862	2.75	2.75	9749	EUR	
25/07/2012 00:00	2.75	2.778	2.712	2.778	19028	EUR	
26/07/2012 00:00	2.759	2.806	2.731	2.75	56186	EUR	
27/07/2012 00:00	2.759	2.815	2.666	2.666	23113	EUR	
30/07/2012 00:00	2.703	2.815	2.563	2.563	49779	EUR	
31/07/2012 00:00	2.563	2.657	2.535	2.563	31897	EUR	
01/08/2012 00:00	2.573	2.685	2.563	2.685	35295	EUR	
02/08/2012 00:00	2.657	2.685	2.535	2.535	26096	EUR	
03/08/2012 00:00	2.424	2.47	2.246	2.358	38621	EUR	
06/08/2012 00:00	2.377	2.517	2.312	2.405	47963	EUR	
07/08/2012 00:00	2.34	2.424	2.284	2.312	36794	EUR	
08/08/2012 00:00	2.312	2.47	2.312	2.386	42982	EUR	
09/08/2012 00:00	2.424	2.433	2.386	2.405	22760	EUR	
10/08/2012 00:00	2.424	2.433	2.386	2.396	32252	EUR	
13/08/2012 00:00	2.424	2.424	2.33	2.386	19538	EUR	
14/08/2012 00:00	2.34	2.424	2.34	2.424	5553	EUR	
15/08/2012 00:00	2.405	2.47	2.405	2.424	4658	EUR	
16/08/2012 00:00	2.433	2.517	2.424	2.451	3268	EUR	
17/08/2012 00:00	2.479	2.479	2.461	2.461	2326	EUR	
20/08/2012 00:00	2.517	2.629	2.517	2.535	20495	EUR	
21/08/2012 00:00	2.517	2.601	2.489	2.489	49911	EUR	
22/08/2012 00:00	2.489	2.554	2.461	2.479	9107	EUR	
23/08/2012 00:00	2.479	2.507	2.47	2.498	3542	EUR	
24/08/2012 00:00	2.507	2.507	2.451	2.47	1738	EUR	
27/08/2012 00:00	2.424	2.47	2.424	2.433	6001	EUR	
28/08/2012 00:00	2.433	2.47	2.433	2.47	2357	EUR	
29/08/2012 00:00	2.47	2.507	2.386	2.461	9592	EUR	
30/08/2012 00:00	2.461	2.461	2.424	2.442	21154	EUR	
31/08/2012 00:00	2.424	2.442	2.386	2.442	3848	EUR	
03/09/2012 00:00	2.424	2.424	2.405	2.405	6542	EUR	
04/09/2012 00:00	2.405	2.405	2.386	2.405	32101	EUR	
05/09/2012 00:00	2.405	2.405	2.312	2.349	9904	EUR	
06/09/2012 00:00	2.349	2.349	2.312	2.349	3038	EUR	
07/09/2012 00:00	2.349	2.349	2.33	2.349	22495	EUR	
