date	ouv	haut	bas	clot	vol	devise	
03/10/2019 00:00	21.5	25.4	19.5	23.41	1588181	USD	
04/10/2019 00:00	23	24.25	22.01	23.12	323077	USD	
07/10/2019 00:00	23.09	23.42	21.04	21.74	448031	USD	
08/10/2019 00:00	21.74	22.445	20.76	21.05	298758	USD	
09/10/2019 00:00	21.2	21.81	18.2	19.11	710195	USD	
10/10/2019 00:00	19.1	19.54	18.49	18.75	249173	USD	
11/10/2019 00:00	19.26	19.67	18.48	19.2	131438	USD	
14/10/2019 00:00	19.12	19.36	18.51	18.75	118804	USD	
15/10/2019 00:00	18.68	20.123	18.59	19.85	79407	USD	
16/10/2019 00:00	19.71	21.36	19.61	20.74	104709	USD	
17/10/2019 00:00	20.74	21.69	20.205	20.57	40993	USD	
18/10/2019 00:00	20.62	21.331	20.13	20.87	18110	USD	
21/10/2019 00:00	20.68	21.44	20.25	20.3	75461	USD	
22/10/2019 00:00	20.05	21.44	19.59	19.99	40067	USD	
23/10/2019 00:00	19.67	20.49	19.19	19.37	53508	USD	
24/10/2019 00:00	19.15	20.36	19.01	19.65	79859	USD	
25/10/2019 00:00	19.63	20.98	19.397	20.52	55096	USD	
28/10/2019 00:00	20.94	21.95	20.67	21.57	72504	USD	
29/10/2019 00:00	21.4	22.45	21.25	22.11	27821	USD	
30/10/2019 00:00	21.79	22.68	21.75	22.31	10929	USD	
31/10/2019 00:00	22.62	24.56	20.57	21.75	39836	USD	
01/11/2019 00:00	21.56	23.33	19.6	22.54	19734	USD	
04/11/2019 00:00	22.7	24.75	22.7	23.63	98463	USD	
05/11/2019 00:00	23.66	24.55	23.62	24.13	66399	USD	
06/11/2019 00:00	24.4	26.74	23.75	25.08	103922	USD	
07/11/2019 00:00	24.97	27.985	24.46	26.99	84490	USD	
08/11/2019 00:00	26.88	33.43	26.88	33	90504	USD	
11/11/2019 00:00	33.3	33.68	32.5	32.9	97182	USD	
12/11/2019 00:00	32.93	33.425	31.66	32.38	84446	USD	
13/11/2019 00:00	32.2	32.2	28.01	28.08	40997	USD	
14/11/2019 00:00	28.77	28.77	26.48	26.64	19546	USD	
15/11/2019 00:00	26.93	28.805	25.735	27.53	43800	USD	
18/11/2019 00:00	27.35	28.445	25.25	25.85	57974	USD	
19/11/2019 00:00	25.88	26.25	24.75	25.63	52737	USD	
20/11/2019 00:00	25.52	26.94	24.31	26.09	73907	USD	
21/11/2019 00:00	26.14	27.8	24.995	26	69096	USD	
22/11/2019 00:00	26.03	27.2	25.745	26.7	77959	USD	
25/11/2019 00:00	26.43	28	24.1	26.75	269464	USD	
26/11/2019 00:00	26.67	30.21	26.28	29.73	267199	USD	
27/11/2019 00:00	29.94	32.59	28.69	32.16	234165	USD	
29/11/2019 00:00	32.07	32.42	30.145	30.96	142938	USD	
02/12/2019 00:00	30.93	30.96	26.78	28.33	102000	USD	
03/12/2019 00:00	28.01	29.975	25.16	26	152969	USD	
04/12/2019 00:00	26.05	26.96	25.91	26.15	85807	USD	
05/12/2019 00:00	26.18	27.89	25.89	26.64	145324	USD	
06/12/2019 00:00	26.84	27.74	26.45	27.47	118009	USD	
09/12/2019 00:00	27.28	27.585	25.81	25.93	119385	USD	
10/12/2019 00:00	25.88	28.58	25.8	27.87	133706	USD	
11/12/2019 00:00	27.92	29.15	25.6	28.18	176506	USD	
12/12/2019 00:00	26.86	32	26.42	26.86	196026	USD	
13/12/2019 00:00	26.61	29.77	26.42	26.7	202989	USD	
16/12/2019 00:00	27.04	30.85	23.7	23.9	190435	USD	
17/12/2019 00:00	24.08	29.92	24.08	28.66	116026	USD	
18/12/2019 00:00	28.36	30.4	27.18	28.36	109150	USD	
19/12/2019 00:00	27.85	29.27	27.31	29	59526	USD	
20/12/2019 00:00	28.55	30.5	27.9	29.47	916618	USD	
23/12/2019 00:00	30.01	30.532	27.75	30.01	117978	USD	
24/12/2019 00:00	29.95	30.16	27.89	28.35	10392	USD	
26/12/2019 00:00	28.02	28.9	26.61	27.1	63963	USD	
27/12/2019 00:00	27.01	27.9	26.72	27.05	43074	USD	
30/12/2019 00:00	27.08	28.4	25.21	25.95	80191	USD	
31/12/2019 00:00	25.85	27.22	25.33	27.15	48846	USD	
02/01/2020 00:00	26.18	27.65	25.71	26.18	40714	USD	
03/01/2020 00:00	25.71	25.71	25.06	25.71	94292	USD	
06/01/2020 00:00	27.7	28.205	27.7	27.7	49773	USD	
07/01/2020 00:00	27.59	28.5	27.51	27.88	102370	USD	
08/01/2020 00:00	29.73	30.22	27.8	29.73	131222	USD	
09/01/2020 00:00	30.23	30.34	28.76	29.05	155018	USD	
10/01/2020 00:00	29.1	30.18	28.55	30.16	90688	USD	
13/01/2020 00:00	30.23	34.5	29.285	33.16	172575	USD	
14/01/2020 00:00	37.55	38.33	31.6	37.55	107948	USD	
15/01/2020 00:00	37.79	42.58	35.14	42.47	71015	USD	
16/01/2020 00:00	43.23	47.79	43.23	47	196671	USD	
17/01/2020 00:00	47.01	47.11	40.04	40.15	83304	USD	
21/01/2020 00:00	40	40.15	38.01	38.03	97181	USD	
22/01/2020 00:00	38	38	33.99	35.2	119681	USD	
23/01/2020 00:00	34.79	35.99	34.56	35.58	33838	USD	
24/01/2020 00:00	35.65	37.71	34.53	37.13	95733	USD	
27/01/2020 00:00	36.33	42.85	35.75	42.24	99429	USD	
28/01/2020 00:00	43.72	46.05	42.5	44.2	69322	USD	
29/01/2020 00:00	44.19	44.9	42.26	43.04	74019	USD	
30/01/2020 00:00	42.68	42.845	40	40.55	73181	USD	
31/01/2020 00:00	39.35	40.2	38.09	39.35	122707	USD	
03/02/2020 00:00	39.6	43.67	39.46	43.17	94827	USD	
04/02/2020 00:00	39.8	39.8	37.701	39.8	109844	USD	
05/02/2020 00:00	40.34	40.5	37.88	38.4	49142	USD	
06/02/2020 00:00	38.52	38.52	35.345	37.77	44595	USD	
07/02/2020 00:00	37.58	37.58	35.385	36.89	37829	USD	
10/02/2020 00:00	36.77	36.78	35.56	36.32	13593	USD	
11/02/2020 00:00	36.66	39.69	35.62	39.29	15824	USD	
12/02/2020 00:00	38.48	40	38	38.48	17875	USD	
13/02/2020 00:00	38.28	39.6	37.5	37.9	12969	USD	
14/02/2020 00:00	37.51	37.51	36.01	37.51	15264	USD	
18/02/2020 00:00	38.53	45.5	38.53	44.84	73082	USD	
19/02/2020 00:00	45.95	48	44.84	47.2	49545	USD	
20/02/2020 00:00	47.94	47.94	43.34	44.81	37981	USD	
21/02/2020 00:00	44.46	46	43.15	44.46	15867	USD	
24/02/2020 00:00	42.82	44	41.22	42.09	38090	USD	
25/02/2020 00:00	39.47	43.7	38.94	39.47	55677	USD	
26/02/2020 00:00	43.06	43.66	39.255	43.06	45600	USD	
27/02/2020 00:00	40.84	45.03	40.28	40.84	36189	USD	
28/02/2020 00:00	40.14	43.72	37.55	43.64	64090	USD	
02/03/2020 00:00	43.64	44.745	40.5	41.1	89929	USD	
03/03/2020 00:00	41.01	44.66	40.92	44.66	82340	USD	
04/03/2020 00:00	44.5	70.587	43.56	52.88	405400	USD	
05/03/2020 00:00	51.18	52.5	48.08	49.34	74902	USD	
06/03/2020 00:00	47.9	50.49	46.62	49.83	97964	USD	
09/03/2020 00:00	47.53	50.94	47.07	49.27	47183	USD	
10/03/2020 00:00	50.5	50.73	46.02	50.72	69077	USD	
11/03/2020 00:00	49.79	57.953	47.81	53.88	37567	USD	
12/03/2020 00:00	52.5	52.5	33.03	40.47	119623	USD	
13/03/2020 00:00	43.11	43.11	34.13	39.08	67359	USD	
16/03/2020 00:00	31	34.46	26.19	26.88	57149	USD	
17/03/2020 00:00	31.91	32.38	27.01	31.91	81573	USD	
18/03/2020 00:00	30	32	28.25	30.15	18882	USD	
19/03/2020 00:00	29.61	33.295	25.03	31.85	41564	USD	
20/03/2020 00:00	31.62	44.19	29.44	44.19	28201	USD	
23/03/2020 00:00	41.01	41.01	30	31.1	46239	USD	
24/03/2020 00:00	34.8	38	30.13	37.95	152098	USD	
25/03/2020 00:00	36.05	36.05	32.13	32.84	71444	USD	
26/03/2020 00:00	32.87	38.81	31.58	38.81	145976	USD	
27/03/2020 00:00	36.97	37.8	33.533	35.61	34626	USD	
30/03/2020 00:00	38.01	38.01	33.9	38.01	72378	USD	
31/03/2020 00:00	38	39.88	36.25	38	69706	USD	
02/04/2020 00:00	35.59	37	29.94	31.99	232419	USD	
03/04/2020 00:00	32.24	33.44	27.53	30.82	128409	USD	
06/04/2020 00:00	30.91	31.71	29	30.52	156726	USD	
07/04/2020 00:00	30.98	32	29.51	29.9	146723	USD	
08/04/2020 00:00	30.09	31.16	29.35	31.16	89093	USD	
09/04/2020 00:00	32.62	35.19	30.91	32.62	161532	USD	
13/04/2020 00:00	32.7	33.225	30.8	32.61	50935	USD	
14/04/2020 00:00	33.57	39.9	33.51	38.78	90302	USD	
15/04/2020 00:00	38.79	42	35.72	38.9	65253	USD	
16/04/2020 00:00	39.67	40.1	34.748	37	134595	USD	
17/04/2020 00:00	37.98	39.225	36.71	38.01	65390	USD	
20/04/2020 00:00	37.65	42.99	37.65	39.17	108716	USD	
21/04/2020 00:00	40.46	41.95	40.46	40.46	155481	USD	
22/04/2020 00:00	43.16	43.34	41.13	43.16	28800	USD	
23/04/2020 00:00	41.39	47.285	40.14	41.39	89327	USD	
24/04/2020 00:00	41.31	43.88	38.8	41.55	26726	USD	
27/04/2020 00:00	42.9	48.38	41.53	43.87	52485	USD	
28/04/2020 00:00	44.7	44.886	41.91	42.73	78000	USD	
29/04/2020 00:00	47	47.5	43.96	46.14	149710	USD	
30/04/2020 00:00	40.63	40.63	40.63	40.63	90142	USD	
01/05/2020 00:00	40.02	40.02	36.8	38.81	138120	USD	
04/05/2020 00:00	38.33	40.03	36.86	39.37	51349	USD	
05/05/2020 00:00	42.96	45	39.5	42.96	170908	USD	
06/05/2020 00:00	43.09	44.65	39.43	39.97	433400	USD	
07/05/2020 00:00	40.69	46.49	37.86	44	319405	USD	
08/05/2020 00:00	47.2	48.41	42.85	47.2	120724	USD	
11/05/2020 00:00	46.93	52	44.66	51.31	113933	USD	
12/05/2020 00:00	49.61	55	49.26	49.61	143872	USD	
13/05/2020 00:00	48.23	50.761	45.99	48.23	120144	USD	
14/05/2020 00:00	50.7	52.83	45.883	50.7	249148	USD	
15/05/2020 00:00	50.82	52.6	50.82	51.55	238517	USD	
18/05/2020 00:00	53.13	53.41	49.35	51.52	103529	USD	
19/05/2020 00:00	51.45	54.35	51.45	54.21	450503	USD	
20/05/2020 00:00	55.32	65	55.32	60	190780	USD	
21/05/2020 00:00	59.75	60	55.01	59.75	230180	USD	
22/05/2020 00:00	59.88	62.69	57.29	60.21	156954	USD	
26/05/2020 00:00	62.06	62.23	54.25	56.8	242796	USD	
27/05/2020 00:00	55.76	55.76	51	51.57	283208	USD	
28/05/2020 00:00	48.31	48.98	44.91	45.62	1790412	USD	
29/05/2020 00:00	45.8	49.14	45.62	46.9	1069197	USD	
01/06/2020 00:00	46.92	50.94	45.85	48.17	640079	USD	
02/06/2020 00:00	49	52.64	47.99	52.15	478226	USD	
03/06/2020 00:00	52.16	56.76	51.253	54.94	635386	USD	
04/06/2020 00:00	55	57.68	49.82	51.35	380111	USD	
05/06/2020 00:00	53.9	55.6	49.265	49.73	747090	USD	
08/06/2020 00:00	51.98	51.98	49.375	50	486498	USD	
09/06/2020 00:00	50	51.29	48.49	50	322650	USD	
10/06/2020 00:00	50.66	53.396	49.83	51.96	311949	USD	
11/06/2020 00:00	51.65	52.315	50.12	51.45	280560	USD	
12/06/2020 00:00	54.51	55.18	45.005	46.83	557377	USD	
15/06/2020 00:00	48.56	49.53	46.16	48.56	498374	USD	
16/06/2020 00:00	48.6	49.4	47.92	48.9	622656	USD	
17/06/2020 00:00	49.06	49.48	48.5	49.03	326083	USD	
18/06/2020 00:00	48.61	49.14	47.6	48.97	803233	USD	
19/06/2020 00:00	49.08	50.73	47.535	48.96	1329954	USD	
22/06/2020 00:00	48.51	48.73	44.21	46.46	489131	USD	
23/06/2020 00:00	47.11	48.38	45.41	46.23	426228	USD	
24/06/2020 00:00	45.79	49.77	45.79	48.66	379635	USD	
25/06/2020 00:00	49.02	55.15	48.34	53.35	815588	USD	
26/06/2020 00:00	52.86	53.715	42	42.54	2714073	USD	
29/06/2020 00:00	43.9	44.6	42.2	42.83	378949	USD	
30/06/2020 00:00	42.42	44	41.02	43.32	384011	USD	
01/07/2020 00:00	43.02	44.205	40.85	41.45	320098	USD	
