date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	2.88	2.88	2.86	2.86	3398	EUR	
11/11/2010 00:00	2.86	2.86	2.8	2.84	8495	EUR	
12/11/2010 00:00	2.83	2.84	2.78	2.78	6170	EUR	
15/11/2010 00:00	2.76	2.84	2.75	2.76	26658	EUR	
16/11/2010 00:00	2.76	2.79	2.76	2.78	2675	EUR	
17/11/2010 00:00	2.78	2.83	2.76	2.76	2713	EUR	
18/11/2010 00:00	2.76	2.77	2.75	2.76	7540	EUR	
19/11/2010 00:00	2.78	2.78	2.76	2.78	2590	EUR	
22/11/2010 00:00	2.78	2.78	2.74	2.77	12407	EUR	
23/11/2010 00:00	2.74	2.74	2.72	2.74	8809	EUR	
24/11/2010 00:00	2.73	2.78	2.73	2.78	4096	EUR	
25/11/2010 00:00	2.76	2.76	2.75	2.75	8725	EUR	
26/11/2010 00:00	2.75	2.82	2.72	2.82	10384	EUR	
29/11/2010 00:00	2.77	2.78	2.76	2.76	4382	EUR	
30/11/2010 00:00	2.73	2.73	2.64	2.72	8610	EUR	
01/12/2010 00:00	2.75	2.75	2.65	2.65	1780	EUR	
02/12/2010 00:00	2.74	2.74	2.68	2.68	22062	EUR	
03/12/2010 00:00	2.74	2.74	2.71	2.73	4303	EUR	
06/12/2010 00:00	2.73	2.73	2.7	2.72	7966	EUR	
07/12/2010 00:00	2.72	2.77	2.7	2.7	11917	EUR	
08/12/2010 00:00	2.73	2.74	2.73	2.74	3426	EUR	
09/12/2010 00:00	2.73	2.75	2.72	2.74	10086	EUR	
10/12/2010 00:00	2.72	2.75	2.72	2.74	2684	EUR	
13/12/2010 00:00	2.74	2.78	2.73	2.73	17439	EUR	
14/12/2010 00:00	2.74	2.74	2.7	2.72	33166	EUR	
15/12/2010 00:00	2.72	2.74	2.72	2.72	5398	EUR	
16/12/2010 00:00	2.72	2.72	2.71	2.71	3484	EUR	
17/12/2010 00:00	2.71	2.74	2.71	2.74	8622	EUR	
20/12/2010 00:00	2.73	2.76	2.73	2.76	21392	EUR	
21/12/2010 00:00	2.75	2.81	2.75	2.81	47527	EUR	
22/12/2010 00:00	2.78	2.81	2.74	2.74	19163	EUR	
23/12/2010 00:00	2.73	2.8	2.7	2.8	14498	EUR	
24/12/2010 00:00	2.72	2.74	2.72	2.73	1021	EUR	
27/12/2010 00:00	2.72	2.79	2.72	2.77	29883	EUR	
28/12/2010 00:00	2.77	2.8	2.76	2.78	14881	EUR	
29/12/2010 00:00	2.79	2.79	2.75	2.79	25464	EUR	
30/12/2010 00:00	2.81	2.81	2.81	2.81	0	EUR	
