date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	57.891	60.045	57.891	60.109	27760	EUR	
11/11/2010 00:00	60.109	60.109	59.136	59.354	7492	EUR	
12/11/2010 00:00	59.018	59.582	58.682	59.582	29218	EUR	
15/11/2010 00:00	59.554	59.718	59.4	59.718	5118	EUR	
16/11/2010 00:00	59.564	59.564	59.182	59.182	8260	EUR	
17/11/2010 00:00	58.982	59.5	58.982	59.354	14201	EUR	
18/11/2010 00:00	59.564	60.109	59.373	60.054	6245	EUR	
19/11/2010 00:00	59.891	60.464	59.636	60.464	10608	EUR	
22/11/2010 00:00	60.109	60.109	58.909	58.927	15177	EUR	
23/11/2010 00:00	59.109	59.2	58.382	58.736	8335	EUR	
24/11/2010 00:00	58.636	58.754	58.309	58.754	9560	EUR	
25/11/2010 00:00	58.827	59.164	58.691	58.854	6619	EUR	
26/11/2010 00:00	58.754	59.327	58.754	59.109	5507	EUR	
29/11/2010 00:00	59.209	59.209	58.6	58.682	8239	EUR	
30/11/2010 00:00	58.754	59.209	58.054	59.209	16302	EUR	
01/12/2010 00:00	59.164	59.164	58.636	58.9	4335	EUR	
02/12/2010 00:00	59.127	59.718	58.9	59.718	25284	EUR	
03/12/2010 00:00	59.354	59.727	59.218	59.218	21588	EUR	
06/12/2010 00:00	59.909	59.909	59.336	59.873	8044	EUR	
07/12/2010 00:00	60.018	60.464	59.436	60.164	15338	EUR	
08/12/2010 00:00	59.564	62.709	59.564	62.354	21027	EUR	
09/12/2010 00:00	62.354	62.354	62	62.354	12139	EUR	
10/12/2010 00:00	62.354	62.354	61.227	61.845	11675	EUR	
13/12/2010 00:00	61.909	62.345	61.618	62.345	7391	EUR	
14/12/2010 00:00	62.354	64.609	62.354	64.418	41063	EUR	
15/12/2010 00:00	64.582	64.591	64.236	64.418	11092	EUR	
16/12/2010 00:00	64.4	64.609	64.273	64.609	23263	EUR	
17/12/2010 00:00	64.482	65.336	64.264	64.836	20098	EUR	
20/12/2010 00:00	64.627	65.864	64.627	65.273	11499	EUR	
21/12/2010 00:00	65.509	67.273	65.509	67.273	21016	EUR	
22/12/2010 00:00	67.318	67.618	66.5	67.618	17790	EUR	
23/12/2010 00:00	66.127	67.518	65.936	66.109	11166	EUR	
24/12/2010 00:00	65.745	65.854	65	65.327	1911	EUR	
27/12/2010 00:00	65	65	63.573	64.227	11208	EUR	
28/12/2010 00:00	63.864	64.227	63.709	64.227	4876	EUR	
29/12/2010 00:00	64.145	64.227	63.782	63.782	4993	EUR	
30/12/2010 00:00	64.009	64.054	63.791	64.027	6559	EUR	
31/12/2010 00:00	64.227	64.227	63.673	64.018	4782	EUR	
03/01/2011 00:00	64.091	64.491	63.864	63.864	7230	EUR	
04/01/2011 00:00	64.045	64.554	63.864	64.418	10208	EUR	
05/01/2011 00:00	64.591	64.591	64.254	64.418	5052	EUR	
06/01/2011 00:00	64.464	64.609	64.2	64.464	5347	EUR	
07/01/2011 00:00	64.391	65.245	64.318	64.409	13131	EUR	
10/01/2011 00:00	64.609	64.609	63.5	63.618	12537	EUR	
11/01/2011 00:00	63.854	64.091	63.509	63.864	8408	EUR	
12/01/2011 00:00	63.864	63.864	62.873	63.682	8539	EUR	
13/01/2011 00:00	63.682	63.845	63.191	63.509	11100	EUR	
14/01/2011 00:00	63.518	64.009	63.509	63.536	11980	EUR	
17/01/2011 00:00	63.864	64.154	63.109	64.109	8749	EUR	
18/01/2011 00:00	64.236	66.109	64.127	65.845	13492	EUR	
19/01/2011 00:00	66.118	66.2	65.218	65.509	8952	EUR	
20/01/2011 00:00	65.591	65.591	64.618	65.018	5851	EUR	
21/01/2011 00:00	65.173	65.273	64.627	64.964	5844	EUR	
24/01/2011 00:00	64.991	65.745	64.636	65.745	18140	EUR	
25/01/2011 00:00	65.918	67.354	65.8	67.318	22625	EUR	
26/01/2011 00:00	66.873	67.618	65.745	65.745	12506	EUR	
27/01/2011 00:00	66.5	66.645	66.136	66.645	4946	EUR	
28/01/2011 00:00	66.5	66.6	66.118	66.6	5542	EUR	
31/01/2011 00:00	66.118	66.491	65.373	66.491	8060	EUR	
01/02/2011 00:00	66.491	66.645	66.118	66.636	4962	EUR	
02/02/2011 00:00	66.5	66.645	65.745	66.254	10698	EUR	
03/02/2011 00:00	66.118	66.645	65.754	66.573	9745	EUR	
04/02/2011 00:00	66.5	67.318	66.5	67.282	14001	EUR	
07/02/2011 00:00	67.282	67.954	66.864	67.954	22072	EUR	
08/02/2011 00:00	67.954	68.291	67.627	68.291	3617	EUR	
09/02/2011 00:00	68.373	68.5	66.673	66.673	17329	EUR	
10/02/2011 00:00	66.5	66.864	66.118	66.273	10878	EUR	
11/02/2011 00:00	66.2	67.082	66.091	67.082	30371	EUR	
14/02/2011 00:00	67.6	69.873	67.318	69.173	18643	EUR	
15/02/2011 00:00	69.218	69.864	67.654	67.991	12101	EUR	
16/02/2011 00:00	68.636	68.636	67.4	67.545	6359	EUR	
17/02/2011 00:00	67.545	67.545	66.5	66.864	6016	EUR	
18/02/2011 00:00	67.227	67.236	66.609	67	4824	EUR	
21/02/2011 00:00	66.873	67.318	66.573	66.773	3970	EUR	
22/02/2011 00:00	66.273	66.309	65.964	66.118	11552	EUR	
23/02/2011 00:00	66.118	66.318	65.745	65.954	12326	EUR	
24/02/2011 00:00	65.745	66.318	65.064	65.909	25271	EUR	
25/02/2011 00:00	66.118	68.327	66.118	67.445	29773	EUR	
28/02/2011 00:00	68.264	68.264	67.245	67.245	8903	EUR	
01/03/2011 00:00	67.236	67.318	65.936	66.118	14518	EUR	
02/03/2011 00:00	65.954	65.954	63.864	65.364	18728	EUR	
03/03/2011 00:00	65.736	65.918	64.609	65.364	10524	EUR	
04/03/2011 00:00	65.745	65.745	64.636	65.418	5752	EUR	
07/03/2011 00:00	65.364	65.918	65	65.891	4490	EUR	
08/03/2011 00:00	65.891	66.109	65.045	65.354	4288	EUR	
09/03/2011 00:00	65.509	65.509	65	65.391	3253	EUR	
10/03/2011 00:00	65.382	65.391	64.236	64.354	3062	EUR	
11/03/2011 00:00	64.436	64.436	62.454	62.454	10171	EUR	
14/03/2011 00:00	62.354	62.354	60.891	61.064	8623	EUR	
15/03/2011 00:00	60.991	61.227	59.354	61	20881	EUR	
16/03/2011 00:00	60.827	61.6	60.3	60.682	13111	EUR	
17/03/2011 00:00	60.773	60.782	59.736	60.554	13462	EUR	
18/03/2011 00:00	60.554	62.7	60.554	61.654	11927	EUR	
21/03/2011 00:00	61.773	62.709	61.5	61.609	14944	EUR	
22/03/2011 00:00	61.982	62.345	61.718	62.318	11387	EUR	
23/03/2011 00:00	62.054	62.709	61.836	62.7	15681	EUR	
24/03/2011 00:00	62.5	62.618	62.273	62.5	6984	EUR	
