date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	39.019	39.49	38.621	38.699	3877873	EUR	
11/11/2010 00:00	38.883	38.946	38.296	38.645	2187270	EUR	
12/11/2010 00:00	38.053	38.621	37.568	38.427	2293485	EUR	
15/11/2010 00:00	38.233	39.271	37.975	39.019	2329665	EUR	
16/11/2010 00:00	38.83	38.839	38.048	38.106	2604286	EUR	
17/11/2010 00:00	38.043	38.81	37.878	38.563	1652486	EUR	
18/11/2010 00:00	38.936	39.364	38.893	39.291	2274183	EUR	
19/11/2010 00:00	39.378	39.407	38.849	39.339	2000185	EUR	
22/11/2010 00:00	39.596	39.742	38.781	38.927	2282898	EUR	
23/11/2010 00:00	38.635	38.975	38.179	38.218	2490696	EUR	
24/11/2010 00:00	38.364	38.791	38.024	38.538	1979278	EUR	
25/11/2010 00:00	38.577	38.655	38.087	38.49	1163429	EUR	
26/11/2010 00:00	38.213	38.315	37.577	38.029	2208915	EUR	
29/11/2010 00:00	38.276	38.699	37.141	37.145	2848840	EUR	
30/11/2010 00:00	37.15	37.262	35.898	36.209	5282149	EUR	
01/12/2010 00:00	36.403	36.776	35.898	36.645	3126201	EUR	
02/12/2010 00:00	36.912	37.252	35.98	37.121	3716738	EUR	
03/12/2010 00:00	37.208	38.087	37.141	37.597	3225228	EUR	
06/12/2010 00:00	37.592	37.825	37.155	37.548	1935498	EUR	
07/12/2010 00:00	37.611	38.733	37.587	38.325	2737568	EUR	
08/12/2010 00:00	38.155	38.771	37.922	38.48	2048912	EUR	
09/12/2010 00:00	38.781	38.956	38.402	38.907	1975448	EUR	
10/12/2010 00:00	39.004	39.305	38.902	39.101	2868275	EUR	
13/12/2010 00:00	38.83	39.48	38.781	39.223	2967134	EUR	
14/12/2010 00:00	39.218	39.315	38.868	39.194	1989066	EUR	
15/12/2010 00:00	39.024	39.359	38.781	39.247	2308777	EUR	
16/12/2010 00:00	39.213	39.364	38.849	39.296	1550702	EUR	
17/12/2010 00:00	39.461	39.596	39.208	39.359	2868706	EUR	
20/12/2010 00:00	39.218	39.922	39.184	39.412	1577888	EUR	
21/12/2010 00:00	39.538	39.985	39.538	39.762	1477987	EUR	
22/12/2010 00:00	39.723	39.912	39.592	39.786	1424506	EUR	
23/12/2010 00:00	39.839	39.965	39.208	39.509	1253269	EUR	
24/12/2010 00:00	39.218	39.543	38.907	39.393	204974	EUR	
27/12/2010 00:00	39.393	39.504	38.597	39.232	786051	EUR	
28/12/2010 00:00	39.412	39.514	39.257	39.388	765374	EUR	
29/12/2010 00:00	39.446	40.247	39.446	40.067	1142171	EUR	
30/12/2010 00:00	40.067	40.169	39.543	39.917	1177636	EUR	
31/12/2010 00:00	39.805	39.975	39.49	39.49	336608	EUR	
03/01/2011 00:00	39.742	40.528	39.645	40.499	1231777	EUR	
04/01/2011 00:00	40.383	40.752	40.092	40.213	1897309	EUR	
05/01/2011 00:00	40.101	40.198	39.203	39.679	2178369	EUR	
06/01/2011 00:00	39.703	39.985	39.038	39.203	1719325	EUR	
07/01/2011 00:00	39.097	39.436	38.606	38.825	2247646	EUR	
10/01/2011 00:00	38.815	38.815	38.218	38.48	2416664	EUR	
11/01/2011 00:00	38.621	39.16	38.427	39.126	1918084	EUR	
12/01/2011 00:00	39.131	39.713	39.014	39.611	1776788	EUR	
13/01/2011 00:00	39.63	40.033	39.402	39.999	2090853	EUR	
14/01/2011 00:00	39.8	40.655	39.694	40.378	3028141	EUR	
17/01/2011 00:00	40.388	40.606	39.64	39.873	1556656	EUR	
18/01/2011 00:00	40.266	40.63	39.999	40.494	2185149	EUR	
19/01/2011 00:00	40.659	40.659	39.961	40.043	2329379	EUR	
20/01/2011 00:00	40.087	41.218	40.024	40.771	3020541	EUR	
21/01/2011 00:00	40.771	41.494	40.422	41.237	2696684	EUR	
24/01/2011 00:00	41.261	42.023	40.965	41.858	2160184	EUR	
25/01/2011 00:00	42.13	42.222	41.611	41.766	2987653	EUR	
26/01/2011 00:00	42.13	42.324	41.722	41.742	2060821	EUR	
27/01/2011 00:00	41.625	42.082	41.499	41.873	1704189	EUR	
28/01/2011 00:00	41.936	42.106	41.159	41.256	2782651	EUR	
31/01/2011 00:00	41.125	41.421	39.98	41.048	2871336	EUR	
01/02/2011 00:00	41.242	41.392	40.917	41.174	2515374	EUR	
02/02/2011 00:00	41.339	41.441	40.727	41.13	2113669	EUR	
03/02/2011 00:00	40.931	41.227	40.684	41.135	1736336	EUR	
04/02/2011 00:00	41.237	41.421	41.13	41.417	1986425	EUR	
07/02/2011 00:00	41.446	41.994	41.446	41.853	2002468	EUR	
08/02/2011 00:00	41.625	42.494	41.553	42.494	2786933	EUR	
09/02/2011 00:00	42.334	42.713	42.188	42.494	1749217	EUR	
10/02/2011 00:00	42.436	42.679	42.15	42.645	1873899	EUR	
11/02/2011 00:00	42.509	42.79	41.795	42.548	1843454	EUR	
14/02/2011 00:00	42.907	42.926	42.562	42.761	1503383	EUR	
15/02/2011 00:00	42.567	42.795	42.45	42.669	1192877	EUR	
16/02/2011 00:00	42.669	42.907	42.582	42.703	1638997	EUR	
17/02/2011 00:00	42.863	42.994	42.572	42.679	1692044	EUR	
18/02/2011 00:00	42.887	43.31	42.766	43.31	2786306	EUR	
21/02/2011 00:00	43.237	43.271	42.383	42.46	1459363	EUR	
22/02/2011 00:00	41.98	42.033	41.033	41.47	2984491	EUR	
23/02/2011 00:00	41.305	41.451	40.757	40.858	2602196	EUR	
24/02/2011 00:00	40.684	41.295	40.577	41.121	1968684	EUR	
25/02/2011 00:00	41.441	41.863	41.033	41.698	1587439	EUR	
