date	ouv	haut	bas	clot	vol	devise	
10/11/2010 00:00	24.49	24.5	24.49	24.5	92	EUR	
11/11/2010 00:00	24.5	24.5	24.5	24.5	201	EUR	
12/11/2010 00:00	24.5	24.5	24.3	24.3	856	EUR	
15/11/2010 00:00	24.44	24.45	24.44	24.45	601	EUR	
16/11/2010 00:00	24.45	24.45	24.45	24.45	284	EUR	
17/11/2010 00:00	24.46	24.49	24.44	24.44	416	EUR	
18/11/2010 00:00	24.43	24.44	24.43	24.44	526	EUR	
19/11/2010 00:00	24.44	24.44	24.24	24.25	805	EUR	
22/11/2010 00:00	24.44	24.49	24.44	24.49	216	EUR	
23/11/2010 00:00	24.48	24.48	24.39	24.39	51	EUR	
24/11/2010 00:00	24.24	24.39	24.24	24.39	172	EUR	
25/11/2010 00:00	24.4	24.5	24.4	24.5	676	EUR	
26/11/2010 00:00	24.5	24.5	24.5	24.5	777	EUR	
29/11/2010 00:00	24.58	24.58	24.5	24.5	900	EUR	
30/11/2010 00:00	24.5	24.5	24.39	24.39	277	EUR	
01/12/2010 00:00	24.39	24.5	24.39	24.5	431	EUR	
02/12/2010 00:00	24.5	24.5	24.36	24.5	932	EUR	
03/12/2010 00:00	24.5	24.58	24.5	24.55	1583	EUR	
06/12/2010 00:00	24.55	24.64	24.55	24.64	181	EUR	
07/12/2010 00:00	24.49	24.73	24.24	24.73	563	EUR	
08/12/2010 00:00	24.73	24.73	23.83	24.28	1458	EUR	
09/12/2010 00:00	24.29	24.29	24.08	24.08	96	EUR	
10/12/2010 00:00	24.17	24.29	24.16	24.21	1620	EUR	
13/12/2010 00:00	24.21	24.21	24	24.21	1966	EUR	
14/12/2010 00:00	24.2	24.21	24.13	24.13	836	EUR	
15/12/2010 00:00	24.17	24.33	24.07	24.33	721	EUR	
16/12/2010 00:00	24.33	24.4	24.33	24.4	503	EUR	
17/12/2010 00:00	24.4	24.41	24.2	24.41	631	EUR	
20/12/2010 00:00	24.41	24.54	24.41	24.54	1012	EUR	
21/12/2010 00:00	24.54	25.33	24.4	25.33	3255	EUR	
22/12/2010 00:00	25.33	25.33	24.9	25.33	1159	EUR	
23/12/2010 00:00	25.34	25.34	24.75	25.14	258	EUR	
24/12/2010 00:00	25.14	25.25	25.01	25.25	527	EUR	
27/12/2010 00:00	25.15	25.15	24.98	24.98	793	EUR	
28/12/2010 00:00	24.98	25.15	24.95	25.15	248	EUR	
29/12/2010 00:00	25.15	25.25	25.15	25.25	215	EUR	
30/12/2010 00:00	25.25	25.25	25.25	25.25	1	EUR	
31/12/2010 00:00	25.25	25.28	25.25	25.28	567	EUR	
03/01/2011 00:00	25.28	25.29	25.25	25.28	658	EUR	
04/01/2011 00:00	25.28	25.65	25.28	25.64	2568	EUR	
05/01/2011 00:00	25.65	26.16	25.5	26.16	588	EUR	
06/01/2011 00:00	26.14	26.15	25.8	26	501	EUR	
07/01/2011 00:00	26.13	26.67	26.13	26.67	723	EUR	
10/01/2011 00:00	26.67	27	26.18	26.18	1905	EUR	
11/01/2011 00:00	26.19	26.34	26.18	26.34	658	EUR	
12/01/2011 00:00	26.34	26.35	26	26.35	2020	EUR	
13/01/2011 00:00	26.35	26.35	26.35	26.35	347	EUR	
14/01/2011 00:00	26.35	26.44	26.15	26.22	324	EUR	
17/01/2011 00:00	26.35	26.35	26.01	26.22	916	EUR	
18/01/2011 00:00	26.22	26.22	26.22	26.22	88	EUR	
19/01/2011 00:00	26.3	26.35	26.23	26.26	859	EUR	
20/01/2011 00:00	26.26	26.4	26.25	26.4	633	EUR	
21/01/2011 00:00	26.4	26.61	26.25	26.55	1948	EUR	
24/01/2011 00:00	26.55	27	26.55	26.89	1357	EUR	
25/01/2011 00:00	27	27	26.45	26.68	3566	EUR	
26/01/2011 00:00	26.68	26.68	26.68	26.68	116	EUR	
27/01/2011 00:00	26.68	26.7	26.68	26.68	351	EUR	
28/01/2011 00:00	26.68	26.77	26.51	26.77	1846	EUR	
31/01/2011 00:00	26.77	26.8	26.1	26.25	2214	EUR	
01/02/2011 00:00	26.4	26.4	24.45	25.49	2491	EUR	
02/02/2011 00:00	25	25	24.52	25	458	EUR	
03/02/2011 00:00	25	25	22.7	24.27	1558	EUR	
04/02/2011 00:00	24.26	24.26	22.5	23	2081	EUR	
07/02/2011 00:00	23.01	23.6	22.9	23.5	1000	EUR	
08/02/2011 00:00	23.59	23.59	23.16	23.5	1671	EUR	
09/02/2011 00:00	23.5	23.6	23.5	23.6	4	EUR	
10/02/2011 00:00	23.6	23.6	23.5	23.5	510	EUR	
11/02/2011 00:00	23.5	23.5	23.44	23.44	125	EUR	
14/02/2011 00:00	23.44	23.44	23.44	23.44	241	EUR	
15/02/2011 00:00	23.44	23.44	23.3	23.44	801	EUR	
16/02/2011 00:00	23.44	23.44	23.2	23.4	426	EUR	
17/02/2011 00:00	23.39	23.4	23.06	23.06	5490	EUR	
18/02/2011 00:00	23.06	23.06	23.06	23.06	101	EUR	
21/02/2011 00:00	23.06	23.2	22.06	22.06	2160	EUR	
22/02/2011 00:00	21.95	22.69	21.95	22.55	535	EUR	
23/02/2011 00:00	22.48	22.48	22.01	22.4	595	EUR	
24/02/2011 00:00	22.4	22.41	22.4	22.41	501	EUR	
25/02/2011 00:00	22.41	22.5	22.41	22.42	3046	EUR	
28/02/2011 00:00	22.42	22.42	22.42	22.42	1	EUR	
01/03/2011 00:00	22.42	22.66	22.22	22.66	1041	EUR	
02/03/2011 00:00	22.66	22.66	22.66	22.66	1	EUR	
03/03/2011 00:00	22.66	22.66	22.66	22.66	61	EUR	
04/03/2011 00:00	22.67	22.67	22.66	22.66	126	EUR	
07/03/2011 00:00	22.66	22.67	22.42	22.67	406	EUR	
08/03/2011 00:00	22.67	23.26	22.67	23.1	5876	EUR	
09/03/2011 00:00	23.1	23.39	23.01	23.35	2958	EUR	
10/03/2011 00:00	23.35	23.4	23.34	23.4	174	EUR	
11/03/2011 00:00	23.34	23.34	23.3	23.3	689	EUR	
14/03/2011 00:00	23.3	23.3	23.25	23.3	261	EUR	
15/03/2011 00:00	23.3	23.3	22.42	22.43	816	EUR	
16/03/2011 00:00	22.43	22.43	22.42	22.42	5001	EUR	
17/03/2011 00:00	22.42	22.97	22.42	22.97	201	EUR	
18/03/2011 00:00	22.97	22.97	22.8	22.95	518	EUR	
21/03/2011 00:00	22.95	22.97	22.77	22.77	669	EUR	
22/03/2011 00:00	22.75	22.75	22.65	22.75	340	EUR	
23/03/2011 00:00	22.75	22.8	22.75	22.75	301	EUR	
24/03/2011 00:00	22.75	22.76	22.75	22.76	81	EUR	
25/03/2011 00:00	22.76	22.76	22.68	22.76	71	EUR	
28/03/2011 00:00	22.76	22.76	22.54	22.54	481	EUR	
29/03/2011 00:00	22.55	22.56	22.25	22.5	712	EUR	
30/03/2011 00:00	22.5	22.5	21.4	21.45	4164	EUR	
31/03/2011 00:00	21.44	21.45	21.11	21.45	1085	EUR	
01/04/2011 00:00	21.45	21.45	21.44	21.45	441	EUR	
04/04/2011 00:00	21.44	21.45	21.44	21.45	67	EUR	
