date	ouv	haut	bas	clot	vol	devise	
16/06/2015 00:00	10.66	10.67	10.3	10.39	18448	EUR	
17/06/2015 00:00	10.39	10.39	10.09	10.24	12343	EUR	
18/06/2015 00:00	10.49	10.58	10.41	10.5	9303	EUR	
19/06/2015 00:00	10.5	10.5	10.38	10.5	5716	EUR	
22/06/2015 00:00	10.5	10.5	10.25	10.5	5788	EUR	
23/06/2015 00:00	10.45	10.45	10.22	10.45	3888	EUR	
24/06/2015 00:00	10.43	10.43	10.21	10.38	2906	EUR	
25/06/2015 00:00	10.44	10.44	10.3	10.44	1360	EUR	
26/06/2015 00:00	10.33	10.48	10.22	10.39	1396	EUR	
29/06/2015 00:00	10.15	10.38	10.02	10.35	3173	EUR	
30/06/2015 00:00	10.1	10.35	10.1	10.35	970	EUR	
01/07/2015 00:00	10.35	10.4	10.11	10.21	1648	EUR	
02/07/2015 00:00	10.39	10.4	10.13	10.38	1227	EUR	
03/07/2015 00:00	10.3	10.31	10.13	10.29	1485	EUR	
06/07/2015 00:00	10.28	10.28	10.13	10.15	353	EUR	
07/07/2015 00:00	10.19	10.28	10.1	10.27	1396	EUR	
08/07/2015 00:00	10.29	10.39	10.05	10.38	755	EUR	
09/07/2015 00:00	10.34	10.39	10.1	10.17	1934	EUR	
10/07/2015 00:00	10.39	10.39	10.38	10.38	1149	EUR	
13/07/2015 00:00	10.38	10.38	10.15	10.35	1526	EUR	
14/07/2015 00:00	10.35	10.35	10.35	10.35	100	EUR	
15/07/2015 00:00	10.21	10.34	10.2	10.2	1336	EUR	
16/07/2015 00:00	10.14	10.36	10.1	10.35	9857	EUR	
17/07/2015 00:00	10.3	10.3	10.13	10.25	792	EUR	
20/07/2015 00:00	10.12	10.25	10.09	10.23	1754	EUR	
21/07/2015 00:00	10.05	10.2	10.05	10.2	886	EUR	
22/07/2015 00:00	10.2	10.22	10.15	10.15	869	EUR	
23/07/2015 00:00	10.16	10.16	10.1	10.1	481	EUR	
24/07/2015 00:00	10.1	10.24	10.06	10.24	772	EUR	
27/07/2015 00:00	10.2	10.2	10.05	10.06	591	EUR	
28/07/2015 00:00	10.06	10.2	10.05	10.05	1359	EUR	
29/07/2015 00:00	10.19	10.19	10.15	10.16	191	EUR	
30/07/2015 00:00	10.06	10.17	10.05	10.17	675	EUR	
31/07/2015 00:00	10.16	10.16	10.16	10.16	1	EUR	
03/08/2015 00:00	10.15	10.15	10.01	10.1	593	EUR	
04/08/2015 00:00	10.1	10.12	10.02	10.06	680	EUR	
05/08/2015 00:00	10	10.14	10	10.07	1100	EUR	
06/08/2015 00:00	10.07	10.07	9.85	9.95	3165	EUR	
07/08/2015 00:00	10	10	9.22	9.83	3441	EUR	
10/08/2015 00:00	9.74	9.74	9.51	9.51	1373	EUR	
11/08/2015 00:00	9.52	9.53	9.52	9.53	805	EUR	
12/08/2015 00:00	9.4	9.54	9.34	9.34	2093	EUR	
13/08/2015 00:00	9.34	9.34	9.3	9.3	1118	EUR	
14/08/2015 00:00	9.26	9.27	9.23	9.23	326	EUR	
17/08/2015 00:00	9.23	9.23	9.22	9.22	1129	EUR	
18/08/2015 00:00	9.23	9.38	9.23	9.38	3667	EUR	
19/08/2015 00:00	9.44	9.51	9.41	9.41	23852	EUR	
20/08/2015 00:00	9.41	9.41	9	9	2023	EUR	
21/08/2015 00:00	9.11	9.11	8.95	8.95	631	EUR	
24/08/2015 00:00	9.2	9.2	8.88	8.99	1030	EUR	
25/08/2015 00:00	8.99	9.01	8.84	8.85	320	EUR	
26/08/2015 00:00	8.85	9	8.85	8.85	211	EUR	
27/08/2015 00:00	8.84	9	8.79	9	866	EUR	
28/08/2015 00:00	8.81	8.99	8.81	8.83	315	EUR	
31/08/2015 00:00	8.83	8.84	8.83	8.84	350	EUR	
01/09/2015 00:00	8.83	9.01	8.83	9	327	EUR	
02/09/2015 00:00	9	9	8.6	8.6	2577	EUR	
03/09/2015 00:00	8.71	8.72	8.61	8.72	659	EUR	
04/09/2015 00:00	8.72	8.8	8.68	8.68	313	EUR	
07/09/2015 00:00	8.8	8.8	8.8	8.8	351	EUR	
08/09/2015 00:00	8.79	8.79	8.68	8.68	161	EUR	
09/09/2015 00:00	8.8	8.8	8.68	8.78	372	EUR	
10/09/2015 00:00	8.57	8.8	8.5	8.8	1569	EUR	
11/09/2015 00:00	8.7	8.71	8.7	8.71	11	EUR	
14/09/2015 00:00	8.53	8.55	8.44	8.55	686	EUR	
15/09/2015 00:00	8.52	8.52	8.47	8.5	333	EUR	
16/09/2015 00:00	8.5	8.5	8.4	8.49	221	EUR	
17/09/2015 00:00	8.31	8.98	8.14	8.98	5892	EUR	
18/09/2015 00:00	8.94	8.94	8.79	8.79	183	EUR	
21/09/2015 00:00	8.79	8.89	8.79	8.89	26	EUR	
22/09/2015 00:00	8.89	8.89	8.74	8.74	311	EUR	
23/09/2015 00:00	8.9	8.9	8.73	8.73	91	EUR	
24/09/2015 00:00	8.67	8.67	8.52	8.52	753	EUR	
25/09/2015 00:00	8.16	8.65	8.16	8.65	420	EUR	
28/09/2015 00:00	8.7	8.7	8.42	8.55	191	EUR	
29/09/2015 00:00	8.53	8.53	8.36	8.53	167	EUR	
30/09/2015 00:00	8.52	8.52	8.3	8.3	541	EUR	
01/10/2015 00:00	8.3	8.4	8.22	8.22	510	EUR	
02/10/2015 00:00	8.22	8.22	8.15	8.22	390	EUR	
05/10/2015 00:00	8.15	8.15	8.09	8.15	249	EUR	
06/10/2015 00:00	8.14	8.14	8.02	8.14	226	EUR	
07/10/2015 00:00	8.13	8.39	8	8.39	1676	EUR	
08/10/2015 00:00	8.34	8.34	8.11	8.31	498	EUR	
09/10/2015 00:00	8.3	8.32	8.14	8.3	1119	EUR	
12/10/2015 00:00	8.12	8.33	8.12	8.33	1273	EUR	
13/10/2015 00:00	8.3	8.31	8.22	8.31	592	EUR	
14/10/2015 00:00	8.27	8.27	8.27	8.27	1	EUR	
15/10/2015 00:00	8.24	8.26	8.09	8.26	324	EUR	
16/10/2015 00:00	8.06	8.23	8	8.23	590	EUR	
19/10/2015 00:00	8.08	8.22	8.03	8.22	275	EUR	
20/10/2015 00:00	8.21	8.21	8.04	8.2	299	EUR	
21/10/2015 00:00	8.19	8.19	8.02	8.19	402	EUR	
22/10/2015 00:00	8.18	8.18	8.02	8.17	362	EUR	
23/10/2015 00:00	8.01	8.07	7.87	8.07	1750	EUR	
26/10/2015 00:00	8.04	8.04	7.8	7.94	887	EUR	
27/10/2015 00:00	7.94	7.94	7.8	7.93	42	EUR	
28/10/2015 00:00	7.93	7.93	7.93	7.93	1	EUR	
29/10/2015 00:00	7.95	9.8	7.94	8.94	8198	EUR	
30/10/2015 00:00	9.01	9.01	8.83	8.83	170	EUR	
02/11/2015 00:00	8.82	8.93	8.52	8.52	1016	EUR	
03/11/2015 00:00	8.45	8.63	8.45	8.63	105	EUR	
04/11/2015 00:00	8.63	8.63	8.63	8.63	41	EUR	
05/11/2015 00:00	8.64	8.75	8.63	8.63	163	EUR	
06/11/2015 00:00	8.79	9.4	8.79	9.25	1797	EUR	
09/11/2015 00:00	9.05	9.05	9.05	9.05	305	EUR	
10/11/2015 00:00	9.1	9.1	9.05	9.05	217	EUR	
11/11/2015 00:00	8.92	8.93	8.82	8.82	711	EUR	
12/11/2015 00:00	8.81	8.82	8.81	8.82	136	EUR	
13/11/2015 00:00	8.82	8.95	8.82	8.95	13	EUR	
16/11/2015 00:00	8.63	8.95	8.63	8.95	601	EUR	
17/11/2015 00:00	8.93	8.93	8.93	8.93	21	EUR	
18/11/2015 00:00	8.93	9	8.93	9	31	EUR	
19/11/2015 00:00	9.19	9.4	9.11	9.19	1755	EUR	
20/11/2015 00:00	9.19	9.4	9.11	9.12	866	EUR	
23/11/2015 00:00	9.12	9.3	9.12	9.3	151	EUR	
24/11/2015 00:00	9.11	9.14	9.1	9.1	299	EUR	
25/11/2015 00:00	9.13	9.3	9.13	9.13	2476	EUR	
26/11/2015 00:00	9.15	9.35	9.15	9.35	179	EUR	
27/11/2015 00:00	9.34	9.34	9.34	9.34	1	EUR	
30/11/2015 00:00	9.2	9.2	9.2	9.2	291	EUR	
