date	ouv	haut	bas	clot	vol	devise	
15/12/2010 00:00	0.687	0.687	0.687	0.687	0	EUR	
11/01/2011 00:00	1.533	1.533	1.533	1.533	0	EUR	
27/06/2011 00:00	2.533	2.533	2.533	2.533	0	EUR	
04/07/2011 00:00	2.533	2.533	2.533	2.533	0	EUR	
19/09/2012 00:00	2.527	2.527	2.527	2.527	0	EUR	
28/09/2012 00:00	1.567	1.567	1.567	1.567	150	EUR	
30/05/2013 00:00	1.067	1.067	1.067	1.067	0	EUR	
06/06/2013 00:00	0.72	0.72	0.72	0.72	1	EUR	
07/06/2013 00:00	0.72	0.72	0.72	0.72	898	EUR	
16/09/2013 00:00	0.5	0.5	0.5	0.5	0	EUR	
27/02/2014 00:00	2.38	2.38	2.38	2.38	5200	EUR	
28/02/2014 00:00	2.38	2.38	2.38	2.38	60	EUR	
11/03/2014 00:00	2.38	2.38	2.38	2.38	0	EUR	
19/03/2014 00:00	2.333	2.333	2.333	2.333	0	EUR	
30/06/2014 00:00	2.333	2.333	2.333	2.333	0	EUR	
08/06/2015 00:00	1.56	1.56	1.56	1.56	0	EUR	
05/08/2015 00:00	0.46	0.46	0.46	0.46	0	EUR	
19/08/2015 00:00	0.94	0.94	0.94	0.94	0	EUR	
21/08/2015 00:00	1.133	1.133	1.133	1.133	75	EUR	
28/08/2015 00:00	1.807	1.807	1.807	1.807	82	EUR	
31/08/2015 00:00	1.987	1.987	1.987	1.987	88	EUR	
01/09/2015 00:00	2.18	2.18	2.18	2.18	81	EUR	
02/09/2015 00:00	2.393	2.393	2.393	2.393	2392	EUR	
03/09/2015 00:00	2.627	2.627	2.627	2.627	0	EUR	
01/10/2015 00:00	0.813	0.813	0.813	0.813	0	EUR	
05/10/2015 00:00	0.807	0.807	0.807	0.807	0	EUR	
12/10/2015 00:00	0.487	0.487	0.487	0.487	0	EUR	
14/10/2015 00:00	0.48	0.48	0.48	0.48	0	EUR	
16/10/2015 00:00	0.573	0.573	0.573	0.573	604	EUR	
20/10/2015 00:00	0.687	0.687	0.687	0.687	310	EUR	
21/10/2015 00:00	0.753	0.753	0.753	0.753	0	EUR	
23/10/2015 00:00	0.827	0.827	0.827	0.827	78	EUR	
29/10/2015 00:00	1.193	1.193	1.193	1.193	153	EUR	
30/10/2015 00:00	1.307	1.307	1.307	1.307	67	EUR	
02/11/2015 00:00	1.433	1.433	1.433	1.433	4	EUR	
03/11/2015 00:00	1.573	1.573	1.573	1.573	45	EUR	
04/11/2015 00:00	1.727	1.727	1.727	1.727	4	EUR	
05/11/2015 00:00	1.733	1.733	1.733	1.733	148	EUR	
06/11/2015 00:00	1.907	1.907	1.907	1.907	4	EUR	
13/11/2015 00:00	0.68	0.68	0.68	0.68	982	EUR	
16/11/2015 00:00	0.747	0.747	0.747	0.747	0	EUR	
18/11/2015 00:00	0.82	0.82	0.82	0.82	15	EUR	
19/11/2015 00:00	0.9	0.9	0.9	0.9	139	EUR	
20/11/2015 00:00	0.987	0.987	0.987	0.987	15	EUR	
30/11/2015 00:00	1.287	1.287	1.287	1.287	42	EUR	
01/12/2015 00:00	1.413	1.413	1.413	1.413	1	EUR	
02/12/2015 00:00	1.553	1.553	1.553	1.553	0	EUR	
23/12/2015 00:00	0.38	0.38	0.38	0.38	4807	EUR	
24/12/2015 00:00	0.4	0.4	0.4	0.4	3154	EUR	
04/01/2016 00:00	0.627	0.627	0.627	0.627	0	EUR	
08/01/2016 00:00	0.42	0.42	0.42	0.42	75	EUR	
12/01/2016 00:00	0.42	0.42	0.42	0.42	0	EUR	
15/01/2016 00:00	0.547	0.547	0.547	0.547	75	EUR	
20/01/2016 00:00	0.593	0.593	0.593	0.593	151	EUR	
21/01/2016 00:00	0.647	0.647	0.647	0.647	15	EUR	
