date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	0.13	0.13	0.13	0.13	9800	EUR	
19/05/2015 00:00	0.12	0.13	0.12	0.13	106295	EUR	
20/05/2015 00:00	0.13	0.14	0.13	0.13	59396	EUR	
21/05/2015 00:00	0.13	0.13	0.13	0.13	29522	EUR	
22/05/2015 00:00	0.14	0.15	0.14	0.15	812931	EUR	
25/05/2015 00:00	0.15	0.15	0.15	0.15	84308	EUR	
26/05/2015 00:00	0.14	0.14	0.14	0.14	563198	EUR	
27/05/2015 00:00	0.14	0.14	0.13	0.14	49972	EUR	
28/05/2015 00:00	0.13	0.13	0.13	0.13	27210	EUR	
29/05/2015 00:00	0.13	0.13	0.13	0.13	129973	EUR	
01/06/2015 00:00	0.13	0.13	0.13	0.13	610732	EUR	
02/06/2015 00:00	0.13	0.13	0.13	0.13	2351	EUR	
03/06/2015 00:00	0.12	0.12	0.12	0.12	5000	EUR	
04/06/2015 00:00	0.12	0.12	0.12	0.12	10000	EUR	
05/06/2015 00:00	0.12	0.12	0.12	0.12	11353	EUR	
08/06/2015 00:00	0.12	0.12	0.12	0.12	9195	EUR	
09/06/2015 00:00	0.12	0.12	0.12	0.12	899782	EUR	
10/06/2015 00:00	0.12	0.13	0.12	0.12	123400	EUR	
11/06/2015 00:00	0.13	0.13	0.12	0.13	12265	EUR	
12/06/2015 00:00	0.12	0.13	0.11	0.12	17161	EUR	
15/06/2015 00:00	0.12	0.12	0.11	0.12	108477	EUR	
16/06/2015 00:00	0.12	0.12	0.12	0.12	0	EUR	
18/06/2015 00:00	0.11	0.12	0.11	0.12	31500	EUR	
19/06/2015 00:00	0.11	0.11	0.1	0.11	894043	EUR	
22/06/2015 00:00	0.1	0.11	0.1	0.11	81254	EUR	
23/06/2015 00:00	0.1	0.11	0.1	0.11	535500	EUR	
24/06/2015 00:00	0.11	0.12	0.11	0.11	20085	EUR	
25/06/2015 00:00	0.11	0.12	0.11	0.12	7205	EUR	
26/06/2015 00:00	0.11	0.11	0.11	0.11	639553	EUR	
29/06/2015 00:00	0.1	0.11	0.1	0.11	116610	EUR	
30/06/2015 00:00	0.1	0.11	0.1	0.11	97045	EUR	
01/07/2015 00:00	0.1	0.11	0.1	0.1	16641	EUR	
02/07/2015 00:00	0.11	0.11	0.1	0.1	194621	EUR	
03/07/2015 00:00	0.11	0.11	0.11	0.11	100	EUR	
06/07/2015 00:00	0.1	0.1	0.1	0.1	4225	EUR	
07/07/2015 00:00	0.1	0.11	0.1	0.1	22230	EUR	
08/07/2015 00:00	0.1	0.11	0.1	0.11	12600	EUR	
09/07/2015 00:00	0.11	0.11	0.1	0.1	21000	EUR	
10/07/2015 00:00	0.1	0.11	0.1	0.11	220254	EUR	
13/07/2015 00:00	0.11	0.11	0.1	0.11	43288	EUR	
14/07/2015 00:00	0.11	0.11	0.11	0.11	0	EUR	
16/07/2015 00:00	0.1	0.1	0.1	0.1	0	EUR	
20/07/2015 00:00	0.1	0.11	0.1	0.11	16830	EUR	
21/07/2015 00:00	0.1	0.11	0.1	0.11	135041	EUR	
22/07/2015 00:00	0.1	0.12	0.1	0.11	484265	EUR	
