date	ouv	haut	bas	clot	vol	devise	
18/05/2015 00:00	9.2	9.2	9.2	9.2	1	EUR	
19/05/2015 00:00	9.2	9.2	9.2	9.2	1	EUR	
20/05/2015 00:00	9.2	9.2	9.15	9.15	26	EUR	
21/05/2015 00:00	9.15	9.15	8.7	8.7	754	EUR	
22/05/2015 00:00	8.62	8.85	8.62	8.66	358	EUR	
25/05/2015 00:00	8.67	9	8.67	9	551	EUR	
26/05/2015 00:00	9	9	9	9	1	EUR	
27/05/2015 00:00	9	9	8.85	8.85	523	EUR	
28/05/2015 00:00	8.85	8.85	8.85	8.85	100	EUR	
29/05/2015 00:00	8.85	8.85	8.85	8.85	33	EUR	
01/06/2015 00:00	8.85	9.1	8.85	9.05	77	EUR	
02/06/2015 00:00	9.05	9.05	9.05	9.05	1	EUR	
03/06/2015 00:00	9.05	9.05	9.05	9.05	51	EUR	
04/06/2015 00:00	9.05	9.05	8.9	9.05	61	EUR	
05/06/2015 00:00	9	9	9	9	50	EUR	
08/06/2015 00:00	9	9	9	9	10	EUR	
09/06/2015 00:00	8.82	8.82	8.82	8.82	333	EUR	
10/06/2015 00:00	8.82	8.82	8.82	8.82	17	EUR	
11/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
12/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
15/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
16/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
17/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
18/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
19/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
22/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
23/06/2015 00:00	8.82	8.82	8.82	8.82	1	EUR	
24/06/2015 00:00	8.82	8.82	8.82	8.82	99	EUR	
25/06/2015 00:00	8.82	8.9	8.82	8.9	51	EUR	
26/06/2015 00:00	8.9	8.9	8.7	8.7	151	EUR	
29/06/2015 00:00	8.52	8.52	8.5	8.5	340	EUR	
30/06/2015 00:00	8.5	8.5	8.5	8.5	149	EUR	
01/07/2015 00:00	8.51	8.51	7.75	7.75	733	EUR	
02/07/2015 00:00	7.76	7.76	7.42	7.42	364	EUR	
03/07/2015 00:00	7.42	7.6	7.41	7.41	619	EUR	
06/07/2015 00:00	7.41	7.54	7.41	7.41	401	EUR	
07/07/2015 00:00	7.41	7.41	7.4	7.4	541	EUR	
08/07/2015 00:00	7.4	7.4	7.25	7.25	906	EUR	
09/07/2015 00:00	7.25	7.25	7.25	7.25	1	EUR	
10/07/2015 00:00	7.25	7.38	7.25	7.3	1109	EUR	
13/07/2015 00:00	7.3	7.45	7.3	7.45	395	EUR	
14/07/2015 00:00	7.45	7.6	7.3	7.3	836	EUR	
15/07/2015 00:00	7.3	7.4	7.2	7.3	1276	EUR	
16/07/2015 00:00	7.3	7.43	7.3	7.43	251	EUR	
17/07/2015 00:00	7.43	7.43	7.22	7.33	1099	EUR	
20/07/2015 00:00	7.33	7.6	7.33	7.6	330	EUR	
21/07/2015 00:00	7.6	7.6	7.25	7.25	961	EUR	
22/07/2015 00:00	7.19	7.19	7.19	7.19	43	EUR	
23/07/2015 00:00	7.32	7.45	7.24	7.24	502	EUR	
24/07/2015 00:00	7.37	7.5	7.21	7.21	1160	EUR	
27/07/2015 00:00	7.2	7.2	7	7.1	2070	EUR	
28/07/2015 00:00	7.1	7.3	7	7.1	4415	EUR	
29/07/2015 00:00	7.22	8.25	7.2	7.55	20849	EUR	
30/07/2015 00:00	7.55	7.91	7.5	7.75	5503	EUR	
31/07/2015 00:00	7.75	7.75	7.39	7.59	2985	EUR	
03/08/2015 00:00	7.43	7.63	7.32	7.47	1969	EUR	
04/08/2015 00:00	7.47	7.5	7.47	7.5	131	EUR	
05/08/2015 00:00	7.5	7.5	7.5	7.5	1	EUR	
06/08/2015 00:00	7.5	7.5	7.3	7.36	1131	EUR	
07/08/2015 00:00	7.36	7.36	7.3	7.3	536	EUR	
10/08/2015 00:00	7.31	7.5	7.3	7.36	1520	EUR	
11/08/2015 00:00	7.5	7.5	7.45	7.45	919	EUR	
12/08/2015 00:00	7.45	7.5	7.3	7.5	1908	EUR	
13/08/2015 00:00	7.5	7.5	7.5	7.5	1	EUR	
14/08/2015 00:00	7.5	7.5	7.33	7.45	320	EUR	
17/08/2015 00:00	7.45	7.45	7.3	7.35	313	EUR	
18/08/2015 00:00	7.35	7.35	7.35	7.35	476	EUR	
19/08/2015 00:00	7.3	7.3	7.25	7.25	3150	EUR	
20/08/2015 00:00	7.25	7.25	7.2	7.2	608	EUR	
21/08/2015 00:00	7.2	7.2	7.2	7.2	500	EUR	
24/08/2015 00:00	7.2	7.2	6.66	6.66	3114	EUR	
25/08/2015 00:00	6.35	6.75	6.2	6.65	4498	EUR	
26/08/2015 00:00	6.65	6.86	6.65	6.86	206	EUR	
27/08/2015 00:00	6.84	6.84	6.7	6.82	1188	EUR	
28/08/2015 00:00	6.82	6.82	6.8	6.8	101	EUR	
31/08/2015 00:00	6.8	6.8	6.7	6.7	351	EUR	
01/09/2015 00:00	6.71	6.95	6.71	6.89	1950	EUR	
